日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002383,7.87,7.65,7.99,7.53,258201,200686627.87,5.84,-2.92,-0.23,3.49
2025-01-03,002383,7.7,7.25,7.75,7.22,254190,187687672.16,6.93,-5.23,-0.4,3.43
2025-01-06,002383,7.2,7.27,7.44,7.03,216691,157743156.0,5.66,0.28,0.02,2.93
2025-01-07,002383,7.36,7.47,7.48,7.29,177333,130865364.83,2.61,2.75,0.2,2.4
2025-01-08,002383,7.53,7.56,7.65,7.21,274674,204296572.16,5.89,1.2,0.09,3.71
2025-01-09,002383,7.48,7.85,7.97,7.45,380725,296348390.4,6.88,3.84,0.29,5.14
2025-01-10,002383,7.82,7.45,7.92,7.43,239258,183774897.46,6.24,-5.1,-0.4,3.23
2025-01-13,002383,7.33,7.48,7.51,7.16,160159,118117664.0,4.7,0.4,0.03,2.16
2025-01-14,002383,7.48,7.88,7.88,7.48,228022,176710212.93,5.35,5.35,0.4,3.08
2025-01-15,002383,7.88,7.82,7.94,7.78,170387,133701798.0,2.03,-0.76,-0.06,2.3
2025-01-16,002383,7.87,7.87,7.97,7.74,175403,137812998.02,2.94,0.64,0.05,2.37
2025-01-17,002383,7.8,7.82,7.88,7.7,132255,103054020.0,2.29,-0.64,-0.05,1.79
2025-01-20,002383,7.71,7.64,7.82,7.47,267981,203357346.63,4.48,-2.3,-0.18,3.62
2025-01-21,002383,7.67,7.54,7.7,7.4,167430,125548719.38,3.93,-1.31,-0.1,2.26
2025-01-22,002383,7.53,7.41,7.53,7.38,121534,90306914.0,1.99,-1.72,-0.13,1.64
2025-01-23,002383,7.48,7.3,7.65,7.29,179983,134627310.88,4.86,-1.48,-0.11,2.43
2025-01-24,002383,7.29,7.42,7.45,7.23,130443,95694998.27,3.01,1.64,0.12,1.76
2025-01-27,002383,7.45,7.15,7.51,7.15,145277,106049853.07,4.85,-3.64,-0.27,1.96
2025-02-05,002383,7.19,7.47,7.54,7.19,201708,149707208.22,4.9,4.48,0.32,2.72
2025-02-06,002383,7.47,7.81,7.81,7.37,223345,171354972.0,5.89,4.55,0.34,3.02
2025-02-07,002383,7.81,7.97,8.07,7.78,293192,233199220.0,3.71,2.05,0.16,3.96
2025-02-10,002383,8.0,8.17,8.18,7.98,249844,202205483.72,2.51,2.51,0.2,3.37
2025-02-11,002383,8.16,8.06,8.2,7.99,185944,150079471.0,2.57,-1.35,-0.11,2.51
2025-02-12,002383,8.05,8.22,8.31,8.01,219759,178843769.0,3.72,1.99,0.16,2.97
2025-02-13,002383,8.22,8.09,8.35,8.04,257272,211133046.12,3.77,-1.58,-0.13,3.47
2025-02-14,002383,8.05,8.05,8.13,7.96,175375,140900102.0,2.1,-0.49,-0.04,2.37
2025-02-17,002383,8.05,8.16,8.26,8.04,201170,163792282.0,2.73,1.37,0.11,2.72
2025-02-18,002383,8.14,7.85,8.16,7.81,192643,153830300.0,4.29,-3.8,-0.31,2.6
2025-02-19,002383,7.85,8.02,8.03,7.82,177397,141050507.98,2.68,2.17,0.17,2.4
2025-02-20,002383,7.99,8.26,8.3,7.95,297391,243072052.39,4.36,2.99,0.24,4.02
2025-02-21,002383,8.26,8.25,8.32,8.08,243654,199810568.0,2.91,-0.12,-0.01,3.29
2025-02-24,002383,8.32,8.3,8.47,8.21,302042,252162620.6,3.15,0.61,0.05,4.08
2025-02-25,002383,8.2,8.36,8.49,8.14,260997,217687393.43,4.22,0.72,0.06,3.53
2025-02-26,002383,8.34,8.44,8.48,8.25,242955,203215375.15,2.75,0.96,0.08,3.28
2025-02-27,002383,8.4,8.39,8.47,8.27,228613,191136500.74,2.37,-0.59,-0.05,3.09
2025-02-28,002383,8.33,7.98,8.33,7.96,219823,178131718.06,4.41,-4.89,-0.41,2.97
2025-03-03,002383,8.09,8.31,8.78,8.07,599673,508873023.3,8.9,4.14,0.33,8.1
2025-03-04,002383,8.0,8.58,8.58,7.72,606878,500740367.73,10.35,3.25,0.27,8.2
2025-03-05,002383,8.54,9.15,9.44,8.41,1174494,1067309458.16,12.0,6.64,0.57,15.86
2025-03-06,002383,9.15,9.0,9.21,8.9,837695,759242580.36,3.39,-1.64,-0.15,11.31
2025-03-07,002383,9.0,9.03,9.33,8.95,552083,503767904.71,4.22,0.33,0.03,7.46
2025-03-10,002383,8.97,8.85,9.12,8.82,327972,292341206.58,3.32,-1.99,-0.18,4.43
2025-03-11,002383,8.75,8.92,8.95,8.71,254816,225967299.36,2.71,0.79,0.07,3.44
2025-03-12,002383,8.98,8.87,9.02,8.84,226886,202225379.02,2.02,-0.56,-0.05,3.06
2025-03-13,002383,8.9,8.7,8.93,8.58,210979,183747705.89,3.95,-1.92,-0.17,2.85
2025-03-14,002383,8.67,8.74,8.75,8.56,186104,161627705.0,2.18,0.46,0.04,2.51
2025-03-17,002383,8.51,8.71,8.8,8.46,292486,252402819.22,3.89,-0.34,-0.03,3.95
2025-03-18,002383,8.67,8.65,8.84,8.63,219097,190971110.1,2.41,-0.69,-0.06,2.96
2025-03-19,002383,8.65,8.55,8.72,8.51,182192,157026583.0,2.43,-1.16,-0.1,2.46
2025-03-20,002383,8.56,8.61,8.75,8.46,197226,170165662.5,3.39,0.7,0.06,2.66
2025-03-21,002383,8.63,8.82,8.95,8.51,383237,336332254.04,5.11,2.44,0.21,5.18
2025-03-24,002383,8.89,8.43,9.02,8.15,455390,389803976.27,9.86,-4.42,-0.39,6.15
2025-03-25,002383,8.3,8.04,8.39,8.01,279700,228157293.7,4.51,-4.63,-0.39,3.78
2025-03-26,002383,8.0,8.07,8.29,7.99,158684,128967911.0,3.73,0.37,0.03,2.14
2025-03-27,002383,8.07,7.87,8.07,7.81,180179,142693782.0,3.22,-2.48,-0.2,2.43
2025-03-28,002383,7.9,7.66,7.91,7.66,184161,142751110.08,3.18,-2.67,-0.21,2.49
2025-03-31,002383,7.59,7.59,7.62,7.44,147344,110813997.26,2.35,-0.91,-0.07,1.99
2025-04-01,002383,7.6,7.7,7.77,7.6,109947,84718423.64,2.24,1.45,0.11,1.49
2025-04-02,002383,7.76,7.65,7.79,7.65,81658,62946526.0,1.82,-0.65,-0.05,1.1
2025-04-03,002383,7.56,7.63,7.72,7.54,77497,59087872.08,2.35,-0.26,-0.02,1.05
2025-04-07,002383,7.3,6.87,7.37,6.87,184162,129265711.74,6.55,-9.96,-0.76,2.49
2025-04-08,002383,6.67,6.63,6.94,6.41,223733,149027154.54,7.71,-3.49,-0.24,3.02
2025-04-09,002383,6.56,6.94,6.94,6.15,238246,158728513.9,11.92,4.68,0.31,3.22
2025-04-10,002383,7.05,7.06,7.21,6.98,181964,129313454.27,3.31,1.73,0.12,2.46
2025-04-11,002383,7.0,7.77,7.77,6.98,194176,145025091.4,11.19,10.06,0.71,2.62
2025-04-14,002383,7.72,7.88,7.98,7.69,446749,349290526.0,3.73,1.42,0.11,6.03
2025-04-15,002383,7.8,7.58,7.8,7.53,219814,167698720.2,3.43,-3.81,-0.3,2.97
2025-04-16,002383,7.51,7.39,7.59,7.28,147888,109762538.36,4.09,-2.51,-0.19,2.0
2025-04-17,002383,7.34,7.4,7.57,7.34,128801,96113733.69,3.11,0.14,0.01,1.74
2025-04-18,002383,7.62,7.79,8.14,7.62,456762,362216850.01,7.03,5.27,0.39,6.17
2025-04-21,002383,7.79,7.8,7.85,7.64,315853,244295118.12,2.7,0.13,0.01,4.27
2025-04-22,002383,7.75,7.86,7.97,7.7,281764,220738014.1,3.46,0.77,0.06,3.81
2025-04-23,002383,7.89,8.65,8.65,7.75,667207,552641899.88,11.45,10.05,0.79,9.01
2025-04-24,002383,8.48,8.6,9.14,8.31,924036,803111960.54,9.6,-0.58,-0.05,12.48
2025-04-25,002383,8.43,8.9,8.9,8.37,723440,628392020.24,6.16,3.49,0.3,9.77
2025-04-28,002383,8.72,8.69,8.81,8.54,400519,346405089.7,3.03,-2.36,-0.21,5.41
2025-04-29,002383,8.64,8.81,9.08,8.4,473833,413829445.02,7.83,1.38,0.12,6.4
2025-04-30,002383,8.7,8.55,8.94,8.5,486508,423599269.91,4.99,-2.95,-0.26,6.57
2025-05-06,002383,8.57,8.77,8.8,8.57,423583,369669154.75,2.69,2.57,0.22,5.72
2025-05-07,002383,8.87,9.25,9.4,8.8,907446,825390656.66,6.84,5.47,0.48,12.26
2025-05-08,002383,9.09,9.35,9.99,8.93,880119,818147730.13,11.46,1.08,0.1,11.89
2025-05-09,002383,9.3,9.25,9.7,8.86,940835,875628053.61,8.98,-1.07,-0.1,12.71
2025-05-12,002383,8.96,9.18,9.48,8.96,749349,694270638.12,5.62,-0.76,-0.07,10.12
2025-05-13,002383,9.19,8.75,9.27,8.69,663990,592815308.69,6.32,-4.68,-0.43,8.97
2025-05-14,002383,8.78,9.63,9.63,8.78,699777,668339016.98,9.71,10.06,0.88,9.45
2025-05-15,002383,10.02,9.21,10.18,9.21,1334114,1291248570.14,10.07,-4.36,-0.42,18.02
2025-05-16,002383,9.36,9.1,9.49,9.08,727599,674092234.65,4.45,-1.19,-0.11,9.83
2025-05-19,002383,9.14,9.11,9.23,8.89,489936,444654733.3,3.74,0.11,0.01,6.62
2025-05-20,002383,9.02,9.07,9.15,8.96,388147,351510256.06,2.09,-0.44,-0.04,5.24
2025-05-21,002383,9.12,9.04,9.33,8.98,428124,390383478.32,3.86,-0.33,-0.03,5.78
2025-05-22,002383,8.9,8.61,8.99,8.57,464458,406567305.0,4.65,-4.76,-0.43,6.27
2025-05-23,002383,8.58,8.88,9.38,8.58,650596,587746330.07,9.29,3.14,0.27,8.79
2025-05-26,002383,8.75,8.92,8.94,8.68,340370,300218610.52,2.93,0.45,0.04,4.6
2025-05-27,002383,8.85,9.21,9.33,8.79,510639,464151440.68,6.05,3.25,0.29,6.9
2025-05-28,002383,9.11,9.06,9.27,9.0,341403,311375109.12,2.93,-1.63,-0.15,4.61
2025-05-29,002383,8.99,9.97,9.97,8.99,1019509,995297209.42,10.82,10.04,0.91,13.77
2025-05-30,002383,9.88,9.8,10.35,9.77,1378045,1373552441.98,5.82,-1.71,-0.17,18.61
2025-06-03,002383,9.82,9.85,9.98,9.68,688778,677294542.48,3.06,0.51,0.05,9.3
