日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002389,17.94,17.17,17.96,16.97,162168,284019187.68,5.5,-4.56,-0.82,1.64
2025-01-03,002389,17.17,17.16,17.52,16.86,158962,273725636.0,3.84,-0.06,-0.01,1.6
2025-01-06,002389,17.02,16.79,17.25,16.69,99516,168921292.18,3.26,-2.16,-0.37,1.0
2025-01-07,002389,16.82,16.96,17.02,16.66,83104,140401115.6,2.14,1.01,0.17,0.84
2025-01-08,002389,16.9,16.67,16.9,16.25,120056,199806741.0,3.83,-1.71,-0.29,1.21
2025-01-09,002389,16.68,17.22,17.31,16.65,150329,257661430.8,3.96,3.3,0.55,1.52
2025-01-10,002389,16.93,16.78,17.3,16.77,96102,164374487.5,3.08,-2.56,-0.44,0.97
2025-01-13,002389,16.6,16.87,16.94,16.38,70005,117460935.92,3.34,0.54,0.09,0.71
2025-01-14,002389,16.86,17.68,17.73,16.84,136289,238196516.69,5.28,4.8,0.81,1.38
2025-01-15,002389,17.68,17.73,18.31,17.41,189925,340771612.22,5.09,0.28,0.05,1.92
2025-01-16,002389,17.74,17.55,18.05,17.44,115749,205488740.0,3.44,-1.02,-0.18,1.17
2025-01-17,002389,17.44,17.69,17.88,17.39,81513,144303266.4,2.79,0.8,0.14,0.82
2025-01-20,002389,17.7,17.67,17.91,17.54,75041,133262977.0,2.09,-0.11,-0.02,0.76
2025-01-21,002389,17.71,17.5,17.76,17.28,78890,138124734.23,2.72,-0.96,-0.17,0.8
2025-01-22,002389,17.43,17.55,17.87,17.38,90682,160384968.4,2.8,0.29,0.05,0.92
2025-01-23,002389,17.77,17.31,17.94,17.31,104518,184862852.0,3.59,-1.37,-0.24,1.05
2025-01-24,002389,17.34,17.37,17.49,17.23,92439,161086010.34,1.5,0.35,0.06,0.93
2025-01-27,002389,17.37,17.07,17.55,16.94,66828,115559572.0,3.51,-1.73,-0.3,0.67
2025-02-05,002389,17.33,17.25,17.33,17.08,85967,148349923.43,1.46,1.05,0.18,0.87
2025-02-06,002389,17.25,17.81,17.82,17.12,130422,230473554.09,4.06,3.25,0.56,1.32
