日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002397,3.23,3.23,3.23,3.23,105921,34212483.0,0.0,9.86,0.29,1.73
2025-01-03,002397,3.55,3.55,3.55,3.46,678282,240701237.33,2.79,9.91,0.32,11.07
2025-01-06,002397,3.44,3.76,3.91,3.2,1977786,717374498.58,20.0,5.92,0.21,32.28
2025-01-07,002397,3.74,4.14,4.14,3.73,1248940,492507790.27,10.9,10.11,0.38,20.39
2025-01-08,002397,4.11,4.02,4.46,3.73,2157078,847520702.65,17.63,-2.9,-0.12,35.21
2025-01-09,002397,3.86,3.76,4.04,3.62,1587419,603090938.62,10.45,-6.47,-0.26,25.91
2025-01-10,002397,3.59,3.38,3.65,3.38,840595,286978703.22,7.18,-10.11,-0.38,13.72
2025-01-13,002397,3.11,3.04,3.38,3.04,1126736,350343004.24,10.06,-10.06,-0.34,18.39
2025-01-14,002397,2.96,3.15,3.25,2.96,1052752,326992347.74,9.54,3.62,0.11,17.18
2025-01-15,002397,3.14,3.11,3.19,3.0,916192,282846081.53,6.03,-1.27,-0.04,14.95
2025-01-16,002397,3.1,3.12,3.25,3.07,665751,209628951.7,5.79,0.32,0.01,10.87
2025-01-17,002397,3.11,3.01,3.11,2.99,504296,152132688.74,3.85,-3.53,-0.11,8.23
2025-01-20,002397,3.04,3.31,3.31,2.98,847879,267091266.02,10.96,9.97,0.3,13.84
2025-01-21,002397,3.3,3.32,3.53,3.27,1086038,366235458.1,7.85,0.3,0.01,17.73
2025-01-22,002397,3.29,3.16,3.3,3.13,610067,194929232.16,5.12,-4.82,-0.16,9.96
2025-01-23,002397,3.21,3.13,3.29,3.13,494921,158462226.44,5.06,-0.95,-0.03,8.08
2025-01-24,002397,3.15,3.24,3.3,3.11,441992,141983046.56,6.07,3.51,0.11,7.21
2025-01-27,002397,3.23,3.09,3.25,3.09,290368,91382407.0,4.94,-4.63,-0.15,4.74
2025-02-05,002397,3.15,3.1,3.15,3.07,207611,64343125.92,2.59,0.32,0.01,3.39
2025-02-06,002397,3.1,3.15,3.15,3.01,300602,92733918.0,4.52,1.61,0.05,4.91
2025-02-07,002397,3.13,3.2,3.28,3.1,410042,130747779.32,5.71,1.59,0.05,6.69
2025-02-10,002397,3.2,3.52,3.52,3.2,954271,329433363.16,10.0,10.0,0.32,15.58
2025-02-11,002397,3.52,3.87,3.87,3.5,895230,326973690.64,10.51,9.94,0.35,14.61
2025-02-12,002397,3.84,3.75,3.95,3.67,965900,365746766.82,7.24,-3.1,-0.12,15.77
2025-02-13,002397,3.73,3.63,3.75,3.59,589223,215025631.42,4.27,-3.2,-0.12,9.62
2025-02-14,002397,3.63,3.68,3.8,3.58,554582,203671586.28,6.06,1.38,0.05,9.05
