日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002406,6.26,6.05,6.33,5.97,197408,124731851.34,5.71,-3.97,-0.25,3.28
2025-01-03,002406,6.07,5.76,6.12,5.75,182408,109848270.8,6.12,-4.79,-0.29,3.03
2025-01-06,002406,5.75,5.76,5.84,5.57,124124,73072069.0,4.69,0.0,0.0,2.06
2025-01-07,002406,5.78,5.94,5.94,5.77,107874,64722022.54,2.95,3.13,0.18,1.79
2025-01-08,002406,5.88,5.88,5.92,5.67,149581,89257673.6,4.21,-1.01,-0.06,2.48
2025-01-09,002406,5.87,5.95,6.01,5.83,137709,83918471.43,3.06,1.19,0.07,2.29
2025-01-10,002406,5.93,5.8,6.02,5.79,133659,81065059.36,3.87,-2.52,-0.15,2.22
2025-01-13,002406,5.73,5.83,5.85,5.61,102826,60724342.3,4.14,0.52,0.03,1.71
2025-01-14,002406,5.86,6.12,6.13,5.85,174665,108152192.0,4.8,4.97,0.29,2.9
2025-01-15,002406,6.15,6.07,6.16,6.05,109178,68169458.0,1.8,-0.82,-0.05,1.81
2025-01-16,002406,6.12,6.14,6.25,6.06,138637,87325437.92,3.13,1.15,0.07,2.3
2025-01-17,002406,6.09,6.1,6.15,6.03,84775,53003098.0,1.95,-0.65,-0.04,1.41
2025-01-20,002406,6.15,6.16,6.2,6.1,110961,70045046.0,1.64,0.98,0.06,1.84
2025-01-21,002406,6.2,6.14,6.21,6.07,89550,56198478.0,2.27,-0.32,-0.02,1.49
2025-01-22,002406,6.1,6.09,6.13,6.06,79333,49492853.75,1.14,-0.81,-0.05,1.32
2025-01-23,002406,6.15,6.08,6.23,6.08,120456,76008518.75,2.46,-0.16,-0.01,2.0
2025-01-24,002406,6.06,6.13,6.14,6.06,94317,59037143.8,1.32,0.82,0.05,1.57
2025-01-27,002406,6.14,6.03,6.2,6.02,100949,63134560.0,2.94,-1.63,-0.1,1.68
2025-02-05,002406,6.11,6.39,6.65,6.07,628354,414477052.24,9.62,5.97,0.36,10.43
2025-02-06,002406,6.3,6.7,6.71,6.3,662938,444357158.53,6.42,4.85,0.31,11.01
2025-02-07,002406,6.67,6.88,7.05,6.65,717632,502181992.71,5.97,2.69,0.18,11.92
2025-02-10,002406,6.88,6.81,6.94,6.68,412596,286543454.0,3.78,-1.02,-0.07,6.85
2025-02-11,002406,6.81,6.76,7.04,6.7,398150,277451224.52,4.99,-0.73,-0.05,6.61
2025-02-12,002406,6.7,6.74,6.82,6.66,359244,247755447.0,2.37,-0.3,-0.02,5.97
2025-02-13,002406,6.76,6.83,6.93,6.57,532660,369218037.02,5.34,1.34,0.09,8.85
2025-02-14,002406,6.79,7.02,7.12,6.7,681191,480350245.77,6.15,2.78,0.19,11.31
2025-02-17,002406,7.03,7.02,7.2,6.93,673134,484599480.95,3.85,0.0,0.0,11.18
2025-02-18,002406,6.96,6.76,7.05,6.76,413068,291449756.82,4.13,-3.7,-0.26,6.86
2025-02-19,002406,6.76,7.1,7.28,6.76,672240,483516884.47,7.69,5.03,0.34,11.16
2025-02-20,002406,7.1,7.09,7.2,7.0,486267,351732355.82,2.82,-0.14,-0.01,8.07
2025-02-21,002406,7.08,7.07,7.15,7.0,454459,328055451.16,2.12,-0.28,-0.02,7.55
2025-02-24,002406,7.05,7.16,7.22,7.0,507681,369605308.88,3.11,1.27,0.09,8.43
2025-02-25,002406,7.06,7.0,7.14,6.97,363220,261149737.58,2.37,-2.23,-0.16,6.03
2025-02-26,002406,7.0,7.11,7.2,6.99,378670,274656207.5,3.0,1.57,0.11,6.29
2025-02-27,002406,7.15,7.84,7.84,7.15,552313,438546565.98,9.7,10.27,0.73,9.17
2025-02-28,002406,8.23,7.41,8.43,7.41,1905915,1540405625.89,13.01,-5.48,-0.43,31.65
2025-03-03,002406,7.38,6.84,7.57,6.74,1174488,844881884.47,11.2,-7.69,-0.57,19.5
2025-03-04,002406,6.73,7.01,7.06,6.73,696831,494510647.28,4.82,2.49,0.17,11.57
2025-03-05,002406,6.99,7.01,7.04,6.87,456781,324645149.0,2.43,0.0,0.0,7.59
2025-03-06,002406,6.99,7.07,7.15,6.95,499083,360630376.72,2.85,0.86,0.06,8.29
2025-03-07,002406,7.02,6.98,7.15,6.9,447136,319967031.65,3.54,-1.27,-0.09,7.42
2025-03-10,002406,7.02,6.93,7.03,6.88,298438,211356453.46,2.15,-0.72,-0.05,4.96
2025-03-11,002406,6.82,6.91,6.91,6.79,291044,203634154.0,1.73,-0.29,-0.02,4.83
2025-03-12,002406,6.95,7.62,7.62,6.95,539324,412821644.01,9.7,10.27,0.71,8.96
2025-03-13,002406,7.57,7.33,7.7,7.21,1141646,860919976.65,6.43,-3.81,-0.29,18.96
2025-03-14,002406,7.33,7.35,7.38,7.16,581165,431724463.98,3.0,0.27,0.02,9.65
2025-03-17,002406,7.5,7.63,7.78,7.38,892897,691479208.35,5.44,3.81,0.28,14.83
2025-03-18,002406,7.65,8.02,8.02,7.65,1108772,887799417.86,4.85,5.11,0.39,18.41
2025-03-19,002406,8.02,8.84,8.84,7.8,1789640,1557871516.79,12.97,10.22,0.82,29.72
2025-03-20,002406,9.35,9.74,9.74,9.34,447644,436349441.22,4.52,10.18,0.9,7.43
2025-03-21,002406,10.73,10.73,10.73,10.03,3413554,3643606182.42,7.19,10.16,0.99,56.68
2025-03-24,002406,10.25,9.64,10.37,9.64,594183,594377316.9,6.8,-10.16,-1.09,9.87
2025-03-25,002406,8.92,8.66,9.3,8.66,1593467,1430909598.52,6.64,-10.17,-0.98,26.46
2025-03-26,002406,8.07,8.19,8.63,7.98,1753343,1467957485.76,7.51,-5.43,-0.47,29.12
2025-03-27,002406,8.25,7.74,8.32,7.74,1285950,1038559997.16,7.08,-5.49,-0.45,21.35
2025-03-28,002406,7.69,7.78,8.13,7.68,996711,799817285.67,5.81,0.52,0.04,16.55
2025-03-31,002406,7.62,7.51,7.71,7.27,904530,685783558.42,5.66,-3.47,-0.27,15.02
2025-04-01,002406,7.52,7.47,7.65,7.42,598466,459845484.23,3.06,-0.53,-0.04,9.94
2025-04-02,002406,7.5,7.47,7.59,7.4,527909,404522272.67,2.54,0.0,0.0,8.77
2025-04-03,002406,7.34,7.24,7.48,7.19,542295,404389383.1,3.88,-3.08,-0.23,9.01
2025-04-07,002406,6.64,6.5,6.77,6.5,219303,147437273.81,3.73,-10.22,-0.74,3.64
2025-04-08,002406,6.18,6.05,6.34,5.87,850325,529818293.75,7.23,-6.92,-0.45,14.12
2025-04-09,002406,6.1,6.38,6.48,5.58,875166,548405453.8,14.88,5.45,0.33,14.53
2025-04-10,002406,6.5,6.5,6.69,6.45,710541,476519986.48,3.76,1.88,0.12,11.8
2025-04-11,002406,6.4,6.6,6.66,6.38,576134,387167389.0,4.31,1.54,0.1,9.57
2025-04-14,002406,6.7,6.73,6.84,6.68,500687,346378831.22,2.42,1.97,0.13,8.31
2025-04-15,002406,6.75,6.77,6.83,6.65,441868,305215332.0,2.67,0.59,0.04,7.34
2025-04-16,002406,6.71,6.57,6.79,6.46,453801,306172754.0,4.87,-2.95,-0.2,7.54
2025-04-17,002406,6.5,6.53,6.65,6.48,291917,196514360.0,2.59,-0.61,-0.04,4.85
2025-04-18,002406,6.51,6.56,6.61,6.42,270600,180275988.5,2.91,0.46,0.03,4.49
2025-04-21,002406,6.53,6.7,6.72,6.48,309880,209844242.0,3.66,2.13,0.14,5.15
2025-04-22,002406,6.67,6.68,6.74,6.61,299313,204183301.06,1.94,-0.3,-0.02,4.97
2025-04-23,002406,6.72,7.02,7.12,6.72,983818,701414221.51,5.99,5.09,0.34,16.34
2025-04-24,002406,7.01,6.83,7.07,6.83,609536,431971460.0,3.42,-2.71,-0.19,10.12
2025-04-25,002406,6.86,6.87,6.97,6.77,414584,291145500.78,2.93,0.59,0.04,6.88
2025-04-28,002406,6.86,6.66,6.87,6.65,335843,230687664.0,3.2,-3.06,-0.21,5.58
2025-04-29,002406,6.65,6.79,6.83,6.64,298597,206796056.45,2.85,1.95,0.13,4.96
2025-04-30,002406,6.86,7.11,7.17,6.84,570971,410420952.0,4.86,4.71,0.32,9.48
2025-05-06,002406,7.27,7.42,7.42,7.15,690248,515193292.85,3.8,4.36,0.31,11.46
2025-05-07,002406,7.53,7.61,7.73,7.36,1069885,822867961.52,4.99,2.56,0.19,17.77
2025-05-08,002406,7.51,7.64,7.88,7.46,873978,685865900.39,5.52,0.39,0.03,14.51
2025-05-09,002406,7.64,7.48,7.73,7.42,582777,446834778.65,4.06,-2.09,-0.16,9.68
2025-05-12,002406,7.62,7.79,8.08,7.62,789124,628903625.76,6.15,4.14,0.31,13.1
2025-05-13,002406,7.87,7.62,7.93,7.6,547621,429686206.32,4.24,-2.18,-0.17,9.09
2025-05-14,002406,7.56,7.6,7.73,7.54,420049,326136296.0,2.49,-0.26,-0.02,6.98
2025-05-15,002406,7.68,7.53,7.72,7.48,515781,398842057.0,3.16,-0.92,-0.07,8.56
2025-05-16,002406,7.47,7.65,7.71,7.46,495722,385763413.25,3.32,1.59,0.12,8.23
2025-05-19,002406,7.8,8.1,8.27,7.46,1316642,1064887991.01,10.59,5.88,0.45,21.86
2025-05-20,002406,8.06,7.96,8.1,7.83,812510,659168770.1,3.33,-1.73,-0.14,13.49
2025-05-21,002406,7.93,7.71,7.94,7.7,542457,429670069.0,3.02,-3.14,-0.25,9.01
2025-05-22,002406,7.63,7.56,7.76,7.53,400685,311737127.62,2.98,-1.95,-0.15,6.65
