日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002418,2.48,2.68,2.68,2.48,1541484,409559865.08,8.2,9.84,0.24,13.56
2025-01-03,002418,2.64,2.53,2.77,2.52,1687611,446068540.5,9.33,-5.6,-0.15,14.85
2025-01-06,002418,2.57,2.78,2.78,2.52,652432,175784116.04,10.28,9.88,0.25,5.74
2025-01-07,002418,2.86,3.06,3.06,2.83,1357438,403158890.46,8.27,10.07,0.28,11.95
2025-01-08,002418,3.37,3.37,3.37,3.03,2967684,966193502.56,11.11,10.13,0.31,26.11
2025-01-09,002418,3.71,3.71,3.71,3.71,1321872,490414660.4,0.0,10.09,0.34,11.63
2025-01-10,002418,3.96,3.4,4.08,3.34,4485833,1692542157.38,19.95,-8.36,-0.31,39.47
2025-01-13,002418,3.46,3.74,3.74,3.06,3333177,1131350577.26,20.0,10.0,0.34,29.33
2025-01-14,002418,3.9,4.11,4.11,3.82,1294383,520855454.37,7.75,9.89,0.37,11.39
2025-01-15,002418,4.3,3.86,4.51,3.8,4757851,1987791525.74,17.27,-6.08,-0.25,41.87
2025-01-16,002418,3.75,4.05,4.25,3.75,4472975,1846463363.8,12.95,4.92,0.19,39.36
2025-01-17,002418,3.7,3.65,4.09,3.65,3703773,1386183154.95,10.86,-9.88,-0.4,32.59
2025-01-20,002418,3.54,3.44,3.76,3.31,2868525,1006175346.39,12.33,-5.75,-0.21,25.24
2025-01-21,002418,3.4,3.16,3.44,3.1,2571439,828417858.33,9.88,-8.14,-0.28,22.63
2025-01-22,002418,3.08,3.09,3.23,2.98,1642533,508906260.21,7.91,-2.22,-0.07,14.45
2025-01-23,002418,3.15,3.05,3.22,2.98,1747275,540894013.13,7.77,-1.29,-0.04,15.38
2025-01-24,002418,3.02,2.96,3.02,2.91,1346744,397477007.0,3.61,-2.95,-0.09,11.85
2025-01-27,002418,2.95,2.81,3.01,2.8,1011706,290946200.27,7.09,-5.07,-0.15,8.9
2025-02-05,002418,2.83,2.88,2.89,2.81,841962,240620471.85,2.85,2.49,0.07,7.41
2025-02-06,002418,2.87,2.91,2.91,2.82,1000610,287873216.6,3.13,1.04,0.03,8.81
2025-02-07,002418,2.91,2.96,3.02,2.9,1165004,344600116.0,4.12,1.72,0.05,10.25
2025-02-10,002418,2.96,3.08,3.09,2.96,1461462,443473874.18,4.39,4.05,0.12,12.86
2025-02-11,002418,3.08,3.12,3.24,3.0,1649772,511388444.36,7.79,1.3,0.04,14.52
2025-02-12,002418,3.18,3.43,3.43,3.16,1279401,423533121.29,8.65,9.94,0.31,11.26
2025-02-13,002418,3.55,3.77,3.77,3.5,2911091,1053034346.7,7.87,9.91,0.34,25.62
2025-02-14,002418,3.83,3.56,3.83,3.51,2758159,997413185.33,8.49,-5.57,-0.21,24.27
2025-02-17,002418,3.58,3.61,3.76,3.54,2158770,784013073.57,6.18,1.4,0.05,19.0
2025-02-18,002418,3.63,3.28,3.65,3.27,2027788,692287550.95,10.53,-9.14,-0.33,17.84
2025-02-19,002418,3.34,3.37,3.42,3.31,1245712,418764713.92,3.35,2.74,0.09,10.96
2025-02-20,002418,3.38,3.41,3.48,3.37,1450075,494439165.95,3.26,1.19,0.04,12.76
2025-02-21,002418,3.48,3.67,3.75,3.47,3481064,1276524968.71,8.21,7.62,0.26,30.63
2025-02-24,002418,3.67,3.69,3.81,3.61,2972391,1106110270.58,5.45,0.54,0.02,26.16
2025-02-25,002418,3.63,3.74,3.84,3.61,1937786,725060488.08,6.23,1.36,0.05,17.05
2025-02-26,002418,3.74,3.73,3.78,3.65,1318899,487646823.08,3.48,-0.27,-0.01,11.61
2025-02-27,002418,3.74,3.63,3.79,3.55,1270223,465920964.8,6.43,-2.68,-0.1,11.18
2025-02-28,002418,3.6,3.37,3.67,3.36,1054083,365435961.64,8.54,-7.16,-0.26,9.28
2025-03-03,002418,3.43,3.34,3.45,3.3,640541,215453759.0,4.45,-0.89,-0.03,5.64
2025-03-04,002418,3.31,3.41,3.42,3.28,818323,274455660.0,4.19,2.1,0.07,7.2
2025-03-05,002418,3.59,3.75,3.75,3.58,741983,277324209.0,4.99,9.97,0.34,6.53
2025-03-06,002418,3.78,4.0,4.13,3.75,3809527,1493517739.64,10.13,6.67,0.25,33.52
2025-03-07,002418,3.79,3.76,3.9,3.72,2027010,769946686.62,4.5,-6.0,-0.24,17.84
2025-03-10,002418,3.84,3.84,3.86,3.66,1314525,496414039.61,5.32,2.13,0.08,11.57
2025-03-11,002418,3.75,3.87,3.87,3.7,1174986,450437615.0,4.43,0.78,0.03,10.34
2025-03-12,002418,3.93,3.84,4.05,3.83,1884669,740586017.4,5.68,-0.78,-0.03,16.58
2025-03-13,002418,3.82,3.77,3.92,3.7,1289498,490735977.43,5.73,-1.82,-0.07,11.35
2025-03-14,002418,3.78,3.78,3.79,3.62,1090317,406631175.6,4.51,0.27,0.01,9.59
