日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002424,3.81,3.79,3.93,3.76,208950,80571171.0,4.42,-1.56,-0.06,1.72
2025-01-03,002424,3.81,3.81,3.95,3.71,237201,91201313.28,6.33,0.53,0.02,1.96
2025-01-06,002424,3.75,3.85,3.91,3.75,237428,91322700.76,4.2,1.05,0.04,1.96
2025-01-07,002424,3.83,3.8,3.84,3.75,191769,72511698.1,2.34,-1.3,-0.05,1.58
2025-01-08,002424,3.78,3.72,3.8,3.66,171431,63905720.16,3.68,-2.11,-0.08,1.41
2025-01-09,002424,3.69,3.69,3.73,3.67,103120,38139131.0,1.61,-0.81,-0.03,0.85
2025-01-10,002424,3.67,3.63,3.72,3.63,101659,37371423.22,2.44,-1.63,-0.06,0.84
2025-01-13,002424,3.6,3.54,3.6,3.5,125314,44519433.0,2.75,-2.48,-0.09,1.03
2025-01-14,002424,3.55,3.66,3.7,3.55,141003,50994281.0,4.24,3.39,0.12,1.16
2025-01-15,002424,3.65,3.64,3.69,3.63,95366,34848450.0,1.64,-0.55,-0.02,0.79
2025-01-16,002424,3.82,3.82,3.82,3.82,84888,32427216.0,0.0,4.95,0.18,0.7
2025-01-17,002424,3.81,3.88,3.93,3.74,315690,121283319.0,4.97,1.57,0.06,2.6
2025-01-20,002424,3.89,3.86,3.94,3.85,180557,70184166.37,2.32,-0.52,-0.02,1.49
2025-01-21,002424,3.89,3.89,3.92,3.84,118638,46012086.0,2.07,0.78,0.03,0.98
2025-01-22,002424,3.87,3.82,3.88,3.8,120623,46248359.0,2.06,-1.8,-0.07,0.99
2025-01-23,002424,3.85,3.83,3.88,3.82,104263,40088809.04,1.57,0.26,0.01,0.86
2025-01-24,002424,3.82,3.83,3.83,3.79,92163,35130802.76,1.04,0.0,0.0,0.76
2025-01-27,002424,3.89,3.89,3.97,3.88,222911,87370744.8,2.35,1.57,0.06,1.84
2025-02-05,002424,3.89,3.91,3.92,3.84,128650,50111879.5,2.06,0.51,0.02,1.06
2025-02-06,002424,3.9,4.01,4.06,3.89,216138,86277894.95,4.35,2.56,0.1,1.78
2025-02-07,002424,4.0,4.0,4.03,3.98,211758,84861835.0,1.25,-0.25,-0.01,1.75
2025-02-10,002424,3.99,4.04,4.07,3.98,184440,74269670.09,2.25,1.0,0.04,1.52
2025-02-11,002424,4.02,3.98,4.03,3.95,160342,63871466.0,1.98,-1.49,-0.06,1.32
2025-02-12,002424,3.98,3.97,3.99,3.94,126304,50001908.0,1.26,-0.25,-0.01,1.04
2025-02-13,002424,3.97,3.94,3.98,3.94,111951,44335401.62,1.01,-0.76,-0.03,0.92
2025-02-14,002424,3.94,3.95,3.96,3.92,123642,48723285.79,1.02,0.25,0.01,1.02
2025-02-17,002424,3.94,3.91,3.95,3.89,165564,64834497.0,1.52,-1.01,-0.04,1.36
2025-02-18,002424,3.92,3.85,3.97,3.84,202191,78964081.93,3.32,-1.53,-0.06,1.67
2025-02-19,002424,3.85,3.87,3.88,3.82,116074,44794943.01,1.56,0.52,0.02,0.96
2025-02-20,002424,3.86,3.92,3.95,3.86,113400,44385013.1,2.33,1.29,0.05,0.93
2025-02-21,002424,3.91,3.87,3.92,3.86,152622,59126865.0,1.53,-1.28,-0.05,1.26
2025-02-24,002424,3.87,3.96,4.02,3.84,264379,103625777.0,4.65,2.33,0.09,2.18
2025-02-25,002424,3.93,3.94,3.98,3.91,150753,59327574.08,1.77,-0.51,-0.02,1.24
2025-02-26,002424,3.95,3.96,3.97,3.94,116302,45952008.92,0.76,0.51,0.02,0.96
2025-02-27,002424,3.95,3.96,3.98,3.94,142549,56396608.9,1.01,0.0,0.0,1.17
2025-02-28,002424,3.95,3.91,3.98,3.91,170849,67452743.0,1.77,-1.26,-0.05,1.41
2025-03-03,002424,3.89,3.87,3.93,3.85,160031,62213740.0,2.05,-1.02,-0.04,1.32
2025-03-04,002424,3.87,3.88,3.89,3.85,88457,34227869.0,1.03,0.26,0.01,0.73
2025-03-05,002424,3.89,3.84,3.89,3.82,135466,52044610.89,1.8,-1.03,-0.04,1.12
2025-03-06,002424,3.84,3.87,3.87,3.83,99050,38204455.16,1.04,0.78,0.03,0.82
2025-03-07,002424,3.86,3.86,3.9,3.85,136873,53022191.61,1.29,-0.26,-0.01,1.13
2025-03-10,002424,3.85,3.87,3.9,3.84,120073,46440793.0,1.55,0.26,0.01,0.99
2025-03-11,002424,3.84,3.87,3.87,3.83,102193,39301708.0,1.03,0.0,0.0,0.84
2025-03-12,002424,3.86,3.95,3.97,3.85,217891,85029535.01,3.1,2.07,0.08,1.8
2025-03-13,002424,3.94,3.89,3.94,3.87,149141,58251097.0,1.77,-1.52,-0.06,1.23
2025-03-14,002424,3.89,3.95,3.98,3.88,178699,70517542.8,2.57,1.54,0.06,1.47
2025-03-17,002424,3.94,3.97,3.99,3.93,152703,60581394.28,1.52,0.51,0.02,1.26
2025-03-18,002424,3.97,4.14,4.17,3.95,621662,256271847.08,5.54,4.28,0.17,5.12
2025-03-19,002424,4.08,4.05,4.13,4.04,386512,157576159.75,2.17,-2.17,-0.09,3.19
2025-03-20,002424,4.08,4.25,4.25,4.08,603925,255040625.51,4.2,4.94,0.2,4.98
2025-03-21,002424,4.3,4.25,4.46,4.22,756637,328762783.81,5.65,0.0,0.0,6.24
2025-03-24,002424,4.18,4.07,4.23,4.04,516034,211533828.1,4.47,-4.24,-0.18,4.25
2025-03-25,002424,4.09,4.27,4.27,4.07,340924,143353737.0,4.91,4.91,0.2,2.81
2025-03-26,002424,4.3,4.48,4.48,4.23,678043,297150565.13,5.85,4.92,0.21,5.59
2025-03-27,002424,4.41,4.45,4.69,4.37,673563,304009362.74,7.14,-0.67,-0.03,5.55
