日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002431,2.1,2.08,2.14,2.05,268614,56292629.3,4.31,-0.48,-0.01,1.48
2025-01-03,002431,2.08,1.94,2.12,1.94,376147,75108386.99,8.65,-6.73,-0.14,2.07
2025-01-06,002431,1.94,1.95,1.99,1.86,288464,55775521.52,6.7,0.52,0.01,1.59
2025-01-07,002431,1.96,2.0,2.01,1.93,222637,43575697.13,4.1,2.56,0.05,1.23
2025-01-08,002431,2.0,2.01,2.02,1.93,320035,63455312.81,4.5,0.5,0.01,1.77
2025-01-09,002431,2.0,2.03,2.05,1.98,270804,54656166.94,3.48,1.0,0.02,1.49
2025-01-10,002431,2.04,1.95,2.04,1.95,272824,54110883.95,4.43,-3.94,-0.08,1.5
2025-01-13,002431,1.9,1.94,1.95,1.88,191997,36787361.92,3.59,-0.51,-0.01,1.06
2025-01-14,002431,1.96,2.04,2.04,1.94,261396,52318237.85,5.15,5.15,0.1,1.44
2025-01-15,002431,2.07,2.09,2.1,2.02,307379,63446992.01,3.92,2.45,0.05,1.7
2025-01-16,002431,2.13,2.1,2.14,2.06,277615,58349185.35,3.83,0.48,0.01,1.53
2025-01-17,002431,2.08,2.03,2.08,2.03,217388,44485886.83,2.38,-3.33,-0.07,1.2
2025-01-20,002431,2.05,2.03,2.06,1.99,158616,32150320.97,3.45,0.0,0.0,0.87
2025-01-21,002431,2.04,1.99,2.05,1.98,175147,35075468.94,3.45,-1.97,-0.04,0.97
2025-01-22,002431,1.94,1.94,1.97,1.92,170435,33107962.0,2.51,-2.51,-0.05,0.94
2025-01-23,002431,1.96,1.94,2.01,1.94,220391,43446345.0,3.61,0.0,0.0,1.22
2025-01-24,002431,1.94,1.93,1.95,1.91,149006,28686317.01,2.06,-0.52,-0.01,0.82
2025-01-27,002431,1.94,1.93,2.0,1.93,179467,35177671.0,3.63,0.0,0.0,0.99
2025-02-05,002431,1.94,1.96,1.99,1.93,152419,29976776.02,3.11,1.55,0.03,0.84
2025-02-06,002431,1.99,1.99,1.99,1.93,213548,42086653.09,3.06,1.53,0.03,1.18
2025-02-07,002431,1.98,2.05,2.06,1.97,269522,54887822.98,4.52,3.02,0.06,1.49
2025-02-10,002431,2.06,2.11,2.12,2.06,247612,51779989.68,2.93,2.93,0.06,1.37
2025-02-11,002431,2.13,2.08,2.14,2.06,216355,44986938.18,3.79,-1.42,-0.03,1.19
2025-02-12,002431,2.09,2.09,2.12,2.04,204587,42471926.5,3.85,0.48,0.01,1.13
2025-02-13,002431,2.09,2.12,2.14,2.08,308008,65145325.83,2.87,1.44,0.03,1.7
2025-02-14,002431,2.11,2.08,2.13,2.07,219449,45857075.76,2.83,-1.89,-0.04,1.21
2025-02-17,002431,2.07,2.16,2.18,2.06,373850,79766202.14,5.77,3.85,0.08,2.06
2025-02-18,002431,2.17,2.07,2.17,2.06,291294,61215003.1,5.09,-4.17,-0.09,1.61
2025-02-19,002431,2.08,2.08,2.1,2.06,183153,38053572.0,1.93,0.48,0.01,1.01
2025-02-20,002431,2.09,2.08,2.1,2.04,208233,43091555.01,2.88,0.0,0.0,1.15
2025-02-21,002431,2.08,2.04,2.08,2.01,218527,44495719.0,3.37,-1.92,-0.04,1.21
2025-02-24,002431,2.06,2.15,2.24,2.06,695497,150763469.73,8.82,5.39,0.11,3.84
2025-02-25,002431,2.1,2.08,2.14,2.06,471644,99241210.4,3.72,-3.26,-0.07,2.6
2025-02-26,002431,2.12,2.13,2.18,2.1,394496,84193620.4,3.85,2.4,0.05,2.18
