日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002471,2.73,2.68,2.78,2.65,348559,94303842.0,4.76,-1.83,-0.05,2.67
2025-01-03,002471,2.68,2.53,2.7,2.52,363852,94388457.54,6.72,-5.6,-0.15,2.79
2025-01-06,002471,2.52,2.52,2.54,2.43,224531,56080571.5,4.35,-0.4,-0.01,1.72
2025-01-07,002471,2.52,2.62,2.62,2.51,286367,73681100.0,4.37,3.97,0.1,2.19
2025-01-08,002471,2.6,2.65,2.67,2.52,390739,101061482.0,5.73,1.15,0.03,2.99
2025-01-09,002471,2.63,2.63,2.67,2.61,180440,47622499.0,2.26,-0.75,-0.02,1.38
2025-01-10,002471,2.64,2.53,2.66,2.53,237304,61473953.0,4.94,-3.8,-0.1,1.82
2025-01-13,002471,2.51,2.5,2.51,2.41,226457,55850760.0,3.95,-1.19,-0.03,1.74
2025-01-14,002471,2.51,2.62,2.62,2.49,252195,64997113.5,5.2,4.8,0.12,1.93
2025-01-15,002471,2.62,2.6,2.64,2.57,201486,52473730.5,2.67,-0.76,-0.02,1.54
2025-01-16,002471,2.63,2.62,2.67,2.59,201720,53080881.0,3.08,0.77,0.02,1.55
2025-01-17,002471,2.61,2.59,2.62,2.57,151080,39160195.0,1.91,-1.15,-0.03,1.16
2025-01-20,002471,2.6,2.59,2.63,2.56,174746,45532978.0,2.7,0.0,0.0,1.34
2025-01-21,002471,2.63,2.58,2.66,2.56,264414,68639234.61,3.86,-0.39,-0.01,2.03
2025-01-22,002471,2.56,2.55,2.57,2.54,130307,33270838.0,1.16,-1.16,-0.03,1.0
2025-01-23,002471,2.57,2.57,2.66,2.57,251918,65673785.5,3.53,0.78,0.02,1.93
2025-01-24,002471,2.55,2.53,2.56,2.53,272125,69198552.0,1.17,-1.56,-0.04,2.09
2025-01-27,002471,2.54,2.47,2.56,2.45,252090,63061575.63,4.35,-2.37,-0.06,1.93
2025-02-05,002471,2.5,2.54,2.55,2.47,191900,48222647.12,3.24,2.83,0.07,1.47
2025-02-06,002471,2.53,2.62,2.62,2.51,251653,65164257.73,4.33,3.15,0.08,1.93
2025-02-07,002471,2.63,2.67,2.69,2.6,282794,74900082.78,3.44,1.91,0.05,2.17
2025-02-10,002471,2.68,2.7,2.7,2.66,215630,57823271.84,1.5,1.12,0.03,1.65
2025-02-11,002471,2.7,2.65,2.71,2.62,196249,51951762.55,3.33,-1.85,-0.05,1.5
2025-02-12,002471,2.64,2.65,2.67,2.61,187984,49547920.0,2.26,0.0,0.0,1.44
2025-02-13,002471,2.65,2.62,2.66,2.6,222742,58410711.0,2.26,-1.13,-0.03,1.71
2025-02-14,002471,2.61,2.55,2.63,2.54,269853,69571466.5,3.44,-2.67,-0.07,2.07
2025-02-17,002471,2.55,2.64,2.67,2.55,323291,84459670.85,4.71,3.53,0.09,2.48
2025-02-18,002471,2.65,2.56,2.65,2.56,227713,59295024.0,3.41,-3.03,-0.08,1.74
2025-02-19,002471,2.58,2.61,2.62,2.57,194562,50603985.0,1.95,1.95,0.05,1.49
2025-02-20,002471,2.61,2.63,2.64,2.58,202908,53136696.47,2.3,0.77,0.02,1.55
2025-02-21,002471,2.64,2.63,2.64,2.59,233447,61114476.0,1.9,0.0,0.0,1.79
2025-02-24,002471,2.64,2.67,2.69,2.61,329954,87644625.8,3.04,1.52,0.04,2.53
2025-02-25,002471,2.66,2.63,2.67,2.62,229973,60633781.0,1.87,-1.5,-0.04,1.76
2025-02-26,002471,2.64,2.75,2.75,2.62,520258,140233412.1,4.94,4.56,0.12,3.99
2025-02-27,002471,2.77,2.69,2.78,2.65,397996,107472376.0,4.73,-2.18,-0.06,3.05
2025-02-28,002471,2.7,2.68,2.79,2.64,583139,158267643.94,5.58,-0.37,-0.01,4.47
2025-03-03,002471,2.69,2.61,2.7,2.59,427985,113265061.56,4.1,-2.61,-0.07,3.28
2025-03-04,002471,2.58,2.66,2.66,2.58,260209,68418333.9,3.07,1.92,0.05,1.99
2025-03-05,002471,2.69,2.64,2.69,2.58,254372,66438567.0,4.14,-0.75,-0.02,1.95
2025-03-06,002471,2.64,2.7,2.71,2.62,414578,110996015.41,3.41,2.27,0.06,3.18
2025-03-07,002471,2.69,2.66,2.7,2.64,282790,75475807.31,2.22,-1.48,-0.04,2.17
2025-03-10,002471,2.67,2.67,2.7,2.65,193915,51759848.5,1.88,0.38,0.01,1.49
2025-03-11,002471,2.63,2.68,2.68,2.62,166356,44191676.6,2.25,0.37,0.01,1.27
2025-03-12,002471,2.68,2.7,2.73,2.66,321637,86682694.08,2.61,0.75,0.02,2.46
2025-03-13,002471,2.7,2.66,2.7,2.62,251440,66628361.7,2.96,-1.48,-0.04,1.93
2025-03-14,002471,2.66,2.71,2.72,2.63,315673,84752020.5,3.38,1.88,0.05,2.42
2025-03-17,002471,2.72,2.8,2.92,2.72,566635,160516055.9,7.38,3.32,0.09,4.34
2025-03-18,002471,2.81,2.81,2.83,2.78,334424,93774342.38,1.79,0.36,0.01,2.56
