日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002474,5.97,5.85,6.1,5.78,201918,119871552.0,5.34,-2.34,-0.14,3.81
2025-01-03,002474,5.89,5.48,5.93,5.45,240657,135240886.49,8.21,-6.32,-0.37,4.54
2025-01-06,002474,5.45,5.36,5.48,5.22,190066,102042325.4,4.74,-2.19,-0.12,3.58
2025-01-07,002474,5.44,5.66,5.66,5.42,223331,123837086.6,4.48,5.6,0.3,4.21
2025-01-08,002474,5.65,5.72,5.78,5.46,249766,140974400.21,5.65,1.06,0.06,4.71
2025-01-09,002474,5.71,5.82,5.87,5.67,186241,108220534.08,3.5,1.75,0.1,3.51
2025-01-10,002474,5.82,5.56,5.88,5.55,171870,98549163.0,5.67,-4.47,-0.26,3.24
2025-01-13,002474,5.35,5.56,5.59,5.25,199768,108887902.24,6.12,0.0,0.0,3.77
2025-01-14,002474,5.65,5.89,5.9,5.6,233211,135241254.0,5.4,5.94,0.33,4.4
2025-01-15,002474,6.0,5.91,6.02,5.84,198429,117696630.0,3.06,0.34,0.02,3.74
2025-01-16,002474,5.96,5.98,6.06,5.92,206072,123337964.0,2.37,1.18,0.07,3.88
2025-01-17,002474,5.95,5.93,5.99,5.87,129341,76606517.0,2.01,-0.84,-0.05,2.44
2025-01-20,002474,6.0,6.0,6.1,5.86,162193,97330389.96,4.05,1.18,0.07,3.06
2025-01-21,002474,6.01,5.94,6.06,5.85,129682,76983734.38,3.5,-1.0,-0.06,2.44
2025-01-22,002474,5.94,5.87,5.94,5.83,109106,64033779.0,1.85,-1.18,-0.07,2.06
2025-01-23,002474,5.95,5.83,6.14,5.81,200234,120006497.56,5.62,-0.68,-0.04,3.77
2025-01-24,002474,5.82,6.03,6.03,5.77,183920,109241545.38,4.46,3.43,0.2,3.47
2025-01-27,002474,6.07,5.92,6.18,5.91,144539,86894915.44,4.48,-1.82,-0.11,2.72
2025-02-05,002474,6.15,6.24,6.32,6.08,349850,217546304.17,4.05,5.41,0.32,6.59
2025-02-06,002474,6.2,6.37,6.38,6.1,319257,200343374.75,4.49,2.08,0.13,6.02
2025-02-07,002474,6.4,6.58,6.67,6.3,408593,265990797.46,5.81,3.3,0.21,7.7
2025-02-10,002474,6.65,6.87,6.87,6.65,521687,353833163.0,3.34,4.41,0.29,9.83
2025-02-11,002474,6.81,6.72,6.84,6.62,392649,263722227.75,3.2,-2.18,-0.15,7.4
2025-02-12,002474,6.68,6.8,6.84,6.65,322251,218506843.6,2.83,1.19,0.08,6.07
2025-02-13,002474,6.76,6.74,6.87,6.6,320042,215409326.9,3.97,-0.88,-0.06,6.03
2025-02-14,002474,6.73,6.92,6.98,6.64,454652,311809647.82,5.04,2.67,0.18,8.57
2025-02-17,002474,7.04,7.07,7.4,6.9,645121,457790739.75,7.23,2.17,0.15,12.16
2025-02-18,002474,7.78,7.78,7.78,7.78,223362,173775698.24,0.0,10.04,0.71,4.21
2025-02-19,002474,8.5,7.84,8.5,7.52,1627437,1306345816.67,12.6,0.77,0.06,30.67
2025-02-20,002474,7.58,7.35,7.77,7.34,1035356,774901057.37,5.48,-6.25,-0.49,19.51
2025-02-21,002474,7.24,8.09,8.09,7.24,957743,739632497.05,11.56,10.07,0.74,18.05
2025-02-24,002474,8.01,7.83,8.01,7.71,1084606,853177698.81,3.71,-3.21,-0.26,20.44
2025-02-25,002474,7.59,8.2,8.61,7.52,1634094,1350232916.1,13.92,4.73,0.37,30.8
2025-02-26,002474,8.04,9.02,9.02,7.92,1143183,976255380.33,13.41,10.0,0.82,21.55
2025-02-27,002474,9.07,8.48,9.43,8.4,1593125,1401173193.94,11.42,-5.99,-0.54,30.03
2025-02-28,002474,8.34,8.2,8.79,8.03,1059201,891645959.58,8.96,-3.3,-0.28,19.96
2025-03-03,002474,8.11,7.63,8.2,7.47,926868,720337966.73,8.9,-6.95,-0.57,17.47
2025-03-04,002474,7.45,7.74,7.95,7.41,535121,413736015.57,7.08,1.44,0.11,10.09
2025-03-05,002474,7.7,7.8,7.83,7.58,504363,388787296.05,3.23,0.78,0.06,9.51
2025-03-06,002474,7.83,8.02,8.12,7.83,732306,585445447.12,3.72,2.82,0.22,13.8
2025-03-07,002474,8.03,7.82,8.25,7.74,661814,530828085.09,6.36,-2.49,-0.2,12.47
2025-03-10,002474,7.75,7.69,7.85,7.6,358900,276521471.0,3.2,-1.66,-0.13,6.76
2025-03-11,002474,7.52,7.64,7.69,7.48,249721,189699068.17,2.73,-0.65,-0.05,4.71
