日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002488,10.43,10.66,10.94,10.27,295365,316078842.5,6.42,2.21,0.23,3.21
2025-01-03,002488,10.66,10.4,10.71,10.16,208252,217074815.7,5.16,-2.44,-0.26,2.26
2025-01-06,002488,10.25,10.34,10.47,10.1,85665,88044722.97,3.56,-0.58,-0.06,0.93
2025-01-07,002488,10.26,10.46,10.51,10.23,129122,134349456.35,2.71,1.16,0.12,1.4
2025-01-08,002488,10.43,10.99,11.03,10.01,368550,387806217.11,9.75,5.07,0.53,4.01
2025-01-09,002488,10.96,10.94,11.13,10.81,213338,234317353.88,2.91,-0.45,-0.05,2.32
2025-01-10,002488,10.89,10.75,11.11,10.7,145183,158126174.0,3.75,-1.74,-0.19,1.58
2025-01-13,002488,10.67,10.67,10.83,10.51,116929,124727575.0,2.98,-0.74,-0.08,1.27
2025-01-14,002488,10.68,11.13,11.14,10.63,180333,197852652.5,4.78,4.31,0.46,1.96
2025-01-15,002488,11.17,11.07,11.17,10.93,105685,116689126.5,2.16,-0.54,-0.06,1.15
2025-01-16,002488,11.17,11.05,11.42,11.02,161617,181734319.33,3.61,-0.18,-0.02,1.76
2025-01-17,002488,11.05,11.21,11.44,10.99,178862,201246160.83,4.07,1.45,0.16,1.94
2025-01-20,002488,11.3,11.44,11.49,11.15,163246,185468329.04,3.03,2.05,0.23,1.77
2025-01-21,002488,11.44,11.55,11.64,11.3,179124,205745647.52,2.97,0.96,0.11,1.95
2025-01-22,002488,11.55,11.47,11.62,11.28,157949,180568143.3,2.94,-0.69,-0.08,1.72
2025-01-23,002488,11.49,11.49,11.97,11.36,197432,230195552.25,5.32,0.17,0.02,2.15
2025-01-24,002488,11.39,11.49,11.63,11.27,139341,159960401.0,3.13,0.0,0.0,1.51
2025-01-27,002488,11.57,11.39,11.66,11.34,80187,92242846.0,2.79,-0.87,-0.1,0.87
2025-02-05,002488,11.44,11.01,11.52,10.88,153939,171171926.92,5.62,-3.34,-0.38,1.67
2025-02-06,002488,10.9,11.05,11.07,10.84,110155,121412580.48,2.09,0.36,0.04,1.2
2025-02-07,002488,11.04,11.06,11.2,10.92,117827,130473708.92,2.53,0.09,0.01,1.28
2025-02-10,002488,11.02,10.95,11.21,10.91,126494,139577313.03,2.71,-0.99,-0.11,1.37
2025-02-11,002488,10.9,11.13,11.27,10.8,150712,167096766.08,4.29,1.64,0.18,1.64
2025-02-12,002488,11.19,11.02,11.19,10.92,113349,124732550.74,2.43,-0.99,-0.11,1.23
2025-02-13,002488,10.99,10.74,11.02,10.71,126261,136488366.7,2.81,-2.54,-0.28,1.37
2025-02-14,002488,10.76,10.68,10.82,10.61,85949,92183045.62,1.96,-0.56,-0.06,0.93
2025-02-17,002488,10.69,10.67,10.77,10.51,92628,98544478.52,2.43,-0.09,-0.01,1.01
2025-02-18,002488,10.69,10.81,10.94,10.49,189204,202111252.59,4.22,1.31,0.14,2.06
2025-02-19,002488,10.81,11.01,11.08,10.67,177613,193635823.98,3.79,1.85,0.2,1.93
2025-02-20,002488,11.12,11.13,11.39,10.94,175270,195490364.26,4.09,1.09,0.12,1.9
2025-02-21,002488,11.13,11.25,11.34,11.0,136081,152399627.79,3.05,1.08,0.12,1.48
2025-02-24,002488,11.35,11.86,12.17,11.09,349130,410709289.17,9.6,5.42,0.61,3.79
2025-02-25,002488,11.68,11.47,11.87,11.41,214032,248848484.61,3.88,-3.29,-0.39,2.33
2025-02-26,002488,11.57,11.59,12.03,11.39,251372,294156821.08,5.58,1.05,0.12,2.73
2025-02-27,002488,11.78,12.75,12.75,11.66,471275,575352563.72,9.4,10.01,1.16,5.12
2025-02-28,002488,12.89,13.18,13.87,12.49,521218,676268225.25,10.82,3.37,0.43,5.66
2025-03-03,002488,13.04,13.43,13.87,12.76,398065,523605535.73,8.42,1.9,0.25,4.33
2025-03-04,002488,13.08,13.71,13.87,13.01,306284,413388457.81,6.4,2.08,0.28,3.33
2025-03-05,002488,13.59,13.73,13.97,13.45,298912,410118512.91,3.79,0.15,0.02,3.25
2025-03-06,002488,13.61,13.02,13.73,13.01,337747,450143531.14,5.24,-5.17,-0.71,3.67
2025-03-07,002488,12.88,13.36,13.59,12.86,256862,339928188.68,5.61,2.61,0.34,2.79
2025-03-10,002488,13.62,13.72,13.94,13.26,278911,380178432.34,5.09,2.69,0.36,3.03
2025-03-11,002488,13.21,13.79,13.89,13.21,250888,342235373.13,4.96,0.51,0.07,2.73
2025-03-12,002488,13.89,13.55,14.37,13.45,283150,390791879.86,6.67,-1.74,-0.24,3.08
2025-03-13,002488,13.46,13.64,13.69,13.19,170119,229922042.24,3.69,0.66,0.09,1.85
2025-03-14,002488,13.68,13.82,13.98,13.49,241033,331730291.34,3.59,1.32,0.18,2.62
2025-03-17,002488,13.81,13.85,14.2,13.55,238076,329950285.98,4.7,0.22,0.03,2.59
2025-03-18,002488,13.88,13.62,13.88,13.55,140631,192385039.69,2.38,-1.66,-0.23,1.53
2025-03-19,002488,13.68,14.72,14.88,13.49,523588,745491412.64,10.21,8.08,1.1,5.69
2025-03-20,002488,14.67,14.86,15.16,14.49,412720,611949307.85,4.55,0.95,0.14,4.49
2025-03-21,002488,15.02,14.76,15.24,14.59,304208,452463878.49,4.37,-0.67,-0.1,3.31
2025-03-24,002488,14.59,13.62,14.74,13.28,407169,561858898.01,9.89,-7.72,-1.14,4.43
2025-03-25,002488,13.63,13.1,13.77,13.0,234490,312297944.1,5.65,-3.82,-0.52,2.55
2025-03-26,002488,13.09,13.19,13.51,13.03,129136,171673986.5,3.66,0.69,0.09,1.4
2025-03-27,002488,13.23,13.21,13.35,12.97,114407,150622682.45,2.88,0.15,0.02,1.24
2025-03-28,002488,13.24,13.04,13.32,13.03,80658,105804661.9,2.2,-1.29,-0.17,0.88
2025-03-31,002488,13.12,12.47,13.37,12.34,166755,210313251.5,7.9,-4.37,-0.57,1.81
2025-04-01,002488,12.46,12.46,12.63,12.26,99751,124123259.0,2.97,-0.08,-0.01,1.08
2025-04-02,002488,12.44,12.49,12.61,12.37,74465,93100734.95,1.93,0.24,0.03,0.81
2025-04-03,002488,12.38,12.49,12.66,12.36,83208,104126610.0,2.4,0.0,0.0,0.9
2025-04-07,002488,11.92,11.25,11.92,11.24,164844,187215819.34,5.44,-9.93,-1.24,1.79
2025-04-08,002488,11.27,11.29,11.57,10.73,206801,230478953.7,7.47,0.36,0.04,2.25
2025-04-09,002488,10.99,11.39,11.53,10.5,123400,136358019.0,9.12,0.89,0.1,1.34
2025-04-10,002488,11.64,11.54,11.89,11.37,126766,147495059.5,4.57,1.32,0.15,1.38
2025-04-11,002488,11.49,11.82,11.93,11.4,118116,138957504.93,4.59,2.43,0.28,1.28
2025-04-14,002488,11.94,12.01,12.04,11.82,85475,102256709.5,1.86,1.61,0.19,0.93
2025-04-15,002488,12.06,12.09,12.12,11.84,97604,117081239.3,2.33,0.67,0.08,1.06
2025-04-16,002488,12.08,11.97,12.08,11.78,84128,100375145.59,2.48,-0.99,-0.12,0.91
2025-04-17,002488,11.98,12.26,12.44,11.97,99740,122550539.62,3.93,2.42,0.29,1.08
2025-04-18,002488,12.26,12.18,12.35,12.02,68001,82744718.97,2.69,-0.65,-0.08,0.74
2025-04-21,002488,12.21,12.43,12.54,12.09,105210,130759513.12,3.69,2.05,0.25,1.14
2025-04-22,002488,12.73,12.86,12.97,12.59,142821,182584287.9,3.06,3.46,0.43,1.55
2025-04-23,002488,12.96,12.9,13.05,12.74,92731,119103840.32,2.41,0.31,0.04,1.01
