日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002518,22.19,21.54,22.69,21.19,243501,537714327.58,6.73,-3.41,-0.76,4.31
2025-01-03,002518,21.45,22.02,22.95,20.78,432881,958839373.09,10.07,2.23,0.48,7.66
2025-01-06,002518,21.78,23.55,23.55,21.55,437780,1004478689.67,9.08,6.95,1.53,7.75
2025-01-07,002518,23.2,24.39,24.51,22.55,494761,1180896494.22,8.32,3.57,0.84,8.75
2025-01-08,002518,23.67,23.84,24.37,22.89,414582,992744958.8,6.07,-2.26,-0.55,7.34
2025-01-09,002518,23.52,24.52,26.25,23.52,642285,1628597884.38,11.45,2.85,0.68,11.37
2025-01-10,002518,23.82,22.05,24.08,22.05,488327,1129061155.02,8.28,-10.07,-2.47,8.64
2025-01-13,002518,21.7,21.87,22.57,21.67,257089,572084967.34,4.08,-0.82,-0.18,4.55
2025-01-14,002518,22.27,23.57,23.94,22.27,388895,909557657.6,7.64,7.77,1.7,6.88
2025-01-15,002518,23.65,23.42,23.99,23.27,284324,677382548.0,3.05,-0.64,-0.15,5.03
2025-01-16,002518,23.65,23.34,24.27,23.2,207778,494871828.67,4.57,-0.34,-0.08,3.68
2025-01-17,002518,23.27,23.26,23.85,22.65,208757,488329806.3,5.14,-0.34,-0.08,3.69
2025-01-20,002518,23.37,24.52,24.53,22.91,384193,934134941.4,6.96,5.42,1.26,6.8
2025-01-21,002518,24.28,24.81,24.97,23.81,352134,867339630.93,4.73,1.18,0.29,6.23
2025-01-22,002518,24.48,24.56,25.25,24.42,264072,658979209.03,3.35,-1.01,-0.25,4.67
2025-01-23,002518,24.06,23.38,25.05,23.37,405318,984085997.53,6.84,-4.8,-1.18,7.17
2025-01-24,002518,22.97,24.88,25.25,22.85,435897,1073400871.58,10.27,6.42,1.5,7.71
2025-01-27,002518,24.67,23.05,24.91,22.97,276300,659987646.96,7.8,-7.36,-1.83,4.89
2025-02-05,002518,22.89,22.59,22.97,21.98,166012,378112675.64,4.3,-2.0,-0.46,2.94
2025-02-06,002518,22.52,23.07,23.09,22.28,192660,442865356.82,3.59,2.12,0.48,3.41
2025-02-07,002518,22.96,23.69,24.12,22.87,260542,618310989.11,5.42,2.69,0.62,4.61
2025-02-10,002518,24.06,24.77,24.93,23.43,365864,901663801.65,6.33,4.56,1.08,6.47
2025-02-11,002518,24.73,25.17,25.63,24.5,413088,1042633795.64,4.56,1.61,0.4,7.31
2025-02-12,002518,25.17,25.53,25.62,25.08,301210,771570858.69,2.15,1.43,0.36,5.33
2025-02-13,002518,25.47,24.72,25.87,24.57,258790,652286666.59,5.09,-3.17,-0.81,4.58
2025-02-14,002518,24.73,26.27,26.9,24.49,480964,1252321864.17,9.75,6.27,1.55,8.51
2025-02-17,002518,27.27,27.72,27.89,26.67,515526,1421592849.53,4.64,5.52,1.45,9.12
2025-02-18,002518,27.73,25.79,27.75,25.57,383274,1024958183.78,7.86,-6.96,-1.93,6.78
2025-02-19,002518,25.8,26.7,26.87,25.8,283498,757579510.95,4.15,3.53,0.91,5.02
2025-02-20,002518,26.37,26.37,26.95,26.02,197797,525896997.16,3.48,-1.24,-0.33,3.5
2025-02-21,002518,27.07,29.03,29.03,27.07,444031,1264835633.05,7.43,10.09,2.66,7.86
2025-02-24,002518,29.23,29.12,30.11,28.43,491683,1455421904.54,5.79,0.31,0.09,8.7
2025-02-25,002518,27.79,28.06,28.77,27.79,278875,793769916.51,3.37,-3.64,-1.06,4.93
2025-02-26,002518,28.29,28.64,29.48,27.85,357793,1034231220.43,5.81,2.07,0.58,6.33
2025-02-27,002518,28.64,27.95,28.97,26.97,303904,852810886.68,6.98,-2.41,-0.69,5.38
2025-02-28,002518,27.47,26.11,27.48,25.95,214085,572463887.72,5.47,-6.58,-1.84,3.79
2025-03-03,002518,25.97,25.75,26.57,25.48,178434,468383605.39,4.17,-1.38,-0.36,3.16
2025-03-04,002518,25.37,26.23,26.25,25.32,121045,317493949.46,3.61,1.86,0.48,2.14
2025-03-05,002518,26.44,28.11,28.37,26.07,268953,733553495.57,8.77,7.17,1.88,4.76
2025-03-06,002518,28.51,28.4,28.82,28.09,317251,909955228.28,2.6,1.03,0.29,5.61
2025-03-07,002518,28.06,27.56,28.34,27.18,206245,576396088.67,4.08,-2.96,-0.84,3.65
2025-03-10,002518,27.49,27.85,27.85,27.1,141397,392391582.03,2.72,1.05,0.29,2.5
2025-03-11,002518,27.32,28.15,28.47,26.97,196375,550716924.24,5.39,1.08,0.3,3.47
2025-03-12,002518,28.37,30.21,30.99,28.3,526764,1602314446.25,9.56,7.32,2.06,9.32
2025-03-13,002518,29.91,29.72,30.57,28.85,463909,1383408250.39,5.69,-1.62,-0.49,8.21
2025-03-14,002518,29.71,29.51,29.91,28.67,247293,731480883.76,4.17,-0.71,-0.21,4.38
2025-03-17,002518,29.69,29.38,29.85,29.2,202580,602444926.34,2.2,-0.44,-0.13,3.58
2025-03-18,002518,30.15,29.03,30.45,28.77,284728,845445326.93,5.72,-1.19,-0.35,5.04
2025-03-19,002518,28.77,28.26,29.26,28.17,208544,598177353.52,3.75,-2.65,-0.77,3.69
2025-03-20,002518,28.12,28.13,28.64,27.47,177552,503401947.0,4.14,-0.46,-0.13,3.14
2025-03-21,002518,28.13,26.94,28.35,26.58,217499,600421585.26,6.29,-4.23,-1.19,3.85
2025-03-24,002518,26.67,26.74,26.87,25.82,167894,445534076.9,3.9,-0.74,-0.2,2.97
2025-03-25,002518,26.75,25.56,26.87,25.38,164228,430372103.65,5.57,-4.41,-1.18,2.91
2025-03-26,002518,25.37,25.79,26.17,25.35,98423,256652419.72,3.21,0.9,0.23,1.74
2025-03-27,002518,25.77,25.63,26.15,25.56,90696,236826518.95,2.29,-0.62,-0.16,1.6
2025-03-28,002518,25.63,25.68,26.23,25.57,83635,218003426.7,2.58,0.2,0.05,1.48
2025-03-31,002518,25.57,25.32,25.77,24.55,126467,319222620.0,4.75,-1.4,-0.36,2.24
2025-04-01,002518,25.65,24.75,25.68,24.67,87240,221375498.85,3.99,-2.25,-0.57,1.54
2025-04-02,002518,24.57,24.88,25.21,24.57,78298,197207876.7,2.59,0.53,0.13,1.39
2025-04-03,002518,24.37,24.51,24.85,24.02,104688,258555847.57,3.34,-1.49,-0.37,1.85
2025-04-07,002518,22.97,22.04,23.33,22.04,112855,254825536.42,5.26,-10.08,-2.47,2.0
2025-04-08,002518,21.26,20.97,22.13,20.32,188722,400322715.11,8.21,-4.85,-1.07,3.34
2025-04-09,002518,20.26,21.73,21.9,19.26,164250,347634799.58,12.59,3.62,0.76,2.91
2025-04-10,002518,22.27,22.18,22.78,22.13,143639,325414365.02,2.99,2.07,0.45,2.54
2025-04-11,002518,21.88,22.67,23.22,21.77,143274,326148691.22,6.54,2.21,0.49,2.54
2025-04-14,002518,22.87,22.58,23.12,22.48,99980,229698153.8,2.82,-0.4,-0.09,1.77
2025-04-15,002518,22.59,22.21,22.71,22.11,76259,171899143.0,2.66,-1.64,-0.37,1.35
2025-04-16,002518,22.1,21.49,22.11,21.27,107909,235440400.35,3.78,-3.24,-0.72,1.91
2025-04-17,002518,21.24,21.54,21.98,21.22,72647,159549980.92,3.54,0.23,0.05,1.29
2025-04-18,002518,21.48,21.52,21.77,21.39,37769,82314076.72,1.76,-0.09,-0.02,0.67
2025-04-21,002518,21.52,21.97,22.03,21.28,67531,148579096.32,3.49,2.09,0.45,1.19
2025-04-22,002518,21.87,21.46,21.96,21.42,69527,151540644.7,2.46,-2.32,-0.51,1.23
2025-04-23,002518,21.69,21.87,22.14,21.65,95032,210394666.56,2.28,1.91,0.41,1.68
2025-04-24,002518,21.88,21.29,21.95,21.18,78821,170670322.5,3.52,-2.65,-0.58,1.39
2025-04-25,002518,21.28,21.71,22.26,21.28,123768,274088380.9,4.6,1.97,0.42,2.19
2025-04-28,002518,21.78,21.75,22.27,21.73,93100,206225969.0,2.49,0.18,0.04,1.65
2025-04-29,002518,21.82,21.71,22.0,21.6,64892,142928991.0,1.84,-0.18,-0.04,1.15
2025-04-30,002518,21.85,22.32,22.6,21.73,114256,255787916.88,4.01,2.81,0.61,2.02
2025-05-06,002518,22.72,23.24,23.25,22.37,163743,379130310.24,3.94,4.12,0.92,2.9
2025-05-07,002518,23.77,23.47,24.12,23.16,204466,485190713.65,4.13,0.99,0.23,3.62
2025-05-08,002518,23.47,23.37,23.61,23.27,112829,266924954.2,1.45,-0.43,-0.1,2.0
2025-05-09,002518,23.37,22.89,23.38,22.8,79159,183569651.87,2.48,-2.05,-0.48,1.4
2025-05-12,002518,23.18,23.46,23.46,23.0,82927,194501958.85,2.01,2.49,0.57,1.47
2025-05-13,002518,23.87,23.45,24.06,23.35,118282,283169517.43,3.03,-0.04,-0.01,2.09
2025-05-14,002518,23.38,23.54,24.27,23.35,125923,301296650.0,3.92,0.38,0.09,2.23
2025-05-15,002518,23.3,22.59,23.43,22.58,99883,229640590.0,3.61,-4.04,-0.95,1.77
2025-05-16,002518,22.6,22.64,22.86,22.52,54066,124158291.21,1.51,0.22,0.05,0.96
2025-05-19,002518,22.67,22.5,22.67,22.17,54431,122990694.86,2.21,-0.62,-0.14,0.96
2025-05-20,002518,22.47,22.74,22.83,22.2,56174,127991274.9,2.8,1.07,0.24,0.99
2025-05-21,002518,22.74,22.59,22.85,22.53,46801,107195495.0,1.41,-0.66,-0.15,0.83
2025-05-22,002518,22.67,22.43,23.12,22.38,93632,215574882.0,3.28,-0.71,-0.16,1.66
2025-05-23,002518,22.27,21.8,22.51,21.77,82884,185254495.0,3.3,-2.81,-0.63,1.47
2025-05-26,002518,21.71,22.08,22.1,21.68,44855,99465000.47,1.93,1.28,0.28,0.79
2025-05-27,002518,22.11,21.88,22.17,21.8,38855,85129542.49,1.68,-0.91,-0.2,0.69
2025-05-28,002518,21.98,21.89,22.2,21.8,46141,101405654.57,1.83,0.05,0.01,0.82
2025-05-29,002518,21.81,22.13,22.2,21.81,54644,120833740.36,1.78,1.1,0.24,0.97
2025-05-30,002518,22.06,21.54,22.13,21.5,53801,116638216.0,2.85,-2.67,-0.59,0.95
2025-06-03,002518,21.5,21.58,21.82,21.26,35156,75999794.2,2.6,0.19,0.04,0.62
2025-06-04,002518,21.73,21.89,22.05,21.63,49214,107852791.43,1.95,1.44,0.31,0.87
2025-06-05,002518,21.97,22.77,22.83,21.83,122153,274983365.54,4.57,4.02,0.88,2.16
2025-06-06,002518,22.7,22.52,22.88,22.48,70703,160107969.05,1.76,-1.1,-0.25,1.25
2025-06-09,002518,22.48,22.72,22.88,22.43,70506,159673567.5,2.0,0.89,0.2,1.25
2025-06-10,002518,22.79,22.23,22.79,22.03,67219,150123120.0,3.35,-2.16,-0.49,1.19
2025-06-11,002518,22.37,22.3,22.51,22.21,39294,87906783.0,1.35,0.31,0.07,0.7
2025-06-12,002518,22.21,22.1,22.4,21.98,49616,110310254.0,1.88,-0.9,-0.2,0.88
2025-06-13,002518,22.01,21.63,22.26,21.58,73700,160675621.12,3.08,-2.13,-0.47,1.3
2025-06-16,002518,21.6,21.98,22.12,21.52,51917,113977682.0,2.77,1.62,0.35,0.92
2025-06-17,002518,22.0,21.78,22.02,21.64,44102,95927208.12,1.73,-0.91,-0.2,0.78
2025-06-18,002518,21.69,21.79,21.9,21.53,34919,75817644.12,1.7,0.05,0.01,0.62
2025-06-19,002518,21.72,21.56,22.2,21.47,53767,117199456.39,3.35,-1.06,-0.23,0.95
2025-06-20,002518,21.42,21.1,21.79,21.07,54883,117138016.0,3.34,-2.13,-0.46,0.97
2025-06-23,002518,20.98,21.26,21.32,20.83,33057,70031400.0,2.32,0.76,0.16,0.58
2025-06-24,002518,21.33,22.07,22.1,21.32,77407,168939409.0,3.67,3.81,0.81,1.37
2025-06-25,002518,22.11,22.45,22.72,22.11,98062,219996390.7,2.76,1.72,0.38,1.74
2025-06-26,002518,22.37,22.15,22.51,22.14,67735,151120314.0,1.65,-1.34,-0.3,1.2
2025-06-27,002518,22.15,22.37,22.6,22.06,72325,161903396.3,2.44,0.99,0.22,1.28
2025-06-30,002518,22.41,22.59,22.61,22.37,66918,150531222.62,1.07,0.98,0.22,1.18
2025-07-01,002518,22.58,22.41,22.58,22.15,52291,116659983.9,1.9,-0.8,-0.18,0.93
2025-07-02,002518,22.38,22.22,22.42,21.99,52153,115476340.12,1.92,-0.85,-0.19,0.92
2025-07-03,002518,22.25,22.33,22.45,22.13,52617,117231362.0,1.44,0.5,0.11,0.93
2025-07-04,002518,22.24,22.18,22.61,22.14,81761,182781574.5,2.1,-0.67,-0.15,1.45
2025-07-07,002518,22.19,22.3,22.36,21.81,54191,119694515.38,2.48,0.54,0.12,0.96
2025-07-08,002518,22.31,22.9,23.08,22.2,131444,299023477.53,3.95,2.69,0.6,2.33
2025-07-09,002518,22.95,22.7,22.96,22.62,71682,163493423.68,1.48,-0.87,-0.2,1.27
2025-07-10,002518,22.19,21.97,22.32,21.91,133107,293875735.42,1.81,-3.22,-0.73,2.36
2025-07-11,002518,22.05,22.19,22.22,21.78,74919,165318577.62,2.0,1.0,0.22,1.33
2025-07-14,002518,22.21,22.33,22.6,22.21,68801,154337788.0,1.76,0.63,0.14,1.22
2025-07-15,002518,22.4,22.67,22.95,22.34,122068,277420860.8,2.73,1.52,0.34,2.16
2025-07-16,002518,22.88,22.73,23.15,22.68,103983,237995796.44,2.07,0.26,0.06,1.84
2025-07-17,002518,22.6,22.83,22.85,22.58,65279,148556561.59,1.19,0.44,0.1,1.16
2025-07-18,002518,22.98,22.94,23.19,22.81,85202,195758908.66,1.66,0.48,0.11,1.51
2025-07-21,002518,22.99,22.91,22.99,22.7,69067,157678727.98,1.26,-0.13,-0.03,1.22
2025-07-22,002518,22.83,22.8,22.9,22.73,68995,157312157.52,0.74,-0.48,-0.11,1.22
2025-07-23,002518,22.8,22.53,22.92,22.5,88202,200360987.66,1.84,-1.18,-0.27,1.56
2025-07-24,002518,22.6,22.91,22.99,22.53,70660,161110263.11,2.04,1.69,0.38,1.25
2025-07-25,002518,22.88,23.03,23.14,22.73,93018,213300123.35,1.79,0.52,0.12,1.65
2025-07-28,002518,23.04,22.94,23.14,22.85,62890,144442922.0,1.26,-0.39,-0.09,1.11
2025-07-29,002518,22.94,23.34,23.5,22.69,119946,277738084.4,3.53,1.74,0.4,2.12
2025-07-30,002518,23.35,22.96,23.41,22.8,82443,190289980.71,2.61,-1.63,-0.38,1.46
2025-07-31,002518,22.96,23.17,23.7,22.96,193875,453917265.0,3.22,0.91,0.21,3.43
2025-08-01,002518,23.54,23.28,23.75,23.21,125788,294676867.7,2.33,0.47,0.11,2.23
2025-08-04,002518,23.09,23.8,23.96,22.87,147095,346772560.62,4.68,2.23,0.52,2.6
2025-08-05,002518,23.87,23.7,23.88,23.51,90962,214876186.26,1.55,-0.42,-0.1,1.61
2025-08-06,002518,23.68,23.8,24.29,23.59,123300,294461525.73,2.95,0.42,0.1,2.18
2025-08-07,002518,23.85,24.5,24.82,23.62,198436,479376408.96,5.04,2.94,0.7,3.51
2025-08-08,002518,24.44,24.26,24.75,24.14,185772,451948901.14,2.49,-0.98,-0.24,3.29
2025-08-11,002518,24.29,25.52,26.53,24.19,358771,910257169.04,9.65,5.19,1.26,6.35
2025-08-12,002518,25.46,27.14,27.39,25.38,394540,1042530622.38,7.88,6.35,1.62,6.98
2025-08-13,002518,27.0,27.12,27.66,26.28,320408,862236301.03,5.08,-0.07,-0.02,5.67
2025-08-14,002518,26.86,26.2,26.92,26.16,271066,718169044.56,2.8,-3.39,-0.92,4.8
2025-08-15,002518,26.22,28.82,28.82,26.22,369420,1028266771.72,9.92,10.0,2.62,6.54
2025-08-18,002518,29.18,30.67,31.7,29.1,745291,2296860778.52,9.02,6.42,1.85,13.19
2025-08-19,002518,33.67,33.74,33.74,32.83,198142,666586150.65,2.97,10.01,3.07,3.51
2025-08-20,002518,33.68,32.3,33.68,31.4,565813,1839815674.99,6.76,-4.27,-1.44,10.01
2025-08-21,002518,32.7,35.0,35.53,32.0,723185,2462431093.59,10.93,8.36,2.7,12.8
2025-08-22,002518,33.65,35.49,36.4,33.0,532842,1841807392.65,9.71,1.4,0.49,9.43
2025-08-25,002518,38.0,35.6,38.0,34.8,460532,1657415029.33,9.02,0.31,0.11,8.15
2025-08-26,002518,35.14,34.0,35.78,33.89,371056,1280196763.77,5.31,-4.49,-1.6,6.57
2025-08-27,002518,33.67,35.33,37.26,33.45,511677,1830250985.77,11.21,3.91,1.33,9.05
2025-08-28,002518,35.1,37.9,38.35,35.1,450270,1649599158.04,9.2,7.27,2.57,7.97
2025-08-29,002518,38.0,37.0,38.2,36.46,312525,1158506288.74,4.59,-2.37,-0.9,5.53
2025-09-01,002518,37.35,35.7,37.87,35.5,274852,994375504.67,6.41,-3.51,-1.3,4.86
2025-09-02,002518,35.7,33.15,36.12,32.6,376239,1270821858.12,9.86,-7.14,-2.55,6.66
2025-09-03,002518,33.19,34.09,34.75,32.94,231732,783269753.78,5.46,2.84,0.94,4.1
2025-09-04,002518,34.09,34.23,35.42,33.6,323609,1121571556.33,5.34,0.41,0.14,5.73
2025-09-05,002518,33.94,36.62,36.82,33.7,300695,1070386506.6,9.11,6.98,2.39,5.32
2025-09-08,002518,36.3,34.18,36.49,33.9,306755,1059124424.27,7.07,-6.66,-2.44,5.43
