日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002535,3.85,3.76,3.89,3.71,138922,52926748.4,4.7,-1.83,-0.07,1.86
2025-01-03,002535,3.77,3.57,3.79,3.56,156162,57024451.76,6.12,-5.05,-0.19,2.09
2025-01-06,002535,3.58,3.57,3.6,3.42,116885,41433742.7,5.04,0.0,0.0,1.57
2025-01-07,002535,3.56,3.67,3.67,3.55,107383,38867979.2,3.36,2.8,0.1,1.44
2025-01-08,002535,3.66,3.66,3.69,3.55,124969,45180816.2,3.81,-0.27,-0.01,1.67
2025-01-09,002535,3.64,3.71,3.74,3.63,117819,43595632.5,3.01,1.37,0.05,1.58
2025-01-10,002535,3.73,3.62,3.77,3.61,128887,47704696.0,4.31,-2.43,-0.09,1.73
2025-01-13,002535,3.6,3.65,3.69,3.52,113274,41031542.8,4.7,0.83,0.03,1.52
2025-01-14,002535,3.68,3.85,3.85,3.68,159129,60228684.3,4.66,5.48,0.2,2.13
2025-01-15,002535,3.87,3.82,3.89,3.81,113643,43676620.5,2.08,-0.78,-0.03,1.52
2025-01-16,002535,3.84,3.85,3.93,3.82,137270,53089252.8,2.88,0.79,0.03,1.84
2025-01-17,002535,3.85,3.86,3.88,3.81,90502,34874605.5,1.82,0.26,0.01,1.21
2025-01-20,002535,3.89,3.94,3.95,3.85,132770,52049419.0,2.59,2.07,0.08,1.78
2025-01-21,002535,3.97,3.93,3.97,3.88,112764,44253706.3,2.28,-0.25,-0.01,1.51
2025-01-22,002535,3.93,3.91,3.96,3.88,123212,48411811.0,2.04,-0.51,-0.02,1.65
2025-01-23,002535,3.96,3.9,3.99,3.9,134680,53119321.0,2.3,-0.26,-0.01,1.8
2025-01-24,002535,3.9,3.9,3.92,3.87,105218,40950813.0,1.28,0.0,0.0,1.41
2025-01-27,002535,3.91,3.83,3.95,3.82,132042,51172458.5,3.33,-1.79,-0.07,1.77
2025-02-05,002535,3.85,3.82,3.86,3.79,146562,56084935.8,1.83,-0.26,-0.01,1.96
2025-02-06,002535,3.8,3.92,3.93,3.79,200712,77496742.3,3.66,2.62,0.1,2.69
2025-02-07,002535,3.93,3.95,3.98,3.9,182121,71701853.1,2.04,0.77,0.03,2.44
2025-02-10,002535,3.95,3.97,3.97,3.93,115379,45606384.34,1.01,0.51,0.02,1.55
2025-02-11,002535,3.97,3.95,3.98,3.91,113723,44779200.74,1.76,-0.5,-0.02,1.52
2025-02-12,002535,3.96,4.01,4.03,3.95,160105,64029018.0,2.03,1.52,0.06,2.15
2025-02-13,002535,4.02,3.94,4.03,3.94,139706,55445384.0,2.24,-1.75,-0.07,1.87
2025-02-14,002535,3.96,3.91,3.97,3.9,103768,40810845.5,1.78,-0.76,-0.03,1.39
2025-02-17,002535,3.94,3.98,4.0,3.9,142360,56352016.37,2.56,1.79,0.07,1.91
2025-02-18,002535,3.98,3.89,3.99,3.87,136742,53765134.3,3.02,-2.26,-0.09,1.83
2025-02-19,002535,3.9,4.28,4.28,3.87,278637,114815518.24,10.54,10.03,0.39,3.73
2025-02-20,002535,4.4,4.21,4.46,4.19,1041659,447843450.8,6.31,-1.64,-0.07,13.96
2025-02-21,002535,4.21,4.24,4.29,4.16,540803,228729128.8,3.09,0.71,0.03,7.25
2025-02-24,002535,4.23,4.3,4.33,4.2,520588,222590914.49,3.07,1.42,0.06,6.98
2025-02-25,002535,4.28,4.26,4.31,4.21,316059,134824939.16,2.33,-0.93,-0.04,4.23
2025-02-26,002535,4.26,4.35,4.41,4.26,445494,193684963.55,3.52,2.11,0.09,5.97
2025-02-27,002535,4.36,4.34,4.4,4.25,291803,126203233.3,3.45,-0.23,-0.01,3.91
2025-02-28,002535,4.25,4.06,4.25,4.05,357688,147984085.8,4.61,-6.45,-0.28,4.79
2025-03-03,002535,4.09,4.12,4.2,4.03,231030,95468777.0,4.19,1.48,0.06,3.1
2025-03-04,002535,4.09,4.2,4.22,4.08,172712,72108862.5,3.4,1.94,0.08,2.31
2025-03-05,002535,4.17,4.31,4.32,4.12,346235,146954532.9,4.76,2.62,0.11,4.64
2025-03-06,002535,4.37,4.31,4.41,4.3,384805,167102484.6,2.55,0.0,0.0,5.16
2025-03-07,002535,4.3,4.36,4.54,4.26,397712,174301815.3,6.5,1.16,0.05,5.33
