日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002540,5.83,5.78,5.97,5.72,130098,80137171.35,4.27,-1.37,-0.08,1.5
2025-01-03,002540,5.8,5.6,5.87,5.58,106988,64397210.37,5.02,-3.11,-0.18,1.23
2025-01-06,002540,5.6,5.57,5.72,5.47,100574,59460950.52,4.46,-0.54,-0.03,1.16
2025-01-07,002540,5.6,5.55,5.65,5.5,101202,59220485.64,2.69,-0.36,-0.02,1.16
2025-01-08,002540,5.56,5.4,5.56,5.26,163512,92602669.0,5.41,-2.7,-0.15,1.88
2025-01-09,002540,5.38,5.41,5.49,5.32,78331,44864907.22,3.15,0.19,0.01,0.9
2025-01-10,002540,5.45,5.31,5.49,5.31,70004,39841060.5,3.33,-1.85,-0.1,0.81
2025-01-13,002540,5.26,5.39,5.41,5.16,79364,44558958.14,4.71,1.51,0.08,0.91
2025-01-14,002540,5.39,5.52,5.53,5.36,107517,62021182.8,3.15,2.41,0.13,1.24
2025-01-15,002540,5.53,5.53,5.57,5.43,84759,49137130.8,2.54,0.18,0.01,0.98
2025-01-16,002540,5.53,5.62,5.66,5.52,77135,45592298.7,2.53,1.63,0.09,0.89
2025-01-17,002540,5.61,5.62,5.64,5.55,49928,29459030.24,1.6,0.0,0.0,0.57
2025-01-20,002540,5.65,5.61,5.66,5.56,58762,34772043.5,1.78,-0.18,-0.01,0.68
2025-01-21,002540,5.69,5.58,5.69,5.54,62676,36776388.0,2.67,-0.53,-0.03,0.72
2025-01-22,002540,5.55,5.56,5.59,5.53,41792,24486854.5,1.08,-0.36,-0.02,0.48
2025-01-23,002540,5.61,5.51,5.67,5.49,79926,47077167.0,3.24,-0.9,-0.05,0.92
2025-01-24,002540,5.48,5.58,5.59,5.48,54431,31788035.82,2.0,1.27,0.07,0.63
2025-01-27,002540,5.58,5.6,5.67,5.58,53156,31532100.0,1.61,0.36,0.02,0.61
2025-02-05,002540,5.61,5.57,5.66,5.53,58858,34640168.0,2.32,-0.54,-0.03,0.68
2025-02-06,002540,5.57,5.68,5.68,5.55,63338,37531863.5,2.33,1.97,0.11,0.73
2025-02-07,002540,5.68,5.73,5.77,5.63,84251,50682724.15,2.46,0.88,0.05,0.97
2025-02-10,002540,5.76,5.73,5.76,5.66,67363,40404476.0,1.75,0.0,0.0,0.78
2025-02-11,002540,5.73,5.86,5.98,5.72,194740,120351502.6,4.54,2.27,0.13,2.24
2025-02-12,002540,5.86,5.85,5.89,5.81,81494,50011365.0,1.37,-0.17,-0.01,0.94
2025-02-13,002540,5.88,5.79,5.88,5.78,63045,38564277.0,1.71,-1.03,-0.06,0.73
2025-02-14,002540,5.8,5.73,5.8,5.7,67201,40643961.0,1.73,-1.04,-0.06,0.77
2025-02-17,002540,6.05,5.78,6.05,5.74,122698,75120216.2,5.41,0.87,0.05,1.41
2025-02-18,002540,5.78,5.62,5.79,5.59,114103,68298274.08,3.46,-2.77,-0.16,1.31
2025-02-19,002540,5.61,5.69,5.7,5.6,75605,45035481.48,1.78,1.25,0.07,0.87
2025-02-20,002540,5.66,5.72,5.73,5.65,70350,42175016.5,1.41,0.53,0.03,0.81
2025-02-21,002540,5.72,5.68,5.74,5.67,68863,41260144.5,1.22,-0.7,-0.04,0.79
2025-02-24,002540,5.69,5.69,5.72,5.62,84504,50530092.78,1.76,0.18,0.01,0.97
2025-02-25,002540,5.69,5.59,5.69,5.58,69128,41059029.0,1.93,-1.76,-0.1,0.8
2025-02-26,002540,5.6,5.76,5.85,5.6,129718,78227869.0,4.47,3.04,0.17,1.49
2025-02-27,002540,5.76,5.69,5.78,5.61,89234,53322609.22,2.95,-1.22,-0.07,1.03
2025-02-28,002540,5.64,5.63,5.75,5.61,92571,55263645.92,2.46,-1.05,-0.06,1.07
2025-03-03,002540,5.65,5.68,5.75,5.63,90765,54547867.05,2.13,0.89,0.05,1.04
2025-03-04,002540,5.65,5.75,5.76,5.65,65431,39443580.0,1.94,1.23,0.07,0.75
2025-03-05,002540,5.76,5.89,5.98,5.66,169956,104074689.5,5.57,2.43,0.14,1.96
2025-03-06,002540,5.91,5.87,5.92,5.83,119586,73729871.6,1.53,-0.34,-0.02,1.38
2025-03-07,002540,5.87,5.9,5.99,5.85,137533,85709956.76,2.39,0.51,0.03,1.58
2025-03-10,002540,5.91,5.94,5.99,5.85,118407,73681744.3,2.37,0.68,0.04,1.36
2025-03-11,002540,5.89,5.93,5.94,5.83,95564,59048264.0,1.85,-0.17,-0.01,1.1
2025-03-12,002540,5.93,5.88,5.95,5.86,73351,45410932.5,1.52,-0.84,-0.05,0.84
2025-03-13,002540,5.86,5.83,5.91,5.77,82896,50687324.5,2.38,-0.85,-0.05,0.95
2025-03-14,002540,5.83,5.9,5.96,5.81,102094,62924711.3,2.57,1.2,0.07,1.18
2025-03-17,002540,5.94,5.9,5.95,5.86,85078,52736596.5,1.53,0.0,0.0,0.98
2025-03-18,002540,5.92,5.94,5.95,5.88,97120,60427972.84,1.19,0.68,0.04,1.12
2025-03-19,002540,5.95,5.9,5.95,5.86,70925,43875037.96,1.52,-0.67,-0.04,0.82
2025-03-20,002540,5.9,5.99,6.19,5.88,219433,138833245.88,5.25,1.53,0.09,2.53
2025-03-21,002540,6.01,6.1,6.14,5.94,249184,157916640.72,3.34,1.84,0.11,2.87
2025-03-24,002540,6.09,6.01,6.13,5.91,185175,116918789.31,3.61,-1.48,-0.09,2.13
2025-03-25,002540,6.01,6.12,6.2,5.97,264120,169436985.24,3.83,1.83,0.11,3.04
2025-03-26,002540,6.09,6.18,6.23,6.08,197111,127682462.11,2.45,0.98,0.06,2.27
2025-03-27,002540,6.14,6.03,6.15,5.97,143853,91100017.06,2.91,-2.43,-0.15,1.66
2025-03-28,002540,6.03,6.03,6.07,5.95,125588,79028879.25,1.99,0.0,0.0,1.45
2025-03-31,002540,5.97,5.98,6.03,5.83,111552,69475928.78,3.32,-0.83,-0.05,1.28
2025-04-01,002540,5.95,6.05,6.09,5.94,105874,67125621.33,2.51,1.17,0.07,1.22
2025-04-02,002540,6.02,6.06,6.11,6.0,89044,56653177.53,1.82,0.17,0.01,1.02
2025-04-03,002540,6.0,6.09,6.15,5.96,135175,86133145.24,3.14,0.5,0.03,1.56
2025-04-07,002540,5.76,5.45,5.76,5.45,198848,116183751.0,5.09,-10.51,-0.64,2.29
2025-04-08,002540,5.43,5.5,5.59,5.34,202880,117409755.5,4.59,0.92,0.05,2.33
2025-04-09,002540,5.42,5.58,5.62,5.15,135720,77769245.5,8.55,1.45,0.08,1.56
2025-04-10,002540,5.64,5.63,5.76,5.59,131479,78336539.67,3.05,0.9,0.05,1.51
2025-04-11,002540,5.6,5.66,5.72,5.58,111206,66474395.0,2.49,0.53,0.03,1.28
2025-04-14,002540,5.73,5.8,5.85,5.7,94075,57280509.7,2.65,2.47,0.14,1.08
2025-04-15,002540,5.79,5.77,5.83,5.72,69049,41870369.15,1.9,-0.52,-0.03,0.79
2025-04-16,002540,5.78,5.7,5.81,5.6,70380,42130166.5,3.64,-1.21,-0.07,0.81
2025-04-17,002540,5.69,5.75,5.79,5.66,66417,40221169.0,2.28,0.88,0.05,0.76
2025-04-18,002540,5.71,5.74,5.77,5.67,41673,25083724.03,1.74,-0.17,-0.01,0.48
2025-04-21,002540,5.75,5.81,5.82,5.7,59049,35999377.4,2.09,1.22,0.07,0.68
2025-04-22,002540,5.76,5.73,5.8,5.6,101484,60718024.95,3.44,-1.38,-0.08,1.17
2025-04-23,002540,5.73,5.66,5.77,5.65,78821,47087815.59,2.09,-1.22,-0.07,0.91
2025-04-24,002540,5.68,5.7,5.75,5.62,68131,40859648.5,2.3,0.71,0.04,0.78
2025-04-25,002540,5.7,5.68,5.71,5.65,65190,39027110.0,1.05,-0.35,-0.02,0.75
2025-04-28,002540,5.66,5.63,5.68,5.59,65645,39019701.0,1.58,-0.88,-0.05,0.76
2025-04-29,002540,5.61,5.63,5.68,5.59,49247,29280013.96,1.6,0.0,0.0,0.57
2025-04-30,002540,5.62,5.47,5.65,5.45,125718,73515945.0,3.55,-2.84,-0.16,1.45
2025-05-06,002540,5.5,5.55,5.58,5.5,110176,64346958.25,1.46,1.46,0.08,1.27
2025-05-07,002540,5.57,5.61,5.64,5.56,99515,58759336.0,1.44,1.08,0.06,1.14
2025-05-08,002540,5.57,5.77,5.84,5.56,156049,94419705.66,4.99,2.85,0.16,1.8
2025-05-09,002540,5.73,5.77,5.79,5.71,102841,62241053.0,1.39,0.0,0.0,1.18
2025-05-12,002540,5.78,5.85,5.87,5.74,106705,65254624.77,2.25,1.39,0.08,1.23
2025-05-13,002540,5.91,5.79,5.91,5.77,75900,46376626.73,2.39,-1.03,-0.06,0.87
2025-05-14,002540,5.82,5.81,5.82,5.76,61143,37273149.1,1.04,0.35,0.02,0.7
2025-05-15,002540,5.8,5.74,5.8,5.73,60411,36592065.85,1.2,-1.2,-0.07,0.69
2025-05-16,002540,5.75,5.78,5.85,5.72,74945,45721217.0,2.26,0.7,0.04,0.86
2025-05-19,002540,5.81,5.86,5.86,5.73,94223,57596471.55,2.25,1.38,0.08,1.08
2025-05-20,002540,5.82,5.83,5.86,5.78,61429,37556449.0,1.37,-0.51,-0.03,0.71
2025-05-21,002540,5.8,5.76,5.83,5.75,51527,31288700.24,1.37,-1.2,-0.07,0.59
