日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002555,14.65,14.06,14.71,13.91,538606,823169368.22,5.46,-4.03,-0.59,3.36
2025-01-03,002555,14.04,13.58,14.08,13.57,413058,611522987.81,3.63,-3.41,-0.48,2.57
2025-01-06,002555,13.5,13.62,13.79,13.48,300719,439719324.76,2.28,0.29,0.04,1.87
2025-01-07,002555,13.59,13.83,13.83,13.56,256559,376319838.58,1.98,1.54,0.21,1.6
2025-01-08,002555,13.71,13.54,13.71,13.25,363206,526435847.8,3.33,-2.1,-0.29,2.26
2025-01-09,002555,13.5,13.55,13.63,13.41,223822,325502017.04,1.62,0.07,0.01,1.39
2025-01-10,002555,13.5,13.23,13.7,13.21,245424,354674378.36,3.62,-2.36,-0.32,1.53
2025-01-13,002555,13.09,13.41,13.56,13.04,250751,359314742.79,3.93,1.36,0.18,1.56
2025-01-14,002555,13.49,13.89,13.93,13.38,467552,687193894.1,4.1,3.58,0.48,2.91
2025-01-15,002555,13.87,13.79,14.0,13.75,317943,472761454.13,1.8,-0.72,-0.1,1.98
2025-01-16,002555,13.84,13.84,14.08,13.68,283974,422235123.44,2.9,0.36,0.05,1.77
2025-01-17,002555,13.73,13.79,13.93,13.68,233112,344466786.0,1.81,-0.36,-0.05,1.45
2025-01-20,002555,13.85,13.87,13.98,13.79,256081,381317879.75,1.38,0.58,0.08,1.6
2025-01-21,002555,13.93,13.89,14.04,13.77,267266,397714670.22,1.95,0.14,0.02,1.67
2025-01-22,002555,13.78,13.7,13.84,13.61,229274,336790249.57,1.66,-1.37,-0.19,1.43
2025-01-23,002555,13.93,13.8,14.14,13.8,356760,533695219.75,2.48,0.73,0.1,2.23
2025-01-24,002555,13.73,13.95,13.98,13.71,271339,403701510.86,1.96,1.09,0.15,1.7
2025-01-27,002555,14.13,13.88,14.18,13.88,284582,426961136.99,2.15,-0.5,-0.07,1.78
2025-02-05,002555,14.21,14.37,14.44,14.14,537572,821422242.55,2.16,3.53,0.49,3.36
2025-02-06,002555,14.3,14.8,14.84,14.17,628445,980068862.1,4.66,2.99,0.43,3.93
2025-02-07,002555,14.78,14.95,15.16,14.66,723413,1151440047.59,3.38,1.01,0.15,4.52
2025-02-10,002555,14.96,15.13,15.15,14.86,569665,913192779.73,1.94,1.2,0.18,3.56
2025-02-11,002555,15.13,15.02,15.21,14.9,477480,764827778.35,2.05,-0.73,-0.11,2.99
2025-02-12,002555,14.98,15.25,15.36,14.95,526485,853310321.2,2.73,1.53,0.23,3.29
2025-02-13,002555,15.31,15.05,15.31,14.96,497471,801435328.74,2.3,-1.31,-0.2,3.11
2025-02-14,002555,15.06,15.41,15.41,14.81,780493,1260472125.91,3.99,2.39,0.36,4.88
2025-02-17,002555,15.66,15.51,15.99,15.38,955958,1590030686.78,3.96,0.65,0.1,5.98
2025-02-18,002555,15.52,14.94,16.0,14.91,865891,1418477182.0,7.03,-3.68,-0.57,5.42
2025-02-19,002555,14.96,15.09,15.17,14.84,508820,815177074.36,2.21,1.0,0.15,3.18
2025-02-20,002555,14.99,14.82,15.13,14.76,478275,760413314.69,2.45,-1.79,-0.27,2.99
2025-02-21,002555,14.83,15.42,15.44,14.67,782303,1262341501.03,5.2,4.05,0.6,4.89
2025-02-24,002555,15.41,15.13,15.41,15.03,484142,782418004.04,2.46,-1.88,-0.29,3.03
2025-02-25,002555,14.97,14.86,15.04,14.79,389572,618854701.84,1.65,-1.78,-0.27,2.44
2025-02-26,002555,14.93,14.83,15.0,14.72,434381,686503112.45,1.88,-0.2,-0.03,2.72
2025-02-27,002555,14.87,14.89,15.16,14.58,590791,936508772.22,3.91,0.4,0.06,3.69
2025-02-28,002555,14.76,14.1,14.92,14.04,704411,1082399956.97,5.91,-5.31,-0.79,4.41
2025-03-03,002555,14.26,14.31,14.7,14.07,550448,848724411.06,4.47,1.49,0.21,3.44
2025-03-04,002555,14.21,14.36,14.51,14.12,278599,427591164.85,2.73,0.35,0.05,1.74
2025-03-05,002555,14.34,14.31,14.4,14.12,276158,420699091.44,1.95,-0.35,-0.05,1.73
2025-03-06,002555,14.41,14.81,14.91,14.41,634292,996082400.75,3.49,3.49,0.5,3.97
2025-03-07,002555,14.71,14.85,15.19,14.57,637370,1012243987.78,4.19,0.27,0.04,3.99
2025-03-10,002555,14.91,14.77,15.14,14.66,327387,517314151.6,3.23,-0.54,-0.08,2.05
2025-03-11,002555,14.61,14.67,14.73,14.5,296956,462923316.44,1.56,-0.68,-0.1,1.86
2025-03-12,002555,14.72,14.71,14.86,14.55,472935,742493330.45,2.11,0.27,0.04,2.96
2025-03-13,002555,14.63,14.8,14.94,14.41,509689,796052606.6,3.6,0.61,0.09,3.19
2025-03-14,002555,14.75,15.22,15.31,14.68,824113,1323487176.87,4.26,2.84,0.42,5.15
2025-03-17,002555,15.29,15.1,15.46,15.02,500230,807901447.86,2.89,-0.79,-0.12,3.13
2025-03-18,002555,15.16,15.03,15.2,14.94,405316,649827666.32,1.72,-0.46,-0.07,2.53
2025-03-19,002555,14.95,14.75,14.99,14.66,492209,774968235.04,2.2,-1.86,-0.28,3.08
2025-03-20,002555,14.7,14.68,14.9,14.6,367997,579555191.98,2.03,-0.47,-0.07,2.3
2025-03-21,002555,14.65,14.4,14.78,14.34,365326,566629157.68,3.0,-1.91,-0.28,2.28
2025-03-24,002555,14.36,14.43,14.48,14.17,300097,460098880.39,2.15,0.21,0.03,1.88
2025-03-25,002555,14.39,14.3,14.51,14.27,217102,332913792.32,1.66,-0.9,-0.13,1.36
2025-03-26,002555,14.33,14.25,14.35,14.21,209643,320139823.96,0.98,-0.35,-0.05,1.31
2025-03-27,002555,14.21,14.23,14.34,14.05,212927,323469364.85,2.04,-0.14,-0.02,1.33
2025-03-28,002555,14.27,14.23,14.46,14.21,296911,455517937.72,1.76,0.0,0.0,1.86
2025-03-31,002555,14.12,13.91,14.12,13.82,316723,472959140.43,2.11,-2.25,-0.32,1.98
2025-04-01,002555,13.97,14.01,14.18,13.91,222076,333752211.28,1.94,0.72,0.1,1.39
2025-04-02,002555,13.95,13.95,14.15,13.9,188195,282514516.96,1.78,-0.43,-0.06,1.18
2025-04-03,002555,13.81,13.97,14.05,13.77,194443,290292757.68,2.01,0.14,0.02,1.22
2025-04-07,002555,13.17,12.51,13.33,12.47,578633,798958864.66,6.16,-10.45,-1.46,3.62
2025-04-08,002555,12.71,12.7,12.99,12.49,369890,506353739.18,4.0,1.52,0.19,2.31
2025-04-09,002555,12.51,12.92,12.99,12.12,400155,545698186.86,6.85,1.73,0.22,2.5
2025-04-10,002555,13.21,13.11,13.34,13.06,322161,457364850.55,2.17,1.47,0.19,2.01
2025-04-11,002555,12.97,13.09,13.19,12.91,235412,331011791.58,2.14,-0.15,-0.02,1.47
2025-04-14,002555,13.2,13.14,13.29,13.08,245954,348642026.8,1.6,0.38,0.05,1.54
2025-04-15,002555,13.19,13.47,13.62,13.16,355769,510138165.99,3.5,2.51,0.33,2.22
2025-04-16,002555,13.32,13.38,13.56,13.23,275624,395876242.67,2.45,-0.67,-0.09,1.72
2025-04-17,002555,13.27,13.67,13.69,13.26,308973,447961394.42,3.21,2.17,0.29,1.93
2025-04-18,002555,13.68,14.18,14.28,13.68,542464,814927304.83,4.39,3.73,0.51,3.39
2025-04-21,002555,14.34,14.62,14.73,14.11,563719,876213024.6,4.37,3.1,0.44,3.53
2025-04-22,002555,14.74,14.95,15.17,14.68,834296,1330041427.99,3.35,2.26,0.33,5.22
2025-04-23,002555,14.96,15.18,15.46,14.71,882077,1419271536.98,5.02,1.54,0.23,5.52
2025-04-24,002555,15.21,15.04,15.21,14.86,470894,753624045.93,2.31,-0.92,-0.14,2.94
2025-04-25,002555,15.02,14.97,15.18,14.96,346265,555605565.58,1.46,-0.47,-0.07,2.17
2025-04-28,002555,14.9,14.89,15.24,14.84,562196,899375002.56,2.67,-0.53,-0.08,3.52
2025-04-29,002555,14.97,15.09,15.18,14.89,456792,731539118.18,1.95,1.34,0.2,2.86
2025-04-30,002555,14.61,14.2,14.66,14.17,834290,1281129794.34,3.25,-5.9,-0.89,5.22
2025-05-06,002555,14.36,14.33,14.48,14.17,450899,690565335.34,2.18,0.92,0.13,2.82
2025-05-07,002555,14.5,14.14,14.53,14.04,462176,701689026.71,3.42,-1.33,-0.19,2.89
2025-05-08,002555,14.07,14.19,14.31,14.04,318826,484362834.06,1.91,0.35,0.05,1.99
2025-05-09,002555,14.22,13.94,14.25,13.89,305657,458106217.69,2.54,-1.76,-0.25,1.91
2025-05-12,002555,13.99,14.02,14.1,13.94,245685,368412953.92,1.15,0.57,0.08,1.54
2025-05-13,002555,14.14,14.04,14.18,13.99,318221,479029741.14,1.36,0.14,0.02,1.99
2025-05-14,002555,14.04,14.09,14.16,13.94,296150,445050321.58,1.57,0.36,0.05,1.85
2025-05-15,002555,14.07,13.82,14.09,13.81,301159,447782055.69,1.99,-1.92,-0.27,1.88
2025-05-16,002555,13.86,14.04,14.32,13.78,366056,550372367.95,3.91,1.59,0.22,2.29
2025-05-19,002555,14.03,14.02,14.07,13.84,227342,339207014.31,1.64,-0.14,-0.02,1.42
2025-05-20,002555,14.02,14.11,14.25,13.93,316273,477363383.04,2.28,0.64,0.09,1.98
2025-05-21,002555,14.11,14.1,14.17,14.0,218421,321942700.96,1.2,-0.07,-0.01,1.37
2025-05-22,002555,14.1,14.02,14.19,13.97,220598,324152743.75,1.56,-0.57,-0.08,1.38
2025-05-23,002555,13.97,13.8,14.07,13.8,216602,315180499.64,1.93,-1.57,-0.22,1.35
2025-05-26,002555,13.87,14.11,14.29,13.85,358597,528333329.88,3.19,2.25,0.31,2.24
2025-05-27,002555,14.1,14.08,14.16,14.02,186235,270000655.7,0.99,-0.21,-0.03,1.16
2025-05-28,002555,14.08,14.05,14.12,13.95,155749,225074260.54,1.21,-0.21,-0.03,0.97
2025-05-29,002555,14.06,14.24,14.25,14.01,240691,351171882.62,1.71,1.35,0.19,1.51
2025-05-30,002555,14.16,14.25,14.48,14.14,318125,468080529.52,2.39,0.07,0.01,1.99
2025-06-03,002555,14.09,14.41,14.67,14.01,580097,862948781.77,4.63,1.12,0.16,3.63
2025-06-04,002555,14.3,14.36,14.53,14.28,356873,527807865.07,1.73,-0.35,-0.05,2.23
2025-06-05,002555,14.34,14.53,14.56,14.28,378238,561440517.79,1.95,1.18,0.17,2.37
2025-06-06,002555,14.53,14.35,14.61,14.31,293914,435322445.44,2.06,-1.24,-0.18,1.84
2025-06-09,002555,14.35,14.34,14.39,14.28,251520,370983320.84,0.77,-0.07,-0.01,1.57
2025-06-10,002555,14.34,14.22,14.42,14.04,354645,519596709.33,2.65,-0.84,-0.12,2.22
2025-06-11,002555,14.19,14.45,14.53,14.19,458061,677896554.82,2.39,1.62,0.23,2.86
2025-06-12,002555,14.45,14.64,14.83,14.35,680010,1023430339.2,3.32,1.31,0.19,4.25
2025-06-13,002555,14.6,15.03,15.18,14.44,1424901,2184280937.54,5.05,2.66,0.39,8.91
2025-06-16,002555,15.13,15.01,15.44,14.98,1118287,1747205186.37,3.06,-0.13,-0.02,6.99
2025-06-17,002555,15.05,15.11,15.53,14.99,778844,1218143195.72,3.6,0.67,0.1,4.87
2025-06-18,002555,14.98,15.19,15.27,14.93,524215,814103630.91,2.25,0.53,0.08,3.28
2025-06-19,002555,15.21,16.13,16.67,15.18,1964605,3238938940.72,9.81,6.19,0.94,12.29
2025-06-20,002555,16.33,16.08,16.54,15.95,1136185,1889286823.87,3.66,-0.31,-0.05,7.11
2025-06-23,002555,16.0,16.19,16.43,15.87,815162,1351135131.71,3.48,0.68,0.11,5.1
2025-06-24,002555,16.38,16.39,16.63,16.19,934007,1572476641.73,2.72,1.24,0.2,5.84
2025-06-25,002555,16.33,16.53,17.06,16.3,925680,1577704894.62,4.64,0.85,0.14,5.79
2025-06-26,002555,16.31,16.2,16.4,16.06,696854,1160561339.85,2.06,-2.0,-0.33,4.36
2025-06-27,002555,16.14,15.93,16.18,15.78,630415,1032648206.47,2.47,-1.67,-0.27,3.94
2025-06-30,002555,15.93,16.87,17.08,15.93,1405766,2412788804.7,7.22,5.9,0.94,8.79
2025-07-01,002555,16.87,17.41,17.62,16.71,1200452,2126588171.83,5.39,3.2,0.54,7.51
2025-07-02,002555,17.33,17.01,17.48,16.99,643692,1132222090.89,2.81,-2.3,-0.4,4.03
2025-07-03,002555,17.03,16.98,17.34,16.64,555437,961299676.53,4.12,-0.18,-0.03,3.47
2025-07-04,002555,16.99,18.08,18.22,16.93,1455314,2633298446.3,7.6,6.48,1.1,9.1
2025-07-07,002555,18.03,17.91,18.34,17.8,974786,1797158381.75,2.99,-0.94,-0.17,6.1
2025-07-08,002555,17.93,18.07,18.39,17.84,1002536,1859105987.05,3.07,0.89,0.16,6.27
2025-07-09,002555,17.92,18.48,18.67,17.88,1108382,2084097735.41,4.37,2.27,0.41,6.93
2025-07-10,002555,18.58,18.28,18.89,17.9,954499,1786470375.06,5.36,-1.08,-0.2,5.97
2025-07-11,002555,18.25,18.13,18.51,17.79,822358,1525878291.49,3.94,-0.82,-0.15,5.14
2025-07-14,002555,17.67,16.41,17.67,16.31,1724129,2933584001.11,7.5,-9.49,-1.72,10.78
2025-07-15,002555,16.41,16.38,16.75,16.31,842003,1421691451.91,2.68,-0.18,-0.03,5.27
2025-07-16,002555,16.4,16.27,16.52,16.14,681295,1137211467.86,2.32,-0.67,-0.11,4.26
2025-07-17,002555,16.28,16.31,16.33,16.1,564588,939368865.66,1.41,0.25,0.04,3.53
2025-07-18,002555,16.38,16.17,16.42,16.09,492311,817592448.16,2.02,-0.86,-0.14,3.08
2025-07-21,002555,16.16,16.37,16.38,16.15,549068,918098907.6,1.42,1.24,0.2,3.43
2025-07-22,002555,16.4,16.33,16.63,16.21,606725,1019204158.78,2.57,-0.24,-0.04,3.79
2025-07-23,002555,16.34,16.62,16.91,16.3,932380,1591437438.76,3.74,1.78,0.29,5.83
2025-07-24,002555,16.63,16.67,16.67,16.45,503185,854968007.82,1.32,0.3,0.05,3.15
2025-07-25,002555,16.73,16.6,16.83,16.48,428855,729143474.71,2.1,-0.42,-0.07,2.68
2025-07-28,002555,16.58,16.49,16.62,16.36,424580,718097188.43,1.57,-0.66,-0.11,2.66
2025-07-29,002555,16.48,16.56,16.56,16.25,455652,766677852.08,1.88,0.42,0.07,2.85
2025-07-30,002555,16.51,16.66,16.82,16.39,610392,1039524476.81,2.6,0.6,0.1,3.82
2025-07-31,002555,16.68,16.19,16.68,16.11,587307,983849535.6,3.42,-2.82,-0.47,3.67
2025-08-01,002555,16.18,16.07,16.2,15.84,493101,808107713.53,2.22,-0.74,-0.12,3.08
2025-08-04,002555,15.91,16.47,16.54,15.87,593322,994219298.38,4.17,2.49,0.4,3.71
2025-08-05,002555,16.47,16.76,17.06,16.39,855023,1473557452.97,4.07,1.76,0.29,5.35
2025-08-06,002555,16.8,16.98,17.18,16.66,717316,1241691997.54,3.1,1.31,0.22,4.49
2025-08-07,002555,16.94,16.83,16.94,16.66,371564,639381996.07,1.65,-0.88,-0.15,2.32
2025-08-08,002555,16.81,16.55,17.03,16.51,427804,731454083.8,3.09,-1.66,-0.28,2.68
2025-08-11,002555,16.52,16.61,16.68,16.45,312082,530666045.17,1.39,0.36,0.06,1.95
2025-08-12,002555,16.57,16.5,16.72,16.48,313636,532470405.29,1.44,-0.66,-0.11,1.96
2025-08-13,002555,16.54,16.57,16.8,16.4,507898,863183824.22,2.42,0.42,0.07,3.18
2025-08-14,002555,16.61,16.48,16.88,16.35,669625,1144379973.69,3.2,-0.54,-0.09,4.19
2025-08-15,002555,16.36,16.71,16.93,16.21,684133,1163407379.93,4.37,1.4,0.23,4.28
2025-08-18,002555,16.82,16.92,17.01,16.76,695777,1204987469.41,1.5,1.26,0.21,4.35
2025-08-19,002555,16.97,16.77,17.04,16.75,471573,814728233.6,1.71,-0.89,-0.15,2.95
2025-08-20,002555,16.78,17.02,17.21,16.75,781721,1358196283.46,2.74,1.49,0.25,4.89
2025-08-21,002555,17.02,17.02,17.24,16.86,734174,1281533340.73,2.23,0.0,0.0,4.59
2025-08-22,002555,17.03,17.36,17.36,16.99,785667,1386193835.61,2.17,2.0,0.34,4.91
2025-08-25,002555,17.54,17.27,17.54,17.03,992649,1750129547.35,2.94,-0.52,-0.09,6.21
2025-08-26,002555,18.59,19.04,19.04,18.41,1353458,2617766440.16,3.65,10.25,1.77,8.46
2025-08-27,002555,19.79,19.24,20.28,19.21,2836204,5741481574.06,5.62,1.05,0.2,17.74
2025-08-28,002555,18.94,19.11,19.48,18.53,1406735,2721207473.1,4.94,-0.68,-0.13,8.8
2025-08-29,002555,19.16,19.27,19.46,18.92,1016346,1995320093.89,2.83,0.84,0.16,6.36
2025-09-01,002555,19.38,19.23,19.61,18.98,1098931,2167456853.01,3.27,-0.21,-0.04,6.87
2025-09-02,002555,19.17,18.88,19.56,18.62,918112,1787245275.84,4.89,-1.82,-0.35,5.74
2025-09-03,002555,18.9,19.25,19.88,18.81,1207845,2399481255.06,5.67,1.96,0.37,7.55
2025-09-04,002555,19.37,19.39,19.97,18.94,1242434,2441283693.6,5.35,0.73,0.14,7.77
2025-09-05,002555,19.51,20.04,20.76,18.94,1953750,3916606480.65,9.39,3.35,0.65,12.22
2025-09-08,002555,20.2,22.07,22.07,20.15,1902297,4085800320.27,9.58,10.13,2.03,11.9
2025-09-09,002555,22.07,22.53,22.67,21.88,1926875,4339766488.61,3.58,2.08,0.46,12.05
2025-09-10,002555,22.09,21.99,22.92,21.8,1626356,3659047861.08,4.97,-2.4,-0.54,10.17
2025-09-11,002555,21.82,22.06,22.08,20.99,1413860,3097815164.82,4.96,0.32,0.07,8.84
2025-09-12,002555,22.06,21.46,22.07,21.4,907011,1985431480.29,3.04,-2.72,-0.6,5.67
2025-09-15,002555,21.4,22.85,23.63,21.29,1649254,3783495015.09,10.9,6.48,1.39,10.31
2025-09-16,002555,22.69,22.38,22.8,22.21,902076,2046560556.18,2.58,-2.06,-0.47,5.64
2025-09-17,002555,22.5,22.85,23.06,22.17,983538,2246045986.8,3.98,2.1,0.47,6.15
2025-09-18,002555,22.82,23.04,23.84,22.59,1531806,3592598693.5,5.47,0.83,0.19,9.58
2025-09-19,002555,22.83,23.33,23.74,22.75,1130151,2657024797.68,4.3,1.26,0.29,7.07
2025-09-22,002555,23.47,22.03,23.59,21.69,1590781,3587673304.37,8.14,-5.57,-1.3,9.95
2025-09-23,002555,21.85,21.38,22.19,20.9,1339082,2900562439.73,5.86,-2.95,-0.65,8.37
2025-09-24,002555,21.31,22.28,22.43,21.17,983910,2171494833.92,5.89,4.21,0.9,6.15
2025-09-25,002555,22.55,23.1,23.53,22.32,1037824,2424874500.06,5.43,3.68,0.82,6.49
2025-09-26,002555,22.82,21.79,22.95,21.76,952516,2127603318.18,5.15,-5.67,-1.31,5.96
2025-09-29,002555,21.77,21.53,22.01,21.39,714081,1560346533.73,2.85,-1.19,-0.26,4.47
2025-09-30,002555,21.76,21.5,21.76,21.36,552287,1199606471.33,1.86,-0.14,-0.03,3.45
2025-10-09,002555,21.59,21.38,21.69,20.89,634359,1358836465.32,3.72,-0.56,-0.12,3.97
2025-10-10,002555,21.29,20.45,21.31,20.19,722406,1514728627.13,5.24,-4.35,-0.93,4.52
2025-10-13,002555,19.74,20.13,20.21,19.65,562841,1133940937.02,2.74,-1.56,-0.32,3.52
2025-10-14,002555,20.27,19.84,20.61,19.7,609669,1241434219.04,4.52,-1.44,-0.29,3.81
2025-10-15,002555,19.94,20.15,20.19,19.32,455998,918673907.15,4.39,1.56,0.31,2.85
2025-10-16,002555,20.15,19.88,20.18,19.81,338201,682840012.44,1.84,-1.34,-0.27,2.12
2025-10-17,002555,19.79,19.16,19.88,19.12,524141,1029470316.35,3.82,-3.62,-0.72,3.28
2025-10-20,002555,19.51,19.4,19.66,19.23,368884,725618662.52,2.24,1.25,0.24,2.31
2025-10-21,002555,19.44,19.75,19.75,19.35,483704,957376982.83,2.06,1.8,0.35,3.03
2025-10-22,002555,19.67,19.69,19.93,19.59,375941,749611101.21,1.72,-0.3,-0.06,2.35
2025-10-23,002555,19.67,20.24,20.31,19.46,512388,1027745647.22,4.32,2.79,0.55,3.2
2025-10-24,002555,20.12,20.21,20.34,19.92,567792,1155369078.83,2.08,-0.15,-0.03,3.55
2025-10-27,002555,20.39,19.84,20.45,19.68,678920,1364696104.31,3.81,-1.83,-0.37,4.25
2025-10-28,002555,19.8,19.53,19.96,19.4,538469,1066524135.85,2.82,-1.56,-0.31,3.37
2025-10-29,002555,20.39,20.97,21.37,20.31,1254219,2642290824.39,5.43,7.37,1.44,7.84
2025-10-30,002555,21.1,20.73,21.19,20.57,776455,1635509056.5,2.96,-1.14,-0.24,4.86
2025-10-31,002555,20.89,20.56,20.99,20.51,685528,1434223939.75,2.32,-0.82,-0.17,4.29
2025-11-03,002555,22.64,22.64,22.64,22.24,572023,1306532849.89,1.95,10.12,2.08,3.58
2025-11-04,002555,23.2,23.23,24.14,22.89,2108039,4986726849.92,5.52,2.61,0.59,13.18
2025-11-05,002555,22.78,23.01,23.29,22.64,1065921,2468585773.59,2.8,-0.95,-0.22,6.67
2025-11-06,002555,23.09,22.78,23.12,22.62,695056,1583356980.38,2.17,-1.0,-0.23,4.35
2025-11-07,002555,22.52,22.0,22.6,21.93,695710,1542435493.54,2.94,-3.42,-0.78,4.35
2025-11-10,002555,22.12,21.7,22.25,21.64,516646,1128147833.17,2.77,-1.36,-0.3,3.23
2025-11-11,002555,21.79,21.6,21.83,21.4,501967,1085413751.69,1.98,-0.46,-0.1,3.14
2025-11-12,002555,21.71,21.35,21.97,21.22,594803,1284046149.67,3.47,-1.16,-0.25,3.72
2025-11-13,002555,21.21,21.38,21.55,21.15,431622,922522534.62,1.87,0.14,0.03,2.7
2025-11-14,002555,21.1,20.95,21.32,20.95,380035,802207794.01,1.73,-2.01,-0.43,2.38
2025-11-17,002555,20.9,20.7,20.9,20.5,392440,811340840.0,1.91,-1.19,-0.25,2.45
2025-11-18,002555,20.77,20.9,21.18,20.72,535631,1121963268.59,2.22,0.97,0.2,3.35
2025-11-19,002555,20.86,20.09,20.87,19.98,657879,1335452218.1,4.26,-3.88,-0.81,4.11
2025-11-20,002555,20.2,19.94,20.28,19.92,309951,622487108.26,1.79,-0.75,-0.15,1.94
2025-11-21,002555,19.6,19.88,20.18,19.58,555320,1103128591.77,3.01,-0.3,-0.06,3.47
2025-11-24,002555,19.94,20.44,20.56,19.56,607816,1227273234.61,5.03,2.82,0.56,3.8
2025-11-25,002555,20.52,21.58,21.75,20.52,1211312,2593441450.79,6.02,5.58,1.14,7.58
2025-11-26,002555,21.45,21.38,21.71,21.28,621290,1336323880.44,1.99,-0.93,-0.2,3.89
2025-11-27,002555,21.38,20.95,21.6,20.88,528811,1121245979.86,3.37,-2.01,-0.43,3.31
2025-11-28,002555,20.88,20.58,21.1,20.46,463425,957236399.83,3.05,-1.77,-0.37,2.9
2025-12-01,002555,20.46,20.79,20.79,20.35,522463,1075622138.6,2.14,1.02,0.21,3.27
2025-12-02,002555,20.68,20.35,20.82,20.26,432457,882590427.91,2.69,-2.12,-0.44,2.7
2025-12-03,002555,20.33,20.14,20.43,19.95,374714,754859404.83,2.36,-1.03,-0.21,2.34
2025-12-04,002555,20.14,19.97,20.29,19.9,312929,627129891.76,1.94,-0.84,-0.17,1.96
2025-12-05,002555,19.93,20.04,20.11,19.82,354685,709660322.91,1.45,0.35,0.07,2.22
2025-12-08,002555,20.28,20.56,20.98,20.2,732251,1511885087.78,3.89,2.59,0.52,4.58
2025-12-09,002555,20.51,20.34,20.66,20.22,420530,858390255.62,2.14,-1.07,-0.22,2.63
2025-12-10,002555,20.34,20.61,20.7,19.96,461261,940345890.05,3.64,1.33,0.27,2.88
2025-12-11,002555,20.7,20.4,20.78,20.39,300936,616702636.68,1.89,-1.02,-0.21,1.88
2025-12-12,002555,20.4,20.87,20.97,20.36,575889,1195436282.95,2.99,2.3,0.47,3.6
2025-12-15,002555,20.9,21.29,21.66,20.9,701918,1501522898.69,3.64,2.01,0.42,4.39
2025-12-16,002555,21.22,20.7,21.45,20.57,461132,963577600.68,4.13,-2.77,-0.59,2.88
2025-12-17,002555,20.89,21.9,22.14,20.89,1032101,2235161396.07,6.04,5.8,1.2,6.45
2025-12-18,002555,21.9,22.32,22.86,21.81,1017437,2272566775.5,4.79,1.92,0.42,6.36
2025-12-19,002555,22.25,22.5,22.74,22.02,634361,1422168246.07,3.23,0.81,0.18,3.97
2025-12-22,002555,22.62,22.38,22.95,22.16,626579,1403888075.36,3.51,-0.53,-0.12,3.92
2025-12-23,002555,22.37,22.69,22.88,22.23,586162,1322217964.9,2.9,1.39,0.31,3.67
2025-12-24,002555,22.58,22.39,22.65,22.09,491531,1095743204.43,2.47,-1.32,-0.3,3.07
2025-12-25,002555,22.36,22.5,22.72,22.13,394617,882899237.89,2.64,0.49,0.11,2.47
2025-12-26,002555,22.55,22.63,22.91,22.3,417728,943722968.73,2.71,0.58,0.13,2.61
2025-12-29,002555,22.62,22.53,22.88,22.18,454775,1026597332.12,3.09,-0.44,-0.1,2.84
2025-12-30,002555,22.55,23.37,24.0,22.51,881219,2057102439.72,6.61,3.73,0.84,5.51
2025-12-31,002555,23.37,23.6,23.78,23.22,501761,1180480823.92,2.4,0.98,0.23,3.14
2026-01-05,002555,25.0,25.96,25.96,24.94,471020,1212284013.97,4.32,10.0,2.36,2.95
2026-01-06,002555,26.19,26.41,27.68,26.18,2286168,6130379397.82,5.78,1.73,0.45,14.3
2026-01-07,002555,26.83,26.67,27.69,26.26,1372739,3697334093.9,5.41,0.98,0.26,8.59
2026-01-08,002555,26.51,26.81,27.32,26.05,1112406,2962449563.57,4.76,0.52,0.14,6.96
2026-01-09,002555,26.35,27.29,27.49,26.18,1223620,3293017586.6,4.89,1.79,0.48,7.65
2026-01-12,002555,28.39,29.76,30.02,27.56,2186532,6371616448.5,9.01,9.05,2.47,13.67
2026-01-13,002555,30.27,29.94,31.01,29.29,1823010,5509167066.0,5.78,0.6,0.18,11.4
2026-01-14,002555,29.31,29.57,30.85,29.05,1643333,4911675611.78,6.01,-1.24,-0.37,10.28
2026-01-15,002555,29.15,29.25,29.9,28.8,950022,2783381267.26,3.72,-1.08,-0.32,5.94
