日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002595,49.59,48.71,50.43,48.3,36612,181730008.83,4.28,-2.17,-1.08,0.46
2025-01-03,002595,48.8,48.55,49.58,48.45,25990,128257876.44,2.32,-0.33,-0.16,0.33
2025-01-06,002595,48.66,48.6,49.16,48.21,28898,141670741.48,1.96,0.1,0.05,0.36
2025-01-07,002595,48.6,48.89,49.66,48.21,31000,153164517.6,2.98,0.6,0.29,0.39
2025-01-08,002595,49.19,51.45,52.0,48.71,53170,271355247.52,6.73,5.24,2.56,0.67
2025-01-09,002595,51.59,51.4,52.59,51.0,47132,245972206.02,3.09,-0.1,-0.05,0.59
2025-01-10,002595,51.4,51.39,51.93,51.02,25012,129918072.75,1.77,-0.02,-0.01,0.31
2025-01-13,002595,51.1,50.41,51.6,49.86,28992,148225824.3,3.39,-1.91,-0.98,0.37
2025-01-14,002595,50.41,51.46,52.1,49.3,35516,182792603.1,5.55,2.08,1.05,0.45
2025-01-15,002595,51.58,51.42,52.28,51.04,25514,132691678.43,2.41,-0.08,-0.04,0.32
2025-01-16,002595,51.42,51.6,51.91,50.99,25697,133436198.0,1.79,0.35,0.18,0.32
2025-01-17,002595,51.96,52.2,52.7,51.28,24322,127539874.02,2.75,1.16,0.6,0.31
2025-01-20,002595,52.5,52.6,53.2,52.1,24721,131515719.42,2.11,0.77,0.4,0.31
2025-01-21,002595,52.79,52.94,53.12,52.1,15045,79713878.4,1.94,0.65,0.34,0.19
2025-01-22,002595,52.6,52.7,53.1,51.38,22550,118561007.11,3.25,-0.45,-0.24,0.28
2025-01-23,002595,52.68,51.2,53.08,50.85,43852,227889692.64,4.23,-2.85,-1.5,0.55
2025-01-24,002595,50.92,51.44,52.14,50.87,21024,109197138.0,2.48,0.47,0.24,0.26
2025-01-27,002595,51.11,51.37,51.95,50.7,23670,122681078.0,2.43,-0.14,-0.07,0.3
2025-02-05,002595,51.28,48.8,51.6,48.6,48753,241855506.57,5.84,-5.0,-2.57,0.61
2025-02-06,002595,49.04,48.75,49.47,48.51,30717,151262875.52,1.97,-0.1,-0.05,0.39
2025-02-07,002595,48.75,49.13,50.01,48.42,27719,137384855.37,3.26,0.78,0.38,0.35
2025-02-10,002595,49.36,48.79,49.58,48.4,24818,122047475.42,2.4,-0.69,-0.34,0.31
2025-02-11,002595,48.59,49.07,49.36,48.5,17095,84337362.76,1.76,0.57,0.28,0.22
2025-02-12,002595,48.65,48.9,49.07,48.46,17261,84862761.61,1.24,-0.35,-0.17,0.22
2025-02-13,002595,48.86,48.0,48.87,47.83,28627,139196060.23,2.13,-1.84,-0.9,0.36
2025-02-14,002595,48.01,48.39,48.48,47.86,23767,115640812.13,1.29,0.81,0.39,0.3
2025-02-17,002595,48.33,48.63,48.84,47.83,32737,159239033.82,2.09,0.5,0.24,0.41
2025-02-18,002595,48.86,48.9,50.1,48.6,36945,183805799.27,3.08,0.56,0.27,0.46
2025-02-19,002595,48.75,50.03,50.09,48.73,32013,160067316.2,2.78,2.31,1.13,0.4
2025-02-20,002595,49.86,49.18,49.89,48.9,25055,124426990.34,1.98,-1.7,-0.85,0.32
2025-02-21,002595,49.45,48.83,49.45,48.34,33354,163939551.33,2.26,-0.71,-0.35,0.42
2025-02-24,002595,48.95,48.4,48.98,48.2,34908,170754536.0,1.6,-0.88,-0.43,0.44
2025-02-25,002595,48.18,48.37,48.78,47.92,24284,118651831.34,1.78,-0.06,-0.03,0.31
2025-02-26,002595,48.4,48.28,48.71,48.14,33118,161569768.33,1.18,-0.19,-0.09,0.42
2025-02-27,002595,48.28,48.76,48.82,48.0,27571,134574362.0,1.7,0.99,0.48,0.35
2025-02-28,002595,48.63,50.58,50.79,48.59,51419,258808853.64,4.51,3.73,1.82,0.65
2025-03-03,002595,50.59,50.53,51.69,50.28,35547,182084823.32,2.79,-0.1,-0.05,0.45
2025-03-04,002595,50.53,52.3,52.67,50.31,37371,196086346.47,4.67,3.5,1.77,0.47
2025-03-05,002595,52.25,52.38,53.05,51.82,22707,120230069.96,2.35,0.15,0.08,0.29
2025-03-06,002595,52.6,52.06,52.9,51.43,25598,134125366.4,2.81,-0.61,-0.32,0.32
2025-03-07,002595,51.99,52.71,52.93,51.8,19320,102157031.0,2.17,1.25,0.65,0.24
2025-03-10,002595,52.62,52.12,52.85,51.6,20754,108831804.76,2.37,-1.12,-0.59,0.26
2025-03-11,002595,51.79,52.08,52.45,51.55,21367,111705993.0,1.73,-0.08,-0.04,0.27
2025-03-12,002595,52.26,51.84,52.39,51.24,17136,89181031.7,2.21,-0.46,-0.24,0.22
2025-03-13,002595,51.66,51.2,51.99,50.92,15691,81046375.21,2.06,-1.23,-0.64,0.2
2025-03-14,002595,51.2,51.84,52.0,51.2,18501,96487763.56,1.56,1.25,0.64,0.23
2025-03-17,002595,51.9,51.55,52.12,51.26,21910,113865247.09,1.66,-0.56,-0.29,0.28
2025-03-18,002595,52.6,53.02,55.19,52.5,56435,307826030.34,5.22,2.85,1.47,0.71
2025-03-19,002595,53.72,56.09,56.45,53.32,55798,310891623.19,5.9,5.79,3.07,0.7
2025-03-20,002595,56.11,56.03,57.84,55.6,57101,325437017.0,3.99,-0.11,-0.06,0.72
2025-03-21,002595,55.6,56.94,57.83,55.45,55047,317057973.28,4.25,1.62,0.91,0.69
2025-03-24,002595,57.02,57.21,57.68,56.6,27790,159933429.38,1.9,0.47,0.27,0.35
2025-03-25,002595,57.23,57.76,58.4,57.1,34922,203404448.63,2.27,0.96,0.55,0.44
