日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002612,15.96,15.85,16.6,15.7,99142,164465083.84,5.64,-0.69,-0.11,3.89
2025-01-03,002612,15.92,15.14,16.06,15.1,82062,130610298.0,6.06,-4.48,-0.71,3.22
2025-01-06,002612,15.11,15.24,15.62,14.82,67960,106516267.0,5.28,0.66,0.1,2.67
2025-01-07,002612,15.28,15.36,15.43,14.96,44814,69929097.0,3.08,0.79,0.12,1.76
2025-01-08,002612,15.36,15.35,15.53,14.91,58992,92328962.0,4.04,-0.07,-0.01,2.32
2025-01-09,002612,15.23,15.03,15.4,15.01,49888,77738102.28,2.54,-2.08,-0.32,1.96
2025-01-10,002612,15.07,14.34,15.07,14.32,68062,102629560.3,4.99,-4.59,-0.69,2.67
2025-01-13,002612,14.3,14.3,14.38,13.97,49999,73075164.0,2.86,-0.28,-0.04,1.96
2025-01-14,002612,14.37,14.75,14.77,14.37,75328,113169329.56,2.8,3.15,0.45,2.96
2025-01-15,002612,14.7,14.8,15.05,14.64,61738,93959965.38,2.78,0.34,0.05,2.42
2025-01-16,002612,14.82,15.04,15.35,14.82,62647,97146310.12,3.58,1.62,0.24,2.46
2025-01-17,002612,14.99,14.86,15.0,14.7,46653,71091758.95,1.99,-1.2,-0.18,1.83
2025-01-20,002612,14.9,15.11,15.24,14.85,45952,71197367.88,2.62,1.68,0.25,1.8
2025-01-21,002612,15.17,15.04,15.33,14.87,37566,57922625.0,3.04,-0.46,-0.07,1.47
2025-01-22,002612,14.96,14.78,15.04,14.72,32283,49034861.0,2.13,-1.73,-0.26,1.27
2025-01-23,002612,14.95,14.73,15.13,14.73,38976,59756870.0,2.71,-0.34,-0.05,1.53
2025-01-24,002612,14.86,14.93,14.98,14.72,36601,55946954.0,1.77,1.36,0.2,1.44
2025-01-27,002612,15.1,14.93,15.28,14.87,40264,62269093.28,2.75,0.0,0.0,1.58
2025-02-05,002612,15.1,14.85,15.1,14.72,48343,73958255.0,2.55,-0.54,-0.08,1.9
2025-02-06,002612,14.77,14.74,14.93,14.52,70414,106291627.0,2.76,-0.74,-0.11,2.76
2025-02-07,002612,14.8,15.26,15.37,14.66,94499,146591539.6,4.82,3.53,0.52,3.71
2025-02-10,002612,15.48,15.4,15.48,15.14,73466,115417589.64,2.23,0.92,0.14,2.88
2025-02-11,002612,15.5,15.3,15.55,15.2,54408,85429289.32,2.27,-0.65,-0.1,2.14
2025-02-12,002612,15.26,15.33,15.43,15.16,59477,93206968.45,1.76,0.2,0.03,2.33
2025-02-13,002612,15.28,15.4,15.58,15.2,85996,136011273.52,2.48,0.46,0.07,3.38
2025-02-14,002612,15.29,15.35,15.49,15.26,51943,81853118.0,1.49,-0.32,-0.05,2.04
2025-02-17,002612,15.42,15.45,15.58,15.28,64755,102525839.06,1.95,0.65,0.1,2.54
2025-02-18,002612,15.5,14.78,15.52,14.7,87083,134713163.0,5.31,-4.34,-0.67,3.42
2025-02-19,002612,14.89,15.02,15.04,14.65,60333,91989230.0,2.64,1.62,0.24,2.37
2025-02-20,002612,14.95,15.24,15.33,14.95,58684,91251846.44,2.53,1.46,0.22,2.3
2025-02-21,002612,15.25,15.03,15.38,14.86,77549,119537794.04,3.41,-1.38,-0.21,3.04
2025-02-24,002612,14.93,14.97,15.05,14.83,57885,88727977.92,1.46,-0.4,-0.06,2.27
2025-02-25,002612,14.85,14.63,14.86,14.6,58507,88523210.26,1.74,-2.27,-0.34,2.3
2025-02-26,002612,14.65,14.73,14.88,14.53,54002,81404610.23,2.39,0.68,0.1,2.12
2025-02-27,002612,14.71,14.95,15.02,14.62,74276,113189327.0,2.72,1.49,0.22,2.92
2025-02-28,002612,14.85,14.56,15.07,14.5,62293,94408326.74,3.81,-2.61,-0.39,2.45
2025-03-03,002612,14.52,14.66,15.03,14.52,67520,102750787.19,3.5,0.69,0.1,2.65
2025-03-04,002612,14.64,14.53,14.66,14.4,50189,74896327.95,1.77,-0.89,-0.13,1.97
2025-03-05,002612,14.52,14.39,14.53,14.04,68500,100295564.4,3.37,-0.96,-0.14,2.69
2025-03-06,002612,14.45,14.59,14.62,14.31,58963,87861016.2,2.15,1.39,0.2,2.31
2025-03-07,002612,14.53,14.4,14.58,14.36,48604,72217302.0,1.51,-1.3,-0.19,1.91
2025-03-10,002612,14.41,14.52,14.52,14.4,35556,52835564.0,0.83,0.83,0.12,1.4
2025-03-11,002612,14.42,15.05,15.22,14.35,157568,242021000.78,5.99,3.65,0.53,6.19
2025-03-12,002612,15.05,15.32,15.58,14.93,155615,243875798.96,4.32,1.79,0.27,6.11
2025-03-13,002612,15.3,15.79,15.93,15.21,176615,283097855.94,4.7,3.07,0.47,6.93
2025-03-14,002612,15.93,16.23,16.37,15.68,180297,294682651.01,4.37,2.79,0.44,7.08
2025-03-17,002612,16.45,16.0,16.69,15.98,154854,257927508.5,4.37,-1.42,-0.23,6.08
2025-03-18,002612,16.1,16.12,16.13,15.9,78962,129533803.1,1.44,0.75,0.12,3.1
2025-03-19,002612,16.09,15.89,16.1,15.85,67231,109825596.0,1.55,-1.43,-0.23,2.64
2025-03-20,002612,15.89,15.66,15.99,15.61,67832,109663266.0,2.39,-1.45,-0.23,2.66
2025-03-21,002612,15.56,15.32,15.65,15.27,69205,109606703.98,2.43,-2.17,-0.34,2.72
2025-03-24,002612,15.31,15.25,15.37,14.99,63706,99264843.87,2.48,-0.46,-0.07,2.5
2025-03-25,002612,15.25,15.31,15.35,15.13,44648,69868312.0,1.44,0.39,0.06,1.75
2025-03-26,002612,15.27,15.19,15.42,15.15,56169,87942333.0,1.76,-0.78,-0.12,2.2
2025-03-27,002612,15.2,15.12,15.25,14.95,47852,74285358.0,1.97,-0.46,-0.07,1.88
2025-03-28,002612,15.05,14.8,15.14,14.78,43715,67166531.0,2.38,-2.12,-0.32,1.72
2025-03-31,002612,14.63,14.71,14.87,14.52,39661,59849976.73,2.36,-0.61,-0.09,1.56
2025-04-01,002612,14.77,14.97,15.14,14.77,48594,74844271.64,2.52,1.77,0.26,1.91
