日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002633,10.71,10.79,11.17,10.48,46390,50365302.7,6.42,0.37,0.04,3.1
2025-01-03,002633,10.83,9.93,10.94,9.9,54622,56337418.0,9.64,-7.97,-0.86,3.66
2025-01-06,002633,9.87,9.83,10.01,9.43,30854,30100694.0,5.84,-1.01,-0.1,2.06
2025-01-07,002633,9.63,10.13,10.15,9.63,23521,23511849.0,5.29,3.05,0.3,1.57
2025-01-08,002633,10.18,10.22,10.3,9.86,29153,29539495.0,4.34,0.89,0.09,1.95
2025-01-09,002633,10.26,10.17,10.3,10.14,16557,16929921.0,1.57,-0.49,-0.05,1.11
2025-01-10,002633,10.17,9.73,10.3,9.73,21522,21518401.0,5.6,-4.33,-0.44,1.44
2025-01-13,002633,9.66,9.78,9.84,9.34,23871,22994670.0,5.14,0.51,0.05,1.6
2025-01-14,002633,9.97,10.32,10.4,9.85,30066,30764623.0,5.62,5.52,0.54,2.01
2025-01-15,002633,10.33,10.41,10.71,10.33,26863,28058293.0,3.68,0.87,0.09,1.8
2025-01-16,002633,10.46,10.64,10.83,10.37,30635,32461448.0,4.42,2.21,0.23,2.05
2025-01-17,002633,10.52,10.65,10.72,10.42,26737,28249769.0,2.82,0.09,0.01,1.79
2025-01-20,002633,10.62,10.96,11.05,10.42,30035,32546320.0,5.92,2.91,0.31,2.01
2025-01-21,002633,11.07,10.81,11.15,10.72,26091,28327868.0,3.92,-1.37,-0.15,1.75
2025-01-22,002633,10.81,10.75,10.89,10.61,19873,21348920.0,2.59,-0.56,-0.06,1.33
2025-01-23,002633,10.84,10.68,11.03,10.65,26960,29399523.0,3.53,-0.65,-0.07,1.8
2025-01-24,002633,10.7,10.69,10.72,10.52,29969,31766793.0,1.87,0.09,0.01,2.01
2025-01-27,002633,10.8,10.9,11.41,10.77,46660,51799333.0,5.99,1.96,0.21,3.12
2025-02-05,002633,11.02,11.14,11.28,10.91,29070,32347929.16,3.39,2.2,0.24,1.95
2025-02-06,002633,11.3,11.16,11.3,10.91,22466,24900389.94,3.5,0.18,0.02,1.5
2025-02-07,002633,11.11,11.25,11.48,11.1,31304,35297249.7,3.41,0.81,0.09,2.1
2025-02-10,002633,11.26,11.32,11.34,11.15,26070,29368257.0,1.69,0.62,0.07,1.74
2025-02-11,002633,11.32,11.33,11.41,11.21,22181,25050019.0,1.77,0.09,0.01,1.48
2025-02-12,002633,11.26,11.25,11.37,11.2,26004,29322942.0,1.5,-0.71,-0.08,1.74
2025-02-13,002633,11.26,10.95,11.28,10.95,24135,26762513.96,2.93,-2.67,-0.3,1.62
2025-02-14,002633,10.94,10.86,11.11,10.78,22507,24550686.98,3.01,-0.82,-0.09,1.51
2025-02-17,002633,10.87,11.36,11.37,10.85,35786,40105282.0,4.79,4.6,0.5,2.4
2025-02-18,002633,11.36,11.02,11.47,10.98,22679,25448738.51,4.31,-2.99,-0.34,1.52
2025-02-19,002633,11.02,11.27,11.5,11.02,20650,23201776.0,4.36,2.27,0.25,1.38
2025-02-20,002633,11.3,11.91,12.18,11.2,76237,90209088.9,8.7,5.68,0.64,5.1
2025-02-21,002633,11.81,11.6,12.39,11.51,68401,80357950.3,7.39,-2.6,-0.31,4.58
2025-02-24,002633,11.4,11.47,11.75,11.29,46496,53308571.0,3.97,-1.12,-0.13,3.11
2025-02-25,002633,11.4,11.32,11.55,11.23,32930,37409586.0,2.79,-1.31,-0.15,2.2
2025-02-26,002633,11.33,11.46,11.7,11.25,38970,44605604.0,3.98,1.24,0.14,2.61
2025-02-27,002633,11.46,11.56,11.86,11.3,56861,65728187.0,4.89,0.87,0.1,3.81
2025-02-28,002633,11.49,10.99,11.54,10.94,39118,43576205.0,5.19,-4.93,-0.57,2.62
2025-03-03,002633,11.01,11.03,11.22,10.89,28814,31867199.36,3.0,0.36,0.04,1.93
2025-03-04,002633,10.87,11.21,11.3,10.87,24827,27729932.06,3.9,1.63,0.18,1.66
2025-03-05,002633,11.21,11.5,11.65,11.01,48132,54737498.56,5.71,2.59,0.29,3.22
2025-03-06,002633,11.47,11.52,11.56,11.41,32839,37741517.26,1.3,0.17,0.02,2.2
2025-03-07,002633,11.54,11.13,11.54,11.06,36342,40873241.68,4.17,-3.39,-0.39,2.43
