日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002638,2.22,2.23,2.3,2.2,291323,65604958.54,4.44,-0.89,-0.02,2.16
2025-01-03,002638,2.25,2.14,2.28,2.13,343267,74813463.62,6.73,-4.04,-0.09,2.55
2025-01-06,002638,2.13,2.08,2.13,2.03,271365,56378800.52,4.67,-2.8,-0.06,2.01
2025-01-07,002638,2.11,2.18,2.2,2.08,311285,66219513.34,5.77,4.81,0.1,2.31
2025-01-08,002638,2.2,2.24,2.26,2.12,397664,87250957.0,6.42,2.75,0.06,2.95
2025-01-09,002638,2.21,2.21,2.25,2.18,235192,52097969.0,3.13,-1.34,-0.03,1.75
2025-01-10,002638,2.2,2.11,2.25,2.1,260682,56538789.96,6.79,-4.52,-0.1,1.94
2025-01-13,002638,2.07,2.1,2.12,2.05,198193,41265142.5,3.32,-0.47,-0.01,1.47
2025-01-14,002638,2.1,2.22,2.23,2.1,268933,58645102.0,6.19,5.71,0.12,2.0
2025-01-15,002638,2.22,2.24,2.25,2.17,287675,63846527.0,3.6,0.9,0.02,2.14
2025-01-16,002638,2.24,2.27,2.32,2.23,254783,58099739.0,4.02,1.34,0.03,1.89
2025-01-17,002638,2.25,2.19,2.27,2.19,237265,52439017.0,3.52,-3.52,-0.08,1.76
2025-01-20,002638,2.22,2.21,2.25,2.15,255645,56512916.0,4.57,0.91,0.02,1.9
2025-01-21,002638,2.21,2.15,2.23,2.13,205518,44352508.0,4.52,-2.71,-0.06,1.53
2025-01-22,002638,2.13,2.1,2.14,2.08,170002,35727381.0,2.79,-2.33,-0.05,1.26
2025-01-23,002638,2.12,2.09,2.17,2.09,202185,43099588.0,3.81,-0.48,-0.01,1.5
2025-01-24,002638,2.09,2.1,2.13,2.06,232502,48770041.76,3.35,0.48,0.01,1.73
2025-01-27,002638,2.09,2.1,2.21,2.09,311720,67140541.5,5.71,0.0,0.0,2.31
2025-02-05,002638,2.12,2.18,2.21,2.12,293458,63891137.38,4.29,3.81,0.08,2.18
2025-02-06,002638,2.17,2.21,2.22,2.12,261140,56930588.0,4.59,1.38,0.03,1.94
2025-02-07,002638,2.21,2.25,2.29,2.2,273606,61595139.0,4.07,1.81,0.04,2.03
2025-02-10,002638,2.25,2.34,2.34,2.23,301781,69599311.5,4.89,4.0,0.09,2.24
2025-02-11,002638,2.35,2.31,2.36,2.28,323564,74449151.9,3.42,-1.28,-0.03,2.4
2025-02-12,002638,2.31,2.31,2.35,2.29,234937,54264412.95,2.6,0.0,0.0,1.74
2025-02-13,002638,2.31,2.31,2.34,2.27,243682,56278832.0,3.03,0.0,0.0,1.81
2025-02-14,002638,2.3,2.27,2.32,2.27,225292,51470883.0,2.16,-1.73,-0.04,1.67
2025-02-17,002638,2.29,2.33,2.37,2.28,304840,70982809.0,3.96,2.64,0.06,2.26
2025-02-18,002638,2.33,2.24,2.34,2.24,304338,69615538.03,4.29,-3.86,-0.09,2.26
2025-02-19,002638,2.24,2.27,2.28,2.23,178742,40371675.75,2.23,1.34,0.03,1.33
2025-02-20,002638,2.29,2.29,2.31,2.26,184847,42305040.0,2.2,0.88,0.02,1.37
2025-02-21,002638,2.29,2.26,2.31,2.23,254209,57327001.82,3.49,-1.31,-0.03,1.89
2025-02-24,002638,2.25,2.24,2.33,2.22,372986,84123362.9,4.87,-0.88,-0.02,2.77
2025-02-25,002638,2.23,2.22,2.27,2.2,249067,55521354.0,3.13,-0.89,-0.02,1.85
2025-02-26,002638,2.21,2.27,2.28,2.21,320933,72359865.0,3.15,2.25,0.05,2.38
2025-02-27,002638,2.26,2.22,2.32,2.19,358393,80219428.0,5.73,-2.2,-0.05,2.66
2025-02-28,002638,2.22,2.14,2.23,2.12,340986,73893725.0,4.95,-3.6,-0.08,2.53
2025-03-03,002638,2.13,2.12,2.17,2.1,253191,53996493.0,3.27,-0.93,-0.02,1.88
2025-03-04,002638,2.11,2.13,2.14,2.09,167226,35257945.0,2.36,0.47,0.01,1.24
2025-03-05,002638,2.13,2.12,2.14,2.07,189274,39664943.0,3.29,-0.47,-0.01,1.41
2025-03-06,002638,2.12,2.14,2.14,2.1,215185,45791562.15,1.89,0.94,0.02,1.6
2025-03-07,002638,2.13,2.07,2.14,2.06,296412,61969034.3,3.74,-3.27,-0.07,2.2
2025-03-10,002638,2.07,2.1,2.15,2.07,247185,51991774.5,3.86,1.45,0.03,1.83
2025-03-11,002638,2.08,2.15,2.2,2.06,555106,119349157.6,6.67,2.38,0.05,4.12
2025-03-12,002638,2.18,2.37,2.37,2.14,933465,212346115.0,10.7,10.23,0.22,6.93
2025-03-13,002638,2.4,2.44,2.52,2.33,1381782,334508697.76,8.02,2.95,0.07,10.26
2025-03-14,002638,2.44,2.39,2.44,2.33,694031,164460804.5,4.51,-2.05,-0.05,5.15
2025-03-17,002638,2.4,2.39,2.44,2.38,462693,111254440.5,2.51,0.0,0.0,3.43
2025-03-18,002638,2.4,2.34,2.41,2.32,390140,91710401.0,3.77,-2.09,-0.05,2.9
2025-03-19,002638,2.34,2.49,2.57,2.34,1076076,266364866.52,9.83,6.41,0.15,7.99
2025-03-20,002638,2.4,2.41,2.47,2.35,592289,143383583.88,4.82,-3.21,-0.08,4.4
2025-03-21,002638,2.42,2.43,2.45,2.37,442746,107009805.82,3.32,0.83,0.02,3.29
2025-03-24,002638,2.45,2.31,2.45,2.27,446296,104472096.5,7.41,-4.94,-0.12,3.31
2025-03-25,002638,2.31,2.3,2.34,2.27,243484,56166866.5,3.03,-0.43,-0.01,1.81
2025-03-26,002638,2.29,2.31,2.33,2.27,232286,53604611.5,2.61,0.43,0.01,1.72
2025-03-27,002638,2.3,2.2,2.3,2.2,379885,84604800.0,4.33,-4.76,-0.11,2.82
2025-03-28,002638,2.19,2.16,2.21,2.14,258848,55975291.06,3.18,-1.82,-0.04,1.92
2025-03-31,002638,2.12,2.11,2.14,2.06,279712,58499236.5,3.7,-2.31,-0.05,2.08
2025-04-01,002638,2.13,2.13,2.19,2.11,205699,43998687.5,3.79,0.95,0.02,1.53
2025-04-02,002638,2.11,2.16,2.2,2.11,233003,50374131.5,4.23,1.41,0.03,1.73
2025-04-03,002638,2.14,2.14,2.19,2.13,176928,38106169.0,2.78,-0.93,-0.02,1.31
2025-04-07,002638,2.05,1.93,2.05,1.93,234715,45786165.5,5.61,-9.81,-0.21,1.74
2025-04-08,002638,1.85,1.82,1.93,1.76,369961,68046582.0,8.81,-5.7,-0.11,2.75
2025-04-09,002638,1.83,1.86,1.88,1.67,292413,52321161.5,11.54,2.2,0.04,2.17
2025-04-10,002638,1.88,1.94,1.96,1.86,256896,49569664.0,5.38,4.3,0.08,1.91
2025-04-11,002638,1.93,1.93,1.98,1.9,177180,34476462.92,4.12,-0.52,-0.01,1.32
2025-04-14,002638,1.96,2.01,2.08,1.96,258950,52493721.0,6.22,4.15,0.08,1.92
2025-04-15,002638,2.01,1.98,2.02,1.96,169066,33486841.5,2.99,-1.49,-0.03,1.26
2025-04-16,002638,1.96,1.91,1.97,1.88,191618,36704380.0,4.55,-3.54,-0.07,1.42
2025-04-17,002638,1.9,1.91,1.94,1.87,132629,25382769.0,3.66,0.0,0.0,0.98
2025-04-18,002638,1.91,1.9,1.92,1.87,102250,19377633.3,2.62,-0.52,-0.01,0.76
2025-04-21,002638,1.9,1.95,1.95,1.88,143387,27672736.0,3.68,2.63,0.05,1.06
2025-04-22,002638,1.94,1.92,1.97,1.91,132540,25610384.82,3.08,-1.54,-0.03,0.98
2025-04-23,002638,1.94,1.94,1.99,1.93,212073,41464235.38,3.13,1.04,0.02,1.57
2025-04-24,002638,1.94,1.91,1.95,1.89,163846,31356243.0,3.09,-1.55,-0.03,1.22
2025-04-25,002638,1.91,1.94,1.96,1.89,172289,33389217.0,3.66,1.57,0.03,1.28
2025-04-28,002638,1.93,1.88,1.93,1.88,149130,28268145.0,2.58,-3.09,-0.06,1.11
2025-04-29,002638,1.87,1.94,1.95,1.86,162645,31337037.0,4.79,3.19,0.06,1.21
2025-04-30,002638,1.94,1.96,2.0,1.93,168490,33299040.0,3.61,1.03,0.02,1.25
2025-05-06,002638,1.99,2.05,2.05,1.98,183479,37250481.0,3.57,4.59,0.09,1.36
2025-05-07,002638,2.07,2.09,2.12,2.06,308204,64409413.0,2.93,1.95,0.04,2.29
2025-05-08,002638,2.09,2.17,2.17,2.09,268655,57509233.0,3.83,3.83,0.08,1.99
2025-05-09,002638,2.16,2.15,2.17,2.11,197333,42054735.0,2.76,-0.92,-0.02,1.46
2025-05-12,002638,2.16,2.16,2.18,2.12,135474,29105112.0,2.79,0.47,0.01,1.01
2025-05-13,002638,2.18,2.17,2.21,2.16,173148,37801065.0,2.31,0.46,0.01,1.29
2025-05-14,002638,2.16,2.17,2.18,2.14,159696,34484268.0,1.84,0.0,0.0,1.19
2025-05-15,002638,2.16,2.17,2.2,2.15,169468,36811727.5,2.3,0.0,0.0,1.26
2025-05-16,002638,2.17,2.2,2.25,2.16,214295,47298222.0,4.15,1.38,0.03,1.59
2025-05-19,002638,2.2,2.27,2.28,2.19,237153,53341593.47,4.09,3.18,0.07,1.76
2025-05-20,002638,2.27,2.29,2.31,2.27,185149,42307112.5,1.76,0.88,0.02,1.37
2025-05-21,002638,2.28,2.26,2.29,2.24,195630,44171183.0,2.18,-1.31,-0.03,1.45
2025-05-22,002638,2.24,2.23,2.28,2.21,160210,35774948.5,3.1,-1.33,-0.03,1.19
2025-05-23,002638,2.23,2.18,2.23,2.16,226679,49588704.0,3.14,-2.24,-0.05,1.68
2025-05-26,002638,2.18,2.22,2.23,2.16,171869,37979426.4,3.21,1.83,0.04,1.28
2025-05-27,002638,2.22,2.26,2.26,2.22,150353,33718154.98,1.8,1.8,0.04,1.12
2025-05-28,002638,2.26,2.28,2.29,2.24,193494,43819084.78,2.21,0.88,0.02,1.44
2025-05-29,002638,2.28,2.33,2.35,2.27,199558,46245175.0,3.51,2.19,0.05,1.48
2025-05-30,002638,2.32,2.29,2.35,2.28,212710,49147573.0,3.0,-1.72,-0.04,1.58
2025-06-03,002638,2.28,2.29,2.34,2.27,180446,41648299.67,3.06,0.0,0.0,1.34
2025-06-04,002638,2.31,2.34,2.36,2.31,218481,51046754.81,2.18,2.18,0.05,1.62
2025-06-05,002638,2.33,2.3,2.36,2.29,149992,34759309.52,2.99,-1.71,-0.04,1.11
2025-06-06,002638,2.3,2.37,2.41,2.29,311946,73268845.75,5.22,3.04,0.07,2.32
2025-06-09,002638,2.37,2.39,2.4,2.37,193090,45986281.0,1.27,0.84,0.02,1.43
2025-06-10,002638,2.38,2.38,2.41,2.34,236135,56246303.0,2.93,-0.42,-0.01,1.75
2025-06-11,002638,2.37,2.37,2.39,2.36,129951,30886541.0,1.26,-0.42,-0.01,0.96
2025-06-12,002638,2.37,2.38,2.4,2.35,187602,44491446.25,2.11,0.42,0.01,1.39
