日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002643,11.84,11.2,11.85,11.05,344232,396725913.7,6.72,-5.88,-0.7,3.79
2025-01-03,002643,11.19,10.5,11.24,10.47,293053,318961009.51,6.88,-6.25,-0.7,3.22
2025-01-06,002643,10.43,10.26,10.69,10.1,247303,258921364.3,5.62,-2.29,-0.24,2.72
2025-01-07,002643,9.96,10.35,10.44,9.9,268077,277991833.34,5.26,0.88,0.09,2.95
2025-01-08,002643,10.28,9.8,10.29,9.55,424726,420242549.26,7.15,-5.31,-0.55,4.67
2025-01-09,002643,9.77,10.06,10.25,9.77,272476,276504698.12,4.9,2.65,0.26,3.0
2025-01-10,002643,10.06,9.79,10.21,9.78,209859,211614564.0,4.27,-2.68,-0.27,2.31
2025-01-13,002643,9.6,9.69,9.75,9.4,171232,166132626.28,3.58,-1.02,-0.1,1.88
2025-01-14,002643,9.7,10.16,10.19,9.63,206958,208543234.0,5.78,4.85,0.47,2.28
2025-01-15,002643,10.16,10.04,10.28,9.99,181571,184625994.75,2.85,-1.18,-0.12,2.0
2025-01-16,002643,10.1,10.1,10.32,9.97,183967,188245478.7,3.49,0.6,0.06,2.02
2025-01-17,002643,10.03,10.23,10.31,9.97,206435,211887919.45,3.37,1.29,0.13,2.27
2025-01-20,002643,10.37,10.19,10.4,10.14,160028,165640670.5,2.54,-0.39,-0.04,1.76
2025-01-21,002643,10.23,10.12,10.27,10.05,136336,139457820.2,2.16,-0.69,-0.07,1.5
2025-01-22,002643,10.06,10.22,10.34,9.99,208667,214985528.86,3.46,0.99,0.1,2.29
2025-01-23,002643,10.33,10.17,10.6,10.16,207473,217860139.34,4.31,-0.49,-0.05,2.28
2025-01-24,002643,10.18,10.26,10.28,10.14,139013,143402973.72,1.38,0.88,0.09,1.53
2025-01-27,002643,10.26,10.02,10.35,10.02,126769,130031228.0,3.22,-2.34,-0.24,1.39
2025-02-05,002643,10.1,10.06,10.22,9.95,145365,148038170.68,2.69,0.4,0.04,1.6
2025-02-06,002643,10.0,10.45,10.45,9.97,223992,232753244.07,4.77,3.88,0.39,2.46
2025-02-07,002643,10.45,10.75,10.89,10.4,259941,279591714.2,4.69,2.87,0.3,2.86
2025-02-10,002643,10.75,10.75,10.84,10.67,197911,214473969.2,1.58,0.0,0.0,2.18
2025-02-11,002643,10.74,10.59,10.74,10.41,165856,176549355.74,3.07,-1.49,-0.16,1.82
2025-02-12,002643,10.56,10.89,10.99,10.51,242995,264784517.34,4.53,2.83,0.3,2.67
2025-02-13,002643,10.87,10.69,10.88,10.68,153379,166447014.0,1.84,-1.84,-0.2,1.69
2025-02-14,002643,10.69,10.68,10.8,10.63,135406,146198501.0,1.59,-0.09,-0.01,1.49
2025-02-17,002643,10.69,10.74,10.79,10.61,164322,177335134.82,1.69,0.56,0.06,1.81
2025-02-18,002643,10.75,10.49,10.78,10.4,184904,198172652.64,3.54,-2.33,-0.25,2.03
2025-02-19,002643,10.49,10.79,10.8,10.46,182188,196490603.0,3.24,2.86,0.3,2.0
2025-02-20,002643,10.81,10.96,11.05,10.7,229029,251646568.57,3.24,1.58,0.17,2.52
