日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-14,002656,1.39,1.39,1.39,1.39,55167,7668179.64,0.0,5.3,0.07,0.91
2025-01-15,002656,1.46,1.46,1.46,1.46,10941,1597386.0,0.0,5.04,0.07,0.18
2025-01-16,002656,1.53,1.53,1.53,1.53,5622,860166.0,0.0,4.79,0.07,0.09
2025-01-17,002656,1.61,1.61,1.61,1.61,28158,4533405.8,0.0,5.23,0.08,0.46
2025-01-20,002656,1.69,1.69,1.69,1.69,10989,1857073.4,0.0,4.97,0.08,0.18
2025-01-21,002656,1.77,1.77,1.77,1.77,17760,3143527.08,0.0,4.73,0.08,0.29
2025-01-22,002656,1.86,1.86,1.86,1.86,12306,2288938.32,0.0,5.08,0.09,0.2
2025-01-23,002656,1.95,1.95,1.95,1.9,274948,53599038.2,2.69,4.84,0.09,4.51
2025-01-24,002656,1.96,1.85,1.98,1.85,663501,125777223.32,6.67,-5.13,-0.1,10.89
2025-01-27,002656,1.89,1.94,1.94,1.89,109950,21134703.62,2.7,4.86,0.09,1.8
2025-02-05,002656,2.04,2.04,2.04,2.04,6718,1370525.04,0.0,5.15,0.1,0.11
2025-02-06,002656,2.14,2.14,2.14,2.14,1927,412378.0,0.0,4.9,0.1,0.03
2025-02-07,002656,2.25,2.25,2.25,2.14,496920,111614867.12,5.14,5.14,0.11,8.15
2025-02-10,002656,2.15,2.18,2.25,2.14,455259,99289429.13,4.89,-3.11,-0.07,7.47
2025-02-11,002656,2.27,2.1,2.29,2.08,514666,112857446.78,9.63,-3.67,-0.08,8.44
2025-02-12,002656,2.0,2.21,2.21,2.0,341886,71170137.04,10.0,5.24,0.11,5.61
2025-02-13,002656,2.2,2.18,2.26,2.16,267470,59030606.28,4.52,-1.36,-0.03,4.39
2025-02-14,002656,2.18,2.23,2.26,2.15,243786,53716079.38,5.05,2.29,0.05,4.0
2025-02-17,002656,2.22,2.34,2.34,2.2,275080,63154465.72,6.28,4.93,0.11,4.51
2025-02-18,002656,2.39,2.44,2.46,2.3,219654,53145778.0,6.84,4.27,0.1,3.6
2025-02-19,002656,2.46,2.56,2.56,2.43,416224,105087636.16,5.33,4.92,0.12,6.83
2025-02-20,002656,2.5,2.51,2.59,2.48,297667,75114508.4,4.3,-1.95,-0.05,4.88
2025-02-21,002656,2.6,2.63,2.64,2.55,248750,64852340.0,3.59,4.78,0.12,4.08
2025-02-24,002656,2.5,2.5,2.59,2.5,213207,53563509.0,3.42,-4.94,-0.13,3.5
2025-02-25,002656,2.39,2.45,2.6,2.38,287699,70382753.08,8.8,-2.0,-0.05,4.72
2025-02-26,002656,2.51,2.34,2.51,2.33,279186,66692440.11,7.35,-4.49,-0.11,4.58
2025-02-27,002656,2.3,2.23,2.33,2.23,205348,46309261.0,4.27,-4.7,-0.11,3.37
2025-02-28,002656,2.23,2.34,2.34,2.23,182886,42418849.6,4.93,4.93,0.11,3.0
2025-03-03,002656,2.4,2.35,2.42,2.28,178214,41998166.68,5.98,0.43,0.01,2.92
2025-03-04,002656,2.35,2.34,2.37,2.26,104927,24159958.4,4.68,-0.43,-0.01,1.72
2025-03-05,002656,2.38,2.44,2.45,2.32,203921,48701791.73,5.56,4.27,0.1,3.35
2025-03-06,002656,2.54,2.32,2.54,2.32,365579,87324211.48,9.02,-4.92,-0.12,6.0
2025-03-10,002656,2.31,2.25,2.37,2.21,206131,46829655.48,6.9,-3.02,-0.07,3.38
2025-03-11,002656,2.18,2.14,2.21,2.14,258005,55509444.26,3.11,-4.89,-0.11,4.23
2025-03-12,002656,2.12,2.2,2.23,2.04,258210,55449067.88,8.88,2.8,0.06,4.24
2025-03-13,002656,2.18,2.2,2.22,2.15,141280,30972577.6,3.18,0.0,0.0,2.32
2025-03-14,002656,2.24,2.25,2.26,2.19,130799,29107077.6,3.18,2.27,0.05,2.15
2025-03-17,002656,2.25,2.28,2.35,2.23,112301,25741190.0,5.33,1.33,0.03,1.84
2025-03-18,002656,2.28,2.19,2.29,2.18,147488,32774568.0,4.82,-3.95,-0.09,2.42
2025-03-19,002656,2.17,2.19,2.2,2.14,105719,22959291.39,2.74,0.0,0.0,1.73
2025-03-20,002656,2.24,2.17,2.24,2.16,75281,16405099.0,3.65,-0.91,-0.02,1.24
2025-03-21,002656,2.15,2.16,2.18,2.13,81881,17676756.0,2.3,-0.46,-0.01,1.34
2025-03-24,002656,2.18,2.09,2.18,2.06,93851,19723165.0,5.56,-3.24,-0.07,1.54
2025-03-25,002656,2.13,2.19,2.19,2.08,104034,22411462.72,5.26,4.78,0.1,1.71
2025-03-26,002656,2.29,2.24,2.29,2.18,148297,33229708.0,5.02,2.28,0.05,2.43
2025-03-27,002656,2.23,2.24,2.25,2.2,66832,14876069.0,2.23,0.0,0.0,1.1
2025-03-28,002656,2.24,2.24,2.3,2.2,94823,21319883.62,4.46,0.0,0.0,1.56
2025-03-31,002656,2.22,2.17,2.22,2.15,101130,22050699.52,3.13,-3.13,-0.07,1.66
2025-04-01,002656,2.15,2.17,2.19,2.14,63352,13675744.0,2.3,0.0,0.0,1.04
2025-04-02,002656,2.17,2.22,2.23,2.16,77847,17126388.0,3.23,2.3,0.05,1.28
2025-04-03,002656,2.21,2.22,2.24,2.2,75377,16735093.2,1.8,0.0,0.0,1.24
2025-04-07,002656,2.12,2.11,2.18,2.11,110363,23440946.0,3.15,-4.95,-0.11,1.81
2025-04-08,002656,2.01,2.01,2.08,2.0,144422,29189100.0,3.79,-4.74,-0.1,2.37
2025-04-09,002656,1.98,1.95,1.99,1.91,164842,31676706.0,3.98,-2.99,-0.06,2.7
2025-04-10,002656,1.95,2.05,2.05,1.95,124749,25377407.0,5.13,5.13,0.1,2.05
2025-04-11,002656,2.05,2.15,2.15,2.03,120679,25332799.12,5.85,4.88,0.1,1.98
2025-04-14,002656,2.26,2.26,2.26,2.26,12004,2712904.0,0.0,5.12,0.11,0.2
2025-04-15,002656,2.37,2.37,2.37,2.37,10885,2579768.7,0.0,4.87,0.11,0.18
2025-04-16,002656,2.49,2.49,2.49,2.48,160787,40035097.0,0.42,5.06,0.12,2.64
