日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002657,18.02,17.81,18.53,17.58,200308,361265303.79,5.19,-2.78,-0.51,5.96
2025-01-03,002657,17.79,16.73,17.96,16.61,225556,385262423.82,7.58,-6.06,-1.08,6.71
2025-01-06,002657,16.56,16.3,16.88,16.11,158410,260406965.48,4.6,-2.57,-0.43,4.71
2025-01-07,002657,16.3,17.2,17.2,16.3,200238,336929170.32,5.52,5.52,0.9,5.95
2025-01-08,002657,17.08,17.36,17.57,16.53,238527,409009589.0,6.05,0.93,0.16,7.09
2025-01-09,002657,17.2,17.4,17.53,17.18,149183,259441125.71,2.02,0.23,0.04,4.44
2025-01-10,002657,17.2,16.65,17.48,16.64,147613,251800564.0,4.83,-4.31,-0.75,4.39
2025-01-13,002657,16.4,16.88,16.92,15.97,132656,219661979.24,5.71,1.38,0.23,3.94
2025-01-14,002657,17.01,18.19,18.2,17.01,276068,492202734.7,7.05,7.76,1.31,8.21
2025-01-15,002657,18.21,18.22,18.35,18.03,190715,347194680.0,1.76,0.16,0.03,5.67
2025-01-16,002657,18.26,18.37,18.69,18.0,203804,374270960.0,3.79,0.82,0.15,6.06
2025-01-17,002657,18.18,18.24,18.5,18.02,124570,227284461.81,2.61,-0.71,-0.13,3.7
2025-01-20,002657,18.5,18.18,18.68,18.04,130533,238706458.0,3.51,-0.33,-0.06,3.88
2025-01-21,002657,18.26,18.12,18.39,17.82,120240,216727962.0,3.14,-0.33,-0.06,3.57
2025-01-22,002657,18.05,17.7,18.05,17.6,100548,179227599.34,2.48,-2.32,-0.42,2.99
2025-01-23,002657,18.1,17.99,19.09,17.97,283423,524820879.95,6.33,1.64,0.29,8.43
2025-01-24,002657,18.6,19.27,19.36,18.38,514752,974801192.98,5.45,7.12,1.28,15.3
2025-01-27,002657,19.88,19.44,20.39,18.5,531141,1026336325.59,9.81,0.88,0.17,15.79
2025-02-05,002657,19.9,20.33,20.88,19.56,497043,997887533.61,6.79,4.58,0.89,14.78
2025-02-06,002657,19.8,20.36,20.8,19.48,452195,912291304.37,6.49,0.15,0.03,13.44
2025-02-07,002657,20.01,20.66,21.26,19.95,511442,1052163675.91,6.43,1.47,0.3,15.21
2025-02-10,002657,21.18,21.35,21.7,21.0,469316,1001939350.57,3.39,3.34,0.69,13.95
2025-02-11,002657,21.5,21.95,22.27,20.81,534535,1165460086.7,6.84,2.81,0.6,15.89
2025-02-12,002657,21.5,22.26,22.5,21.3,517018,1134215702.24,5.47,1.41,0.31,15.37
2025-02-13,002657,22.04,21.09,22.04,21.03,435631,934772847.46,4.54,-5.26,-1.17,12.95
2025-02-14,002657,21.55,21.88,22.79,21.33,556874,1228970678.11,6.92,3.75,0.79,16.56
2025-02-17,002657,22.35,21.62,22.48,21.46,428972,935550173.65,4.66,-1.19,-0.26,12.75
2025-02-18,002657,21.29,20.29,21.46,20.1,423497,879091974.74,6.29,-6.15,-1.33,12.59
2025-02-19,002657,20.2,20.67,20.68,20.04,240858,493525156.12,3.15,1.87,0.38,7.16
2025-02-20,002657,20.55,20.98,21.7,20.53,307868,651343337.0,5.66,1.5,0.31,9.15
2025-02-21,002657,21.38,21.3,21.4,20.62,355189,751205730.2,3.72,1.53,0.32,10.56
2025-02-24,002657,21.35,21.12,21.74,20.92,328220,699990297.2,3.85,-0.85,-0.18,9.76
2025-02-25,002657,20.48,20.77,21.16,20.28,228240,473973236.0,4.17,-1.66,-0.35,6.79
2025-02-26,002657,20.74,20.93,21.0,20.5,241390,500967007.0,2.41,0.77,0.16,7.18
2025-02-27,002657,20.89,20.5,21.12,20.01,254262,520395318.4,5.3,-2.05,-0.43,7.56
2025-02-28,002657,20.22,18.95,20.38,18.84,251782,492898178.18,7.51,-7.56,-1.55,7.49
2025-03-03,002657,18.95,19.12,19.6,18.6,177485,340404702.8,5.28,0.9,0.17,5.28
2025-03-04,002657,18.76,19.39,19.46,18.76,130957,252241726.55,3.66,1.41,0.27,3.89
2025-03-05,002657,19.31,19.4,19.62,19.14,124735,241208920.76,2.48,0.05,0.01,3.71
2025-03-06,002657,20.1,21.34,21.34,20.04,429497,891981190.72,6.7,10.0,1.94,12.77
2025-03-07,002657,22.11,21.48,22.93,21.28,901369,2002684121.27,7.73,0.66,0.14,26.8
2025-03-10,002657,21.11,21.24,21.6,20.6,412362,866016999.63,4.66,-1.12,-0.24,12.26
2025-03-11,002657,20.72,20.9,21.0,20.53,257017,534732735.98,2.21,-1.6,-0.34,7.64
2025-03-12,002657,21.18,21.59,21.99,21.0,406397,875471754.47,4.74,3.3,0.69,12.08
