日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002658,6.15,6.06,6.3,6.01,62381,39832977.8,4.72,-1.46,-0.09,1.74
2025-01-03,002658,6.06,5.71,6.1,5.7,78876,48179179.55,6.6,-5.78,-0.35,2.2
2025-01-06,002658,5.71,5.71,5.79,5.45,74156,43811081.0,5.95,0.0,0.0,2.07
2025-01-07,002658,5.7,5.8,5.81,5.63,61732,36880917.96,3.15,1.58,0.09,1.72
2025-01-08,002658,5.81,5.94,6.02,5.71,85743,52424982.0,5.34,2.41,0.14,2.39
2025-01-09,002658,5.94,5.87,5.94,5.85,46313,28425586.55,1.52,-1.18,-0.07,1.29
2025-01-10,002658,5.89,5.64,5.91,5.64,52784,31687680.0,4.6,-3.92,-0.23,1.47
2025-01-13,002658,5.55,5.66,5.69,5.45,47861,27972467.0,4.26,0.35,0.02,1.33
2025-01-14,002658,5.67,5.89,5.92,5.67,70450,42835023.64,4.42,4.06,0.23,1.96
2025-01-15,002658,5.92,5.84,5.92,5.82,41130,25152145.0,1.7,-0.85,-0.05,1.15
2025-01-16,002658,5.87,6.0,6.19,5.87,120055,75229187.0,5.48,2.74,0.16,3.35
2025-01-17,002658,5.97,6.01,6.25,5.9,110758,70177769.6,5.83,0.17,0.01,3.09
2025-01-20,002658,6.1,6.19,6.21,5.95,94458,60154824.1,4.33,3.0,0.18,2.63
2025-01-21,002658,6.24,6.14,6.24,6.06,68485,43728888.0,2.91,-0.81,-0.05,1.91
2025-01-22,002658,6.09,6.3,6.37,6.01,118450,76286855.44,5.86,2.61,0.16,3.3
2025-01-23,002658,6.3,6.31,6.4,6.25,98051,64429632.42,2.38,0.16,0.01,2.73
2025-01-24,002658,6.26,6.14,6.31,6.1,88433,56844408.0,3.33,-2.69,-0.17,2.47
2025-01-27,002658,6.14,6.2,6.25,6.12,57097,36803153.5,2.12,0.98,0.06,1.59
2025-02-05,002658,6.15,6.24,6.3,6.15,49651,32077676.43,2.42,0.65,0.04,1.38
2025-02-06,002658,6.22,6.24,6.27,6.16,50313,32501502.49,1.76,0.0,0.0,1.4
2025-02-07,002658,6.21,6.44,6.5,6.21,123664,81475791.71,4.65,3.21,0.2,3.45
2025-02-10,002658,6.42,6.41,6.47,6.37,70158,46702250.16,1.55,-0.47,-0.03,1.96
