日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002671,4.54,4.48,4.62,4.44,128923,58609302.57,3.97,-1.1,-0.05,2.33
2025-01-03,002671,4.48,4.31,4.51,4.31,162802,71199637.0,4.46,-3.79,-0.17,2.95
2025-01-06,002671,4.29,4.3,4.36,4.17,114199,48867446.26,4.41,-0.23,-0.01,2.07
2025-01-07,002671,4.33,4.46,4.47,4.31,99183,43473159.7,3.72,3.72,0.16,1.8
2025-01-08,002671,4.46,4.5,4.52,4.36,104030,46290559.0,3.59,0.9,0.04,1.88
2025-01-09,002671,4.46,4.51,4.55,4.42,75235,33901697.0,2.89,0.22,0.01,1.36
2025-01-10,002671,4.52,4.49,4.56,4.45,91984,41454045.81,2.44,-0.44,-0.02,1.67
2025-01-13,002671,4.4,4.59,4.63,4.35,131926,59616319.9,6.24,2.23,0.1,2.39
2025-01-14,002671,4.58,4.67,4.68,4.57,129177,59805564.92,2.4,1.74,0.08,2.34
2025-01-15,002671,4.67,4.76,4.82,4.64,143926,68306543.84,3.85,1.93,0.09,2.61
2025-01-16,002671,4.76,4.76,4.83,4.71,108213,51614485.0,2.52,0.0,0.0,1.96
2025-01-17,002671,4.74,4.82,4.89,4.67,126414,60497118.0,4.62,1.26,0.06,2.29
2025-01-20,002671,4.85,4.89,4.91,4.77,103239,50126154.0,2.9,1.45,0.07,1.87
2025-01-21,002671,4.91,4.9,4.95,4.81,106955,52211342.39,2.86,0.2,0.01,1.94
2025-01-22,002671,4.85,4.87,4.91,4.83,94347,45947829.6,1.63,-0.61,-0.03,1.71
2025-01-23,002671,4.91,4.87,4.97,4.87,119177,58527542.4,2.05,0.0,0.0,2.16
2025-01-24,002671,4.85,4.8,4.89,4.76,105941,50876385.08,2.67,-1.44,-0.07,1.92
2025-01-27,002671,4.65,4.74,4.83,4.65,137371,65614811.0,3.75,-1.25,-0.06,2.49
2025-02-05,002671,4.74,4.52,4.77,4.52,186943,86210319.36,5.27,-4.64,-0.22,3.38
2025-02-06,002671,4.54,4.56,4.58,4.46,111567,50561233.0,2.65,0.88,0.04,2.02
2025-02-07,002671,4.56,4.62,4.68,4.56,119191,55145420.7,2.63,1.32,0.06,2.16
2025-02-10,002671,4.64,4.8,4.81,4.63,125919,59614804.0,3.9,3.9,0.18,2.28
2025-02-11,002671,4.82,4.72,4.84,4.7,102196,48457932.0,2.92,-1.67,-0.08,1.85
2025-02-12,002671,4.7,4.72,4.76,4.66,80480,37845150.0,2.12,0.0,0.0,1.46
2025-02-13,002671,4.71,4.66,4.75,4.65,99839,46771723.65,2.12,-1.27,-0.06,1.81
