日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002679,8.0,8.02,8.39,7.93,46754,38418065.0,5.69,-0.74,-0.06,1.98
2025-01-03,002679,8.07,7.59,8.07,7.56,38911,30376422.4,6.36,-5.36,-0.43,1.65
2025-01-06,002679,7.52,7.59,7.74,7.21,32376,24531303.06,6.98,0.0,0.0,1.37
2025-01-07,002679,7.64,7.88,7.88,7.56,29703,23082957.0,4.22,3.82,0.29,1.26
2025-01-08,002679,7.87,7.91,8.01,7.6,38307,30158254.34,5.2,0.38,0.03,1.62
2025-01-09,002679,7.87,7.88,7.94,7.82,22326,17677898.0,1.52,-0.38,-0.03,0.95
2025-01-10,002679,7.84,7.53,7.96,7.51,27611,21347869.0,5.71,-4.44,-0.35,1.17
2025-01-13,002679,7.43,7.62,7.66,7.28,27105,20431130.0,5.05,1.2,0.09,1.15
2025-01-14,002679,7.68,7.94,7.94,7.67,28180,22245374.0,3.54,4.2,0.32,1.2
2025-01-15,002679,7.96,7.99,8.16,7.82,41851,33568010.0,4.28,0.63,0.05,1.78
2025-01-16,002679,7.96,8.13,8.44,7.96,48856,40163136.0,6.01,1.75,0.14,2.07
2025-01-17,002679,8.13,8.05,8.36,8.02,33990,27743400.6,4.18,-0.98,-0.08,1.44
2025-01-20,002679,8.07,8.24,8.28,7.92,31131,25554779.0,4.47,2.36,0.19,1.32
2025-01-21,002679,8.29,8.02,8.29,7.95,25357,20573736.0,4.13,-2.67,-0.22,1.08
2025-01-22,002679,8.06,7.89,8.06,7.81,20146,16050754.0,3.12,-1.62,-0.13,0.85
2025-01-23,002679,7.98,7.93,8.14,7.93,27749,22434635.0,2.66,0.51,0.04,1.18
2025-01-24,002679,7.93,7.94,7.98,7.79,23248,18405876.0,2.4,0.13,0.01,0.99
2025-01-27,002679,7.94,8.04,8.22,7.94,24285,19771598.8,3.53,1.26,0.1,1.03
2025-02-05,002679,8.09,8.14,8.24,8.03,20793,17032597.0,2.61,1.24,0.1,0.88
2025-02-06,002679,8.12,8.13,8.15,7.94,21300,17224305.0,2.58,-0.12,-0.01,0.9
2025-02-07,002679,8.13,8.29,8.36,8.13,26794,22268730.8,2.83,1.97,0.16,1.14
2025-02-10,002679,8.3,8.43,8.44,8.3,24808,20911744.4,1.69,1.69,0.14,1.05
2025-02-11,002679,8.43,8.33,8.49,8.26,19391,16230696.6,2.73,-1.19,-0.1,0.82
2025-02-12,002679,8.31,8.31,8.44,8.22,21372,17846115.66,2.64,-0.24,-0.02,0.91
2025-02-13,002679,8.27,8.26,8.38,8.23,18028,15035388.9,1.81,-0.6,-0.05,0.76
2025-02-14,002679,8.25,8.2,8.29,8.16,20710,17114278.0,1.57,-0.73,-0.06,0.88
2025-02-17,002679,8.16,8.64,8.67,8.16,54745,46478234.0,6.22,5.37,0.44,2.32
2025-02-18,002679,8.6,8.43,8.8,8.4,56217,48425079.18,4.63,-2.43,-0.21,2.38
2025-02-19,002679,8.44,8.4,8.44,8.24,40987,34263397.9,2.37,-0.36,-0.03,1.74
2025-02-20,002679,8.38,8.51,8.62,8.27,43589,37174876.32,4.17,1.31,0.11,1.85
2025-02-21,002679,8.51,8.33,8.54,8.28,29770,24947077.0,3.06,-2.12,-0.18,1.26
2025-02-24,002679,8.4,8.44,8.59,8.36,42124,35864645.0,2.76,1.32,0.11,1.79
2025-02-25,002679,8.36,8.29,8.48,8.27,32590,27308906.0,2.49,-1.78,-0.15,1.38
2025-02-26,002679,8.32,8.36,8.46,8.31,21735,18290038.86,1.81,0.84,0.07,0.92
2025-02-27,002679,8.36,8.37,8.43,8.21,24956,20854831.0,2.63,0.12,0.01,1.06
2025-02-28,002679,8.36,8.22,8.43,8.21,27095,22616527.02,2.63,-1.79,-0.15,1.15
2025-03-03,002679,8.21,8.3,8.46,8.2,30159,25258454.0,3.16,0.97,0.08,1.28
2025-03-04,002679,8.31,9.13,9.13,8.21,71498,64167882.8,11.08,10.0,0.83,3.03
2025-03-05,002679,9.06,8.83,9.11,8.57,159991,140776229.12,5.91,-3.29,-0.3,6.79
2025-03-06,002679,8.78,8.71,8.82,8.62,105815,92319991.17,2.27,-1.36,-0.12,4.49
2025-03-07,002679,8.66,8.57,8.74,8.53,82962,72011041.5,2.41,-1.61,-0.14,3.52
2025-03-10,002679,8.67,8.77,8.99,8.67,110572,97900161.82,3.73,2.33,0.2,4.69
2025-03-11,002679,8.68,8.93,9.06,8.63,88949,79369782.5,4.9,1.82,0.16,3.77
2025-03-12,002679,8.99,8.75,9.02,8.74,65645,58057323.7,3.14,-2.02,-0.18,2.78
2025-03-13,002679,8.77,8.79,8.84,8.61,47046,41284730.0,2.63,0.46,0.04,2.0
2025-03-14,002679,8.79,8.84,8.84,8.71,43694,38571495.0,1.48,0.57,0.05,1.85
2025-03-17,002679,8.87,9.02,9.24,8.76,80661,72971495.38,5.43,2.04,0.18,3.42
2025-03-18,002679,9.05,8.92,9.12,8.83,46269,41377460.0,3.22,-1.11,-0.1,1.96
2025-03-19,002679,8.89,9.03,9.14,8.87,64335,58086263.23,3.03,1.23,0.11,2.73
2025-03-20,002679,9.09,8.91,9.09,8.89,33666,30210510.0,2.21,-1.33,-0.12,1.43
2025-03-21,002679,8.86,8.81,8.92,8.77,38431,34051462.68,1.68,-1.12,-0.1,1.63
2025-03-24,002679,8.76,8.49,8.84,8.29,46154,39507829.0,6.24,-3.63,-0.32,1.96
2025-03-25,002679,8.53,8.57,8.57,8.33,30353,25839328.0,2.83,0.94,0.08,1.29
2025-03-26,002679,8.58,8.82,9.28,8.5,79067,70674779.86,9.1,2.92,0.25,3.35
2025-03-27,002679,8.82,8.71,8.91,8.61,44902,39452827.0,3.4,-1.25,-0.11,1.9
2025-03-28,002679,8.69,8.49,8.74,8.44,26529,22774932.0,3.44,-2.53,-0.22,1.13
2025-03-31,002679,8.38,8.45,8.48,8.28,33054,27882868.0,2.36,-0.47,-0.04,1.4
2025-04-01,002679,8.44,8.63,8.76,8.44,30592,26597007.8,3.79,2.13,0.18,1.3
2025-04-02,002679,8.68,8.72,8.78,8.57,39389,34391192.0,2.43,1.04,0.09,1.67
2025-04-03,002679,8.78,8.78,8.87,8.6,35092,30812116.0,3.1,0.69,0.06,1.49
2025-04-07,002679,8.54,7.9,8.54,7.9,40421,32559020.0,7.29,-10.02,-0.88,1.71
2025-04-08,002679,7.76,8.2,8.2,7.58,78998,63150870.3,7.85,3.8,0.3,3.35
2025-04-09,002679,8.02,8.44,8.47,7.62,87900,71417335.8,10.37,2.93,0.24,3.73
2025-04-10,002679,8.37,8.67,8.87,8.29,90018,78242747.18,6.87,2.73,0.23,3.82
2025-04-11,002679,8.5,8.35,8.64,8.35,50201,42822730.0,3.34,-3.69,-0.32,2.13
2025-04-14,002679,8.42,8.64,8.71,8.41,47051,40679453.3,3.59,3.47,0.29,2.0
2025-04-15,002679,8.64,8.56,8.7,8.5,34119,29370314.6,2.31,-0.93,-0.08,1.45
2025-04-16,002679,8.51,8.29,8.6,8.07,47976,39847637.0,6.19,-3.15,-0.27,2.03
2025-04-17,002679,8.29,8.46,8.66,8.16,58086,49368971.6,6.03,2.05,0.17,2.46
2025-04-18,002679,8.47,8.32,8.51,8.19,35480,29645981.0,3.78,-1.65,-0.14,1.5
2025-04-21,002679,8.28,8.36,8.39,8.21,25339,21200466.0,2.16,0.48,0.04,1.07
2025-04-22,002679,8.34,8.52,8.54,8.34,40317,34328732.0,2.39,1.91,0.16,1.71
2025-04-23,002679,8.49,8.4,8.59,8.36,28382,24121596.0,2.7,-1.41,-0.12,1.2
2025-04-24,002679,8.36,8.33,8.44,8.25,23630,19818611.0,2.26,-0.83,-0.07,1.0
2025-04-25,002679,8.3,8.34,8.4,8.28,18125,15189769.0,1.44,0.12,0.01,0.77
2025-04-28,002679,8.27,8.05,8.32,7.9,49770,40173572.6,5.04,-3.48,-0.29,2.11
2025-04-29,002679,8.03,8.27,8.37,7.98,37883,31359027.0,4.84,2.73,0.22,1.61
2025-04-30,002679,8.34,8.43,8.51,8.29,36359,30887724.4,2.66,1.93,0.16,1.54
2025-05-06,002679,8.46,8.56,8.61,8.45,38070,32634432.0,1.9,1.54,0.13,1.61
2025-05-07,002679,8.62,8.66,8.75,8.57,42677,37072106.0,2.1,1.17,0.1,1.81
2025-05-08,002679,8.65,8.75,8.77,8.56,29770,26058307.5,2.42,1.04,0.09,1.26
2025-05-09,002679,8.79,8.8,8.86,8.71,40372,35614767.0,1.71,0.57,0.05,1.71
2025-05-12,002679,8.84,8.74,8.89,8.65,30226,26498828.0,2.73,-0.68,-0.06,1.28
2025-05-13,002679,8.77,8.73,8.86,8.71,25725,22652426.9,1.72,-0.11,-0.01,1.09
2025-05-14,002679,8.72,8.7,8.78,8.68,23487,20561059.0,1.15,-0.34,-0.03,1.0
2025-05-15,002679,8.72,8.75,8.84,8.65,26167,23017644.66,2.18,0.57,0.05,1.11
2025-05-16,002679,8.8,8.77,8.86,8.68,21931,19354603.0,2.06,0.23,0.02,0.93
2025-05-19,002679,8.82,8.91,9.04,8.79,31614,28291787.86,2.85,1.6,0.14,1.34
2025-05-20,002679,8.96,9.02,9.03,8.84,29922,26966108.1,2.13,1.23,0.11,1.27
2025-05-21,002679,9.02,8.99,9.08,8.89,31580,28489404.7,2.11,-0.33,-0.03,1.34
2025-05-22,002679,8.96,8.86,9.05,8.76,34504,30795928.0,3.23,-1.45,-0.13,1.46
2025-05-23,002679,8.84,8.76,8.95,8.72,34194,30361115.9,2.6,-1.13,-0.1,1.45
2025-05-26,002679,8.71,8.9,8.98,8.69,23300,20761859.0,3.31,1.6,0.14,0.99
2025-05-27,002679,8.91,9.03,9.21,8.85,32509,29389429.9,4.04,1.46,0.13,1.38
2025-05-28,002679,9.03,9.08,9.16,9.0,38937,35477385.0,1.77,0.55,0.05,1.65
2025-05-29,002679,9.11,9.2,9.2,8.98,36084,33051726.0,2.42,1.32,0.12,1.53
2025-05-30,002679,9.48,9.01,9.66,8.96,84451,77847090.0,7.61,-2.07,-0.19,3.58
