日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002727,12.53,12.17,12.63,12.07,83230,107036237.99,4.47,-2.87,-0.36,2.09
2025-01-03,002727,12.18,11.82,12.26,11.77,94198,117491801.0,4.03,-2.88,-0.35,2.37
2025-01-06,002727,11.9,12.07,12.28,11.79,95202,119419620.31,4.15,2.12,0.25,2.4
2025-01-07,002727,12.11,11.92,12.12,11.73,85162,105274586.1,3.23,-1.24,-0.15,2.14
2025-01-08,002727,11.9,11.72,11.93,11.54,75890,92514403.99,3.27,-1.68,-0.2,1.91
2025-01-09,002727,11.59,11.65,11.8,11.53,52104,63420011.0,2.3,-0.6,-0.07,1.31
2025-01-10,002727,11.6,11.38,11.7,11.37,56038,67220787.93,2.83,-2.32,-0.27,1.41
2025-01-13,002727,11.33,11.51,11.56,11.24,57820,68933580.77,2.81,1.14,0.13,1.46
2025-01-14,002727,11.53,11.75,11.76,11.49,110277,133806801.39,2.35,2.09,0.24,2.78
2025-01-15,002727,11.7,11.59,11.71,11.53,64611,78129130.6,1.53,-1.36,-0.16,1.63
2025-01-16,002727,11.65,11.63,11.84,11.55,75744,92259126.4,2.5,0.35,0.04,1.91
2025-01-17,002727,11.57,11.74,11.81,11.53,65449,79814924.6,2.41,0.95,0.11,1.65
2025-01-20,002727,11.71,11.77,11.87,11.66,69644,85411714.78,1.79,0.26,0.03,1.75
2025-01-21,002727,11.81,11.76,11.84,11.67,40338,49341702.33,1.44,-0.08,-0.01,1.02
2025-01-22,002727,11.76,11.64,11.76,11.51,40989,49600658.04,2.13,-1.02,-0.12,1.03
2025-01-23,002727,11.71,11.74,11.87,11.69,64452,79173465.0,1.55,0.86,0.1,1.62
2025-01-24,002727,11.7,11.78,11.83,11.65,49181,60220132.0,1.53,0.34,0.04,1.24
2025-01-27,002727,11.81,11.97,12.04,11.81,62634,77967338.0,1.95,1.61,0.19,1.58
2025-02-05,002727,12.06,11.89,12.11,11.87,53447,66728947.67,2.01,-0.67,-0.08,1.35
2025-02-06,002727,11.91,11.96,11.97,11.69,68659,84788024.8,2.35,0.59,0.07,1.73
2025-02-07,002727,11.96,12.14,12.23,11.9,75044,94404085.39,2.76,1.51,0.18,1.89
2025-02-10,002727,12.14,12.32,12.38,12.1,70764,90170616.08,2.31,1.48,0.18,1.78
2025-02-11,002727,12.32,12.2,12.36,12.09,46526,58911724.5,2.19,-0.97,-0.12,1.17
