日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002738,34.89,34.31,35.22,34.0,86154,301491717.85,3.49,-1.97,-0.69,1.21
2025-01-03,002738,34.12,33.55,34.78,33.48,81070,280527546.76,3.79,-2.22,-0.76,1.14
2025-01-06,002738,34.1,35.0,36.25,33.9,172083,614848448.04,7.0,4.32,1.45,2.42
2025-01-07,002738,34.65,35.73,36.05,34.3,86905,312376071.16,5.0,2.09,0.73,1.22
2025-01-08,002738,35.5,34.95,35.84,34.5,71460,254229339.8,3.75,-2.18,-0.78,1.0
2025-01-09,002738,34.62,35.58,35.9,34.51,113025,404161904.05,3.98,1.8,0.63,1.59
2025-01-10,002738,35.58,34.8,36.19,34.8,67256,241889881.22,3.91,-2.19,-0.78,0.95
2025-01-13,002738,34.51,36.62,36.84,34.5,169585,623960536.41,6.72,5.23,1.82,2.38
2025-01-14,002738,36.61,37.17,37.44,36.08,126330,472687684.44,3.71,1.5,0.55,1.78
2025-01-15,002738,37.1,37.3,37.95,36.61,117228,443876146.84,3.61,0.35,0.13,1.65
2025-01-16,002738,37.29,37.79,37.96,37.04,135376,515424816.95,2.47,1.31,0.49,1.9
2025-01-17,002738,38.0,37.82,39.39,37.74,112529,435499664.8,4.37,0.08,0.03,1.58
2025-01-20,002738,37.7,37.47,38.16,37.35,86426,329890721.85,2.14,-0.93,-0.35,1.22
2025-01-21,002738,37.66,37.33,37.72,37.1,56148,212751021.2,1.65,-0.37,-0.14,0.79
2025-01-22,002738,37.33,37.99,38.21,37.2,93108,356564519.41,2.71,1.77,0.66,1.31
2025-01-23,002738,38.08,37.68,38.69,37.58,74530,287915349.64,2.92,-0.82,-0.31,1.05
2025-01-24,002738,37.3,37.56,37.96,37.28,75820,289436594.72,1.8,-0.32,-0.12,1.07
2025-01-27,002738,37.7,37.37,38.01,37.37,63425,241996797.72,1.7,-0.51,-0.19,0.89
2025-02-05,002738,37.69,36.62,37.69,36.18,107495,400045601.48,4.04,-2.01,-0.75,1.51
2025-02-06,002738,36.58,36.89,37.05,36.37,87353,325577826.19,1.86,0.74,0.27,1.23
2025-02-07,002738,36.79,36.81,37.45,36.38,126066,471848731.13,2.9,-0.22,-0.08,1.77
2025-02-10,002738,36.75,35.8,36.81,35.6,189861,691110719.37,3.29,-2.74,-1.01,2.67
2025-02-11,002738,35.8,34.9,35.9,34.83,167432,596380894.36,2.99,-2.51,-0.9,2.35
2025-02-12,002738,34.91,35.31,35.98,34.6,207255,739547654.39,3.95,1.17,0.41,2.91
2025-02-13,002738,35.24,35.49,36.49,35.16,165119,597854965.63,3.77,0.51,0.18,2.32
2025-02-14,002738,35.5,35.3,36.35,35.1,131414,473999164.23,3.52,-0.54,-0.19,1.85
2025-02-17,002738,35.2,34.76,35.35,34.48,146794,517109094.36,2.46,-1.53,-0.54,2.06
2025-02-18,002738,35.0,34.33,35.08,34.25,119663,420572132.49,2.39,-1.24,-0.43,1.68
2025-02-19,002738,34.33,34.44,34.52,34.11,127999,445669748.33,1.19,0.32,0.11,1.8
2025-02-20,002738,34.49,34.43,34.56,33.84,132366,459536767.9,2.09,-0.03,-0.01,1.86
2025-02-21,002738,34.31,34.02,34.58,33.88,164367,570113681.79,2.03,-1.19,-0.41,2.31
2025-02-24,002738,34.05,33.7,34.2,33.56,134081,460404341.63,1.88,-0.94,-0.32,1.89
2025-02-25,002738,33.71,33.54,34.23,33.5,127645,437873920.98,2.17,-0.47,-0.16,1.79
2025-02-26,002738,33.3,33.63,33.89,33.23,122273,416983461.66,1.97,0.27,0.09,1.72
2025-02-27,002738,33.63,34.09,34.2,33.1,207240,709150201.98,3.27,1.37,0.46,2.91
2025-02-28,002738,33.99,33.45,34.13,33.37,104200,356091691.72,2.23,-1.88,-0.64,1.47
2025-03-03,002738,33.52,34.55,34.88,33.51,229584,803060847.29,4.1,3.29,1.1,3.23
2025-03-04,002738,34.26,34.47,34.7,33.74,130270,451699112.69,2.78,-0.23,-0.08,1.83
2025-03-05,002738,34.27,34.45,34.59,33.75,128911,447129192.13,2.44,-0.06,-0.02,1.81
2025-03-06,002738,34.36,34.9,34.93,34.33,160215,563935924.47,1.74,1.31,0.45,2.25
2025-03-07,002738,35.01,35.0,35.53,34.8,202472,722727116.45,2.09,0.29,0.1,2.85
