日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002813,22.33,21.78,22.66,21.55,18964,41829038.0,4.97,-2.46,-0.55,1.58
2025-01-03,002813,21.6,21.45,22.16,21.03,24197,52333359.0,5.19,-1.52,-0.33,2.02
2025-01-06,002813,21.45,21.45,21.89,20.71,16281,34876074.8,5.5,0.0,0.0,1.36
2025-01-07,002813,21.68,22.35,22.37,21.47,15043,33049815.7,4.2,4.2,0.9,1.26
2025-01-08,002813,22.2,22.37,22.61,21.8,15900,35344222.0,3.62,0.09,0.02,1.33
2025-01-09,002813,22.26,22.53,22.58,22.12,11627,26079874.0,2.06,0.72,0.16,0.97
2025-01-10,002813,22.62,22.25,22.89,22.25,16298,36844678.0,2.84,-1.24,-0.28,1.36
2025-01-13,002813,22.01,21.96,22.22,21.5,11184,24477077.0,3.24,-1.3,-0.29,0.93
2025-01-14,002813,21.96,22.65,22.66,21.96,13405,30021207.34,3.19,3.14,0.69,1.12
2025-01-15,002813,22.78,22.31,22.8,22.2,12044,27000735.0,2.65,-1.5,-0.34,1.0
2025-01-16,002813,22.3,23.63,24.54,22.25,55512,130842672.0,10.26,5.92,1.32,4.63
2025-01-17,002813,22.51,22.66,22.99,22.5,39176,88942931.2,2.07,-4.1,-0.97,3.27
2025-01-20,002813,23.0,22.66,23.28,22.6,21418,48748853.1,3.0,0.0,0.0,1.79
2025-01-21,002813,22.6,22.39,22.85,22.06,14849,33224833.6,3.49,-1.19,-0.27,1.24
2025-01-22,002813,22.32,21.91,22.32,21.9,11158,24573196.0,1.88,-2.14,-0.48,0.93
2025-01-23,002813,22.1,22.0,22.55,22.0,14238,31628887.0,2.51,0.41,0.09,1.19
2025-01-24,002813,22.02,22.08,22.12,21.7,12762,28035346.3,1.91,0.36,0.08,1.06
2025-01-27,002813,22.19,21.99,22.45,21.9,9601,21293352.0,2.49,-0.41,-0.09,0.8
2025-02-05,002813,22.13,22.34,22.6,22.1,15827,35439300.0,2.27,1.59,0.35,1.32
2025-02-06,002813,22.48,23.55,23.6,22.3,33467,77322122.0,5.82,5.42,1.21,2.79
2025-02-07,002813,23.77,23.42,23.96,23.14,33559,78971933.7,3.48,-0.55,-0.13,2.8
2025-02-10,002813,23.5,24.28,24.3,23.49,35053,84040684.2,3.46,3.67,0.86,2.92
2025-02-11,002813,24.56,24.05,24.59,23.92,23367,56295216.0,2.76,-0.95,-0.23,1.95
2025-02-12,002813,23.94,24.0,24.18,23.75,20059,48023903.5,1.79,-0.21,-0.05,1.67
2025-02-13,002813,24.04,23.58,24.05,23.51,20086,47629755.0,2.25,-1.75,-0.42,1.68
2025-02-14,002813,23.56,23.68,23.95,23.52,17280,41006370.0,1.82,0.42,0.1,1.44
2025-02-17,002813,24.11,23.98,24.18,23.62,21005,50352839.7,2.36,1.27,0.3,1.75
2025-02-18,002813,23.98,23.48,23.98,23.46,16693,39625111.93,2.17,-2.09,-0.5,1.39
2025-02-19,002813,23.41,23.89,23.95,23.3,16813,39991706.0,2.77,1.75,0.41,1.4
2025-02-20,002813,23.8,23.94,24.18,23.68,14413,34462702.0,2.09,0.21,0.05,1.2
2025-02-21,002813,23.99,24.04,24.56,23.68,23038,55377993.0,3.68,0.42,0.1,1.92
2025-02-24,002813,23.94,23.98,24.23,23.74,17656,42360822.0,2.04,-0.25,-0.06,1.47
2025-02-25,002813,24.4,24.51,25.5,24.35,52760,130625835.1,4.8,2.21,0.53,4.4
