日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002817,6.15,6.08,6.3,6.02,41535,26014051.24,4.55,-1.3,-0.08,1.43
2025-01-03,002817,6.05,6.02,6.2,5.98,57044,35311806.71,3.62,-0.99,-0.06,1.97
2025-01-06,002817,6.04,6.06,6.21,5.8,50584,31093616.56,6.81,0.66,0.04,1.74
2025-01-07,002817,6.1,6.15,6.15,5.99,35695,21938714.0,2.64,1.49,0.09,1.23
2025-01-08,002817,6.09,6.18,6.3,6.0,51537,32148339.66,4.88,0.49,0.03,1.78
2025-01-09,002817,6.1,6.17,6.21,6.09,34402,21438358.82,1.94,-0.16,-0.01,1.19
2025-01-10,002817,6.18,6.21,6.42,6.06,74377,46935475.95,5.83,0.65,0.04,2.56
2025-01-13,002817,6.15,6.61,6.84,6.04,296271,198552073.64,12.88,6.44,0.4,10.21
2025-01-14,002817,6.35,6.62,6.62,6.32,250325,163043181.36,4.54,0.15,0.01,8.63
2025-01-15,002817,6.5,6.36,6.51,6.33,131278,84994575.86,2.72,-3.93,-0.26,4.53
2025-01-16,002817,6.35,6.39,6.44,6.22,105139,67367814.97,3.46,0.47,0.03,3.63
2025-01-17,002817,6.31,6.3,6.36,6.24,64200,40922556.04,1.88,-1.41,-0.09,2.21
2025-01-20,002817,6.33,6.43,6.59,6.23,101588,66054444.54,5.71,2.06,0.13,3.5
2025-01-21,002817,6.47,6.51,6.55,6.38,80145,52503471.16,2.64,1.24,0.08,2.76
2025-01-22,002817,6.49,6.29,6.5,6.26,68786,44355362.9,3.69,-3.38,-0.22,2.37
2025-01-23,002817,6.31,6.24,6.39,6.24,49677,31777913.78,2.38,-0.79,-0.05,1.71
2025-01-24,002817,6.24,6.21,6.26,6.15,50869,31849219.64,1.76,-0.48,-0.03,1.75
2025-01-27,002817,6.19,6.26,6.37,6.19,50445,32165605.33,2.9,0.81,0.05,1.74
2025-02-05,002817,6.31,6.31,6.37,6.25,30549,19464838.37,1.92,0.8,0.05,1.05
2025-02-06,002817,6.32,6.35,6.35,6.19,48102,30526367.9,2.54,0.63,0.04,1.66
2025-02-07,002817,6.34,6.43,6.49,6.34,67113,43623967.28,2.36,1.26,0.08,2.31
2025-02-10,002817,6.46,6.56,6.57,6.43,58368,38353137.15,2.18,2.02,0.13,2.01
2025-02-11,002817,6.58,6.5,6.58,6.43,43155,28260434.67,2.29,-0.91,-0.06,1.49
2025-02-12,002817,6.48,6.52,6.54,6.44,42277,27750186.67,1.54,0.31,0.02,1.46
2025-02-13,002817,6.55,6.41,6.55,6.4,46458,30343332.22,2.3,-1.69,-0.11,1.6
2025-02-14,002817,6.43,6.41,6.48,6.37,39457,25682950.21,1.72,0.0,0.0,1.36
2025-02-17,002817,6.47,6.54,6.56,6.45,63726,41983119.96,1.72,2.03,0.13,2.2
2025-02-18,002817,6.53,6.38,6.6,6.36,53047,34731809.76,3.67,-2.45,-0.16,1.83
2025-02-19,002817,6.41,6.4,6.45,6.33,44740,28919576.7,1.88,0.31,0.02,1.54
2025-02-20,002817,6.41,6.52,6.55,6.39,52049,34196083.44,2.5,1.88,0.12,1.79
2025-02-21,002817,6.53,6.45,6.53,6.4,44798,29237375.41,1.99,-1.07,-0.07,1.54
2025-02-24,002817,6.45,6.5,6.55,6.39,41149,26956228.97,2.48,0.78,0.05,1.42
2025-02-25,002817,6.5,6.43,6.51,6.4,39856,26021742.72,1.69,-1.08,-0.07,1.37
2025-02-26,002817,6.44,6.46,6.5,6.41,41155,26842734.13,1.4,0.47,0.03,1.42
2025-02-27,002817,6.47,6.42,6.5,6.32,53844,34894711.05,2.79,-0.62,-0.04,1.86
2025-02-28,002817,6.39,6.28,6.43,6.24,44951,28749745.19,2.96,-2.18,-0.14,1.55
2025-03-03,002817,6.27,6.35,6.42,6.27,42102,27123765.41,2.39,1.11,0.07,1.45
2025-03-04,002817,6.37,6.45,6.46,6.3,38163,24716847.38,2.52,1.57,0.1,1.32
2025-03-05,002817,6.44,6.38,6.45,6.29,39756,25520908.29,2.48,-1.09,-0.07,1.37
2025-03-06,002817,6.44,6.49,6.51,6.38,44163,28860385.82,2.04,1.72,0.11,1.52
2025-03-07,002817,6.45,6.43,6.53,6.4,35435,23141303.06,2.0,-0.92,-0.06,1.22
2025-03-10,002817,6.44,6.48,6.55,6.44,38066,24968938.18,1.71,0.78,0.05,1.31
2025-03-11,002817,6.47,6.53,6.53,6.41,39009,25565200.2,1.85,0.77,0.05,1.34
2025-03-12,002817,6.53,6.51,6.56,6.47,33596,22104044.74,1.38,-0.31,-0.02,1.16
2025-03-13,002817,6.48,6.46,6.52,6.37,40276,26170610.5,2.3,-0.77,-0.05,1.39
2025-03-14,002817,6.47,6.61,6.63,6.42,69569,46028538.75,3.25,2.32,0.15,2.4
2025-03-17,002817,6.65,6.69,6.72,6.54,60625,40787251.05,2.72,1.21,0.08,2.09
2025-03-18,002817,6.73,6.71,6.79,6.66,39574,26840140.5,1.94,0.3,0.02,1.36
2025-03-19,002817,6.7,6.66,6.75,6.64,46611,31502250.26,1.64,-0.75,-0.05,1.61
2025-03-20,002817,6.71,6.73,6.77,6.65,48239,32732874.09,1.8,1.05,0.07,1.66
2025-03-21,002817,6.7,6.69,6.84,6.61,53397,36130499.98,3.42,-0.59,-0.04,1.84
2025-03-24,002817,6.66,6.47,6.74,6.38,66681,43944529.0,5.38,-3.29,-0.22,2.3
2025-03-25,002817,6.43,6.51,6.53,6.35,63680,41473285.58,2.78,0.62,0.04,2.2
2025-03-26,002817,6.51,6.65,6.71,6.46,54253,36342365.67,3.84,2.15,0.14,1.87
2025-03-27,002817,6.7,6.69,6.75,6.58,49777,33532486.71,2.56,0.6,0.04,1.72
2025-03-28,002817,6.69,6.59,6.79,6.55,49042,33006594.12,3.59,-1.49,-0.1,1.69
2025-03-31,002817,6.55,6.44,6.55,6.35,53699,34929304.4,3.03,-2.28,-0.15,1.85
2025-04-01,002817,6.43,6.68,6.74,6.43,71435,48086892.19,4.81,3.73,0.24,2.46
2025-04-02,002817,6.63,6.73,6.77,6.63,44020,29923565.92,2.1,0.75,0.05,1.52
2025-04-03,002817,6.67,6.77,6.79,6.64,57089,38871378.0,2.23,0.59,0.04,1.97
2025-04-07,002817,6.46,6.09,6.48,6.09,63414,39670949.8,5.76,-10.04,-0.68,2.19
2025-04-08,002817,5.96,5.83,6.15,5.73,84930,50647939.96,6.9,-4.27,-0.26,2.93
2025-04-09,002817,5.77,5.92,5.98,5.33,74899,43026039.06,11.15,1.54,0.09,2.58
2025-04-10,002817,5.97,6.07,6.13,5.96,58689,36049181.72,2.87,2.53,0.15,2.02
2025-04-11,002817,6.07,6.06,6.16,5.98,43677,26910062.09,2.97,-0.16,-0.01,1.51
2025-04-14,002817,6.09,6.23,6.26,6.09,42595,26702943.15,2.81,2.81,0.17,1.47
2025-04-15,002817,6.29,6.31,6.36,6.22,38974,24770931.34,2.25,1.28,0.08,1.34
2025-04-16,002817,6.29,6.19,6.32,6.08,39246,24557685.75,3.8,-1.9,-0.12,1.35
2025-04-17,002817,6.19,6.3,6.37,6.16,36080,22981787.0,3.39,1.78,0.11,1.24
2025-04-18,002817,6.34,6.32,6.36,6.24,31771,20223625.04,1.9,0.32,0.02,1.1
2025-04-21,002817,6.3,6.44,6.46,6.26,37367,24164662.44,3.16,1.9,0.12,1.29
2025-04-22,002817,6.44,6.57,6.57,6.41,41826,27521764.23,2.48,2.02,0.13,1.44
2025-04-23,002817,6.61,6.58,6.64,6.56,37419,24933957.13,1.22,0.15,0.01,1.29
2025-04-24,002817,6.6,6.56,6.66,6.48,33432,22205938.8,2.74,-0.3,-0.02,1.15
2025-04-25,002817,6.59,6.51,6.59,6.49,31896,21075312.84,1.52,-0.76,-0.05,1.1
2025-04-28,002817,6.58,6.6,6.68,6.52,67543,44975516.71,2.46,1.38,0.09,2.33
2025-04-29,002817,6.59,6.7,6.71,6.59,50174,33861954.65,1.82,1.52,0.1,1.73
2025-04-30,002817,6.72,6.75,6.82,6.7,53223,36361038.66,1.79,0.75,0.05,1.84
2025-05-06,002817,6.79,6.84,6.89,6.75,60666,41912704.0,2.07,1.33,0.09,2.09
2025-05-07,002817,6.88,6.87,6.94,6.82,59649,41504583.12,1.75,0.44,0.03,2.06
2025-05-08,002817,6.88,6.92,6.95,6.81,41928,29261588.6,2.04,0.73,0.05,1.45
2025-05-09,002817,6.93,6.9,6.97,6.87,38391,26780388.3,1.45,-0.29,-0.02,1.32
2025-05-12,002817,6.94,6.9,6.95,6.85,41414,28823870.08,1.45,0.0,0.0,1.43
2025-05-13,002817,6.94,6.9,6.96,6.86,44221,30851124.39,1.45,0.0,0.0,1.52
2025-05-14,002817,6.89,6.86,6.92,6.85,42363,29478720.45,1.01,-0.58,-0.04,1.46
2025-05-15,002817,6.89,6.9,6.97,6.82,30189,21034633.65,2.19,0.58,0.04,1.04
2025-05-16,002817,6.93,6.98,6.99,6.87,39056,27447685.76,1.74,1.16,0.08,1.35
2025-05-19,002817,7.02,7.06,7.07,6.93,38497,27274552.44,2.01,1.15,0.08,1.33
2025-05-20,002817,7.06,7.14,7.17,7.0,42850,30780394.74,2.41,1.13,0.08,1.48
2025-05-21,002817,7.18,7.12,7.19,7.06,47058,33819366.67,1.82,-0.28,-0.02,1.62
2025-05-22,002817,7.12,7.02,7.19,6.95,54214,38350467.75,3.37,-1.4,-0.1,1.87
2025-05-23,002817,7.02,7.0,7.12,6.96,48701,34425544.43,2.28,-0.28,-0.02,1.68
2025-05-26,002817,6.99,6.99,7.05,6.9,38924,27279365.8,2.14,-0.14,-0.01,1.34
2025-05-27,002817,7.01,7.08,7.09,6.94,39180,27655567.0,2.15,1.29,0.09,1.35
2025-05-28,002817,7.07,7.04,7.12,6.97,28429,20047618.27,2.12,-0.56,-0.04,0.98
2025-05-29,002817,7.06,7.13,7.19,6.99,49513,35444453.46,2.84,1.28,0.09,1.71
2025-05-30,002817,7.13,7.13,7.24,7.09,46392,33234664.08,2.1,0.0,0.0,1.6
2025-06-03,002817,7.09,7.23,7.24,6.99,47820,34444635.81,3.51,1.4,0.1,1.65
2025-06-04,002817,7.26,7.27,7.3,7.2,37923,27616955.16,1.38,0.55,0.04,1.31
2025-06-05,002817,7.29,7.19,7.32,7.14,38543,27908801.87,2.48,-1.1,-0.08,1.33
2025-06-06,002817,7.19,7.27,7.31,7.14,45416,32940950.92,2.36,1.11,0.08,1.57
2025-06-09,002817,7.27,7.38,7.41,7.22,51116,37761293.48,2.61,1.51,0.11,1.76
2025-06-10,002817,7.37,7.34,7.49,7.23,53099,39265847.71,3.52,-0.54,-0.04,1.83
2025-06-11,002817,7.38,7.35,7.4,7.31,32120,23737441.54,1.23,0.14,0.01,1.11
2025-06-12,002817,7.33,7.37,7.39,7.26,36008,26526341.22,1.77,0.27,0.02,1.24
2025-06-13,002817,7.34,7.21,7.39,7.17,43676,31750674.43,2.99,-2.17,-0.16,1.51
2025-06-16,002817,7.26,7.23,7.36,7.11,61820,45162908.92,3.47,0.28,0.02,2.13
2025-06-17,002817,7.27,7.17,7.31,7.13,52157,37732685.98,2.49,-0.83,-0.06,1.8
2025-06-18,002817,7.14,7.02,7.18,6.98,50323,35645294.58,2.79,-2.09,-0.15,1.74
2025-06-19,002817,7.05,6.84,7.06,6.81,44340,30761090.21,3.56,-2.56,-0.18,1.53
2025-06-20,002817,6.81,6.84,6.92,6.79,43299,29759172.54,1.9,0.0,0.0,1.49
2025-06-23,002817,6.75,7.02,7.05,6.75,51012,35531310.56,4.39,2.63,0.18,1.76
2025-06-24,002817,7.06,7.2,7.22,6.99,52304,37596977.96,3.28,2.56,0.18,1.8
2025-06-25,002817,7.24,7.19,7.31,7.13,45603,33005942.82,2.5,-0.14,-0.01,1.57
2025-06-26,002817,7.2,7.19,7.26,7.14,40054,28905063.65,1.67,0.0,0.0,1.38
2025-06-27,002817,7.25,7.24,7.27,7.18,39344,28539410.25,1.25,0.7,0.05,1.36
2025-06-30,002817,7.24,7.35,7.38,7.19,53391,39230028.74,2.62,1.52,0.11,1.84
2025-07-01,002817,7.31,7.43,7.47,7.31,55146,40939016.0,2.18,1.09,0.08,1.9
2025-07-02,002817,7.49,7.44,7.5,7.32,47713,35662158.79,2.42,0.13,0.01,1.65
2025-07-03,002817,7.45,7.52,7.54,7.42,47896,36072295.99,1.61,1.08,0.08,1.65
2025-07-04,002817,7.52,7.43,7.53,7.41,47517,35568454.42,1.6,-1.2,-0.09,1.64
2025-07-07,002817,7.47,7.54,7.61,7.45,57100,43144777.67,2.15,1.48,0.11,1.97
2025-07-08,002817,7.59,7.56,7.64,7.48,65522,49772641.8,2.12,0.27,0.02,2.26
2025-07-09,002817,7.57,7.53,7.57,7.48,45207,34120449.97,1.19,-0.4,-0.03,1.56
2025-07-10,002817,7.52,7.56,7.57,7.5,30516,23110978.31,0.93,0.4,0.03,1.05
2025-07-11,002817,7.6,7.55,7.66,7.48,41173,31231397.62,2.38,-0.13,-0.01,1.42
2025-07-14,002817,7.55,7.66,7.68,7.51,48161,36849825.88,2.25,1.46,0.11,1.66
2025-07-15,002817,7.68,7.58,7.72,7.47,50949,38788293.35,3.26,-1.04,-0.08,1.76
2025-07-16,002817,7.57,7.73,7.74,7.56,60609,46711529.56,2.37,1.98,0.15,2.09
2025-07-17,002817,7.78,7.78,7.82,7.7,36904,28795264.68,1.55,0.65,0.05,1.27
2025-07-18,002817,7.78,7.78,7.81,7.67,42918,33290050.28,1.8,0.0,0.0,1.48
2025-07-21,002817,7.78,7.91,7.93,7.71,50215,39600662.2,2.83,1.67,0.13,1.73
2025-07-22,002817,7.95,7.86,8.01,7.85,50959,40447205.28,2.02,-0.63,-0.05,1.76
2025-07-23,002817,7.85,7.85,7.92,7.77,37858,29791806.12,1.91,-0.13,-0.01,1.31
2025-07-24,002817,7.84,7.8,7.93,7.76,54454,42743066.0,2.17,-0.64,-0.05,1.88
2025-07-25,002817,7.83,7.86,7.86,7.77,42148,33141148.15,1.15,0.77,0.06,1.45
2025-07-28,002817,7.88,7.93,8.0,7.86,56302,44872919.68,1.78,0.89,0.07,1.94
2025-07-29,002817,7.92,7.98,8.08,7.89,49090,39172091.79,2.4,0.63,0.05,1.69
2025-07-30,002817,7.98,7.97,8.04,7.87,51287,40898378.56,2.13,-0.13,-0.01,1.77
2025-07-31,002817,8.03,7.88,8.03,7.85,50466,40222137.12,2.26,-1.13,-0.09,1.74
2025-08-01,002817,7.91,8.02,8.02,7.86,65238,52273333.1,2.03,1.78,0.14,2.25
2025-08-04,002817,7.97,8.16,8.18,7.92,66416,53690930.5,3.24,1.75,0.14,2.29
2025-08-05,002817,8.16,8.25,8.26,8.16,51646,42553992.91,1.23,1.1,0.09,1.78
2025-08-06,002817,8.25,8.07,8.27,8.06,66429,54180120.38,2.55,-2.18,-0.18,2.29
2025-08-07,002817,8.1,8.06,8.25,8.01,72185,58690534.45,2.97,-0.12,-0.01,2.49
2025-08-08,002817,8.09,8.15,8.17,7.91,69690,56408063.19,3.23,1.12,0.09,2.4
2025-08-11,002817,8.16,8.27,8.28,8.11,58118,47949643.65,2.09,1.47,0.12,2.0
2025-08-12,002817,8.28,8.22,8.36,8.18,51533,42726157.69,2.18,-0.6,-0.05,1.78
2025-08-13,002817,8.26,8.21,8.29,8.13,43238,35599114.31,1.95,-0.12,-0.01,1.49
2025-08-14,002817,8.25,7.98,8.28,7.97,57761,46884114.12,3.78,-2.8,-0.23,1.99
2025-08-15,002817,8.0,7.94,8.11,7.9,59982,48082379.83,2.63,-0.5,-0.04,2.07
2025-08-18,002817,7.95,7.91,8.19,7.9,90935,73114029.58,3.65,-0.38,-0.03,3.14
2025-08-19,002817,7.91,8.03,8.05,7.86,67095,53831286.05,2.4,1.52,0.12,2.31
2025-08-20,002817,8.03,8.07,8.07,7.95,56628,45530849.44,1.49,0.5,0.04,1.95
2025-08-21,002817,8.06,8.1,8.14,8.0,54586,44230812.23,1.73,0.37,0.03,1.88
2025-08-22,002817,8.1,7.95,8.1,7.85,68406,54561944.73,3.09,-1.85,-0.15,2.36
2025-08-25,002817,7.98,7.94,8.12,7.89,90854,73044781.05,2.89,-0.13,-0.01,3.13
2025-08-26,002817,7.92,8.09,8.12,7.86,66425,53573537.72,3.27,1.89,0.15,2.29
2025-08-27,002817,8.09,7.7,8.09,7.7,104436,82523307.0,4.82,-4.82,-0.39,3.6
2025-08-28,002817,7.67,7.62,7.85,7.32,114490,86823530.06,6.88,-1.04,-0.08,3.95
2025-08-29,002817,7.62,7.45,7.68,7.42,107637,81110679.46,3.41,-2.23,-0.17,3.71
2025-09-01,002817,7.47,7.53,7.64,7.43,92234,69909964.55,2.82,1.07,0.08,3.18
2025-09-02,002817,7.57,7.49,7.59,7.31,72420,54078951.85,3.72,-0.53,-0.04,2.5
2025-09-03,002817,7.5,7.35,7.62,7.32,62532,46758494.49,4.01,-1.87,-0.14,2.16
2025-09-04,002817,7.39,7.52,7.63,7.32,74951,56484844.65,4.22,2.31,0.17,2.58
2025-09-05,002817,7.53,7.53,7.62,7.32,65073,48825023.0,3.99,0.13,0.01,2.24
2025-09-08,002817,7.52,7.67,7.68,7.52,68487,52361717.79,2.12,1.86,0.14,2.36
2025-09-09,002817,7.68,7.6,7.69,7.55,48792,37334893.7,1.83,-0.91,-0.07,1.68
2025-09-10,002817,7.65,7.72,7.81,7.57,72447,55857056.41,3.16,1.58,0.12,2.5
2025-09-11,002817,7.72,7.78,7.8,7.61,71696,55591834.62,2.46,0.78,0.06,2.47
2025-09-12,002817,7.82,7.77,7.82,7.73,47680,37190420.19,1.16,-0.13,-0.01,1.64
2025-09-15,002817,7.81,7.67,7.81,7.62,47262,36435288.06,2.45,-1.29,-0.1,1.63
2025-09-16,002817,7.7,7.75,7.75,7.57,43012,33141640.99,2.35,1.04,0.08,1.48
2025-09-17,002817,7.77,7.8,7.82,7.72,54756,42702748.71,1.29,0.65,0.05,1.89
2025-09-18,002817,7.8,7.61,7.81,7.54,64849,49989638.52,3.46,-2.44,-0.19,2.24
2025-09-19,002817,7.61,7.53,7.63,7.41,47691,35950976.38,2.89,-1.05,-0.08,1.64
2025-09-22,002817,7.6,7.44,7.6,7.38,45452,34006780.83,2.92,-1.2,-0.09,1.57
2025-09-23,002817,7.46,7.29,7.47,6.97,76964,55357927.27,6.72,-2.02,-0.15,2.65
2025-09-24,002817,7.31,7.5,7.54,7.18,59002,44062519.36,4.94,2.88,0.21,2.03
2025-09-25,002817,7.49,7.4,7.6,7.38,46288,34765188.69,2.93,-1.33,-0.1,1.6
2025-09-26,002817,7.38,7.44,7.51,7.31,39009,29103361.54,2.7,0.54,0.04,1.34
2025-09-29,002817,7.45,7.6,7.62,7.3,52952,39977084.64,4.3,2.15,0.16,1.83
2025-09-30,002817,7.61,7.55,7.63,7.52,37734,28617157.85,1.45,-0.66,-0.05,1.3
2025-10-09,002817,7.55,7.44,7.58,7.41,44690,33500263.29,2.25,-1.46,-0.11,1.54
2025-10-10,002817,7.44,7.52,7.6,7.39,52284,39545651.28,2.82,1.08,0.08,1.8
2025-10-13,002817,7.37,7.51,7.57,7.15,67816,50742626.19,5.59,-0.13,-0.01,2.34
2025-10-14,002817,7.57,7.56,7.59,7.49,44045,33369975.26,1.33,0.67,0.05,1.52
