日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002818,13.8,13.86,14.55,13.68,104396,159176279.83,6.26,-0.29,-0.04,3.5
2025-01-03,002818,13.86,13.41,14.02,13.26,66284,97073292.7,5.48,-3.25,-0.45,2.22
2025-01-06,002818,13.39,13.33,13.62,13.07,41785,60027327.9,4.1,-0.6,-0.08,1.4
2025-01-07,002818,13.22,13.3,13.36,13.02,43093,61331746.28,2.55,-0.23,-0.03,1.44
2025-01-08,002818,13.26,13.21,13.32,12.84,39467,55791454.7,3.61,-0.68,-0.09,1.32
2025-01-09,002818,13.09,12.96,13.18,12.92,31271,44037355.7,1.97,-1.89,-0.25,1.05
2025-01-10,002818,12.92,12.44,12.93,12.43,39131,53584801.7,3.86,-4.01,-0.52,1.31
2025-01-13,002818,12.34,12.0,12.36,11.86,52275,68625465.1,4.02,-3.54,-0.44,1.75
2025-01-14,002818,12.02,12.55,12.56,11.94,49114,65339816.0,5.17,4.58,0.55,1.65
2025-01-15,002818,12.48,12.59,12.8,12.38,35515,48469899.3,3.35,0.32,0.04,1.19
2025-01-16,002818,12.67,12.75,12.98,12.61,41651,57489267.16,2.94,1.27,0.16,1.4
2025-01-17,002818,12.69,12.75,12.85,12.54,32655,44909661.0,2.43,0.0,0.0,1.09
2025-01-20,002818,12.64,12.65,12.8,12.57,26748,36698221.18,1.8,-0.78,-0.1,0.9
2025-01-21,002818,12.67,12.51,12.74,12.45,24786,33645197.9,2.29,-1.11,-0.14,0.83
2025-01-22,002818,12.47,12.18,12.54,12.17,28492,37982546.5,2.96,-2.64,-0.33,0.95
2025-01-23,002818,12.35,12.02,12.41,12.02,31439,41477491.9,3.2,-1.31,-0.16,1.05
2025-01-24,002818,12.03,12.14,12.32,11.95,30045,39567669.33,3.08,1.0,0.12,1.01
2025-01-27,002818,12.36,12.2,12.42,12.16,26197,34946620.01,2.14,0.49,0.06,0.88
2025-02-05,002818,12.31,12.27,12.36,12.01,42332,55986957.3,2.87,0.57,0.07,1.42
2025-02-06,002818,12.26,12.41,12.43,12.19,26411,35315262.9,1.96,1.14,0.14,0.89
2025-02-07,002818,12.42,12.32,12.5,12.23,35779,47966942.37,2.18,-0.73,-0.09,1.2
2025-02-10,002818,12.32,12.41,12.41,12.19,29190,39009706.78,1.79,0.73,0.09,0.98
2025-02-11,002818,12.59,12.56,12.81,12.29,40462,55101280.2,4.19,1.21,0.15,1.36
2025-02-12,002818,12.61,12.44,12.64,12.34,31775,42910128.6,2.39,-0.96,-0.12,1.07
2025-02-13,002818,12.44,12.34,12.54,12.28,26246,35224126.41,2.09,-0.8,-0.1,0.88
2025-02-14,002818,12.29,12.35,12.55,12.28,24414,32735263.87,2.19,0.08,0.01,0.82
2025-02-17,002818,12.32,12.29,12.38,12.2,22573,30077553.59,1.46,-0.49,-0.06,0.76
2025-02-18,002818,12.26,12.1,12.3,12.05,25266,33402363.74,2.03,-1.55,-0.19,0.85
2025-02-19,002818,12.11,12.28,12.31,12.06,26497,35093922.4,2.07,1.49,0.18,0.89
2025-02-20,002818,12.31,12.42,12.5,12.28,21206,28512770.9,1.79,1.14,0.14,0.71
2025-02-21,002818,12.42,12.38,12.46,12.16,30217,40318643.42,2.42,-0.32,-0.04,1.01
2025-02-24,002818,12.38,12.6,12.64,12.29,40708,55249528.33,2.83,1.78,0.22,1.36
2025-02-25,002818,12.58,12.54,12.6,12.41,25312,34273255.64,1.51,-0.48,-0.06,0.85
2025-02-26,002818,12.5,12.63,12.68,12.5,19716,26902673.4,1.44,0.72,0.09,0.66
2025-02-27,002818,12.63,12.76,12.77,12.51,39544,54158523.4,2.06,1.03,0.13,1.33
2025-02-28,002818,12.56,11.98,12.58,11.97,85293,112383701.56,4.78,-6.11,-0.78,2.86
2025-03-03,002818,11.99,12.09,12.32,11.97,56585,74625705.92,2.92,0.92,0.11,1.9
2025-03-04,002818,12.15,12.1,12.15,12.04,16386,21540130.1,0.91,0.08,0.01,0.55
2025-03-05,002818,12.13,12.09,12.13,11.98,19117,25048415.9,1.24,-0.08,-0.01,0.64
2025-03-06,002818,12.11,12.08,12.19,12.01,42712,55982952.98,1.49,-0.08,-0.01,1.43
2025-03-07,002818,12.04,11.9,12.07,11.88,39180,50931484.25,1.57,-1.49,-0.18,1.31
2025-03-10,002818,11.92,12.05,12.05,11.91,23462,30578875.22,1.18,1.26,0.15,0.79
2025-03-11,002818,12.01,12.14,12.16,11.93,28514,37321604.6,1.91,0.75,0.09,0.96
2025-03-12,002818,12.15,12.19,12.23,12.11,26496,35020067.84,0.99,0.41,0.05,0.89
2025-03-13,002818,12.2,12.2,12.22,12.1,31519,41628089.1,0.98,0.08,0.01,1.06
2025-03-14,002818,12.24,12.52,12.52,12.24,41396,55829331.2,2.3,2.62,0.32,1.39
2025-03-17,002818,12.58,12.81,12.83,12.53,36388,49960167.02,2.4,2.32,0.29,1.22
2025-03-18,002818,12.85,12.71,12.86,12.62,22203,30537156.7,1.87,-0.78,-0.1,0.74
2025-03-19,002818,12.71,12.74,12.76,12.62,23426,32163944.5,1.1,0.24,0.03,0.79
2025-03-20,002818,12.74,12.59,12.76,12.55,22648,30953361.0,1.65,-1.18,-0.15,0.76
2025-03-21,002818,12.59,12.51,12.72,12.45,19891,27045330.54,2.14,-0.64,-0.08,0.67
2025-03-24,002818,12.47,12.5,12.61,12.34,20926,28269959.7,2.16,-0.08,-0.01,0.7
2025-03-25,002818,12.44,12.63,12.64,12.39,21990,29838301.8,2.0,1.04,0.13,0.74
2025-03-26,002818,12.67,12.74,12.75,12.57,19498,26771939.43,1.43,0.87,0.11,0.65
2025-03-27,002818,12.85,13.01,13.16,12.71,54057,75786698.5,3.53,2.12,0.27,1.81
2025-03-28,002818,13.04,13.11,13.18,12.96,33037,46683958.5,1.69,0.77,0.1,1.11
2025-03-31,002818,13.02,13.04,13.16,12.84,33569,47167524.2,2.44,-0.53,-0.07,1.13
2025-04-01,002818,13.06,13.16,13.26,13.03,36040,51135531.17,1.76,0.92,0.12,1.21
2025-04-02,002818,13.17,13.12,13.24,13.05,33641,47634574.38,1.44,-0.3,-0.04,1.13
2025-04-03,002818,12.87,12.89,13.03,12.73,38341,50632427.72,2.29,-1.75,-0.23,1.29
2025-04-07,002818,12.19,11.75,12.55,11.57,65133,80458852.08,7.6,-8.84,-1.14,2.18
2025-04-08,002818,11.9,12.28,12.46,11.89,56329,71077401.4,4.85,4.51,0.53,1.89
2025-04-09,002818,12.25,12.53,12.61,11.88,44070,55496597.32,5.94,2.04,0.25,1.48
2025-04-10,002818,12.59,12.89,12.89,12.59,34320,44914547.64,2.39,2.87,0.36,1.15
2025-04-11,002818,12.87,12.84,12.89,12.72,28861,38003062.25,1.32,-0.39,-0.05,0.97
2025-04-14,002818,12.91,12.95,13.13,12.84,36695,49013390.0,2.26,0.86,0.11,1.23
2025-04-15,002818,13.0,13.0,13.18,12.92,23726,31793788.64,2.01,0.39,0.05,0.8
2025-04-16,002818,12.96,13.01,13.08,12.8,22028,29296064.0,2.15,0.08,0.01,0.74
2025-04-17,002818,12.9,13.24,13.3,12.9,34431,46678784.17,3.07,1.77,0.23,1.15
2025-04-18,002818,13.24,13.1,13.33,13.02,18317,24715478.4,2.34,-1.06,-0.14,0.61
2025-04-21,002818,13.1,13.12,13.32,13.02,27628,37374880.61,2.29,0.15,0.02,0.93
