日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002824,15.51,15.21,15.71,15.02,47955,74663335.41,4.44,-2.06,-0.32,2.54
2025-01-03,002824,15.23,14.71,15.45,14.71,59799,91046978.39,4.87,-3.29,-0.5,3.16
2025-01-06,002824,14.83,14.67,14.98,14.25,51953,76999023.97,4.96,-0.27,-0.04,2.75
2025-01-07,002824,14.69,15.04,15.04,14.63,39716,59619039.56,2.79,2.52,0.37,2.1
2025-01-08,002824,15.0,14.88,15.05,14.4,43666,65118514.69,4.32,-1.06,-0.16,2.31
2025-01-09,002824,14.81,14.94,15.19,14.7,37324,56583855.73,3.29,0.4,0.06,1.97
2025-01-10,002824,14.95,14.51,15.12,14.48,33445,49972347.14,4.28,-2.88,-0.43,1.77
2025-01-13,002824,14.29,14.67,14.78,14.03,35457,52074135.8,5.17,1.1,0.16,1.87
2025-01-14,002824,14.89,15.28,15.32,14.66,56800,86609871.31,4.5,4.16,0.61,3.0
2025-01-15,002824,15.12,15.03,15.28,14.93,47137,71722733.47,2.29,-1.64,-0.25,2.49
2025-01-16,002824,15.05,15.07,15.32,14.88,37206,56748303.59,2.93,0.27,0.04,1.97
2025-01-17,002824,14.95,15.08,15.09,14.78,31482,47627959.36,2.06,0.07,0.01,1.66
2025-01-20,002824,15.21,15.1,15.21,14.93,30372,46328455.05,1.86,0.13,0.02,1.61
2025-01-21,002824,15.1,15.0,15.22,14.79,28797,43518708.9,2.85,-0.66,-0.1,1.52
2025-01-22,002824,14.87,14.75,15.02,14.72,26662,39989497.92,2.0,-1.67,-0.25,1.41
2025-01-23,002824,14.92,14.74,15.17,14.74,37328,56581209.39,2.92,-0.07,-0.01,1.97
2025-01-24,002824,14.75,14.86,14.93,14.63,28510,42557278.82,2.04,0.81,0.12,1.51
2025-01-27,002824,14.99,14.65,15.08,14.63,28876,43304395.82,3.03,-1.41,-0.21,1.53
2025-02-05,002824,14.85,14.99,15.03,14.69,30038,45251932.6,2.32,2.32,0.34,1.59
2025-02-06,002824,14.99,15.46,15.76,14.93,53791,83306697.35,5.54,3.14,0.47,2.84
2025-02-07,002824,15.61,17.02,17.02,15.53,174440,290584853.22,9.64,10.09,1.56,9.22
2025-02-10,002824,16.82,17.82,18.12,16.63,236604,422975400.86,8.75,4.7,0.8,12.51
2025-02-11,002824,17.73,17.29,17.74,17.28,108623,191617730.33,2.58,-2.97,-0.53,5.74
2025-02-12,002824,17.24,17.86,18.83,17.12,166490,301200486.6,9.89,3.3,0.57,8.8
2025-02-13,002824,17.87,16.59,17.9,16.57,195529,335147147.5,7.45,-7.11,-1.27,10.34
2025-02-14,002824,16.69,16.76,17.03,16.59,108727,184348467.45,2.65,1.02,0.17,5.75
2025-02-17,002824,16.78,16.59,16.83,16.33,80082,133830230.57,2.98,-1.01,-0.17,4.23
2025-02-18,002824,16.54,15.9,16.59,15.85,75782,124039582.42,4.46,-4.16,-0.69,4.01
2025-02-19,002824,15.98,16.43,16.52,15.9,79688,131108914.75,3.9,3.33,0.53,4.21
2025-02-20,002824,16.34,16.62,16.81,16.25,74449,123960345.09,3.41,1.16,0.19,3.94
2025-02-21,002824,16.61,16.52,16.7,16.4,64957,108311996.74,1.81,-0.6,-0.1,3.43
2025-02-24,002824,16.46,17.27,17.51,16.19,165135,284235591.78,7.99,4.54,0.75,8.73
2025-02-25,002824,17.09,19.01,19.01,16.88,275683,503934488.78,12.33,10.08,1.74,14.57
2025-02-26,002824,19.57,20.56,20.83,19.51,478983,975810441.61,6.94,8.15,1.55,25.32
2025-02-27,002824,19.83,19.69,20.29,19.15,260732,517761850.19,5.54,-4.23,-0.87,13.78
2025-02-28,002824,19.53,18.43,19.68,18.38,188168,355273838.51,6.6,-6.4,-1.26,9.95
2025-03-03,002824,18.58,18.23,18.96,18.14,128997,240531865.66,4.45,-1.09,-0.2,6.82
2025-03-04,002824,18.14,18.48,19.11,18.13,141125,265177698.25,5.38,1.37,0.25,7.46
2025-03-05,002824,18.49,20.35,20.35,18.19,298571,587028389.91,11.69,10.12,1.87,15.78
2025-03-06,002824,20.98,20.45,21.82,20.33,362544,765481119.98,7.32,0.49,0.1,19.17
2025-03-07,002824,20.45,19.88,20.73,19.61,193635,391177110.81,5.48,-2.79,-0.57,10.24
2025-03-10,002824,19.74,19.7,19.93,19.46,161111,320528807.5,2.36,-0.91,-0.18,8.52
2025-03-11,002824,19.55,19.49,19.77,19.03,129475,252434190.47,3.76,-1.07,-0.21,6.84
2025-03-12,002824,19.63,19.58,20.11,19.51,200258,398274782.27,3.08,0.46,0.09,10.59
2025-03-13,002824,19.56,18.96,19.59,18.5,139834,266619349.72,5.57,-3.17,-0.62,7.39
2025-03-14,002824,19.09,20.4,20.66,18.55,279004,557416386.51,11.13,7.59,1.44,14.75
2025-03-17,002824,20.26,20.59,21.12,19.91,274894,573505729.28,5.93,0.93,0.19,14.53
2025-03-18,002824,20.83,20.23,21.22,20.13,161527,334683186.31,5.29,-1.75,-0.36,8.54
2025-03-19,002824,20.03,20.17,20.63,19.59,132885,268849671.9,5.14,-0.3,-0.06,7.03
2025-03-20,002824,19.96,19.89,20.63,19.51,146965,296655136.02,5.55,-1.39,-0.28,7.77
2025-03-21,002824,19.35,17.88,19.57,17.88,203189,374589816.03,8.5,-10.11,-2.01,10.74
2025-03-24,002824,17.51,16.9,17.81,16.48,167337,287768972.92,7.44,-5.48,-0.98,8.85
2025-03-25,002824,17.08,16.71,17.17,16.54,96360,163809897.31,3.73,-1.12,-0.19,5.09
2025-03-26,002824,16.8,16.97,17.27,16.67,69498,119486686.45,3.59,1.56,0.26,3.67
2025-03-27,002824,16.83,16.71,17.0,16.52,58221,98556144.72,2.83,-1.53,-0.26,3.08
2025-03-28,002824,16.65,16.36,16.77,16.19,80631,133701153.6,3.47,-2.09,-0.35,4.26
2025-03-31,002824,16.3,16.11,16.3,15.78,62508,100996414.52,3.18,-1.53,-0.25,3.3
2025-04-01,002824,16.22,16.1,16.39,16.07,39602,64896863.27,1.99,-0.06,-0.01,2.09
2025-04-02,002824,16.03,16.16,16.32,16.01,32771,53642356.45,1.93,0.37,0.06,1.73
2025-04-03,002824,16.03,16.02,16.23,15.89,37849,61349514.62,2.1,-0.87,-0.14,2.0
2025-04-07,002824,14.71,14.4,15.22,14.4,47246,69443180.81,5.12,-10.11,-1.62,2.5
2025-04-08,002824,14.08,13.41,14.4,12.95,131335,179476537.7,10.07,-6.88,-0.99,6.94
