日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002826,10.3,10.36,10.7,10.25,50884,53704511.28,4.39,0.97,0.1,2.89
2025-01-03,002826,10.37,9.92,10.43,9.75,53487,54632592.23,6.56,-4.25,-0.44,3.04
2025-01-06,002826,9.86,9.8,10.04,9.45,44862,44489542.0,5.95,-1.21,-0.12,2.55
2025-01-07,002826,9.85,10.02,10.05,9.7,44632,44588353.0,3.57,2.24,0.22,2.54
2025-01-08,002826,10.07,9.87,10.23,9.55,39633,39555396.0,6.79,-1.5,-0.15,2.25
2025-01-09,002826,9.8,9.86,9.95,9.68,28351,28237227.07,2.74,-0.1,-0.01,1.61
2025-01-10,002826,9.9,9.62,9.94,9.61,32418,31923486.0,3.35,-2.43,-0.24,1.84
2025-01-13,002826,9.58,9.64,9.74,9.27,26920,25999182.0,4.89,0.21,0.02,1.53
2025-01-14,002826,9.69,10.61,10.61,9.69,70628,73235890.56,9.54,10.06,0.97,4.01
2025-01-15,002826,10.67,10.33,10.72,10.28,66953,70632550.01,4.15,-2.64,-0.28,3.8
2025-01-16,002826,10.43,10.83,10.88,10.33,64698,69460202.73,5.32,4.84,0.5,3.67
2025-01-17,002826,10.81,10.63,10.87,10.56,47896,51500297.0,2.86,-1.85,-0.2,2.72
2025-01-20,002826,10.84,11.2,11.31,10.64,72793,81321033.52,6.3,5.36,0.57,4.13
2025-01-21,002826,11.21,11.24,11.36,10.98,48476,54606889.0,3.39,0.36,0.04,2.75
2025-01-22,002826,11.2,10.87,11.2,10.81,46800,51710290.48,3.47,-3.29,-0.37,2.66
2025-01-23,002826,11.07,10.87,11.17,10.87,31118,34494670.8,2.76,0.0,0.0,1.77
2025-01-24,002826,10.89,10.87,10.97,10.74,26676,29183725.5,2.12,0.0,0.0,1.52
2025-01-27,002826,10.93,10.94,11.14,10.88,35121,39021923.24,2.39,0.64,0.07,1.99
2025-02-05,002826,11.13,11.28,11.38,10.98,45640,51472452.9,3.66,3.11,0.34,2.59
2025-02-06,002826,11.23,11.17,11.27,11.0,36674,41219873.0,2.39,-0.98,-0.11,2.08
2025-02-07,002826,11.25,11.03,11.31,10.89,52714,59027579.1,3.76,-1.25,-0.14,2.99
2025-02-10,002826,11.01,11.23,11.23,11.01,40977,46077248.0,1.99,1.81,0.2,2.33
2025-02-11,002826,11.19,11.24,11.25,11.05,29855,33508068.0,1.78,0.09,0.01,1.7
2025-02-12,002826,11.25,11.21,11.32,11.11,29484,33398814.0,1.87,-0.27,-0.03,1.67
2025-02-13,002826,11.25,11.17,11.55,11.16,60322,69358454.75,3.48,-0.36,-0.04,3.43
2025-02-14,002826,11.16,10.92,11.21,10.86,52912,58780130.0,3.13,-2.24,-0.25,3.01
2025-02-17,002826,11.0,11.02,11.09,10.83,53710,59489967.0,2.38,0.92,0.1,3.05
2025-02-18,002826,11.03,10.69,11.03,10.68,34861,38116327.0,3.18,-2.99,-0.33,1.98
2025-02-19,002826,10.71,10.76,10.87,10.63,35179,38266877.0,2.25,0.65,0.07,2.0
2025-02-20,002826,10.72,10.86,11.13,10.72,39398,43440939.0,3.81,0.93,0.1,2.24
2025-02-21,002826,10.86,10.59,10.91,10.5,63319,67809142.57,3.78,-2.49,-0.27,3.6
2025-02-24,002826,10.48,10.59,10.62,10.23,69869,73439476.03,3.68,0.0,0.0,3.97
2025-02-25,002826,10.58,10.48,10.82,10.4,52747,56375382.0,3.97,-1.04,-0.11,2.99
2025-02-26,002826,10.54,10.45,10.6,10.3,37396,39528761.0,2.86,-0.29,-0.03,2.17
2025-02-27,002826,10.45,10.31,10.53,10.03,75232,77493496.38,4.78,-1.34,-0.14,4.36
2025-02-28,002826,10.32,10.08,10.4,10.04,41887,43104659.36,3.49,-2.23,-0.23,2.43
2025-03-03,002826,10.22,10.57,10.88,10.13,96939,103641832.14,7.44,4.86,0.49,5.61
2025-03-04,002826,10.6,10.65,10.81,10.44,52179,55873876.0,3.5,0.76,0.08,3.02
2025-03-05,002826,10.68,10.36,10.74,10.17,42255,44283378.0,5.35,-2.72,-0.29,2.45
