日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002836,7.12,7.11,7.36,7.02,55179,41074625.56,4.78,-0.14,-0.01,2.39
2025-01-03,002836,7.14,6.67,7.19,6.64,62866,44427031.32,7.74,-6.19,-0.44,2.73
2025-01-06,002836,6.65,6.7,6.78,6.28,54836,37435529.65,7.5,0.45,0.03,2.38
2025-01-07,002836,6.73,7.06,7.06,6.73,55076,39318833.8,4.93,5.37,0.36,2.39
2025-01-08,002836,6.99,7.06,7.12,6.8,46612,33670782.68,4.53,0.0,0.0,2.02
2025-01-09,002836,7.06,7.07,7.15,6.99,30005,21948158.0,2.27,0.14,0.01,1.3
2025-01-10,002836,7.05,7.01,7.33,6.93,63174,46452454.92,5.66,-0.85,-0.06,2.74
2025-01-13,002836,6.79,7.31,7.36,6.76,84148,62070165.28,8.56,4.28,0.3,3.65
2025-01-14,002836,7.36,7.79,7.81,7.34,89254,69966137.86,6.43,6.57,0.48,3.87
2025-01-15,002836,7.79,7.96,8.07,7.75,85016,69554328.48,4.11,2.18,0.17,3.69
2025-01-16,002836,7.96,8.0,8.03,7.86,46640,38194044.02,2.14,0.5,0.04,2.02
2025-01-17,002836,7.96,8.04,8.09,7.8,50826,41616470.48,3.63,0.5,0.04,2.21
2025-01-20,002836,8.06,7.54,8.84,7.42,194970,159242522.3,17.66,-6.22,-0.5,8.46
2025-01-21,002836,7.84,7.6,8.0,7.49,136519,108450216.07,6.76,0.8,0.06,5.93
2025-01-22,002836,7.51,7.48,7.63,7.42,69047,53402067.76,2.76,-1.58,-0.12,3.0
2025-01-23,002836,7.55,7.47,7.63,7.47,49453,38556680.48,2.14,-0.13,-0.01,2.15
2025-01-24,002836,7.48,7.51,7.51,7.34,39369,30185130.12,2.28,0.54,0.04,1.71
2025-01-27,002836,7.55,7.57,7.74,7.54,44226,34861250.28,2.66,0.8,0.06,1.92
2025-02-05,002836,7.62,7.61,7.71,7.54,39312,30864575.6,2.25,0.53,0.04,1.71
2025-02-06,002836,7.61,7.75,7.75,7.52,46497,36634168.18,3.02,1.84,0.14,2.02
2025-02-07,002836,7.72,7.75,7.82,7.63,48964,39101257.44,2.45,0.0,0.0,2.13
2025-02-10,002836,7.73,7.83,7.84,7.73,40525,32500938.32,1.42,1.03,0.08,1.76
2025-02-11,002836,7.83,7.87,8.03,7.76,51680,41818392.6,3.45,0.51,0.04,2.24
2025-02-12,002836,7.81,7.86,7.89,7.8,37778,30541666.44,1.14,-0.13,-0.01,1.64
2025-02-13,002836,7.84,7.68,7.87,7.68,32897,26326156.28,2.42,-2.29,-0.18,1.43
2025-02-14,002836,7.7,7.67,7.76,7.64,30059,23864056.39,1.56,-0.13,-0.01,1.3
2025-02-17,002836,7.7,7.86,7.88,7.66,37074,29808962.4,2.87,2.48,0.19,1.61
2025-02-18,002836,7.82,7.54,7.86,7.53,45205,35775508.36,4.2,-4.07,-0.32,1.96
2025-02-19,002836,7.6,7.71,7.71,7.54,27280,21548846.68,2.25,2.25,0.17,1.18
2025-02-20,002836,7.69,7.82,7.85,7.67,29551,23694442.64,2.33,1.43,0.11,1.28
2025-02-21,002836,7.81,7.7,7.83,7.66,32890,26150104.04,2.17,-1.53,-0.12,1.43
2025-02-24,002836,7.7,7.79,7.83,7.66,33657,26892285.0,2.21,1.17,0.09,1.46
2025-02-25,002836,7.74,7.74,7.85,7.68,26659,21324697.88,2.18,-0.64,-0.05,1.16
2025-02-26,002836,7.73,7.85,7.89,7.73,35501,28706607.96,2.07,1.42,0.11,1.54
2025-02-27,002836,7.84,7.85,7.89,7.66,39641,31774631.88,2.93,0.0,0.0,1.72
2025-02-28,002836,7.85,7.62,7.85,7.59,35690,28344700.34,3.31,-2.93,-0.23,1.55
2025-03-03,002836,7.64,7.72,7.84,7.64,36422,29152008.82,2.62,1.31,0.1,1.58
2025-03-04,002836,7.75,7.89,7.91,7.66,38730,31301970.93,3.24,2.2,0.17,1.68
2025-03-05,002836,7.89,7.86,7.91,7.72,32355,26011589.12,2.41,-0.38,-0.03,1.4
2025-03-06,002836,7.89,8.0,8.02,7.87,41698,34175074.96,1.91,1.78,0.14,1.81
2025-03-07,002836,7.96,7.94,8.03,7.86,31003,25382855.32,2.13,-0.75,-0.06,1.35
2025-03-10,002836,7.95,8.01,8.04,7.92,31488,25887383.72,1.51,0.88,0.07,1.37
2025-03-11,002836,7.99,8.1,8.1,7.79,25241,20820978.92,3.87,1.12,0.09,1.1
2025-03-12,002836,8.09,8.15,8.16,8.05,26661,22251946.69,1.36,0.62,0.05,1.16
2025-03-13,002836,8.16,8.05,8.16,7.91,32497,26817588.88,3.07,-1.23,-0.1,1.41
2025-03-14,002836,8.01,8.26,8.27,8.0,43334,36334983.76,3.35,2.61,0.21,1.88
2025-03-17,002836,8.27,8.33,8.43,8.2,41719,35699635.56,2.78,0.85,0.07,1.81
2025-03-18,002836,8.33,8.36,8.37,8.28,28046,24023812.32,1.08,0.36,0.03,1.22
2025-03-19,002836,8.36,8.34,8.4,8.26,29350,25134363.2,1.67,-0.24,-0.02,1.27
2025-03-20,002836,8.35,8.3,8.36,8.19,32554,27728195.16,2.04,-0.48,-0.04,1.41
2025-03-21,002836,8.26,8.15,8.3,8.07,32722,27511294.04,2.77,-1.81,-0.15,1.42
2025-03-24,002836,8.15,7.71,8.19,7.61,46651,37547546.96,7.12,-5.4,-0.44,2.02
2025-03-25,002836,7.73,7.74,7.8,7.51,40802,32345093.12,3.76,0.39,0.03,1.77
2025-03-26,002836,7.74,7.94,8.02,7.66,41477,33905989.76,4.65,2.58,0.2,1.8
2025-03-27,002836,7.9,7.89,7.99,7.7,28498,23063386.68,3.65,-0.63,-0.05,1.24
2025-03-28,002836,7.89,7.77,7.91,7.71,25688,20653366.12,2.53,-1.52,-0.12,1.11
2025-03-31,002836,7.66,7.66,7.71,7.52,32655,25653553.16,2.45,-1.42,-0.11,1.42
2025-04-01,002836,7.67,7.83,8.0,7.67,30750,24921557.0,4.31,2.22,0.17,1.33
2025-04-02,002836,7.88,7.92,8.02,7.76,33965,27774861.16,3.32,1.15,0.09,1.47
2025-04-03,002836,7.8,7.91,7.93,7.67,32014,25821224.0,3.28,-0.13,-0.01,1.39
2025-04-07,002836,7.58,7.1,7.66,7.1,41887,31047510.08,7.08,-10.24,-0.81,1.82
2025-04-08,002836,7.1,6.99,7.16,6.74,65664,46989637.76,5.92,-1.55,-0.11,2.85
2025-04-09,002836,6.85,7.11,7.2,6.42,53455,38014516.48,11.16,1.72,0.12,2.32
2025-04-10,002836,7.22,7.36,7.51,7.22,44110,33623385.9,4.08,3.52,0.25,1.91
2025-04-11,002836,7.35,7.42,7.51,7.28,25543,19556376.84,3.13,0.82,0.06,1.11
2025-04-14,002836,7.5,7.62,7.72,7.5,29597,23298104.04,2.96,2.7,0.2,1.28
2025-04-15,002836,8.04,7.85,8.23,7.71,64880,52548580.52,6.82,3.02,0.23,2.82
2025-04-16,002836,7.86,7.77,7.92,7.54,50324,40158422.3,4.84,-1.02,-0.08,2.18
2025-04-17,002836,8.57,8.57,8.57,8.57,69886,61569407.42,0.0,10.3,0.8,3.03
2025-04-18,002836,9.45,9.45,9.45,9.45,25668,24872757.12,0.0,10.27,0.88,1.11
2025-04-21,002836,10.42,9.16,10.42,8.98,384747,380892074.13,15.24,-3.07,-0.29,16.7
2025-04-22,002836,8.56,8.23,8.76,8.22,293353,251186000.85,5.9,-10.15,-0.93,12.73
2025-04-23,002836,8.16,8.06,8.27,8.01,179877,150147784.43,3.16,-2.07,-0.17,7.81
2025-04-24,002836,8.06,8.21,8.25,8.06,128382,107509802.79,2.36,1.86,0.15,5.57
2025-04-25,002836,8.12,8.08,8.41,8.06,101410,85381932.08,4.26,-1.58,-0.13,4.4
2025-04-28,002836,8.08,8.19,8.24,7.97,98081,82042104.72,3.34,1.36,0.11,4.26
2025-04-29,002836,8.19,8.33,8.4,8.13,105453,90257597.44,3.3,1.71,0.14,4.58
2025-04-30,002836,8.33,8.31,8.43,8.3,76629,65819959.76,1.56,-0.24,-0.02,3.33
2025-05-06,002836,8.39,8.51,8.51,8.35,74859,64973270.25,1.93,2.41,0.2,3.25
2025-05-07,002836,8.59,8.61,8.65,8.48,71437,62989850.52,2.0,1.18,0.1,3.1
2025-05-08,002836,8.6,8.74,8.76,8.51,52028,46379850.12,2.9,1.51,0.13,2.26
2025-05-09,002836,8.74,8.75,8.86,8.68,66107,59530483.0,2.06,0.11,0.01,2.87
2025-05-12,002836,8.66,8.58,8.74,8.56,70041,61993624.0,2.06,-1.94,-0.17,3.04
2025-05-13,002836,8.69,8.58,8.74,8.51,42143,37250484.88,2.68,0.0,0.0,1.83
2025-05-14,002836,8.55,8.55,8.63,8.52,40238,35443230.76,1.28,-0.35,-0.03,1.75
2025-05-15,002836,8.56,8.67,8.74,8.48,52431,46520228.8,3.04,1.4,0.12,2.28
2025-05-16,002836,8.63,8.71,8.73,8.61,31341,27983884.2,1.38,0.46,0.04,1.36
2025-05-19,002836,8.71,8.72,8.77,8.55,42258,37703862.72,2.53,0.11,0.01,1.83
