日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002847,60.58,62.88,64.78,60.19,62793,402035283.54,7.5,2.75,1.68,2.57
2025-01-03,002847,60.78,62.0,64.57,60.78,42572,271478184.96,6.03,-1.4,-0.88,1.74
2025-01-06,002847,60.59,58.95,62.46,58.4,46601,286729554.58,6.55,-4.92,-3.05,1.9
2025-01-07,002847,58.72,58.97,59.85,58.31,29719,179095272.96,2.61,0.03,0.02,1.21
2025-01-08,002847,58.8,59.45,60.1,57.89,31909,192791664.4,3.75,0.81,0.48,1.3
2025-01-09,002847,58.83,57.6,59.9,56.6,36961,219656898.71,5.55,-3.11,-1.85,1.51
2025-01-10,002847,57.59,56.47,58.01,56.46,20821,122180610.8,2.69,-1.96,-1.13,0.85
2025-01-13,002847,56.35,55.6,56.8,54.93,22100,126108333.05,3.31,-1.54,-0.87,0.9
2025-01-14,002847,55.9,57.6,57.81,55.28,27666,160691494.98,4.55,3.6,2.0,1.13
2025-01-15,002847,57.82,55.52,58.34,55.31,25351,145964769.7,5.26,-3.61,-2.08,1.04
2025-01-16,002847,55.48,55.76,56.71,54.72,23056,132085072.0,3.58,0.43,0.24,0.94
2025-01-17,002847,55.65,57.51,58.08,54.72,34612,202990741.34,6.03,3.14,1.75,1.41
2025-01-20,002847,57.79,56.25,58.7,55.7,33486,196135643.75,5.22,-2.19,-1.26,1.37
2025-01-21,002847,56.69,57.1,57.35,55.48,24630,142754456.89,3.32,1.51,0.85,1.01
2025-01-22,002847,56.49,55.21,57.11,55.01,32108,182781127.66,3.68,-3.31,-1.89,1.31
2025-01-23,002847,54.94,52.82,55.21,52.1,51519,280378521.0,5.63,-4.33,-2.39,2.11
2025-01-24,002847,52.59,52.63,53.08,51.52,33563,180217830.8,2.95,-0.36,-0.19,1.37
2025-01-27,002847,52.58,51.92,53.42,51.92,18576,100152020.77,2.85,-1.35,-0.71,0.76
2025-02-05,002847,52.2,49.33,52.6,49.0,38116,196080253.06,6.93,-4.99,-2.59,1.56
2025-02-06,002847,49.1,49.09,49.46,48.1,35128,176085796.3,2.76,-0.49,-0.24,1.44
2025-02-07,002847,48.6,49.48,50.0,48.26,29679,150485164.0,3.54,0.79,0.39,1.21
2025-02-10,002847,49.49,50.9,51.46,48.82,44818,231576358.42,5.34,2.87,1.42,1.83
2025-02-11,002847,51.14,51.95,52.33,50.68,36120,191228736.0,3.24,2.06,1.05,1.48
2025-02-12,002847,51.92,50.94,51.92,50.4,23433,122584132.24,2.93,-1.94,-1.01,0.96
2025-02-13,002847,50.93,50.38,51.05,50.14,18874,97960886.86,1.79,-1.1,-0.56,0.77
2025-02-14,002847,50.03,50.11,50.58,49.01,27720,141653796.31,3.12,-0.54,-0.27,1.13
2025-02-17,002847,49.87,49.48,50.06,49.07,18752,95381026.6,1.98,-1.26,-0.63,0.77
2025-02-18,002847,49.4,48.62,49.88,48.21,23356,117899828.57,3.38,-1.74,-0.86,0.95
2025-02-19,002847,48.12,48.27,48.4,47.64,20616,101969904.1,1.56,-0.72,-0.35,0.84
2025-02-20,002847,48.25,49.11,49.57,47.66,22134,110937498.97,3.96,1.74,0.84,0.9
2025-02-21,002847,48.93,48.27,49.27,48.2,19710,98210939.7,2.18,-1.71,-0.84,0.81
2025-02-24,002847,48.29,50.99,52.25,48.28,53522,278935048.2,8.22,5.63,2.72,2.19
2025-02-25,002847,51.3,51.45,52.49,50.73,31666,168301687.86,3.45,0.9,0.46,1.29
2025-02-26,002847,51.17,51.76,52.16,50.29,27459,144557372.78,3.63,0.6,0.31,1.12
2025-02-27,002847,51.64,54.4,54.55,51.55,44948,248445010.84,5.8,5.1,2.64,1.84
2025-02-28,002847,54.3,55.55,56.6,53.86,64581,369982465.67,5.04,2.11,1.15,2.64
2025-03-03,002847,55.5,52.65,55.54,52.2,49570,271741211.37,6.01,-5.22,-2.9,2.03
2025-03-04,002847,52.74,51.37,52.8,51.29,20054,106740406.07,2.87,-2.43,-1.28,0.82
2025-03-05,002847,51.33,51.97,52.43,51.1,20003,106852034.83,2.59,1.17,0.6,0.82
2025-03-06,002847,51.6,52.5,52.61,50.93,29723,157570979.4,3.23,1.02,0.53,1.21
2025-03-07,002847,51.95,52.72,53.59,51.47,21684,117010962.2,4.04,0.42,0.22,0.89
2025-03-10,002847,52.65,53.33,53.59,51.95,16246,88054031.8,3.11,1.16,0.61,0.66
2025-03-11,002847,52.79,54.65,54.9,52.1,24858,136756228.4,5.25,2.48,1.32,1.02
2025-03-12,002847,54.6,57.88,59.76,54.49,61631,362725905.15,9.64,5.91,3.23,2.52
2025-03-13,002847,57.85,58.72,59.45,56.71,31196,187305349.69,4.73,1.45,0.84,1.27
2025-03-14,002847,58.88,58.34,58.93,56.77,31650,188141747.42,3.68,-0.65,-0.38,1.29
2025-03-17,002847,58.56,56.64,60.0,56.49,33108,196387597.31,6.02,-2.91,-1.7,1.35
2025-03-18,002847,56.63,57.3,57.83,56.62,21072,123380820.5,2.14,1.17,0.66,0.86
2025-03-19,002847,57.29,56.1,57.35,55.85,15550,89661075.94,2.62,-2.09,-1.2,0.64
2025-03-20,002847,55.89,55.88,56.9,55.81,13279,76487306.3,1.94,-0.39,-0.22,0.54
2025-03-21,002847,55.76,56.37,56.98,55.61,17003,98414112.26,2.45,0.88,0.49,0.69
2025-03-24,002847,56.49,57.98,58.01,56.35,24674,145040364.26,2.94,2.86,1.61,1.01
2025-03-25,002847,58.1,56.78,58.21,55.93,11754,68340286.02,3.93,-2.07,-1.2,0.48
2025-03-26,002847,56.78,55.49,56.78,54.6,17712,100328376.0,3.84,-2.27,-1.29,0.72
2025-03-27,002847,55.38,57.87,58.19,55.01,32594,191317806.42,5.73,4.29,2.38,1.33
2025-03-28,002847,58.09,59.45,59.76,57.43,22775,137426699.36,4.03,2.73,1.58,0.93
2025-03-31,002847,58.6,61.97,63.08,58.6,49734,314683086.52,7.54,4.24,2.52,2.03
2025-04-01,002847,61.61,65.83,65.89,61.16,50778,335006583.4,7.63,6.23,3.86,2.07
2025-04-02,002847,65.39,66.11,68.35,64.7,47413,322901283.06,5.54,0.43,0.28,1.94
2025-04-03,002847,65.4,71.4,71.6,64.66,58475,411279446.76,10.5,8.0,5.29,2.39
2025-04-07,002847,69.1,68.62,71.4,64.12,72826,506944755.91,10.2,-3.89,-2.78,2.98
2025-04-08,002847,67.92,75.62,75.62,67.92,74453,543803265.26,11.22,10.2,7.0,3.04
2025-04-09,002847,74.08,75.2,78.6,71.13,62688,470960772.49,9.88,-0.56,-0.42,2.56
2025-04-10,002847,73.6,76.22,78.5,71.56,67382,511725987.35,9.23,1.36,1.02,2.75
2025-04-11,002847,73.1,74.2,76.3,73.02,37281,282266044.2,4.3,-2.65,-2.02,1.52
2025-04-14,002847,73.53,80.28,80.28,73.11,46939,371121542.66,9.66,8.19,6.08,1.92
2025-04-15,002847,79.47,84.92,88.45,77.01,75445,636092965.23,14.25,5.78,4.64,3.08
2025-04-16,002847,84.27,84.58,84.73,80.39,59405,498306079.98,5.11,-0.4,-0.34,2.43
2025-04-17,002847,82.69,83.6,88.2,80.91,61979,534746339.1,8.62,-1.16,-0.98,2.53
2025-04-18,002847,83.48,82.2,83.48,80.1,39313,327836519.87,4.04,-1.67,-1.4,1.61
2025-04-21,002847,79.8,81.35,84.29,79.6,54954,456147562.5,5.71,-1.03,-0.85,2.25
2025-04-22,002847,80.68,81.73,82.8,79.88,36711,304908101.79,3.59,0.47,0.38,1.5
2025-04-23,002847,77.6,85.48,87.64,76.6,97335,827206274.64,13.51,4.59,3.75,3.98
2025-04-24,002847,85.39,87.83,89.48,84.7,46258,411407670.38,5.59,2.75,2.35,1.89
2025-04-25,002847,87.4,89.1,92.2,87.33,43606,396840617.46,5.54,1.45,1.27,1.78
2025-04-28,002847,88.93,87.48,90.73,86.97,34410,309932321.05,4.22,-1.82,-1.62,1.41
2025-04-29,002847,86.9,91.21,91.48,86.9,28655,260275329.9,5.24,4.26,3.73,1.17
2025-04-30,002847,91.21,88.4,93.6,88.01,45240,416429071.36,6.13,-3.08,-2.81,1.85
2025-05-06,002847,87.1,85.9,88.08,84.68,40899,357365448.41,3.85,-2.83,-2.5,1.67
2025-05-07,002847,85.92,87.9,88.87,85.92,30385,271439623.04,3.43,2.33,2.0,1.24
2025-05-08,002847,87.9,85.48,87.9,85.1,20906,182707989.02,3.19,-2.75,-2.42,0.85
2025-05-09,002847,85.41,87.39,88.57,85.1,19444,172505842.21,4.06,2.23,1.91,0.79
2025-05-12,002847,87.3,86.67,88.1,86.0,24776,218613486.17,2.4,-0.82,-0.72,1.01
