日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002878,16.41,16.73,17.4,16.41,274738,465662611.13,6.01,1.52,0.25,11.73
2025-01-03,002878,16.66,15.06,16.72,15.06,233417,361040196.73,9.92,-9.98,-1.67,9.97
2025-01-06,002878,14.61,13.88,14.8,13.78,233824,329604740.0,6.77,-7.84,-1.18,9.98
2025-01-07,002878,14.3,15.27,15.27,14.3,244083,363069989.98,6.99,10.01,1.39,10.42
2025-01-08,002878,15.32,15.93,16.48,15.31,396576,623706811.96,7.66,4.32,0.66,16.93
2025-01-09,002878,15.8,17.52,17.52,15.59,431914,712774274.77,12.12,9.98,1.59,18.44
2025-01-10,002878,17.44,15.77,17.44,15.77,382561,625717202.83,9.53,-9.99,-1.75,16.34
2025-01-13,002878,15.12,15.32,15.7,14.71,218491,332163687.15,6.28,-2.85,-0.45,9.33
2025-01-14,002878,16.0,16.85,16.85,15.61,408921,670906042.64,8.09,9.99,1.53,17.46
2025-01-15,002878,17.35,17.6,18.54,17.0,588199,1047349756.08,9.14,4.45,0.75,25.12
2025-01-16,002878,17.5,17.28,18.17,16.63,484871,839641904.52,8.75,-1.82,-0.32,20.71
2025-01-17,002878,17.11,16.9,17.63,16.78,303087,518241143.0,4.92,-2.2,-0.38,12.94
2025-01-20,002878,16.94,17.26,17.41,16.51,282375,480821821.2,5.33,2.13,0.36,12.06
2025-01-21,002878,17.39,17.31,17.51,16.89,231034,396920786.97,3.59,0.29,0.05,9.87
2025-01-22,002878,17.09,16.58,17.71,16.58,195016,333176237.1,6.53,-4.22,-0.73,8.33
2025-01-23,002878,16.82,16.27,17.18,16.23,206673,346104677.39,5.73,-1.87,-0.31,8.83
2025-01-24,002878,16.11,17.19,17.31,16.0,258966,433289380.25,8.05,5.65,0.92,11.06
2025-01-27,002878,17.02,17.17,17.65,16.78,241052,413723311.96,5.06,-0.12,-0.02,10.29
2025-02-05,002878,17.17,18.11,18.23,16.67,348196,608394688.5,9.09,5.47,0.94,14.87
2025-02-06,002878,17.77,18.3,18.6,17.55,409814,745039280.1,5.8,1.05,0.19,17.5
2025-02-07,002878,18.12,18.14,18.29,17.77,342042,617146434.69,2.84,-0.87,-0.16,14.61
2025-02-10,002878,17.77,17.62,17.78,17.26,308178,540780028.56,2.87,-2.87,-0.52,13.16
2025-02-11,002878,17.68,19.38,19.38,17.67,466633,861509759.84,9.7,9.99,1.76,19.93
2025-02-12,002878,19.41,20.09,21.3,19.38,741068,1497323978.32,9.91,3.66,0.71,31.65
2025-02-13,002878,20.09,20.76,21.5,20.0,549847,1143844378.49,7.47,3.33,0.67,23.48
2025-02-14,002878,20.2,19.21,20.3,18.9,436841,848507306.95,6.74,-7.47,-1.55,18.65
2025-02-17,002878,19.17,19.09,19.62,18.64,311438,594152999.22,5.1,-0.62,-0.12,13.3
2025-02-18,002878,18.9,17.33,18.9,17.25,331180,595066549.42,8.64,-9.22,-1.76,14.14
2025-02-19,002878,17.39,17.93,18.14,16.9,252714,444024997.34,7.16,3.46,0.6,10.79
2025-02-20,002878,17.91,18.0,18.16,17.59,203471,362440862.7,3.18,0.39,0.07,8.69
2025-02-21,002878,18.0,18.13,18.36,17.81,219940,398600626.89,3.06,0.72,0.13,9.39
2025-02-24,002878,17.88,16.9,17.98,16.56,367317,630434956.09,7.83,-6.78,-1.23,15.69
2025-02-25,002878,16.56,16.68,16.81,16.11,196780,324097809.83,4.14,-1.3,-0.22,8.4
2025-02-26,002878,16.7,16.84,16.95,16.61,163728,274451319.68,2.04,0.96,0.16,6.99
2025-02-27,002878,16.85,16.66,16.94,16.3,139497,231419420.31,3.8,-1.07,-0.18,5.96
2025-02-28,002878,16.5,15.87,16.8,15.79,125701,204260748.56,6.06,-4.74,-0.79,5.37
2025-03-03,002878,15.86,16.03,16.23,15.68,90864,145613793.44,3.47,1.01,0.16,3.88
2025-03-04,002878,15.89,16.08,16.14,15.8,73005,117097797.55,2.12,0.31,0.05,3.12
2025-03-05,002878,16.05,16.03,16.15,15.81,84922,135429467.31,2.11,-0.31,-0.05,3.63
2025-03-06,002878,16.15,16.81,16.81,16.11,215896,357136205.6,4.37,4.87,0.78,9.22
2025-03-07,002878,17.12,16.37,17.12,16.29,156510,259570552.28,4.94,-2.62,-0.44,6.68
2025-03-10,002878,16.3,16.15,16.3,15.98,84492,136021711.02,1.95,-1.34,-0.22,3.61
2025-03-11,002878,15.88,16.18,16.25,15.81,58846,94709498.0,2.72,0.19,0.03,2.51
2025-03-12,002878,16.3,16.16,16.34,16.09,81390,132032393.0,1.55,-0.12,-0.02,3.48
2025-03-13,002878,16.17,15.76,16.23,15.6,93378,147624515.38,3.9,-2.48,-0.4,3.99
2025-03-14,002878,15.7,16.29,16.35,15.7,125814,202982501.93,4.12,3.36,0.53,5.37
2025-03-17,002878,16.5,16.4,16.63,16.26,116072,190988375.5,2.27,0.68,0.11,4.96
2025-03-18,002878,16.37,16.71,16.9,16.21,165866,275113984.24,4.21,1.89,0.31,7.08
2025-03-19,002878,16.6,16.24,16.6,16.2,90391,147744592.77,2.39,-2.81,-0.47,3.86
2025-03-20,002878,16.27,16.09,16.34,16.07,66742,107878744.3,1.66,-0.92,-0.15,2.85
2025-03-21,002878,15.92,15.74,16.09,15.7,71796,113744517.56,2.42,-2.18,-0.35,3.07
2025-03-24,002878,15.74,15.51,15.84,15.0,84890,130464701.18,5.34,-1.46,-0.23,3.62
2025-03-25,002878,15.38,15.22,15.45,15.15,46934,71698960.0,1.93,-1.87,-0.29,2.0
2025-03-26,002878,15.26,15.26,15.42,15.15,45886,70015238.4,1.77,0.26,0.04,1.96
2025-03-27,002878,15.32,15.46,15.7,15.18,75723,117451337.71,3.41,1.31,0.2,3.23
2025-03-28,002878,15.2,15.03,15.35,15.01,66887,101288074.0,2.2,-2.78,-0.43,2.86
2025-03-31,002878,15.02,14.68,15.02,14.4,65254,95428341.0,4.13,-2.33,-0.35,2.79
2025-04-01,002878,14.69,14.6,14.87,14.6,38114,56149021.08,1.84,-0.54,-0.08,1.63
2025-04-02,002878,14.55,14.65,14.83,14.5,30631,44951504.0,2.26,0.34,0.05,1.31
2025-04-03,002878,14.42,14.52,14.74,14.39,29592,43150170.0,2.39,-0.89,-0.13,1.26
2025-04-07,002878,13.59,13.07,13.65,13.07,46632,61500692.0,3.99,-9.99,-1.45,1.99
2025-04-08,002878,12.55,12.25,12.95,11.88,98063,120781775.1,8.19,-6.27,-0.82,4.19
2025-04-09,002878,12.12,12.65,12.78,11.04,108986,130968539.0,14.2,3.27,0.4,4.65
2025-04-10,002878,12.92,13.11,13.25,12.88,89551,117624058.53,2.92,3.64,0.46,3.82
2025-04-11,002878,13.02,13.05,13.24,13.0,52756,69293183.89,1.83,-0.46,-0.06,2.25
2025-04-14,002878,13.22,13.53,13.88,13.22,85992,116797128.14,5.06,3.68,0.48,3.67
2025-04-15,002878,13.53,14.38,14.88,13.53,243135,353651410.62,9.98,6.28,0.85,10.38
2025-04-16,002878,14.09,13.51,14.22,13.5,156654,216176573.0,5.01,-6.05,-0.87,6.69
2025-04-17,002878,13.32,13.61,14.4,13.32,87656,120801177.0,7.99,0.74,0.1,3.74
2025-04-18,002878,13.51,13.4,13.72,13.3,61646,82859630.0,3.09,-1.54,-0.21,2.63
2025-04-21,002878,13.4,13.84,13.86,13.18,76146,104275325.35,5.07,3.28,0.44,3.25
2025-04-22,002878,13.77,13.7,13.96,13.63,42815,58678895.89,2.38,-1.01,-0.14,1.83
2025-04-23,002878,13.76,13.74,13.88,13.68,43050,59264213.0,1.46,0.29,0.04,1.84
2025-04-24,002878,13.73,13.56,13.8,13.43,46717,63482065.0,2.69,-1.31,-0.18,1.99
2025-04-25,002878,13.51,13.55,13.69,13.5,34574,46993975.63,1.4,-0.07,-0.01,1.48
2025-04-28,002878,13.55,13.57,13.85,13.33,60244,82055782.29,3.84,0.15,0.02,2.57
2025-04-29,002878,13.64,13.98,14.14,13.51,103538,144794687.0,4.64,3.02,0.41,4.42
2025-04-30,002878,14.0,14.46,14.65,14.0,117303,169584816.0,4.65,3.43,0.48,5.01
2025-05-06,002878,14.6,14.88,14.88,14.33,105269,153817592.68,3.8,2.9,0.42,4.49
2025-05-07,002878,14.88,14.66,14.99,14.52,90834,133761216.81,3.16,-1.48,-0.22,3.88
2025-05-08,002878,14.7,15.0,15.08,14.6,87298,130100242.0,3.27,2.32,0.34,3.73
2025-05-09,002878,15.03,14.66,15.05,14.6,59083,87013215.0,3.0,-2.27,-0.34,2.52
2025-05-12,002878,14.84,14.77,14.84,14.7,46596,68771543.0,0.95,0.75,0.11,1.99
2025-05-13,002878,14.9,14.71,15.04,14.68,50109,74436678.5,2.44,-0.41,-0.06,2.14
2025-05-14,002878,14.66,14.77,14.84,14.62,44618,65704945.0,1.5,0.41,0.06,1.91
2025-05-15,002878,14.9,14.65,14.92,14.63,48300,71204200.0,1.96,-0.81,-0.12,2.06
2025-05-16,002878,14.57,14.76,14.86,14.5,45163,66522908.0,2.46,0.75,0.11,1.93
2025-05-19,002878,14.7,14.79,14.83,14.48,46019,67524366.0,2.37,0.2,0.03,1.96
2025-05-20,002878,14.8,15.51,15.78,14.75,217313,335365366.01,6.96,4.87,0.72,9.28
2025-05-21,002878,15.3,15.19,15.35,15.1,127400,193784754.0,1.61,-2.06,-0.32,5.44
2025-05-22,002878,15.16,15.06,15.35,14.87,82691,125085871.9,3.16,-0.86,-0.13,3.53
2025-05-23,002878,15.01,14.63,15.06,14.6,76658,113668080.0,3.05,-2.86,-0.43,3.27
2025-05-26,002878,14.64,15.44,15.62,14.64,175655,268222085.0,6.7,5.54,0.81,7.5
2025-05-27,002878,15.43,15.93,16.65,15.31,288800,461190450.1,8.68,3.17,0.49,12.33
2025-05-28,002878,15.79,15.83,16.0,15.25,213814,332884926.08,4.71,-0.63,-0.1,9.13
2025-05-29,002878,15.76,17.41,17.41,15.51,350200,584260476.14,12.0,9.98,1.58,14.95
2025-05-30,002878,19.15,19.15,19.15,18.56,359286,687011849.1,3.39,9.99,1.74,15.34
2025-06-03,002878,20.8,18.28,21.07,18.25,921212,1819914054.7,14.73,-4.54,-0.87,39.33
2025-06-04,002878,16.92,16.87,17.45,16.55,623507,1056953532.84,4.92,-7.71,-1.41,26.62
2025-06-05,002878,17.01,18.56,18.56,16.91,360974,648736909.85,9.78,10.02,1.69,15.41
2025-06-06,002878,18.8,17.45,18.89,17.38,571941,1018545249.26,8.14,-5.98,-1.11,24.42
2025-06-09,002878,18.01,19.2,19.2,18.0,617767,1172247198.59,6.88,10.03,1.75,26.38
2025-06-10,002878,19.61,18.73,19.86,18.68,721049,1385245927.79,6.15,-2.45,-0.47,30.79
2025-06-11,002878,19.57,20.6,20.6,19.03,694436,1373798748.52,8.38,9.98,1.87,29.65
2025-06-12,002878,21.5,22.66,22.66,21.5,447587,997710397.21,5.63,10.0,2.06,18.97
2025-06-13,002878,23.67,24.93,24.93,21.8,996688,2329004037.14,13.81,10.02,2.27,42.25
2025-06-16,002878,25.0,27.42,27.42,25.0,727971,1955962557.03,9.71,9.99,2.49,30.86
2025-06-17,002878,27.15,25.14,27.2,24.68,974693,2530114631.41,9.19,-8.32,-2.28,41.31
2025-06-18,002878,25.49,23.02,25.5,22.81,745295,1789668104.16,10.7,-8.43,-2.12,31.59
2025-06-19,002878,23.01,23.09,24.29,22.5,689549,1622132593.81,7.78,0.3,0.07,29.23
2025-06-20,002878,21.03,20.78,21.64,20.78,522857,1092919237.05,3.72,-10.0,-2.31,22.16
2025-06-23,002878,19.58,20.85,21.25,19.55,521805,1070641390.13,8.18,0.34,0.07,22.12
2025-06-24,002878,20.86,20.44,21.15,20.26,487548,1003045977.66,4.27,-1.97,-0.41,20.67
2025-06-25,002878,20.69,20.3,20.76,19.83,432581,875307206.49,4.55,-0.68,-0.14,18.34
2025-06-26,002878,20.01,21.28,22.04,19.8,690251,1445743909.85,11.03,4.83,0.98,29.26
2025-06-27,002878,20.81,21.33,21.94,20.43,534554,1141502435.39,7.1,0.23,0.05,22.66
2025-06-30,002878,21.73,23.28,23.46,21.34,789000,1790445775.68,9.94,9.14,1.95,33.44
2025-07-01,002878,22.6,21.0,22.62,21.0,630241,1361890782.14,6.96,-9.79,-2.28,26.71
2025-07-02,002878,20.74,20.3,21.0,20.0,367562,748789460.05,4.76,-3.33,-0.7,15.58
2025-07-03,002878,20.11,20.24,20.37,20.03,188869,381022560.0,1.67,-0.3,-0.06,8.01
2025-07-04,002878,20.38,20.0,20.78,19.68,361752,731276451.95,5.43,-1.19,-0.24,15.33
2025-07-07,002878,19.75,20.41,20.69,19.75,287417,585622398.36,4.7,2.05,0.41,12.18
2025-07-08,002878,20.31,20.67,20.78,20.13,285060,586372831.46,3.18,1.27,0.26,12.08
2025-07-09,002878,20.88,20.48,21.15,20.33,292470,605528843.03,3.97,-0.92,-0.19,12.4
2025-07-10,002878,20.31,20.1,20.58,20.0,229063,463135422.85,2.83,-1.86,-0.38,9.71
2025-07-11,002878,20.21,20.7,20.91,19.96,316145,649755900.93,4.73,2.99,0.6,13.4
2025-07-14,002878,18.94,18.63,19.32,18.63,348928,654397118.55,3.33,-10.0,-2.07,14.79
2025-07-15,002878,18.79,18.93,18.97,18.45,261208,489420251.65,2.79,1.61,0.3,11.07
2025-07-16,002878,18.99,19.17,19.25,18.87,196332,375628975.68,2.01,1.27,0.24,8.32
2025-07-17,002878,18.96,19.07,19.28,18.88,153079,291697795.0,2.09,-0.52,-0.1,6.49
2025-07-18,002878,19.1,18.85,19.2,18.8,118839,224830290.34,2.1,-1.15,-0.22,5.04
2025-07-21,002878,19.01,19.19,19.79,18.91,257300,497355143.08,4.67,1.8,0.34,10.91
2025-07-22,002878,19.14,19.31,19.75,19.01,216312,419918173.0,3.86,0.63,0.12,9.17
2025-07-23,002878,19.1,18.9,20.02,18.84,298336,574099875.85,6.11,-2.12,-0.41,12.64
2025-07-24,002878,18.71,18.95,19.08,18.65,161075,304099856.25,2.28,0.26,0.05,6.83
2025-07-25,002878,19.05,18.87,19.12,18.8,141065,266927375.92,1.69,-0.42,-0.08,5.98
2025-07-28,002878,19.25,19.69,19.91,19.12,367027,720700838.16,4.19,4.35,0.82,15.56
2025-07-29,002878,19.71,19.85,20.5,19.15,360885,709953482.77,6.86,0.81,0.16,15.3
2025-07-30,002878,19.67,19.35,19.78,19.11,259872,502069574.29,3.38,-2.52,-0.5,11.01
2025-07-31,002878,19.3,19.65,20.19,19.2,322942,639899120.11,5.12,1.55,0.3,13.69
2025-08-01,002878,19.46,18.96,19.66,18.84,244515,465079606.42,4.17,-3.51,-0.69,10.36
2025-08-04,002878,18.71,19.03,19.06,18.1,165829,309859769.83,5.06,0.37,0.07,7.03
2025-08-05,002878,19.0,19.08,19.15,18.74,146488,276932892.9,2.15,0.26,0.05,6.21
2025-08-06,002878,19.05,19.01,19.08,18.85,110237,209199955.0,1.21,-0.37,-0.07,4.67
2025-08-07,002878,19.01,19.69,19.81,18.9,334391,653860840.47,4.79,3.58,0.68,14.17
2025-08-08,002878,19.47,18.92,19.48,18.9,247693,471299778.32,2.95,-3.91,-0.77,10.5
2025-08-11,002878,18.66,18.84,18.92,18.58,146165,274376835.64,1.8,-0.42,-0.08,6.2
2025-08-12,002878,18.75,18.42,18.75,18.4,165749,306731797.59,1.86,-2.23,-0.42,7.03
2025-08-13,002878,18.42,18.42,18.5,18.28,116271,213784308.6,1.19,0.0,0.0,4.93
2025-08-14,002878,18.44,18.24,18.71,18.21,137723,254044772.01,2.71,-0.98,-0.18,5.84
2025-08-15,002878,18.33,18.56,18.95,18.09,151003,280013406.69,4.71,1.75,0.32,6.4
2025-08-18,002878,18.4,19.01,19.34,18.38,274465,518778478.7,5.17,2.42,0.45,11.63
2025-08-19,002878,18.88,18.9,18.98,18.68,167429,315338937.65,1.58,-0.58,-0.11,7.1
2025-08-20,002878,18.96,19.63,19.8,18.67,382777,739094593.23,5.98,3.86,0.73,16.22
2025-08-21,002878,19.8,19.73,20.17,19.41,416305,825653776.52,3.87,0.51,0.1,17.65
2025-08-22,002878,19.5,19.58,19.63,19.3,215594,418958084.4,1.67,-0.76,-0.15,9.14
2025-08-25,002878,19.88,19.75,19.88,19.51,236585,465882907.75,1.89,0.87,0.17,10.03
2025-08-26,002878,19.66,19.77,19.93,19.5,170831,337884833.2,2.18,0.1,0.02,7.24
2025-08-27,002878,19.68,18.9,19.95,18.9,203541,396820227.12,5.31,-4.4,-0.87,8.63
2025-08-28,002878,18.9,18.83,19.09,18.1,180878,337031512.02,5.24,-0.37,-0.07,7.67
2025-08-29,002878,18.89,18.47,18.95,18.4,116081,216270186.9,2.92,-1.91,-0.36,4.92
2025-09-01,002878,18.83,20.32,20.32,18.83,580297,1172071558.82,8.07,10.02,1.85,24.6
2025-09-02,002878,20.0,19.45,20.38,19.18,477215,938110999.03,5.91,-4.28,-0.87,20.23
2025-09-03,002878,19.5,18.61,19.79,18.55,268279,513457534.0,6.38,-4.32,-0.84,11.37
2025-09-04,002878,18.71,20.47,20.47,18.58,468766,941455456.85,10.16,9.99,1.86,19.87
