日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002881,29.83,30.47,30.86,29.26,190599,579759462.08,5.36,2.15,0.64,10.53
2025-01-03,002881,31.73,31.37,33.53,30.53,322711,1047002135.73,9.85,2.95,0.9,17.82
2025-01-06,002881,29.07,28.22,29.77,28.22,39032,112169001.2,4.94,-10.04,-3.15,2.16
2025-01-07,002881,26.49,28.18,28.56,26.07,245948,673552541.82,8.82,-0.14,-0.04,13.58
2025-01-08,002881,28.75,30.27,31.01,27.68,288873,862387770.95,11.82,7.42,2.09,15.95
2025-01-09,002881,30.38,30.9,32.07,29.73,231433,721732002.95,7.73,2.08,0.63,12.78
2025-01-10,002881,30.3,29.89,32.05,29.89,168961,525306199.82,6.99,-3.27,-1.01,9.33
2025-01-13,002881,29.41,30.03,30.54,28.33,149672,444938385.62,7.39,0.47,0.14,8.27
2025-01-14,002881,30.07,31.13,31.27,29.57,157466,486718298.82,5.66,3.66,1.1,8.7
2025-01-15,002881,30.83,32.37,33.06,30.72,253251,815478304.95,7.52,3.98,1.24,13.99
2025-01-16,002881,32.02,31.52,32.25,30.88,180757,570571134.41,4.23,-2.63,-0.85,9.98
2025-01-17,002881,30.9,30.73,31.16,29.67,163256,499653456.05,4.73,-2.51,-0.79,9.02
2025-01-20,002881,30.67,32.49,33.12,30.6,200752,645270625.88,8.2,5.73,1.76,11.09
2025-01-21,002881,33.53,34.85,35.75,33.07,305151,1055849699.39,8.25,7.26,2.36,16.85
2025-01-22,002881,33.48,33.31,34.01,32.96,174212,585059240.1,3.01,-4.42,-1.54,9.62
2025-01-23,002881,34.07,33.12,34.52,33.1,162308,551372438.87,4.26,-0.57,-0.19,8.96
2025-01-24,002881,32.95,36.45,36.45,32.95,234537,839228747.06,10.57,10.05,3.33,12.95
2025-01-27,002881,40.11,40.11,40.11,40.11,34897,140423918.4,0.0,10.04,3.66,1.93
2025-02-05,002881,44.13,44.13,44.13,44.13,6287,27826262.0,0.0,10.02,4.02,0.35
2025-02-06,002881,48.56,48.56,48.56,48.56,3248,15812467.02,0.0,10.04,4.43,0.18
2025-02-07,002881,53.43,53.43,53.43,53.43,5251,28122749.2,0.0,10.03,4.87,0.29
2025-02-10,002881,58.79,58.79,58.79,58.79,23076,135961376.28,0.0,10.03,5.36,1.27
2025-02-11,002881,64.68,64.68,64.68,64.68,36786,238411880.68,0.0,10.02,5.89,2.03
2025-02-12,002881,67.87,71.16,71.16,66.87,623146,4354169751.79,6.63,10.02,6.48,34.42
2025-02-13,002881,71.87,64.36,72.87,64.03,775848,5161515150.59,12.42,-9.56,-6.8,42.85
2025-02-14,002881,59.75,57.93,62.87,57.91,513683,3093301368.76,7.71,-9.99,-6.43,28.37
2025-02-17,002881,58.59,60.13,60.86,56.83,408822,2423082200.87,6.96,3.8,2.2,22.58
2025-02-18,002881,57.87,54.1,58.67,54.1,415734,2305704110.42,7.6,-10.03,-6.03,22.96
