日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002887,6.71,6.94,6.95,6.62,63804,44897342.5,4.91,3.27,0.22,4.0
2025-01-03,002887,6.88,6.5,7.05,6.47,80312,56677645.12,8.36,-6.34,-0.44,5.04
2025-01-06,002887,6.51,6.41,6.54,6.18,53526,35484356.02,5.54,-1.38,-0.09,3.36
2025-01-07,002887,6.41,6.55,6.56,6.37,28317,19042907.0,2.96,2.18,0.14,1.78
2025-01-08,002887,6.66,6.48,6.7,6.36,44448,30047539.8,5.19,-1.07,-0.07,2.79
2025-01-09,002887,6.45,6.43,6.51,6.4,31887,21407712.2,1.7,-0.77,-0.05,2.0
2025-01-10,002887,6.43,6.17,6.46,6.17,40283,26362456.75,4.51,-4.04,-0.26,2.53
2025-01-13,002887,6.09,6.41,6.45,5.91,54705,35417583.75,8.75,3.89,0.24,3.43
2025-01-14,002887,6.39,6.6,6.64,6.39,57377,39024767.08,3.9,2.96,0.19,3.6
2025-01-15,002887,6.62,6.62,6.64,6.5,32899,22482147.0,2.12,0.3,0.02,2.06
2025-01-16,002887,6.62,6.78,7.03,6.57,81165,56886472.25,6.95,2.42,0.16,5.09
2025-01-17,002887,6.77,6.95,7.03,6.61,92192,65156765.8,6.19,2.51,0.17,5.78
2025-01-20,002887,6.92,6.9,6.97,6.73,61311,43498403.35,3.45,-0.72,-0.05,3.84
2025-01-21,002887,6.9,6.78,6.93,6.74,34972,24648255.4,2.75,-1.74,-0.12,2.19
2025-01-22,002887,6.73,6.67,6.8,6.65,24581,17086808.0,2.21,-1.62,-0.11,1.54
2025-01-23,002887,6.84,6.67,6.84,6.66,27057,18870170.05,2.7,0.0,0.0,1.7
2025-01-24,002887,6.68,6.67,6.71,6.59,30059,20744860.4,1.8,0.0,0.0,1.88
2025-01-27,002887,6.69,6.8,6.98,6.69,47619,33802043.15,4.35,1.95,0.13,2.99
2025-02-05,002887,6.83,6.81,6.9,6.76,26966,19048388.0,2.06,0.15,0.01,1.69
2025-02-06,002887,6.82,6.81,6.82,6.67,34377,24102397.0,2.2,0.0,0.0,2.16
2025-02-07,002887,6.83,6.86,6.92,6.8,36061,25654725.0,1.76,0.73,0.05,2.26
2025-02-10,002887,6.88,7.0,7.0,6.83,34864,25056456.0,2.48,2.04,0.14,2.19
2025-02-11,002887,7.06,6.97,7.06,6.88,28817,20699448.8,2.57,-0.43,-0.03,1.81
2025-02-12,002887,6.97,6.96,7.02,6.9,23015,16564104.0,1.72,-0.14,-0.01,1.44
2025-02-13,002887,6.95,6.86,7.01,6.85,25239,18066875.1,2.3,-1.44,-0.1,1.58
