日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002893,9.98,9.75,10.12,9.66,43125,43053082.77,4.6,-2.4,-0.24,2.13
2025-01-03,002893,9.76,9.39,9.85,9.35,46814,45086450.24,5.13,-3.69,-0.36,2.31
2025-01-06,002893,9.31,9.37,9.48,9.11,41897,39547980.85,3.94,-0.21,-0.02,2.07
2025-01-07,002893,9.37,9.5,9.5,9.22,41130,38947541.74,2.99,1.39,0.13,2.03
2025-01-08,002893,9.49,9.45,9.53,9.18,34710,32916265.42,3.68,-0.53,-0.05,1.71
2025-01-09,002893,9.44,9.46,9.52,9.32,27339,26105302.5,2.12,0.11,0.01,1.35
2025-01-10,002893,9.46,9.17,9.52,9.17,30099,28377236.04,3.7,-3.07,-0.29,1.48
2025-01-13,002893,9.16,9.2,9.2,8.9,25033,23058171.94,3.27,0.33,0.03,1.23
2025-01-14,002893,9.18,9.45,9.46,9.13,52384,49686266.55,3.59,2.72,0.25,2.58
2025-01-15,002893,9.46,9.32,9.53,9.28,30975,29282656.0,2.65,-1.38,-0.13,1.53
2025-01-16,002893,9.32,9.41,9.5,9.26,45503,43271540.68,2.58,0.97,0.09,2.24
2025-01-17,002893,9.41,9.47,9.5,9.27,40430,38422142.0,2.44,0.64,0.06,1.99
2025-01-20,002893,9.5,9.82,9.9,9.5,69897,69143888.0,4.22,3.7,0.35,3.45
2025-01-21,002893,9.84,9.7,9.88,9.57,52060,51220296.0,3.16,-1.22,-0.12,2.57
2025-01-22,002893,9.79,9.5,9.79,9.41,41796,40430224.0,3.92,-2.06,-0.2,2.06
2025-01-23,002893,9.59,9.48,9.66,9.45,35417,34201923.0,2.21,-0.21,-0.02,1.75
2025-01-24,002893,9.52,9.28,9.53,9.14,67744,63442900.8,4.11,-2.11,-0.2,3.34
2025-01-27,002893,9.33,9.29,9.52,9.29,50587,48150941.0,2.48,0.11,0.01,2.49
2025-02-05,002893,9.37,9.38,9.39,9.26,33810,31841722.0,1.4,0.97,0.09,1.67
2025-02-06,002893,9.41,9.48,9.48,9.28,48326,45967771.58,2.13,1.07,0.1,2.38
2025-02-07,002893,9.48,9.59,9.72,9.47,50318,48932805.0,2.64,1.16,0.11,2.48
2025-02-10,002893,9.59,9.75,9.79,9.59,45458,44522208.36,2.09,1.67,0.16,2.24
2025-02-11,002893,9.75,9.63,9.84,9.51,38967,37799887.32,3.38,-1.23,-0.12,1.92
2025-02-12,002893,9.63,9.68,9.7,9.53,32723,31827382.0,1.77,0.52,0.05,1.61
2025-02-13,002893,9.68,9.58,9.72,9.57,37003,35966201.04,1.55,-1.03,-0.1,1.82
2025-02-14,002893,9.57,9.58,9.75,9.52,34601,33604879.76,2.4,0.0,0.0,1.71
2025-02-17,002893,9.58,10.55,10.55,9.53,133620,138422600.37,10.65,10.13,0.97,6.59
2025-02-18,002893,10.58,11.62,11.62,10.55,203083,232107332.81,10.14,10.14,1.07,10.01
2025-02-19,002893,11.15,11.07,11.41,10.86,368853,412488666.28,4.73,-4.73,-0.55,18.19
2025-02-20,002893,10.95,10.94,11.07,10.68,183625,200805906.23,3.52,-1.17,-0.13,9.06
2025-02-21,002893,10.88,10.67,10.99,10.59,173629,187794379.4,3.66,-2.47,-0.27,8.56
2025-02-24,002893,10.71,10.78,10.82,10.6,132185,143105027.45,2.06,1.03,0.11,6.52
2025-02-25,002893,10.68,10.92,10.98,10.52,145850,159163263.7,4.27,1.3,0.14,7.19
2025-02-26,002893,10.91,10.8,10.91,10.68,87170,94844241.63,2.11,-1.1,-0.12,4.3
2025-02-27,002893,10.8,10.93,11.08,10.78,119956,132093997.29,2.78,1.2,0.13,5.92
2025-02-28,002893,10.9,10.42,10.95,10.35,100211,107583831.6,5.49,-4.67,-0.51,4.94
2025-03-03,002893,10.41,10.67,10.85,10.41,83562,90032935.42,4.22,2.4,0.25,4.12
2025-03-04,002893,10.52,10.72,10.78,10.52,57262,61676346.5,2.44,0.47,0.05,2.82
2025-03-05,002893,10.71,10.58,10.71,10.41,68820,72986144.56,2.8,-1.31,-0.14,3.39
2025-03-06,002893,10.61,10.66,10.78,10.53,65607,70630929.07,2.36,0.76,0.08,3.24
2025-03-07,002893,10.68,10.66,10.9,10.6,82918,89814276.8,2.81,0.0,0.0,4.09
2025-03-10,002893,10.77,10.7,10.78,10.61,40112,43247394.0,1.59,0.38,0.04,1.98
2025-03-11,002893,10.58,10.63,10.65,10.46,45358,48314476.18,1.78,-0.65,-0.07,2.24
2025-03-12,002893,10.65,10.82,11.06,10.56,132664,145259058.54,4.7,1.79,0.19,6.54
2025-03-13,002893,10.77,11.35,11.35,10.75,180874,202155187.6,5.55,4.9,0.53,8.92
2025-03-14,002893,11.12,11.09,11.34,11.0,147268,164819996.83,3.0,-2.29,-0.26,7.26
2025-03-17,002893,11.08,11.09,11.19,10.97,91202,101760587.0,1.98,0.0,0.0,4.5
2025-03-18,002893,11.09,10.83,11.09,10.75,100780,110518648.25,3.07,-2.34,-0.26,4.97
2025-03-19,002893,10.83,10.81,11.01,10.79,65379,71865756.8,2.03,-0.18,-0.02,3.22
2025-03-20,002893,10.78,10.8,10.88,10.72,70163,76598130.16,1.48,-0.09,-0.01,3.46
2025-03-21,002893,10.86,10.73,11.07,10.67,79554,87398042.84,3.7,-0.65,-0.07,3.92
2025-03-24,002893,10.62,10.2,10.78,10.0,98645,103188953.61,7.27,-4.94,-0.53,4.86
2025-03-25,002893,10.2,10.26,10.34,10.03,64884,67091307.5,3.04,0.59,0.06,3.2
2025-03-26,002893,10.19,10.25,10.38,10.14,53608,55643904.6,2.34,-0.1,-0.01,2.64
2025-03-27,002893,10.23,10.04,10.29,9.98,47038,47842963.76,3.02,-2.05,-0.21,2.32
2025-03-28,002893,10.05,9.87,10.1,9.86,38106,38223939.0,2.39,-1.69,-0.17,1.88
2025-03-31,002893,9.82,9.78,9.99,9.68,48540,48049978.4,3.14,-0.91,-0.09,2.39
2025-04-01,002893,9.83,10.14,10.17,9.82,72528,73778696.07,3.58,3.68,0.36,3.58
2025-04-02,002893,10.14,10.0,10.21,9.96,41938,42544821.0,2.47,-1.38,-0.14,2.07
2025-04-03,002893,9.98,10.04,10.09,9.89,46163,46694995.0,2.0,0.4,0.04,2.28
2025-04-07,002893,9.7,9.03,9.7,9.03,65184,60319110.33,6.67,-10.06,-1.01,3.21
2025-04-08,002893,9.05,9.15,9.17,8.75,80074,72605399.12,4.65,1.33,0.12,3.95
2025-04-09,002893,9.0,9.34,9.43,8.49,90584,82609060.68,10.27,2.08,0.19,4.47
