日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002895,23.16,22.2,23.47,22.0,88909,213980498.64,6.36,-3.9,-0.9,1.65
2025-01-03,002895,22.27,21.39,22.48,21.3,114356,267509632.24,5.32,-3.65,-0.81,2.12
2025-01-06,002895,20.97,21.55,22.0,20.97,72782,168000877.47,4.82,0.75,0.16,1.35
2025-01-07,002895,21.51,20.82,21.85,20.7,75463,169954602.71,5.34,-3.39,-0.73,1.4
2025-01-08,002895,20.67,19.8,20.86,19.13,178582,380951083.03,8.31,-4.9,-1.02,3.31
2025-01-09,002895,19.72,20.1,20.26,19.39,96444,207761109.08,4.39,1.52,0.3,1.79
2025-01-10,002895,20.16,19.68,20.19,19.66,47404,101193353.0,2.64,-2.09,-0.42,0.88
2025-01-13,002895,19.65,19.94,20.08,19.42,47536,101602980.72,3.35,1.32,0.26,0.88
2025-01-14,002895,19.95,20.34,20.42,19.59,66003,142791822.16,4.16,2.01,0.4,1.22
2025-01-15,002895,20.24,20.47,20.8,20.23,54928,120833120.0,2.8,0.64,0.13,1.02
2025-01-16,002895,20.52,20.45,20.89,20.32,45227,99913198.92,2.78,-0.1,-0.02,0.84
2025-01-17,002895,20.45,20.7,21.04,20.39,68119,151534443.82,3.18,1.22,0.25,1.26
2025-01-20,002895,20.87,20.62,20.99,20.53,44996,99814957.0,2.22,-0.39,-0.08,0.83
2025-01-21,002895,20.69,20.55,20.82,20.32,33695,74078845.0,2.42,-0.34,-0.07,0.62
2025-01-22,002895,20.4,20.31,20.53,20.16,30931,67357199.16,1.8,-1.17,-0.24,0.57
2025-01-23,002895,20.49,20.1,20.64,20.0,69590,151147858.75,3.15,-1.03,-0.21,1.29
2025-01-24,002895,20.1,20.45,20.52,20.08,89271,194724728.44,2.19,1.74,0.35,1.65
2025-01-27,002895,20.47,20.9,21.39,20.47,86462,194587207.0,4.5,2.2,0.45,1.6
2025-02-05,002895,21.11,20.3,21.11,20.13,72921,159411954.0,4.69,-2.87,-0.6,1.35
2025-02-06,002895,20.29,20.44,20.54,20.15,49148,107433143.55,1.92,0.69,0.14,0.91
2025-02-07,002895,20.49,20.55,20.86,20.27,59760,132077828.13,2.89,0.54,0.11,1.11
2025-02-10,002895,20.56,20.15,20.68,19.86,74073,160140828.4,3.99,-1.95,-0.4,1.37
2025-02-11,002895,20.13,20.24,20.33,19.87,57365,123897318.88,2.28,0.45,0.09,1.06
2025-02-12,002895,20.21,20.64,20.9,20.13,71290,157426380.98,3.8,1.98,0.4,1.32
2025-02-13,002895,20.65,20.24,20.79,20.22,49241,108353369.0,2.76,-1.94,-0.4,0.91
2025-02-14,002895,20.21,19.64,20.38,19.59,78112,166345750.77,3.9,-2.96,-0.6,1.45
2025-02-17,002895,19.64,19.31,19.64,18.92,69641,144179098.37,3.67,-1.68,-0.33,1.29
2025-02-18,002895,19.34,19.29,19.54,19.15,58998,122981270.0,2.02,-0.1,-0.02,1.09
2025-02-19,002895,19.19,19.29,19.33,18.98,44284,91521774.08,1.81,0.0,0.0,0.82
2025-02-20,002895,19.22,19.47,19.52,18.92,56274,116620647.24,3.11,0.93,0.18,1.04
2025-02-21,002895,19.41,19.61,19.78,19.35,60626,127728044.0,2.21,0.72,0.14,1.12
2025-02-24,002895,19.73,19.7,19.95,19.55,64469,136855326.12,2.04,0.46,0.09,1.19
2025-02-25,002895,19.52,19.6,19.78,19.39,52452,110665717.64,1.98,-0.51,-0.1,0.97
2025-02-26,002895,19.85,19.79,20.05,19.63,57514,122618074.15,2.14,0.97,0.19,1.06
2025-02-27,002895,19.88,19.96,20.05,19.61,54259,115621039.84,2.22,0.86,0.17,1.0
2025-02-28,002895,20.03,20.58,20.95,19.97,110213,242703268.73,4.91,3.11,0.62,2.04
2025-03-03,002895,20.76,21.41,21.77,20.6,130538,298439035.75,5.69,4.03,0.83,2.42
2025-03-04,002895,21.35,21.45,21.55,21.19,57651,131779048.9,1.68,0.19,0.04,1.07
2025-03-05,002895,21.49,21.32,21.5,20.95,52587,119273799.0,2.56,-0.61,-0.13,0.97
2025-03-06,002895,21.46,20.96,21.46,20.74,74946,168461432.8,3.38,-1.69,-0.36,1.4
2025-03-07,002895,20.9,21.32,21.51,20.81,61712,140313007.49,3.34,1.72,0.36,1.15
2025-03-10,002895,21.32,21.47,21.63,21.15,54169,124081526.47,2.25,0.7,0.15,1.01
2025-03-11,002895,21.28,21.69,21.73,21.14,52685,121293897.53,2.75,1.02,0.22,0.98
2025-03-12,002895,22.0,21.81,22.15,21.71,59291,138676275.21,2.03,0.55,0.12,1.1
2025-03-13,002895,21.82,21.8,21.98,21.45,50909,117849270.85,2.43,-0.05,-0.01,0.95
2025-03-14,002895,21.85,21.99,22.13,21.81,61867,145166838.0,1.47,0.87,0.19,1.15
2025-03-17,002895,22.07,22.08,22.29,22.0,51817,122631544.44,1.32,0.41,0.09,0.97
2025-03-18,002895,22.17,22.1,22.21,21.96,36559,86144000.21,1.13,0.09,0.02,0.68
