日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002906,30.26,29.26,30.4,28.89,64651,194795789.62,4.99,-3.34,-1.01,1.23
2025-01-03,002906,29.43,28.59,29.67,28.47,55359,163591791.48,4.1,-2.29,-0.67,1.06
2025-01-06,002906,28.59,28.67,29.19,28.2,64379,187922543.2,3.46,0.28,0.08,1.23
2025-01-07,002906,28.62,28.55,28.92,28.25,62736,182237378.36,2.34,-0.42,-0.12,1.2
2025-01-08,002906,28.43,29.43,29.55,27.37,95424,277196153.2,7.64,3.08,0.88,1.82
2025-01-09,002906,29.04,29.44,29.77,29.02,53969,161393112.7,2.55,0.03,0.01,1.03
2025-01-10,002906,29.39,29.09,30.02,29.08,68872,206002855.0,3.19,-1.19,-0.35,1.31
2025-01-13,002906,28.94,29.27,30.17,28.72,60585,181599850.0,4.98,0.62,0.18,1.15
2025-01-14,002906,29.52,30.77,30.83,29.13,74876,230621661.81,5.81,5.12,1.5,1.43
2025-01-15,002906,30.77,29.91,30.92,29.81,59709,183360944.05,3.61,-2.79,-0.86,1.14
2025-01-16,002906,30.32,29.46,30.51,29.21,68897,208004821.97,4.35,-1.5,-0.45,1.31
2025-01-17,002906,29.46,29.54,29.92,29.03,52180,156203549.0,3.02,0.27,0.08,0.99
2025-01-20,002906,29.79,29.77,30.27,29.45,64559,195690083.83,2.78,0.78,0.23,1.23
2025-01-21,002906,29.83,30.31,30.48,29.33,75539,230222077.85,3.86,1.81,0.54,1.44
2025-01-22,002906,30.02,29.52,30.12,29.09,58732,176027173.16,3.4,-2.61,-0.79,1.12
2025-01-23,002906,29.72,28.93,29.98,28.92,75910,226676387.17,3.59,-2.0,-0.59,1.45
2025-01-24,002906,28.93,29.59,29.67,28.84,71457,213976712.86,2.87,2.28,0.66,1.36
2025-01-27,002906,29.59,29.17,29.86,29.17,56325,168397754.03,2.33,-1.42,-0.42,1.07
2025-02-05,002906,29.02,30.23,30.57,28.91,115465,352566925.3,5.69,3.63,1.06,2.2
2025-02-06,002906,30.11,33.3,33.3,30.11,245865,800160921.21,10.55,10.16,3.07,4.69
2025-02-07,002906,34.72,33.62,34.75,33.18,347972,1192417370.63,4.71,0.96,0.32,6.63
2025-02-10,002906,34.26,34.32,34.51,33.08,260974,895717257.27,4.25,2.08,0.7,4.97
2025-02-11,002906,34.17,34.12,35.07,33.3,246693,852680635.37,5.16,-0.58,-0.2,4.7
2025-02-12,002906,33.68,35.79,36.22,33.47,308889,1104191164.03,8.06,4.89,1.67,5.89
2025-02-13,002906,35.87,34.58,36.02,34.52,171069,611323479.03,4.19,-3.38,-1.21,3.26
2025-02-14,002906,34.46,35.39,36.44,34.46,188058,676637324.12,5.73,2.34,0.81,3.58
2025-02-17,002906,35.48,36.44,36.72,34.94,237805,871338401.78,5.03,2.97,1.05,4.53
2025-02-18,002906,36.29,35.49,36.5,35.1,150542,546735834.95,3.84,-2.61,-0.95,2.87
2025-02-19,002906,35.44,36.67,37.4,35.32,193864,718669185.1,5.86,3.32,1.18,3.7
2025-02-20,002906,36.71,36.62,37.22,36.0,144733,534487187.25,3.33,-0.14,-0.05,2.76
2025-02-21,002906,36.55,36.38,36.8,36.02,151735,560149050.68,2.13,-0.66,-0.24,2.89
2025-02-24,002906,36.46,35.2,36.49,34.9,182413,655227446.92,4.37,-3.24,-1.18,3.48
2025-02-25,002906,34.95,35.94,36.32,34.72,167169,604389996.59,4.55,2.1,0.74,3.19
2025-02-26,002906,35.83,35.66,36.45,35.35,121905,444009297.67,3.06,-0.78,-0.28,2.32
2025-02-27,002906,35.72,34.87,35.95,34.27,120730,427643943.36,4.71,-2.22,-0.79,2.3
2025-02-28,002906,34.92,32.87,35.0,32.67,124634,424115622.03,6.68,-5.74,-2.0,2.38
