日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002916,94.39,92.28,96.38,91.06,79592,978480259.06,5.6,-2.86,-2.72,1.56
2025-01-03,002916,93.22,90.0,93.36,89.62,54805,657935035.82,4.05,-2.47,-2.28,1.07
2025-01-06,002916,90.38,89.37,92.36,88.08,48021,565846267.97,4.76,-0.7,-0.63,0.94
2025-01-07,002916,89.92,95.21,95.38,89.1,89447,1097048717.71,7.03,6.53,5.84,1.75
2025-01-08,002916,94.25,96.98,97.81,92.9,91094,1145298437.77,5.16,1.86,1.77,1.78
2025-01-09,002916,97.23,95.86,101.05,95.77,108109,1398420665.73,5.44,-1.15,-1.12,2.11
2025-01-10,002916,94.38,95.9,97.95,94.38,73381,929794255.36,3.72,0.04,0.04,1.43
2025-01-13,002916,94.07,93.6,96.02,92.31,62478,772512727.07,3.87,-2.4,-2.3,1.22
2025-01-14,002916,93.62,97.31,98.07,92.54,61854,779729451.32,5.91,3.96,3.71,1.21
2025-01-15,002916,96.54,94.23,97.04,94.0,47629,595521445.73,3.12,-3.17,-3.08,0.93
2025-01-16,002916,94.69,92.69,94.96,90.23,71622,867004307.53,5.02,-1.63,-1.54,1.4
2025-01-17,002916,91.87,95.24,96.89,91.87,54359,678090684.37,5.42,2.75,2.55,1.06
2025-01-20,002916,95.87,98.99,100.27,95.38,70272,910595882.21,5.13,3.94,3.75,1.37
2025-01-21,002916,100.22,102.0,102.69,99.75,72175,963826551.3,2.97,3.04,3.01,1.41
2025-01-22,002916,101.77,106.37,107.77,101.08,91281,1263527025.87,6.56,4.28,4.37,1.78
2025-01-23,002916,106.37,106.03,107.31,104.0,64893,901776444.5,3.11,-0.32,-0.34,1.27
2025-01-24,002916,105.38,105.56,106.45,103.2,56666,782203490.95,3.07,-0.44,-0.47,1.11
2025-01-27,002916,104.23,99.23,104.23,98.88,78707,1047759740.18,5.07,-6.0,-6.33,1.54
2025-02-05,002916,99.23,92.62,99.52,89.54,122300,1487584402.31,10.06,-6.66,-6.61,2.39
2025-02-06,002916,92.62,94.23,94.65,91.01,94811,1160302267.36,3.93,1.74,1.61,1.85
2025-02-07,002916,94.25,93.33,96.52,91.92,96723,1201233392.99,4.88,-0.96,-0.9,1.89
2025-02-10,002916,93.46,98.23,98.91,93.46,100889,1290156118.01,5.84,5.25,4.9,1.97
2025-02-11,002916,98.22,103.32,105.0,97.38,87033,1168535747.59,7.76,5.18,5.09,1.7
2025-02-12,002916,103.46,108.84,108.92,103.33,85255,1190041542.77,5.41,5.34,5.52,1.67
2025-02-13,002916,108.84,104.15,108.84,103.74,67403,935142449.08,4.69,-4.31,-4.69,1.32
2025-02-14,002916,102.49,103.73,107.48,102.49,61873,851779328.59,4.79,-0.4,-0.42,1.21
2025-02-17,002916,104.23,112.68,114.22,104.12,116482,1722030519.99,9.74,8.63,8.95,2.28
2025-02-18,002916,112.45,113.46,118.08,111.92,111022,1677372320.98,5.47,0.69,0.78,2.17
2025-02-19,002916,113.4,112.65,115.45,111.19,80909,1199094558.97,3.75,-0.71,-0.81,1.58
2025-02-20,002916,112.92,116.54,117.45,111.11,70483,1065730059.0,5.63,3.45,3.89,1.38
2025-02-21,002916,118.85,122.35,125.22,118.46,90564,1459996809.06,5.8,4.99,5.81,1.77
2025-02-24,002916,120.88,116.15,122.21,115.06,73410,1131369731.47,5.84,-5.07,-6.2,1.44
2025-02-25,002916,114.22,111.69,114.94,110.82,95134,1406545242.47,3.55,-3.84,-4.46,1.86
2025-02-26,002916,111.69,110.0,112.72,109.51,63631,925198065.67,2.87,-1.51,-1.69,1.24
2025-02-27,002916,111.65,108.13,111.77,105.63,83722,1185179169.31,5.58,-1.7,-1.87,1.64
2025-02-28,002916,105.95,99.53,106.46,98.88,132267,1770623055.94,7.01,-7.95,-8.6,2.59
2025-03-03,002916,99.23,92.48,99.23,90.82,236631,2899405607.07,8.45,-7.08,-7.05,4.63
2025-03-04,002916,91.15,94.85,95.43,88.68,186059,2258023872.01,7.3,2.56,2.37,3.64
2025-03-05,002916,96.27,95.2,97.77,93.68,121152,1518873181.62,4.31,0.37,0.35,2.37
2025-03-06,002916,96.53,100.78,102.35,95.23,196845,2577286684.43,7.48,5.86,5.58,3.85
2025-03-07,002916,99.62,99.76,102.69,98.85,109160,1448092270.93,3.81,-1.01,-1.02,2.13
2025-03-10,002916,100.0,99.94,100.65,98.08,88138,1151804378.61,2.58,0.18,0.18,1.72
2025-03-11,002916,98.29,96.15,101.15,95.0,137658,1766471018.78,6.15,-3.79,-3.79,2.69
2025-03-12,002916,95.78,96.59,99.06,94.66,99221,1268566111.42,4.58,0.46,0.44,1.94
2025-03-13,002916,95.02,97.31,100.32,93.37,149727,1906960304.24,7.2,0.75,0.72,2.93
2025-03-14,002916,97.66,105.58,105.59,97.65,173144,2324186422.74,8.16,8.5,8.27,3.38
2025-03-17,002916,105.58,105.38,105.78,102.75,118606,1621918754.99,2.87,-0.19,-0.2,2.32
2025-03-18,002916,105.77,109.12,111.54,103.99,125633,1775948315.74,7.16,3.55,3.74,2.46
2025-03-19,002916,108.62,102.73,108.62,101.56,143330,1963505362.09,6.47,-5.86,-6.39,2.8
