日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002925,15.14,14.44,15.57,14.27,194626,295290962.22,8.46,-6.05,-0.93,2.64
2025-01-03,002925,14.46,13.62,14.58,13.58,182222,258599940.5,6.93,-5.68,-0.82,2.48
2025-01-06,002925,13.4,13.22,13.66,13.06,114561,156103123.94,4.41,-2.94,-0.4,1.56
2025-01-07,002925,13.22,13.68,13.76,13.22,114878,159161521.83,4.08,3.48,0.46,1.56
2025-01-08,002925,13.69,13.8,13.99,13.23,121442,169650067.69,5.56,0.88,0.12,1.65
2025-01-09,002925,13.8,13.6,14.01,13.56,91233,127996263.0,3.26,-1.45,-0.2,1.24
2025-01-10,002925,13.64,13.11,13.79,13.11,101634,139631870.5,5.0,-3.6,-0.49,1.38
2025-01-13,002925,12.91,13.05,13.17,12.74,62928,83527434.3,3.28,-0.46,-0.06,0.85
2025-01-14,002925,13.07,13.7,13.79,13.07,133609,184495401.51,5.52,4.98,0.65,1.81
2025-01-15,002925,13.7,13.5,13.76,13.45,70546,97614665.2,2.26,-1.46,-0.2,0.96
2025-01-16,002925,13.71,13.67,13.92,13.56,85081,119258334.56,2.67,1.26,0.17,1.16
2025-01-17,002925,13.59,13.67,13.78,13.53,61009,85135728.5,1.83,0.0,0.0,0.83
2025-01-20,002925,13.78,14.19,14.32,13.73,130983,188614090.38,4.32,3.8,0.52,1.78
2025-01-21,002925,14.29,14.38,14.56,14.2,92660,135608161.5,2.54,1.34,0.19,1.26
2025-01-22,002925,14.27,14.12,14.37,14.04,69335,100352553.2,2.29,-1.81,-0.26,0.94
2025-01-23,002925,14.26,13.97,14.42,13.96,89314,129306835.97,3.26,-1.06,-0.15,1.21
2025-01-24,002925,13.91,14.24,14.28,13.84,64763,93375973.75,3.15,1.93,0.27,0.88
2025-01-27,002925,14.31,13.99,14.41,13.96,58902,84782035.42,3.16,-1.76,-0.25,0.8
2025-02-05,002925,14.08,14.23,14.34,14.06,66184,95946997.32,2.0,1.72,0.24,0.9
2025-02-06,002925,14.21,14.8,14.82,14.12,90128,134341893.38,4.92,4.01,0.57,1.22
2025-02-07,002925,14.83,14.75,15.03,14.57,111256,167924773.62,3.11,-0.34,-0.05,1.51
2025-02-10,002925,14.77,15.15,15.23,14.73,134896,206885600.51,3.39,2.71,0.4,1.83
2025-02-11,002925,15.39,15.61,15.79,15.08,196668,310711933.83,4.69,3.04,0.46,2.67
2025-02-12,002925,15.41,15.84,15.95,15.28,176317,281118938.21,4.29,1.47,0.23,2.4
2025-02-13,002925,15.71,15.36,15.76,15.35,129051,203678546.4,2.59,-3.03,-0.48,1.75
2025-02-14,002925,15.29,15.38,15.5,15.26,75755,118786741.56,1.56,0.13,0.02,1.03
2025-02-17,002925,15.49,15.54,15.81,15.29,103768,163928441.7,3.38,1.04,0.16,1.41
2025-02-18,002925,15.56,15.15,15.69,15.07,94300,147586059.8,3.99,-2.51,-0.39,1.28
2025-02-19,002925,15.2,15.53,15.53,15.15,74010,116338240.53,2.51,2.51,0.38,1.01
2025-02-20,002925,15.53,15.82,15.96,15.52,137335,221295569.43,2.83,1.87,0.29,1.87
2025-02-21,002925,15.88,15.9,16.16,15.73,137764,223208306.81,2.72,0.51,0.08,1.87
2025-02-24,002925,15.83,15.88,16.04,15.57,111420,179766817.5,2.96,-0.13,-0.02,1.51
2025-02-25,002925,15.68,15.77,16.01,15.44,91738,147468925.1,3.59,-0.69,-0.11,1.25
2025-02-26,002925,15.77,15.78,15.91,15.67,79466,127785258.06,1.52,0.06,0.01,1.08
2025-02-27,002925,15.68,15.74,15.86,15.35,100825,160352107.3,3.23,-0.25,-0.04,1.37
2025-02-28,002925,15.58,14.89,15.67,14.79,88248,136097050.9,5.59,-5.4,-0.85,1.2
2025-03-03,002925,14.97,15.01,15.21,14.78,72594,111518942.0,2.89,0.81,0.12,0.99
2025-03-04,002925,14.86,15.31,15.41,14.81,67786,105482150.7,4.0,2.0,0.3,0.92
2025-03-05,002925,15.31,15.33,15.42,15.08,53453,82998402.0,2.22,0.13,0.02,0.73
2025-03-06,002925,15.44,15.63,15.64,15.34,73957,116922934.7,1.96,1.96,0.3,1.0
2025-03-07,002925,15.61,15.73,15.95,15.46,109364,175105392.22,3.13,0.64,0.1,1.49
2025-03-10,002925,15.69,15.9,15.91,15.52,81707,130792033.88,2.48,1.08,0.17,1.11
2025-03-11,002925,15.91,16.76,17.32,15.63,328416,556681019.93,10.63,5.41,0.86,4.46
2025-03-12,002925,16.87,17.15,17.8,16.31,316307,547715103.34,8.89,2.33,0.39,4.3
2025-03-13,002925,17.01,16.59,17.03,16.35,167288,283275072.79,3.97,-3.27,-0.56,2.27
2025-03-14,002925,16.76,16.93,17.01,16.51,153626,262302306.49,3.01,2.05,0.34,2.09
2025-03-17,002925,16.96,16.56,17.07,16.49,130516,220602409.38,3.43,-2.19,-0.37,1.77
2025-03-18,002925,16.55,16.5,16.62,16.41,81626,137119367.44,1.27,-0.36,-0.06,1.11
2025-03-19,002925,16.48,16.63,16.98,16.42,120210,204914468.3,3.39,0.79,0.13,1.63
2025-03-20,002925,16.48,16.26,16.59,16.23,99757,166047796.63,2.16,-2.22,-0.37,1.36
2025-03-21,002925,16.11,15.69,16.31,15.66,100230,162292213.66,4.0,-3.51,-0.57,1.36
2025-03-24,002925,15.65,15.65,15.76,15.26,90973,143634016.04,3.19,-0.25,-0.04,1.24
2025-03-25,002925,15.63,15.26,15.64,15.16,62492,97758398.2,3.07,-2.49,-0.39,0.85
2025-03-26,002925,15.29,15.29,15.45,15.23,41829,65359384.28,1.44,0.2,0.03,0.57
2025-03-27,002925,15.26,15.11,15.28,14.93,57966,89141281.2,2.29,-1.18,-0.18,0.79
2025-03-28,002925,15.11,15.37,15.7,15.01,93836,147506751.0,4.57,1.72,0.26,1.27
2025-03-31,002925,15.32,15.51,15.53,14.85,95214,147164933.6,4.42,0.91,0.14,1.29
2025-04-01,002925,15.68,15.54,15.78,15.43,88955,141608023.72,2.26,0.19,0.03,1.21
2025-04-02,002925,15.51,15.46,15.86,15.39,55472,87821696.62,3.02,-0.51,-0.08,0.75
2025-04-03,002925,15.19,14.98,15.35,14.96,73526,113343354.6,2.52,-3.1,-0.48,1.0
2025-04-07,002925,13.51,13.45,13.97,13.45,60309,83341280.8,3.47,-10.21,-1.53,0.82
2025-04-08,002925,13.41,12.86,13.51,12.19,175701,227054430.38,9.81,-4.39,-0.59,2.39
2025-04-09,002925,12.41,12.96,13.16,11.9,126013,162646664.9,9.8,0.78,0.1,1.71
2025-04-10,002925,13.27,13.48,13.75,13.27,92226,127457903.7,3.7,4.01,0.52,1.25
2025-04-11,002925,13.31,13.73,13.89,13.27,58804,82016672.77,4.6,1.85,0.25,0.8
2025-04-14,002925,14.04,13.83,14.16,13.76,43981,62535571.4,2.91,0.73,0.1,0.6
2025-04-15,002925,13.84,13.81,14.08,13.72,35093,49665433.39,2.6,-0.14,-0.02,0.48
2025-04-16,002925,13.79,13.62,13.82,13.39,31251,43391773.5,3.11,-1.38,-0.19,0.42
2025-04-17,002925,13.5,13.63,13.8,13.46,22929,32048239.67,2.5,0.07,0.01,0.31
2025-04-18,002925,13.57,13.71,13.83,13.47,23001,32065624.0,2.64,0.59,0.08,0.31
2025-04-21,002925,13.79,14.3,14.43,13.61,59984,86584486.6,5.98,4.3,0.59,0.81
2025-04-22,002925,14.29,14.81,14.99,14.26,85525,128989758.36,5.1,3.57,0.51,1.16
2025-04-23,002925,14.93,15.0,15.14,14.79,62733,96015477.0,2.36,1.28,0.19,0.85
2025-04-24,002925,15.02,14.88,15.02,14.77,36724,55653817.94,1.67,-0.8,-0.12,0.5
2025-04-25,002925,14.84,15.27,15.58,14.62,81119,126091089.9,6.45,2.62,0.39,1.1
2025-04-28,002925,15.27,15.0,15.36,14.95,45181,69436078.7,2.69,-1.77,-0.27,0.61
2025-04-29,002925,14.94,14.92,15.23,14.87,43713,66937467.9,2.4,-0.53,-0.08,0.59
2025-04-30,002925,14.92,15.0,15.17,14.91,35083,53859525.32,1.74,0.54,0.08,0.48
2025-05-06,002925,15.31,16.02,16.12,15.26,105325,169936191.52,5.73,6.8,1.02,1.43
2025-05-07,002925,16.11,16.04,16.49,15.91,93552,153527854.87,3.62,0.12,0.02,1.27
2025-05-08,002925,16.05,16.18,16.56,15.94,76322,126742028.5,3.87,0.87,0.14,1.04
2025-05-09,002925,16.12,16.17,16.27,15.98,52171,85750034.18,1.79,-0.06,-0.01,0.71
2025-05-12,002925,16.31,16.23,16.43,16.08,48625,80212961.4,2.16,0.37,0.06,0.66
2025-05-13,002925,16.41,16.3,16.46,16.13,49233,81549310.38,2.03,0.43,0.07,0.67
2025-05-14,002925,16.25,16.06,16.37,16.0,45933,75371206.3,2.27,-1.47,-0.24,0.62
2025-05-15,002925,16.01,15.97,16.09,15.89,37278,60673691.52,1.25,-0.56,-0.09,0.51
2025-05-16,002925,15.93,16.05,16.21,15.93,33162,54250425.89,1.75,0.5,0.08,0.45
2025-05-19,002925,16.11,16.22,16.26,15.82,39099,63995399.14,2.74,1.06,0.17,0.53
2025-05-20,002925,16.16,16.01,16.23,15.93,42634,69763923.86,1.85,-1.29,-0.21,0.58
2025-05-21,002925,16.01,16.01,16.1,15.86,32208,52456204.0,1.5,0.0,0.0,0.44
2025-05-22,002925,16.01,15.98,16.15,15.86,28177,45891610.8,1.81,-0.19,-0.03,0.38
2025-05-23,002925,15.97,15.78,16.09,15.76,32741,53089762.3,2.07,-1.25,-0.2,0.44
2025-05-26,002925,15.87,15.81,15.99,15.66,27525,44322078.7,2.09,0.19,0.03,0.37
2025-05-27,002925,15.81,15.59,15.88,15.51,32862,52300084.48,2.34,-1.39,-0.22,0.45
2025-05-28,002925,15.65,15.71,15.8,15.6,25013,40017997.84,1.28,0.77,0.12,0.34
2025-05-29,002925,15.66,16.19,16.28,15.62,52735,86297134.42,4.2,3.06,0.48,0.72
2025-05-30,002925,16.2,15.87,16.2,15.84,27500,44694198.88,2.22,-1.98,-0.32,0.37
2025-06-03,002925,15.82,15.86,16.03,15.72,38045,61372328.2,1.95,-0.06,-0.01,0.52
2025-06-04,002925,15.83,15.82,15.93,15.67,52250,83837452.82,1.64,-0.25,-0.04,0.71
2025-06-05,002925,15.9,16.62,17.43,15.86,205212,352077781.12,9.92,5.06,0.8,2.79
2025-06-06,002925,16.4,16.06,16.58,15.96,130214,213437500.98,3.73,-3.37,-0.56,1.77
2025-06-09,002925,16.23,16.4,16.48,16.09,79194,131358073.74,2.43,2.12,0.34,1.08
2025-06-10,002925,16.41,16.08,16.62,15.94,93695,155225220.6,4.15,-1.95,-0.32,1.27
2025-06-11,002925,16.09,15.93,16.19,15.89,48718,79487887.2,1.87,-0.93,-0.15,0.66
2025-06-12,002925,15.96,15.87,16.16,15.85,44077,71788442.3,1.95,-0.38,-0.06,0.6
2025-06-13,002925,15.83,15.33,15.91,15.2,74957,117829303.05,4.47,-3.4,-0.54,1.02
2025-06-16,002925,15.34,15.54,15.7,15.3,47179,74729249.4,2.61,1.37,0.21,0.64
2025-06-17,002925,16.2,16.25,16.56,15.9,182460,301672825.69,4.25,4.57,0.71,2.48
2025-06-18,002925,16.21,15.84,16.21,15.71,94292,152360318.2,3.08,-2.52,-0.41,1.28
2025-06-19,002925,15.77,15.36,15.91,15.26,63923,101326420.55,4.1,-3.03,-0.48,0.87
2025-06-20,002925,15.38,15.19,15.51,15.16,51334,79924701.87,2.28,-1.11,-0.17,0.7
2025-06-23,002925,15.19,15.22,15.35,15.01,47809,73914657.12,2.24,0.2,0.03,0.65
2025-06-24,002925,15.32,15.74,15.81,15.32,58567,93362120.9,3.22,3.42,0.52,0.8
2025-06-25,002925,15.89,16.01,16.03,15.75,57173,92583741.71,1.78,1.72,0.27,0.78
2025-06-26,002925,15.98,15.95,16.12,15.89,47253,76893879.2,1.44,-0.37,-0.06,0.64
2025-06-27,002925,16.01,16.39,16.57,15.86,76308,125802784.6,4.45,2.76,0.44,1.04
2025-06-30,002925,16.72,17.69,17.96,16.46,260276,460495040.64,9.15,7.93,1.3,3.54
2025-07-01,002925,17.51,17.65,17.91,17.01,214778,380981132.86,5.09,-0.23,-0.04,2.92
2025-07-02,002925,17.51,17.32,17.54,17.11,114539,201420304.6,2.44,-1.87,-0.33,1.56
2025-07-03,002925,17.31,17.34,17.47,17.07,89834,155143931.6,2.31,0.12,0.02,1.22
2025-07-04,002925,17.56,17.08,17.67,16.99,93177,160163933.3,3.92,-1.5,-0.26,1.27
2025-07-07,002925,16.96,16.87,16.96,16.7,66738,112162409.3,1.52,-1.23,-0.21,0.91
2025-07-08,002925,16.88,16.88,17.02,16.82,60901,102970677.5,1.19,0.06,0.01,0.83
2025-07-09,002925,16.93,16.82,17.01,16.76,61065,102975969.21,1.48,-0.36,-0.06,0.83
2025-07-10,002925,16.8,16.66,16.83,16.5,55773,92720905.78,1.96,-0.95,-0.16,0.76
2025-07-11,002925,16.65,16.66,16.73,16.57,50508,84099269.1,0.96,0.0,0.0,0.69
2025-07-14,002925,16.63,16.76,16.82,16.57,48614,81353909.5,1.5,0.6,0.1,0.66
2025-07-15,002925,16.73,16.82,16.88,16.51,52865,88305126.3,2.21,0.36,0.06,0.72
2025-07-16,002925,16.82,16.83,16.92,16.74,46160,77709990.1,1.07,0.06,0.01,0.63
2025-07-17,002925,16.88,17.1,17.11,16.8,60305,102725805.78,1.84,1.6,0.27,0.82
2025-07-18,002925,17.2,17.04,17.23,16.9,53308,90627102.7,1.93,-0.35,-0.06,0.72
2025-07-21,002925,17.05,17.08,17.21,16.96,55689,95160748.7,1.47,0.23,0.04,0.76
2025-07-22,002925,17.1,17.05,17.2,16.91,52372,89199676.7,1.7,-0.18,-0.03,0.71
2025-07-23,002925,17.01,16.88,17.08,16.85,53559,90949953.9,1.35,-1.0,-0.17,0.73
2025-07-24,002925,16.88,16.96,17.02,16.84,38867,65857300.6,1.07,0.47,0.08,0.53
