日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002930,10.99,10.73,11.25,10.65,71271,79570331.22,5.44,-2.63,-0.29,1.65
2025-01-03,002930,10.73,10.04,10.86,9.96,64793,68018696.0,8.39,-6.43,-0.69,1.5
2025-01-06,002930,9.98,10.15,10.2,9.77,42733,43748926.68,4.28,1.1,0.11,0.99
2025-01-07,002930,10.19,10.22,10.24,10.01,22901,23692619.4,2.27,0.69,0.07,0.53
2025-01-08,002930,10.22,10.0,10.23,9.76,38435,39060261.0,4.6,-2.15,-0.22,0.89
2025-01-09,002930,10.01,9.88,10.01,9.81,25954,26205360.6,2.0,-1.2,-0.12,0.6
2025-01-10,002930,9.85,9.43,9.88,9.43,42194,41537317.18,4.55,-4.55,-0.45,0.97
2025-01-13,002930,9.4,9.43,9.46,9.22,22824,21853191.0,2.55,0.0,0.0,0.53
2025-01-14,002930,9.5,9.75,9.77,9.5,33034,32603318.6,2.86,3.39,0.32,0.76
2025-01-15,002930,9.75,9.69,9.84,9.62,26274,26037100.58,2.26,-0.62,-0.06,0.61
2025-01-16,002930,9.7,9.75,9.84,9.67,34088,33975095.6,1.75,0.62,0.06,0.79
2025-01-17,002930,9.7,9.83,9.9,9.65,25164,25126912.0,2.56,0.82,0.08,0.58
2025-01-20,002930,9.9,9.92,10.0,9.8,22821,23042264.18,2.03,0.92,0.09,0.53
2025-01-21,002930,9.9,9.83,10.01,9.8,21961,22083600.3,2.12,-0.91,-0.09,0.51
2025-01-22,002930,9.82,9.79,9.86,9.71,14135,14116638.0,1.53,-0.41,-0.04,0.33
2025-01-23,002930,9.81,9.8,10.02,9.8,22825,23120179.88,2.25,0.1,0.01,0.53
2025-01-24,002930,9.84,9.73,9.84,9.6,31311,31072651.12,2.45,-0.71,-0.07,0.72
2025-01-27,002930,9.74,9.8,9.99,9.74,24281,24460900.14,2.57,0.72,0.07,0.56
2025-02-05,002930,9.85,9.73,9.88,9.68,27080,26958316.54,2.04,-0.71,-0.07,0.63
2025-02-06,002930,9.73,9.78,9.82,9.65,31899,31722098.0,1.75,0.51,0.05,0.74
2025-02-07,002930,9.85,10.12,10.19,9.81,60819,62517188.0,3.89,3.48,0.34,1.4
2025-02-10,002930,10.13,10.19,10.2,10.05,33231,34390171.5,1.48,0.69,0.07,0.77
2025-02-11,002930,10.19,10.08,10.26,9.98,38707,39680542.98,2.75,-1.08,-0.11,0.89
2025-02-12,002930,10.1,10.06,10.13,9.94,39834,40688841.0,1.88,-0.2,-0.02,0.92
2025-02-13,002930,10.09,9.96,10.1,9.92,46947,47817592.0,1.79,-0.99,-0.1,1.08
2025-02-14,002930,9.94,9.85,10.01,9.82,55912,56462811.96,1.91,-1.1,-0.11,1.29
2025-02-17,002930,9.89,9.91,10.09,9.79,81795,82766089.8,3.05,0.61,0.06,1.89
2025-02-18,002930,10.01,9.51,10.01,9.5,87248,86515064.5,5.15,-4.04,-0.4,2.01
2025-02-19,002930,9.52,9.47,9.61,9.39,78603,75822939.5,2.31,-0.42,-0.04,1.82
2025-02-20,002930,9.43,9.4,9.47,9.32,71375,68452616.58,1.58,-0.74,-0.07,1.65
2025-02-21,002930,9.4,9.5,9.63,9.39,71203,69075510.72,2.55,1.06,0.1,1.64
2025-02-24,002930,9.55,9.66,9.71,9.45,56477,55445022.33,2.74,1.68,0.16,1.3
2025-02-25,002930,9.63,9.73,9.79,9.51,55989,55276658.46,2.9,0.72,0.07,1.29
2025-02-26,002930,9.8,10.09,10.14,9.73,114215,116352806.4,4.21,3.7,0.36,2.64
2025-02-27,002930,10.09,10.06,10.11,9.87,64064,65367835.6,2.38,-0.3,-0.03,1.48
2025-02-28,002930,10.0,9.73,10.06,9.73,58190,58665678.76,3.28,-3.28,-0.33,1.34
2025-03-03,002930,9.75,9.77,9.91,9.73,40204,40312753.8,1.85,0.41,0.04,0.93
2025-03-04,002930,9.8,9.96,9.98,9.73,40329,40620567.2,2.56,1.94,0.19,0.93
2025-03-05,002930,9.99,9.99,10.06,9.85,55302,56207295.24,2.11,0.3,0.03,1.28
2025-03-06,002930,10.03,10.0,10.07,9.9,47188,47982535.42,1.7,0.1,0.01,1.09
2025-03-07,002930,9.97,9.94,10.0,9.9,38654,39217944.6,1.0,-0.6,-0.06,0.89
2025-03-10,002930,9.94,10.0,10.06,9.92,39579,40328764.0,1.41,0.6,0.06,0.91
2025-03-11,002930,9.98,10.08,10.09,9.9,38487,39279538.0,1.9,0.8,0.08,0.89
2025-03-12,002930,10.09,10.0,10.11,9.99,39074,39980853.5,1.19,-0.79,-0.08,0.9
2025-03-13,002930,9.97,9.93,10.0,9.82,48432,48868135.28,1.8,-0.7,-0.07,1.12
2025-03-14,002930,9.87,10.07,10.1,9.87,72765,74501018.66,2.32,1.41,0.14,1.68
2025-03-17,002930,10.08,10.2,10.37,10.02,110473,114764098.52,3.48,1.29,0.13,2.55
2025-03-18,002930,10.23,10.21,10.29,10.13,66045,68666100.0,1.57,0.1,0.01,1.53
2025-03-19,002930,10.16,10.14,10.23,10.11,42370,43915002.36,1.18,-0.69,-0.07,0.98
2025-03-20,002930,10.12,10.23,10.34,10.12,59400,61973663.78,2.17,0.89,0.09,1.37
2025-03-21,002930,10.18,10.19,10.42,10.14,76937,80629326.89,2.74,-0.39,-0.04,1.78
2025-03-24,002930,10.19,10.07,10.25,9.88,65619,67028405.16,3.63,-1.18,-0.12,1.52
2025-03-25,002930,10.07,10.42,10.73,10.01,122482,129770388.08,7.15,3.48,0.35,2.83
2025-03-26,002930,10.47,10.53,10.67,10.42,95831,102897325.37,2.4,1.06,0.11,2.21
2025-03-27,002930,10.5,10.48,10.57,10.35,52114,55624304.48,2.09,-0.47,-0.05,1.2
2025-03-28,002930,10.46,10.36,10.58,10.29,51113,54188291.58,2.77,-1.15,-0.12,1.18
2025-03-31,002930,10.27,10.54,10.65,10.27,76338,81355407.2,3.67,1.74,0.18,1.76
2025-04-01,002930,10.59,10.86,11.17,10.57,139849,155069572.14,5.69,3.04,0.32,3.23
2025-04-02,002930,10.9,10.73,10.92,10.7,62997,69202654.0,2.03,-1.2,-0.13,1.45
2025-04-03,002930,10.68,10.82,10.93,10.6,78756,86754950.36,3.08,0.84,0.09,1.82
2025-04-07,002930,10.21,9.72,10.44,9.72,110811,111455248.0,6.65,-10.17,-1.1,2.56
2025-04-08,002930,9.57,9.51,9.81,9.24,103863,100696783.0,5.86,-2.16,-0.21,2.4
2025-04-09,002930,9.39,9.56,9.59,8.8,101682,95815932.94,8.31,0.53,0.05,2.35
2025-04-10,002930,9.7,9.66,9.94,9.6,116249,116170329.04,3.56,1.05,0.1,2.68
2025-04-11,002930,9.68,9.62,9.84,9.59,107897,106949342.2,2.59,-0.41,-0.04,2.49
2025-04-14,002930,9.7,9.63,9.75,9.59,78547,77487749.93,1.66,0.1,0.01,1.81
2025-04-15,002930,9.6,9.58,9.62,9.45,54110,52628572.8,1.77,-0.52,-0.05,1.25
2025-04-16,002930,9.53,9.47,9.81,9.35,67150,65302007.4,4.8,-1.15,-0.11,1.55
2025-04-17,002930,9.45,9.72,10.02,9.31,117926,116128523.2,7.5,2.64,0.25,2.72
2025-04-18,002930,9.6,9.52,9.79,9.51,91567,90215151.2,2.88,-2.06,-0.2,2.11
2025-04-21,002930,9.45,9.64,9.77,9.45,62373,61209650.82,3.36,1.26,0.12,1.44
2025-04-22,002930,9.73,9.85,10.08,9.71,163134,165019479.32,3.84,2.18,0.21,3.77
2025-04-23,002930,9.9,9.69,9.99,9.66,121844,121532467.36,3.35,-1.62,-0.16,2.81
2025-04-24,002930,9.68,9.52,9.74,9.52,71683,70284586.0,2.27,-1.75,-0.17,1.66
2025-04-25,002930,9.52,9.49,9.61,9.48,47291,46047734.0,1.37,-0.32,-0.03,1.09
2025-04-28,002930,9.26,8.93,9.34,8.91,126775,117589912.9,4.53,-5.9,-0.56,2.93
2025-04-29,002930,8.92,8.91,9.02,8.89,44101,40393258.0,1.46,-0.22,-0.02,1.02
2025-04-30,002930,8.95,8.89,8.97,8.84,52304,47690278.0,1.46,-0.22,-0.02,1.21
2025-05-06,002930,8.98,9.03,9.04,8.92,61895,56887080.07,1.35,1.57,0.14,1.43
2025-05-07,002930,9.12,9.08,9.17,9.0,53850,49925035.28,1.88,0.55,0.05,1.24
2025-05-08,002930,9.08,9.19,9.23,9.05,64010,59950169.9,1.98,1.21,0.11,1.48
2025-05-09,002930,9.23,9.1,9.23,9.08,53914,50275598.0,1.63,-0.98,-0.09,1.25
2025-05-12,002930,9.13,9.12,9.17,9.01,63720,59209236.56,1.76,0.22,0.02,1.47
