日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002937,16.51,16.01,16.62,15.83,47260,78506636.15,4.79,-2.97,-0.49,1.59
2025-01-03,002937,16.09,15.55,16.19,15.51,40226,65000630.38,4.25,-2.87,-0.46,1.36
2025-01-06,002937,15.57,15.7,15.78,15.4,31746,50919138.0,2.44,0.96,0.15,1.07
2025-01-07,002937,15.7,16.05,16.07,15.68,31434,51353514.4,2.48,2.23,0.35,1.06
2025-01-08,002937,16.01,15.83,16.05,15.46,37151,59985442.45,3.68,-1.37,-0.22,1.25
2025-01-09,002937,15.77,16.03,16.16,15.71,36384,59686590.09,2.84,1.26,0.2,1.23
2025-01-10,002937,16.03,15.53,16.03,15.52,32686,52802987.0,3.18,-3.12,-0.5,1.1
2025-01-13,002937,15.44,15.6,15.6,15.16,19202,30404345.0,2.83,0.45,0.07,0.65
2025-01-14,002937,15.67,16.07,16.1,15.55,33650,54940314.0,3.53,3.01,0.47,1.13
2025-01-15,002937,16.07,16.3,16.43,15.92,46645,77669363.32,3.17,1.43,0.23,1.57
2025-01-16,002937,16.3,16.29,16.45,16.1,39022,65117741.73,2.15,-0.06,-0.01,1.31
2025-01-17,002937,16.21,16.23,16.37,16.11,18494,30821775.77,1.6,-0.37,-0.06,0.62
2025-01-20,002937,16.28,16.29,16.43,16.24,24375,40796610.49,1.17,0.37,0.06,0.82
2025-01-21,002937,16.28,16.39,16.45,16.18,27660,46261519.8,1.66,0.61,0.1,0.93
2025-01-22,002937,16.34,16.43,16.54,16.19,29114,48891629.4,2.14,0.24,0.04,0.98
2025-01-23,002937,16.6,16.26,16.65,16.26,31732,53510053.04,2.37,-1.03,-0.17,1.07
2025-01-24,002937,16.26,16.54,16.57,16.21,31716,53299646.0,2.21,1.72,0.28,1.07
2025-01-27,002937,16.52,16.32,16.73,16.32,25535,43128147.0,2.48,-1.33,-0.22,0.86
2025-02-05,002937,16.58,16.43,16.58,16.37,22405,37757775.31,1.29,0.67,0.11,0.75
2025-02-06,002937,16.31,17.04,17.04,16.3,60886,104946257.63,4.5,3.71,0.61,2.05
2025-02-07,002937,17.2,17.9,18.59,17.2,225599,416417501.71,8.16,5.05,0.86,7.6
2025-02-10,002937,17.88,17.97,18.2,17.85,100873,185775121.44,1.96,0.39,0.07,3.4
2025-02-11,002937,18.01,18.06,18.18,17.76,69021,127153314.6,2.34,0.5,0.09,2.33
2025-02-12,002937,17.91,18.39,18.88,17.84,99051,186406813.0,5.76,1.83,0.33,3.34
2025-02-13,002937,18.37,17.8,18.37,17.78,65082,119696388.28,3.21,-3.21,-0.59,2.19
2025-02-14,002937,17.82,17.94,18.12,17.81,50242,92241454.42,1.74,0.79,0.14,1.69
2025-02-17,002937,17.9,17.93,18.08,17.76,43404,79328345.02,1.78,-0.06,-0.01,1.46
2025-02-18,002937,17.88,17.78,18.43,17.67,66410,122120591.11,4.24,-0.84,-0.15,2.24
2025-02-19,002937,17.84,19.6,19.6,17.77,225658,437147764.88,10.29,10.24,1.82,7.6
2025-02-20,002937,19.6,19.84,19.92,18.8,251712,495827975.06,5.71,1.22,0.24,8.48
2025-02-21,002937,19.63,19.71,20.1,19.5,121487,244852286.81,3.02,-0.66,-0.13,4.09
2025-02-24,002937,19.55,19.59,19.93,19.21,95057,189467420.8,3.65,-0.61,-0.12,3.2
2025-02-25,002937,19.63,20.75,21.15,19.45,223727,466238413.5,8.68,5.92,1.16,7.54
2025-02-26,002937,20.3,21.36,21.58,20.04,195019,413090422.46,7.42,2.94,0.61,6.57
2025-02-27,002937,21.35,20.64,22.05,20.18,139637,296096895.34,8.75,-3.37,-0.72,4.71
2025-02-28,002937,20.87,19.71,21.92,19.61,133125,274743099.58,11.19,-4.51,-0.93,4.49
2025-03-03,002937,19.71,19.39,20.14,19.29,82376,164476816.0,4.31,-1.62,-0.32,2.78
2025-03-04,002937,19.35,20.95,21.17,19.21,166081,345538190.72,10.11,8.05,1.56,5.6
2025-03-05,002937,20.9,21.23,21.75,20.67,104272,226058572.92,5.16,1.34,0.28,3.51
2025-03-06,002937,21.52,21.45,21.97,21.16,96967,212614721.64,3.82,1.04,0.22,3.27
2025-03-07,002937,21.86,23.64,23.64,21.78,140627,329691720.43,8.67,10.21,2.19,4.74
2025-03-10,002937,23.6,22.7,23.95,22.4,164504,382423438.2,6.56,-3.98,-0.94,5.54
2025-03-11,002937,22.5,22.28,22.5,21.68,104454,235248937.79,3.61,-1.85,-0.42,3.52
2025-03-12,002937,22.42,22.52,22.94,22.1,98792,226731551.19,3.77,1.08,0.24,3.33
2025-03-13,002937,22.37,21.37,22.48,21.21,97346,214843155.14,5.64,-5.11,-1.15,3.28
2025-03-14,002937,21.27,21.79,21.9,21.0,71931,157426826.4,4.21,1.97,0.42,2.42
2025-03-17,002937,21.77,21.59,21.77,21.29,57761,126431763.4,2.2,-0.92,-0.2,1.95
2025-03-18,002937,21.95,21.79,22.0,21.48,48142,106556972.4,2.41,0.93,0.2,1.62
2025-03-19,002937,21.65,22.44,22.7,21.4,99011,223097844.03,5.97,2.98,0.65,3.34
2025-03-20,002937,22.25,21.63,22.37,21.54,64073,142254174.59,3.7,-3.61,-0.81,2.16
2025-03-21,002937,21.4,20.36,21.53,20.34,88211,186556394.0,5.5,-5.87,-1.27,2.97
2025-03-24,002937,20.25,20.13,20.5,19.6,52498,107604614.64,4.42,-1.13,-0.23,1.77
2025-03-25,002937,20.15,19.81,20.37,19.63,28114,57028319.36,3.68,-1.59,-0.32,0.95
2025-03-26,002937,19.77,19.78,20.22,19.75,29116,59228247.32,2.37,-0.15,-0.03,0.98
2025-03-27,002937,19.73,19.76,20.08,19.3,38012,76732243.71,3.94,-0.1,-0.02,1.28
2025-03-28,002937,19.72,19.65,19.9,19.61,21476,43255192.0,1.47,-0.56,-0.11,0.72
2025-03-31,002937,19.46,19.27,19.59,18.83,48038,94057611.0,3.87,-1.93,-0.38,1.62
2025-04-01,002937,19.27,19.28,19.68,19.21,28132,55844727.16,2.44,0.05,0.01,0.95
2025-04-02,002937,19.3,19.29,19.61,19.11,19304,38116971.1,2.59,0.05,0.01,0.65
2025-04-03,002937,19.09,18.5,19.25,18.44,40852,78187740.44,4.2,-4.1,-0.79,1.38
2025-04-07,002937,16.98,16.61,17.37,16.61,21142,36212847.0,4.11,-10.22,-1.89,0.71
2025-04-08,002937,15.8,14.98,16.2,14.91,136973,212127048.59,7.77,-9.81,-1.63,4.62
2025-04-09,002937,14.72,14.77,14.93,13.48,127454,188461709.49,9.68,-1.4,-0.21,4.29
2025-04-10,002937,15.4,15.37,16.02,15.29,93547,150156981.6,4.94,4.06,0.6,3.15
2025-04-11,002937,15.08,15.59,15.76,15.0,64896,103531082.4,4.94,1.43,0.22,2.19
2025-04-14,002937,16.31,15.81,16.39,15.71,57751,94492563.17,4.36,1.41,0.22,1.95
2025-04-15,002937,15.81,15.9,16.07,15.68,38693,62929663.68,2.47,0.57,0.09,1.3
2025-04-16,002937,15.92,15.47,15.92,15.21,44655,71097947.5,4.47,-2.7,-0.43,1.5
2025-04-17,002937,15.4,15.31,15.64,15.28,42889,68052815.0,2.33,-1.03,-0.16,1.45
2025-04-18,002937,15.34,15.45,15.46,15.19,24214,38132203.0,1.76,0.91,0.14,0.82
2025-04-21,002937,15.64,15.74,15.74,15.4,43537,69654137.0,2.2,1.88,0.29,1.47
2025-04-22,002937,15.66,15.73,15.84,15.61,38940,62730498.0,1.46,-0.06,-0.01,1.31
2025-04-23,002937,15.88,16.23,16.43,15.74,72389,120108636.0,4.39,3.18,0.5,2.44
2025-04-24,002937,16.23,16.28,16.75,16.08,61597,103334355.0,4.13,0.31,0.05,2.08
2025-04-25,002937,15.6,15.85,16.09,15.23,119870,191873380.41,5.28,-2.64,-0.43,4.04
2025-04-28,002937,15.85,15.69,15.86,15.56,40100,64492010.31,1.89,-1.01,-0.16,1.35
2025-04-29,002937,15.64,15.78,15.96,15.37,33309,53921408.12,3.76,0.57,0.09,1.12
2025-04-30,002937,15.78,16.95,17.4,15.77,167476,287703879.76,10.33,7.41,1.17,5.64
2025-05-06,002937,17.0,17.5,17.79,16.81,111074,196046246.65,5.78,3.24,0.55,3.74
2025-05-07,002937,17.54,17.55,17.78,17.37,70337,126049843.4,2.34,0.29,0.05,2.37
