日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002942,13.82,13.56,14.04,13.45,14436,20237777.88,4.27,-1.88,-0.26,1.03
2025-01-03,002942,13.57,13.21,13.83,13.14,14041,19215365.0,5.09,-2.58,-0.35,1.0
2025-01-06,002942,13.22,13.09,13.27,12.62,16760,22310239.3,4.92,-0.91,-0.12,1.2
2025-01-07,002942,13.09,13.68,13.71,13.06,19956,27309007.4,4.97,4.51,0.59,1.43
2025-01-08,002942,13.61,14.5,14.62,13.52,36146,52229225.3,8.04,5.99,0.82,2.58
2025-01-09,002942,14.35,14.85,14.88,14.31,31879,47770557.9,3.93,2.41,0.35,2.28
2025-01-10,002942,14.9,14.12,14.9,13.99,29752,43536146.2,6.13,-4.92,-0.73,2.13
2025-01-13,002942,14.7,14.4,15.56,14.1,89814,136280706.15,10.34,1.98,0.28,6.42
2025-01-14,002942,14.4,14.93,15.08,13.5,82345,120711234.9,10.97,3.68,0.53,5.88
2025-01-15,002942,14.86,14.5,14.92,14.15,49604,73202544.13,5.16,-2.88,-0.43,3.54
2025-01-16,002942,14.36,14.1,14.82,13.9,53216,77582957.86,6.34,-2.76,-0.4,3.8
2025-01-17,002942,13.95,15.54,15.54,13.95,70639,111400312.4,11.28,10.21,1.44,5.05
2025-01-20,002942,15.54,15.41,15.91,14.98,122452,190419385.72,5.98,-0.84,-0.13,8.75
2025-01-21,002942,15.12,14.97,15.12,14.71,70611,107137212.57,2.66,-2.86,-0.44,5.04
2025-01-22,002942,14.72,14.76,15.09,14.6,43037,64966022.08,3.27,-1.4,-0.21,3.07
2025-01-23,002942,14.85,15.38,15.54,14.63,75160,115549796.63,6.17,4.2,0.62,5.37
2025-01-24,002942,15.0,15.03,15.15,14.6,44727,68001400.3,3.58,-2.28,-0.35,3.2
2025-01-27,002942,15.03,14.77,15.24,14.76,31819,48471958.9,3.19,-1.73,-0.26,2.28
2025-02-05,002942,14.64,14.82,14.95,14.3,28310,42631950.8,4.4,0.34,0.05,2.02
2025-02-06,002942,14.71,14.94,14.94,14.61,25383,38353027.2,2.23,0.81,0.12,1.81
2025-02-07,002942,14.96,15.07,15.2,14.8,39193,59784671.0,2.68,0.87,0.13,2.8
2025-02-10,002942,15.06,15.02,15.12,14.81,25943,39512373.0,2.06,-0.33,-0.05,1.85
2025-02-11,002942,15.08,15.3,15.39,14.9,40114,62270029.05,3.26,1.86,0.28,2.87
2025-02-12,002942,15.19,15.13,15.29,15.0,28039,43175122.0,1.9,-1.11,-0.17,2.0
2025-02-13,002942,15.05,15.1,15.23,14.93,21000,32251244.0,1.98,-0.2,-0.03,1.53
2025-02-14,002942,15.05,14.7,15.07,14.69,28783,43461860.7,2.52,-2.65,-0.4,2.1
2025-02-17,002942,14.76,14.92,15.07,14.69,23811,36211031.4,2.59,1.5,0.22,1.74
2025-02-18,002942,14.88,14.82,15.07,14.55,23831,36112716.1,3.49,-0.67,-0.1,1.74
2025-02-19,002942,14.81,14.83,14.94,14.6,17622,26656368.8,2.29,0.07,0.01,1.28
2025-02-20,002942,14.88,14.97,15.09,14.81,19307,29430717.0,1.89,0.94,0.14,1.41
2025-02-21,002942,14.9,14.77,15.02,14.62,17761,26664472.7,2.67,-1.34,-0.2,1.29
2025-02-24,002942,15.02,14.9,15.25,14.82,26629,40841673.5,2.91,0.88,0.13,1.94
2025-02-25,002942,14.76,14.65,14.84,14.54,19026,28469063.8,2.01,-1.68,-0.25,1.39
2025-02-26,002942,14.6,14.79,14.9,14.6,12946,19547446.6,2.05,0.96,0.14,0.94
2025-02-27,002942,14.77,14.78,14.87,14.56,13048,19578376.0,2.1,-0.07,-0.01,0.95
2025-02-28,002942,14.79,14.77,14.98,14.58,21292,32246011.7,2.71,-0.07,-0.01,1.55
2025-03-03,002942,14.8,16.28,16.28,14.78,76761,123077703.6,10.16,10.22,1.51,5.59
2025-03-04,002942,16.7,16.16,17.2,16.06,108513,182974311.58,7.0,-0.74,-0.12,7.91
2025-03-05,002942,16.33,15.93,16.41,15.54,56962,91872108.1,5.38,-1.42,-0.23,4.15
2025-03-06,002942,15.9,15.69,15.93,15.58,59664,95330510.3,2.2,-1.51,-0.24,4.35
2025-03-07,002942,15.7,15.6,15.82,15.4,48258,76823918.7,2.68,-0.57,-0.09,3.52
2025-03-10,002942,15.59,15.78,16.25,15.5,62210,100370965.1,4.81,1.15,0.18,4.53
2025-03-11,002942,15.57,15.75,15.75,15.28,43275,68399710.66,2.98,-0.19,-0.03,3.15
2025-03-12,002942,15.76,15.76,15.86,15.57,34162,54752532.0,1.84,0.06,0.01,2.49
2025-03-13,002942,15.79,15.62,15.83,15.35,20904,33164490.5,3.05,-0.89,-0.14,1.52
2025-03-14,002942,15.65,15.61,15.65,15.45,18515,29390564.01,1.28,-0.06,-0.01,1.35
2025-03-17,002942,15.6,15.78,15.78,15.55,19721,31529853.8,1.47,1.09,0.17,1.44
2025-03-18,002942,15.78,15.82,15.82,15.48,19515,31219904.3,2.15,0.25,0.04,1.42
2025-03-19,002942,15.87,15.67,15.93,15.59,21238,34144545.7,2.15,-0.95,-0.15,1.55
2025-03-20,002942,15.59,15.63,15.9,15.57,16433,26263253.77,2.11,-0.26,-0.04,1.2
2025-03-21,002942,15.51,15.25,15.68,15.2,16754,26273268.5,3.07,-2.43,-0.38,1.22
2025-03-24,002942,15.3,15.24,15.34,14.82,20954,32201466.4,3.41,-0.07,-0.01,1.53
2025-03-25,002942,15.12,16.12,16.48,14.99,53315,86292873.4,9.78,5.77,0.88,3.89
2025-03-26,002942,16.2,16.08,16.4,16.0,33562,55160382.0,2.48,-0.25,-0.04,2.45
2025-03-27,002942,15.91,16.05,16.24,15.91,19706,32289680.32,2.05,-0.19,-0.03,1.44
2025-03-28,002942,15.94,15.54,16.06,15.52,21577,34545379.0,3.36,-3.18,-0.51,1.57
2025-03-31,002942,15.38,15.17,15.44,14.89,16688,25697419.45,3.54,-2.38,-0.37,1.22
2025-04-01,002942,15.18,15.46,15.7,15.12,20431,32273601.4,3.82,1.91,0.29,1.49
2025-04-02,002942,15.2,15.52,15.68,15.2,12558,19868790.0,3.1,0.39,0.06,0.92
2025-04-03,002942,15.35,15.59,15.65,15.18,13248,20898888.7,3.03,0.45,0.07,0.97
2025-04-07,002942,14.72,14.0,15.07,14.0,22834,32913957.0,6.86,-10.2,-1.59,1.66
2025-04-08,002942,14.05,14.65,14.65,13.49,31523,45744042.0,8.29,4.64,0.65,2.3
2025-04-09,002942,14.58,14.51,14.66,13.51,29336,42393269.42,7.85,-0.96,-0.14,2.14
2025-04-10,002942,14.42,14.89,15.15,14.42,23678,35880204.17,5.03,2.62,0.38,1.73
2025-04-11,002942,14.82,14.62,15.06,14.5,15772,23771632.6,3.76,-1.81,-0.27,1.15
2025-04-14,002942,15.09,15.06,15.27,14.86,19339,29705671.8,2.8,3.01,0.44,1.41
2025-04-15,002942,15.06,15.26,15.4,15.02,16429,25553873.0,2.52,1.33,0.2,1.2
2025-04-16,002942,15.31,15.0,15.4,14.76,11919,18299180.0,4.19,-1.7,-0.26,0.87
2025-04-17,002942,14.99,15.26,15.35,14.83,10183,15801643.0,3.47,1.73,0.26,0.74
2025-04-18,002942,15.25,15.25,15.33,15.12,8644,13429891.0,1.38,-0.07,-0.01,0.63
2025-04-21,002942,15.23,15.5,15.5,15.12,9747,15275177.88,2.49,1.64,0.25,0.71
2025-04-22,002942,15.54,15.88,15.89,15.5,20454,32817122.0,2.52,2.45,0.38,1.49
2025-04-23,002942,16.05,15.98,16.06,15.78,22659,36821922.8,1.76,0.63,0.1,1.65
2025-04-24,002942,15.99,15.96,16.12,15.77,17729,28847644.5,2.19,-0.13,-0.02,1.29
2025-04-25,002942,15.96,15.75,16.08,15.67,13584,21825665.8,2.57,-1.32,-0.21,0.99
2025-04-28,002942,15.62,15.63,15.75,15.23,13265,21001729.4,3.3,-0.76,-0.12,0.97
2025-04-29,002942,15.61,15.87,15.91,15.54,10359,16703934.7,2.37,1.54,0.24,0.75
2025-04-30,002942,15.88,15.76,16.06,15.71,11236,18132304.5,2.21,-0.69,-0.11,0.82
2025-05-06,002942,15.76,16.15,16.15,15.76,15788,25764891.57,2.47,2.47,0.39,1.15
2025-05-07,002942,16.23,16.41,16.68,16.13,27724,46262443.2,3.41,1.61,0.26,2.02
2025-05-08,002942,16.48,16.37,17.06,16.23,26644,44690465.3,5.06,-0.24,-0.04,1.94
2025-05-09,002942,16.39,16.28,16.57,16.25,16658,27770242.4,1.95,-0.55,-0.09,1.21
2025-05-12,002942,16.31,16.47,16.52,16.23,17352,28991818.2,1.78,1.17,0.19,1.26
2025-05-13,002942,16.55,16.39,16.57,16.24,14151,23621019.0,2.0,-0.49,-0.08,1.03
2025-05-14,002942,16.41,16.41,16.48,16.3,10148,16936341.0,1.1,0.12,0.02,0.74
2025-05-15,002942,16.33,16.43,16.5,16.23,8652,14455766.2,1.65,0.12,0.02,0.63
2025-05-16,002942,16.42,16.66,16.68,16.32,10757,18141973.8,2.19,1.4,0.23,0.78
2025-05-19,002942,16.66,16.71,16.76,16.48,13823,23408877.0,1.68,0.3,0.05,1.01
2025-05-20,002942,16.77,16.69,16.88,16.51,17080,28987392.2,2.21,-0.12,-0.02,1.24
2025-05-21,002942,16.67,16.58,16.78,16.46,9146,15414059.8,1.92,-0.66,-0.11,0.67
2025-05-22,002942,16.47,16.23,16.64,16.16,11503,19149791.2,2.9,-2.11,-0.35,0.84
2025-05-23,002942,16.22,16.25,16.59,16.18,12493,20882848.4,2.53,0.12,0.02,0.91
2025-05-26,002942,16.32,16.4,16.55,16.15,9426,15707337.2,2.46,0.92,0.15,0.69
2025-05-27,002942,16.4,16.75,16.92,16.2,17062,28845403.0,4.39,2.13,0.35,1.24
2025-05-28,002942,16.99,16.54,17.18,16.42,20684,35231481.0,4.54,-1.25,-0.21,1.51
2025-05-29,002942,16.47,16.63,16.79,16.35,15241,25786072.6,2.66,0.54,0.09,1.11
2025-05-30,002942,16.55,16.45,16.72,16.37,10821,18204020.0,2.1,-1.08,-0.18,0.79
2025-06-03,002942,16.28,16.62,16.67,16.28,9919,16740958.8,2.37,1.03,0.17,0.72
2025-06-04,002942,16.63,16.76,16.8,16.53,8807,14970573.2,1.62,0.84,0.14,0.64
2025-06-05,002942,16.83,16.78,16.98,16.64,11619,19832804.5,2.03,0.12,0.02,0.85
2025-06-06,002942,16.78,17.23,17.85,16.72,33666,58905215.1,6.73,2.68,0.45,2.45
2025-06-09,002942,17.23,17.97,18.64,17.02,50711,91897663.0,9.4,4.29,0.74,3.7
2025-06-10,002942,17.65,17.8,18.19,17.42,46717,84397537.2,4.28,-0.95,-0.17,3.4
2025-06-11,002942,17.84,17.75,18.22,17.66,24854,44218205.3,3.15,-0.28,-0.05,1.81
2025-06-12,002942,17.63,17.95,18.16,17.63,18266,32650370.9,2.99,1.13,0.2,1.33
2025-06-13,002942,17.84,17.68,18.03,17.49,14003,24798099.81,3.01,-1.5,-0.27,1.02
2025-06-16,002942,17.61,17.7,17.91,17.55,13600,24120092.78,2.04,0.11,0.02,0.99
2025-06-17,002942,17.75,17.78,18.38,17.59,19076,34151000.6,4.46,0.45,0.08,1.39
2025-06-18,002942,17.62,17.3,18.01,17.26,15957,27869234.8,4.22,-2.7,-0.48,1.16
2025-06-19,002942,17.36,16.85,17.36,16.83,19187,32665251.1,3.06,-2.6,-0.45,1.4
2025-06-20,002942,16.85,16.76,17.1,16.65,11778,19807471.1,2.67,-0.53,-0.09,0.86
2025-06-23,002942,16.7,16.99,17.08,16.66,13543,22946014.0,2.51,1.37,0.23,0.99
2025-06-24,002942,17.33,17.34,17.36,16.87,13052,22470252.3,2.88,2.06,0.35,0.95
2025-06-25,002942,17.48,17.17,17.5,17.1,13738,23714658.0,2.31,-0.98,-0.17,1.0
2025-06-26,002942,17.22,17.0,17.33,16.91,11798,20148853.7,2.45,-0.99,-0.17,0.86
2025-06-27,002942,17.08,17.08,17.14,16.95,10098,17206092.8,1.12,0.47,0.08,0.74
2025-06-30,002942,17.14,17.38,17.39,17.03,14193,24429355.7,2.11,1.76,0.3,1.03
2025-07-01,002942,17.45,17.44,17.48,17.21,10665,18522284.0,1.55,0.35,0.06,0.78
2025-07-02,002942,17.45,17.47,17.53,17.3,10388,18090366.0,1.32,0.17,0.03,0.76
2025-07-03,002942,17.54,19.22,19.22,17.29,30401,57033344.4,11.05,10.02,1.75,2.22
2025-07-04,002942,19.22,18.15,19.22,18.04,107353,196656499.1,6.14,-5.57,-1.07,7.82
