日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002943,19.83,19.41,20.1,19.2,28971,57169247.68,4.54,-2.17,-0.43,2.39
2025-01-03,002943,19.41,18.3,19.5,18.3,33119,62464695.61,6.18,-5.72,-1.11,2.73
2025-01-06,002943,18.31,18.26,18.37,17.82,22968,41740631.54,3.01,-0.22,-0.04,1.9
2025-01-07,002943,18.12,18.79,18.86,18.01,24668,45420300.32,4.65,2.9,0.53,2.04
2025-01-08,002943,18.86,18.58,18.95,18.16,18852,34949600.45,4.2,-1.12,-0.21,1.56
2025-01-09,002943,18.39,18.56,18.88,18.39,14619,27320340.29,2.64,-0.11,-0.02,1.21
2025-01-10,002943,18.52,18.29,19.0,18.29,23194,43337484.17,3.83,-1.45,-0.27,1.91
2025-01-13,002943,18.7,18.79,19.1,18.3,29200,54666555.34,4.37,2.73,0.5,2.41
2025-01-14,002943,18.62,19.2,19.27,18.62,33223,63004986.83,3.46,2.18,0.41,2.74
2025-01-15,002943,19.15,18.85,19.16,18.78,19057,36140658.0,1.98,-1.82,-0.35,1.57
2025-01-16,002943,18.94,18.78,19.12,18.68,14932,28199118.96,2.33,-0.37,-0.07,1.23
2025-01-17,002943,18.8,18.37,18.85,18.33,28301,52331142.48,2.77,-2.18,-0.41,2.34
2025-01-20,002943,18.45,18.45,18.58,18.2,21473,39522416.08,2.07,0.44,0.08,1.77
2025-01-21,002943,18.0,18.08,18.95,17.5,63742,114857852.82,7.86,-2.01,-0.37,5.26
2025-01-22,002943,18.0,18.04,18.2,17.68,26936,48218568.83,2.88,-0.22,-0.04,2.22
2025-01-23,002943,18.2,17.99,18.53,17.84,30674,55732387.79,3.82,-0.28,-0.05,2.53
2025-01-24,002943,17.93,17.99,18.01,17.64,19922,35535485.41,2.06,0.0,0.0,1.64
2025-01-27,002943,18.0,18.13,18.44,17.85,18477,33449065.22,3.28,0.78,0.14,1.53
2025-02-05,002943,18.13,18.63,19.13,18.13,30709,57219441.99,5.52,2.76,0.5,2.53
2025-02-06,002943,18.64,18.98,19.18,18.55,31512,59296989.22,3.38,1.88,0.35,2.6
2025-02-07,002943,18.98,18.82,19.1,18.61,29232,55279470.2,2.58,-0.84,-0.16,2.41
2025-02-10,002943,18.82,19.36,19.43,18.57,39450,74920755.52,4.57,2.87,0.54,3.26
2025-02-11,002943,19.31,19.16,19.38,19.11,19461,37353033.64,1.39,-1.03,-0.2,1.61
2025-02-12,002943,19.15,19.18,19.28,19.0,18024,34447564.81,1.46,0.1,0.02,1.49
2025-02-13,002943,19.27,19.03,19.69,19.03,24471,47326982.16,3.44,-0.78,-0.15,2.02
2025-02-14,002943,19.03,18.88,19.17,18.82,17863,33919442.89,1.84,-0.79,-0.15,1.47
2025-02-17,002943,18.87,18.77,18.91,18.57,27052,50649136.54,1.8,-0.58,-0.11,2.05
