日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002945,15.19,14.66,15.25,14.44,329003,488709115.78,5.3,-4.12,-0.63,1.22
2025-01-03,002945,14.59,13.86,14.79,13.78,300140,424955862.59,6.89,-5.46,-0.8,1.11
2025-01-06,002945,13.72,13.69,14.12,13.57,273898,379668187.21,3.97,-1.23,-0.17,1.01
2025-01-07,002945,13.8,13.85,13.91,13.6,239991,330642997.14,2.26,1.17,0.16,0.89
2025-01-08,002945,13.66,13.69,13.99,13.25,301911,411457000.63,5.34,-1.16,-0.16,1.12
2025-01-09,002945,13.61,13.81,13.96,13.6,228223,315978144.4,2.63,0.88,0.12,0.85
2025-01-10,002945,13.77,13.34,13.92,13.34,217453,297858530.0,4.2,-3.4,-0.47,0.81
2025-01-13,002945,13.04,13.25,13.34,12.89,179260,236376019.18,3.37,-0.67,-0.09,0.66
2025-01-14,002945,13.33,14.05,14.14,13.25,362051,502259677.05,6.72,6.04,0.8,1.34
2025-01-15,002945,13.97,13.96,14.1,13.86,199906,279720142.0,1.71,-0.64,-0.09,0.74
2025-01-16,002945,14.05,13.92,14.24,13.76,196903,276153647.24,3.44,-0.29,-0.04,0.73
2025-01-17,002945,13.87,14.13,14.31,13.83,261624,369945386.0,3.45,1.51,0.21,0.97
2025-01-20,002945,14.33,14.24,14.4,14.08,218590,312433605.23,2.26,0.78,0.11,0.81
2025-01-21,002945,14.34,14.6,14.61,14.14,288583,416358838.4,3.3,2.53,0.36,1.07
2025-01-22,002945,14.42,14.83,14.89,14.35,419678,617611269.87,3.7,1.58,0.23,1.55
2025-01-23,002945,15.94,16.32,16.32,15.24,1137925,1828382873.9,7.28,10.05,1.49,4.21
2025-01-24,002945,15.49,15.79,16.33,15.32,874550,1383015577.99,6.19,-3.25,-0.53,3.24
2025-01-27,002945,15.76,14.95,15.84,14.95,495745,757717581.38,5.64,-5.32,-0.84,1.84
2025-02-05,002945,14.96,14.76,14.99,14.68,327996,487936829.99,2.07,-1.27,-0.19,1.21
2025-02-06,002945,14.68,14.93,15.05,14.62,468939,699283065.94,2.91,1.15,0.17,1.74
2025-02-07,002945,14.86,16.06,16.43,14.75,1135510,1822810702.65,11.25,7.57,1.13,4.21
2025-02-10,002945,16.06,16.18,16.28,15.87,870622,1404220073.97,2.55,0.75,0.12,3.22
2025-02-11,002945,16.06,16.12,16.76,15.84,613480,996786090.66,5.69,-0.37,-0.06,2.27
2025-02-12,002945,16.06,17.09,17.35,16.0,785491,1308864827.0,8.37,6.02,0.97,2.91
2025-02-13,002945,16.65,16.6,17.28,16.36,712189,1188503769.28,5.38,-2.87,-0.49,2.64
2025-02-14,002945,16.34,16.38,16.7,16.27,374042,615312881.24,2.59,-1.33,-0.22,1.39
2025-02-17,002945,16.55,16.32,16.61,16.16,338904,556779677.38,2.75,-0.37,-0.06,1.26
2025-02-18,002945,16.16,15.79,16.55,15.76,357921,578418101.35,4.84,-3.25,-0.53,1.33
2025-02-19,002945,15.74,16.05,16.15,15.68,280765,449106852.82,2.98,1.65,0.26,1.04
2025-02-20,002945,15.99,16.09,16.21,15.92,229931,370685929.91,1.81,0.25,0.04,0.85
2025-02-21,002945,16.06,16.22,16.34,15.92,380193,616504442.56,2.61,0.81,0.13,1.41
2025-02-24,002945,16.18,16.0,16.23,15.86,253406,407577505.0,2.28,-1.36,-0.22,0.94
2025-02-25,002945,15.81,15.76,15.99,15.7,191465,304225396.0,1.81,-1.5,-0.24,0.71
2025-02-26,002945,15.83,16.24,16.26,15.66,355915,570659456.12,3.81,3.05,0.48,1.32
2025-02-27,002945,16.09,15.91,16.14,15.53,341280,542648746.4,3.76,-2.03,-0.33,1.26
2025-02-28,002945,15.77,15.12,16.18,15.11,274778,431165380.16,6.73,-4.97,-0.79,1.02
2025-03-03,002945,15.21,15.25,15.55,15.04,223038,342848456.06,3.37,0.86,0.13,0.83
2025-03-04,002945,15.16,15.5,15.58,15.09,162772,251299870.9,3.21,1.64,0.25,0.6
2025-03-05,002945,15.44,15.5,15.62,15.39,151935,236169582.16,1.48,0.0,0.0,0.56
2025-03-06,002945,15.56,15.74,15.85,15.51,235255,370675794.51,2.19,1.55,0.24,0.87
2025-03-07,002945,15.54,15.39,15.65,15.35,179970,279952165.6,1.91,-2.22,-0.35,0.67
2025-03-10,002945,15.36,15.45,15.5,15.25,105094,161835782.62,1.62,0.39,0.06,0.39
2025-03-11,002945,15.29,15.43,15.44,15.24,100618,154847883.18,1.29,-0.13,-0.02,0.37
2025-03-12,002945,15.53,15.62,15.93,15.42,219363,344562831.25,3.31,1.23,0.19,0.81
2025-03-13,002945,15.51,15.35,15.86,15.26,164645,255266371.42,3.84,-1.73,-0.27,0.61
2025-03-14,002945,15.35,15.79,16.06,15.3,344879,544132892.16,4.95,2.87,0.44,1.28
2025-03-17,002945,15.81,15.65,15.81,15.61,165657,260274859.0,1.27,-0.89,-0.14,0.61
2025-03-18,002945,15.68,15.59,15.76,15.49,137855,215259820.0,1.73,-0.38,-0.06,0.51
2025-03-19,002945,15.54,15.8,15.91,15.41,218036,342762247.44,3.21,1.35,0.21,0.81
2025-03-20,002945,15.73,15.53,15.77,15.47,158952,248991465.49,1.9,-1.71,-0.27,0.59
2025-03-21,002945,15.45,15.14,15.58,15.12,160284,246358089.46,2.96,-2.51,-0.39,0.59
2025-03-24,002945,15.05,15.17,15.2,14.87,116268,174968249.6,2.18,0.2,0.03,0.43
2025-03-25,002945,15.14,14.95,15.19,14.92,80281,120840281.0,1.78,-1.45,-0.22,0.3
2025-03-26,002945,14.99,15.29,15.56,14.99,198531,305663896.0,3.81,2.27,0.34,0.74
2025-03-27,002945,15.11,15.24,15.4,15.06,115039,175642025.19,2.22,-0.33,-0.05,0.43
2025-03-28,002945,15.21,15.79,16.27,15.21,466593,736242476.76,6.96,3.61,0.55,1.73
2025-03-31,002945,15.32,14.92,15.51,14.81,369436,558319157.22,4.43,-5.51,-0.87,1.37
2025-04-01,002945,14.85,14.03,14.95,13.91,383230,549132036.29,6.97,-5.97,-0.89,1.42
2025-04-02,002945,13.9,14.13,14.22,13.88,164215,232413339.28,2.42,0.71,0.1,0.61
2025-04-03,002945,13.96,14.27,14.47,13.94,172932,248652258.72,3.75,0.99,0.14,0.64
2025-04-07,002945,13.46,12.85,13.85,12.84,264600,348593273.42,7.08,-9.95,-1.42,0.98
2025-04-08,002945,13.11,13.24,13.61,13.03,252018,335965822.1,4.51,3.04,0.39,0.93
2025-04-09,002945,12.93,13.39,13.54,12.75,248125,329661475.55,5.97,1.13,0.15,0.92
2025-04-10,002945,13.54,13.54,13.83,13.36,218754,298771238.1,3.51,1.12,0.15,0.81
2025-04-11,002945,13.4,13.68,13.8,13.39,153288,209675594.0,3.03,1.03,0.14,0.57
2025-04-14,002945,13.72,13.73,13.79,13.64,132089,181571043.0,1.1,0.37,0.05,0.49
2025-04-15,002945,13.69,13.66,13.7,13.58,81976,112057656.0,0.87,-0.51,-0.07,0.3
2025-04-16,002945,13.61,13.53,13.64,13.34,90063,121803350.82,2.2,-0.95,-0.13,0.33
2025-04-17,002945,13.45,13.5,13.62,13.39,69619,94559042.0,1.7,-0.22,-0.03,0.26
2025-04-18,002945,13.61,13.8,14.11,13.51,244008,337789998.0,4.44,2.22,0.3,0.9
2025-04-21,002945,13.66,13.87,13.99,13.63,154894,214958957.3,2.61,0.51,0.07,0.57
2025-04-22,002945,13.77,13.78,13.92,13.77,108741,150850162.65,1.08,-0.65,-0.09,0.4
2025-04-23,002945,13.86,13.79,13.92,13.71,100229,138709338.0,1.52,0.07,0.01,0.37
2025-04-24,002945,13.74,13.65,13.82,13.57,97927,134487307.0,1.81,-1.02,-0.14,0.36
2025-04-25,002945,13.72,13.71,13.77,13.64,86013,118246604.91,0.95,0.44,0.06,0.32
2025-04-28,002945,13.71,13.56,13.74,13.5,68322,93059104.95,1.75,-1.09,-0.15,0.25
2025-04-29,002945,13.61,13.57,13.66,13.51,62774,85427851.0,1.11,0.07,0.01,0.23
2025-04-30,002945,13.61,13.77,13.81,13.59,103544,142650139.63,1.62,1.47,0.2,0.38
2025-05-06,002945,13.92,13.95,13.97,13.79,126838,176844530.74,1.31,1.31,0.18,0.47
2025-05-07,002945,14.46,13.93,14.63,13.87,219863,312642300.55,5.45,-0.14,-0.02,0.81
2025-05-08,002945,13.92,14.04,14.14,13.86,133547,187983922.75,2.01,0.79,0.11,0.49
2025-05-09,002945,14.04,13.8,14.06,13.71,88319,122500168.32,2.49,-1.71,-0.24,0.33
2025-05-12,002945,13.9,14.13,14.14,13.83,133689,187743054.38,2.25,2.39,0.33,0.5
2025-05-13,002945,14.27,13.99,14.27,13.99,94654,133580028.0,1.98,-0.99,-0.14,0.35
2025-05-14,002945,13.99,14.39,14.7,13.88,296053,424389869.98,5.86,2.86,0.4,1.1
2025-05-15,002945,14.26,13.95,14.35,13.95,142189,200819955.9,2.78,-3.06,-0.44,0.53
2025-05-16,002945,13.9,13.82,13.98,13.81,86959,120510676.5,1.22,-0.93,-0.13,0.32
2025-05-19,002945,13.8,13.83,13.87,13.66,65015,89499093.78,1.52,0.07,0.01,0.24
2025-05-20,002945,13.83,13.88,13.94,13.79,66009,91468596.88,1.08,0.36,0.05,0.24
2025-05-21,002945,13.83,13.84,13.94,13.83,51425,71275191.04,0.79,-0.29,-0.04,0.19
2025-05-22,002945,13.8,13.73,13.86,13.71,48216,66391769.04,1.08,-0.79,-0.11,0.18
2025-05-23,002945,13.75,13.42,13.78,13.41,100026,135856435.45,2.69,-2.26,-0.31,0.37
2025-05-26,002945,13.4,13.51,13.53,13.38,46895,63090600.0,1.12,0.67,0.09,0.17
2025-05-27,002945,13.51,13.44,13.51,13.4,41990,56424639.96,0.81,-0.52,-0.07,0.16
2025-05-28,002945,13.46,13.38,13.52,13.33,42057,56380288.0,1.41,-0.45,-0.06,0.16
2025-05-29,002945,13.39,13.62,13.63,13.38,72554,98326845.99,1.87,1.79,0.24,0.27
2025-05-30,002945,13.6,13.53,13.6,13.48,47515,64327782.24,0.88,-0.66,-0.09,0.18
2025-06-03,002945,13.43,13.58,13.69,13.41,56555,76847245.0,2.07,0.37,0.05,0.21
2025-06-04,002945,13.56,13.72,13.76,13.56,73712,100961309.0,1.47,1.03,0.14,0.27
2025-06-05,002945,13.72,13.9,13.93,13.7,107551,148561563.0,1.68,1.31,0.18,0.4
2025-06-06,002945,13.93,13.79,14.02,13.78,64085,88720813.8,1.73,-0.79,-0.11,0.24
2025-06-09,002945,13.92,13.95,14.05,13.89,106258,148372512.08,1.16,1.16,0.16,0.39
2025-06-10,002945,13.95,13.8,13.95,13.66,83032,114838463.0,2.08,-1.08,-0.15,0.31
2025-06-11,002945,13.8,13.97,14.1,13.8,121403,169794702.0,2.17,1.23,0.17,0.45
2025-06-12,002945,13.91,14.01,14.14,13.86,97656,136952670.0,2.0,0.29,0.04,0.36
2025-06-13,002945,13.92,13.83,13.97,13.76,81797,113227380.8,1.5,-1.28,-0.18,0.3
2025-06-16,002945,13.75,14.0,14.02,13.75,71261,99306324.97,1.95,1.23,0.17,0.26
2025-06-17,002945,14.03,14.01,14.06,13.93,58779,82263058.0,0.93,0.07,0.01,0.22
2025-06-18,002945,14.06,13.93,14.26,13.91,147360,207269415.84,2.5,-0.57,-0.08,0.55
2025-06-19,002945,13.86,13.74,13.98,13.69,98102,135732809.44,2.08,-1.36,-0.19,0.36
2025-06-20,002945,13.73,13.57,13.81,13.57,60310,82421568.48,1.75,-1.24,-0.17,0.22
2025-06-23,002945,13.44,13.7,13.74,13.4,49354,67259907.0,2.51,0.96,0.13,0.18
2025-06-24,002945,13.73,14.08,14.18,13.72,161951,227627506.0,3.36,2.77,0.38,0.6
2025-06-25,002945,14.14,14.68,14.78,14.05,359892,521434959.83,5.18,4.26,0.6,1.33
2025-06-26,002945,14.78,14.46,14.81,14.41,224536,326870922.0,2.72,-1.5,-0.22,0.83
2025-06-27,002945,14.46,14.42,14.83,14.39,182466,266061187.0,3.04,-0.28,-0.04,0.68
2025-06-30,002945,14.4,14.37,14.51,14.25,106062,152315263.68,1.8,-0.35,-0.05,0.39
2025-07-01,002945,14.45,14.27,14.48,14.19,95366,135991179.0,2.02,-0.7,-0.1,0.35
2025-07-02,002945,14.27,14.19,14.3,14.13,73929,104945735.0,1.19,-0.56,-0.08,0.27
2025-07-03,002945,14.19,14.22,14.28,14.15,81332,115568506.0,0.92,0.21,0.03,0.3
2025-07-04,002945,14.19,14.16,14.39,14.06,110068,156662261.0,2.32,-0.42,-0.06,0.41
2025-07-07,002945,14.15,14.24,14.33,14.1,71269,101647035.0,1.62,0.56,0.08,0.26
