日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002957,15.48,14.92,15.57,14.73,72526,111372424.64,5.41,-3.87,-0.6,1.77
2025-01-03,002957,15.08,14.26,15.17,14.24,63368,93933072.0,6.23,-4.42,-0.66,1.55
2025-01-06,002957,14.33,14.18,14.48,13.83,46649,66986859.0,4.56,-0.56,-0.08,1.14
2025-01-07,002957,14.19,14.59,14.6,14.13,48842,71021428.5,3.31,2.89,0.41,1.19
2025-01-08,002957,14.51,14.69,14.85,14.03,67260,98369597.8,5.62,0.69,0.1,1.64
2025-01-09,002957,14.55,14.8,14.97,14.45,48576,72805782.65,3.54,0.75,0.11,1.18
2025-01-10,002957,14.67,14.43,15.06,14.43,55319,82784902.6,4.26,-2.5,-0.37,1.35
2025-01-13,002957,14.21,14.56,14.76,14.05,45246,66098026.0,4.92,0.9,0.13,1.1
2025-01-14,002957,14.68,15.47,15.49,14.62,76802,117855939.0,5.98,6.25,0.91,1.87
2025-01-15,002957,15.43,15.56,15.69,15.29,74204,116299255.6,2.59,0.58,0.09,1.81
2025-01-16,002957,15.58,15.45,15.75,15.19,78279,122634785.8,3.6,-0.71,-0.11,1.91
2025-01-17,002957,15.36,15.46,15.65,15.35,42857,67187150.0,1.94,0.06,0.01,1.05
2025-01-20,002957,15.63,15.55,15.71,15.46,39102,61561830.0,1.62,0.58,0.09,0.95
2025-01-21,002957,15.68,15.67,15.71,15.45,51554,81316148.57,1.67,0.77,0.12,1.26
2025-01-22,002957,15.56,15.53,15.86,15.47,43880,69180314.2,2.49,-0.89,-0.14,1.07
2025-01-23,002957,15.69,15.53,15.9,15.53,56783,90323681.44,2.38,0.0,0.0,1.38
2025-01-24,002957,15.45,15.88,15.88,15.42,60903,96908266.0,2.96,2.25,0.35,1.49
2025-01-27,002957,15.87,15.45,16.01,15.45,52300,82692140.5,3.53,-2.71,-0.43,1.28
2025-02-05,002957,15.74,15.73,15.82,15.58,45403,72039933.0,1.55,1.81,0.28,1.11
2025-02-06,002957,15.63,16.32,16.43,15.59,80588,131128185.5,5.34,3.75,0.59,1.97
2025-02-07,002957,16.23,16.34,16.55,16.11,98915,163674577.1,2.7,0.12,0.02,2.41
2025-02-10,002957,16.33,16.38,16.42,16.18,62153,102314546.46,1.47,0.24,0.04,1.52
2025-02-11,002957,16.38,16.57,16.67,16.16,115430,192699459.86,3.11,1.16,0.19,2.82
2025-02-12,002957,16.53,16.72,16.76,16.37,89135,149643294.0,2.35,0.91,0.15,2.17
2025-02-13,002957,16.77,16.37,16.81,16.36,78206,130527367.18,2.69,-2.09,-0.35,1.91
2025-02-14,002957,16.33,16.27,16.46,16.16,72164,118965792.07,1.83,-0.61,-0.1,1.76
2025-02-17,002957,16.24,16.36,16.43,16.0,85581,140476703.03,2.64,0.55,0.09,2.09
2025-02-18,002957,16.33,15.95,16.43,15.85,66226,108291190.69,3.55,-2.51,-0.41,1.62
2025-02-19,002957,15.32,16.25,16.28,15.13,118467,189700741.37,7.21,1.88,0.3,2.89
2025-02-20,002957,16.33,16.47,16.52,16.18,91985,152157566.04,2.09,1.35,0.22,2.24
2025-02-21,002957,16.37,16.58,16.66,16.31,93277,155693361.0,2.13,0.67,0.11,2.27
2025-02-24,002957,16.58,16.62,16.71,16.19,86852,144907797.1,3.14,0.24,0.04,2.12
