日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002965,25.59,24.43,25.74,24.21,129180,425312560.41,5.9,-5.75,-1.49,8.46
2025-01-03,002965,24.43,23.21,24.57,23.1,85479,269276639.17,6.02,-4.99,-1.22,5.6
2025-01-06,002965,23.05,22.75,23.58,22.5,64323,195305765.44,4.65,-1.98,-0.46,4.21
2025-01-07,002965,22.87,23.02,23.23,22.42,80096,241868386.0,3.56,1.19,0.27,5.24
2025-01-08,002965,22.86,23.35,23.88,21.74,121328,364675368.68,9.3,1.43,0.33,7.94
2025-01-09,002965,23.01,24.59,25.28,22.94,148385,481154105.0,10.02,5.31,1.24,9.72
2025-01-10,002965,24.58,24.58,25.4,24.47,132696,437149872.66,3.78,-0.04,-0.01,8.69
2025-01-13,002965,24.28,24.59,25.9,24.01,113560,373207191.98,7.69,0.04,0.01,7.44
2025-01-14,002965,24.93,26.17,26.17,24.47,145426,490195092.3,6.91,6.43,1.58,9.52
2025-01-15,002965,26.5,27.48,28.03,26.36,245426,882058919.76,6.38,5.01,1.31,16.07
2025-01-16,002965,28.43,28.26,30.27,28.07,373646,1444841794.56,8.01,2.84,0.78,24.46
2025-01-17,002965,27.88,27.8,28.65,27.01,231556,846420747.14,5.8,-1.63,-0.46,15.16
2025-01-20,002965,30.63,30.63,30.63,30.62,126213,509270401.85,0.04,10.18,2.83,8.26
2025-01-21,002965,30.95,31.28,31.4,29.91,352469,1427193722.71,4.86,2.12,0.65,23.08
2025-01-22,002965,31.2,32.68,34.32,30.52,322344,1378332179.74,12.15,4.48,1.4,21.11
2025-01-23,002965,33.24,32.48,34.46,32.05,246056,1076257119.17,7.37,-0.61,-0.2,16.11
2025-01-24,002965,32.57,35.77,35.77,32.28,373154,1707477630.43,10.75,10.13,3.29,24.43
2025-01-27,002965,35.36,32.74,35.36,32.16,322614,1394007247.8,8.95,-8.47,-3.03,21.12
2025-02-05,002965,32.74,33.71,34.42,32.13,260053,1137008819.26,6.99,2.96,0.97,17.03
2025-02-06,002965,33.43,37.13,37.13,33.17,241576,1147999887.09,11.75,10.15,3.42,15.82
2025-02-07,002965,38.08,38.51,40.88,36.76,351033,1780588816.61,11.1,3.72,1.38,22.98
2025-02-10,002965,38.03,37.44,38.03,36.36,229491,1116577260.65,4.34,-2.78,-1.07,15.03
2025-02-11,002965,36.9,38.2,39.2,36.9,190776,951098323.5,6.14,2.03,0.76,12.49
2025-02-12,002965,37.68,40.01,41.3,36.99,211082,1094086017.67,11.28,4.74,1.81,13.82
2025-02-13,002965,39.6,37.72,40.89,37.58,195645,999278013.56,8.27,-5.72,-2.29,12.81
2025-02-14,002965,37.05,36.82,38.36,36.43,181214,887856915.93,5.12,-2.39,-0.9,11.86
2025-02-17,002965,36.78,38.36,38.39,35.78,181496,889464149.78,7.09,4.18,1.54,11.88
2025-02-18,002965,37.97,37.59,39.03,37.53,166700,834687343.57,3.91,-2.01,-0.77,10.91
2025-02-19,002965,37.33,41.39,41.39,37.13,291178,1534446381.18,11.33,10.11,3.8,19.06
2025-02-20,002965,41.34,40.91,42.13,39.76,238441,1280149527.3,5.73,-1.16,-0.48,15.61
2025-02-21,002965,40.36,42.77,43.97,40.17,226006,1255140619.83,9.29,4.55,1.86,14.8
2025-02-24,002965,42.77,43.41,45.73,41.9,213536,1228458406.82,8.95,1.5,0.64,13.98
2025-02-25,002965,41.9,42.86,44.67,41.45,163312,923071749.01,7.42,-1.27,-0.55,10.65
2025-02-26,002965,43.82,45.25,47.19,43.67,261932,1569460319.2,8.21,5.58,2.39,17.07
2025-02-27,002965,44.2,42.58,45.16,41.51,241680,1372918445.49,8.07,-5.9,-2.67,15.75
2025-02-28,002965,42.51,38.59,42.51,38.28,217473,1142564194.01,9.93,-9.37,-3.99,14.18
2025-03-03,002965,38.93,38.18,39.19,37.4,119967,604442301.1,4.64,-1.06,-0.41,7.82
2025-03-04,002965,37.64,39.89,41.57,37.64,169865,892653036.5,10.29,4.48,1.71,11.07
2025-03-05,002965,39.6,42.77,43.01,39.6,173693,954584640.64,8.55,7.22,2.88,11.32
2025-03-06,002965,43.89,43.32,44.67,43.16,197330,1135209526.76,3.53,1.29,0.55,12.86
2025-03-07,002965,43.75,44.53,45.94,42.96,179582,1051371535.68,6.88,2.79,1.21,11.71
2025-03-10,002965,44.43,42.88,45.74,42.52,168635,971997662.84,7.23,-3.71,-1.65,10.99
2025-03-11,002965,42.2,43.61,44.11,41.51,152946,860455052.45,6.06,1.7,0.73,9.97
2025-03-12,002965,43.6,42.29,43.8,42.2,127861,719149734.08,3.67,-3.03,-1.32,8.34
2025-03-13,002965,41.9,39.59,42.27,39.28,144959,765294297.22,7.07,-6.38,-2.7,9.45
2025-03-14,002965,39.59,42.8,43.07,39.24,168900,916530397.85,9.67,8.11,3.21,11.01
2025-03-17,002965,44.46,45.71,47.13,42.73,265308,1587048003.0,10.28,6.8,2.91,17.3
2025-03-18,002965,45.67,45.81,46.59,44.59,182787,1089985802.16,4.38,0.22,0.1,11.92
2025-03-19,002965,46.06,46.53,47.97,45.12,202940,1241587357.19,6.22,1.57,0.72,13.23
2025-03-20,002965,46.66,51.21,51.22,45.84,306066,1978639510.14,11.56,10.06,4.68,19.95
2025-03-21,002965,51.04,47.27,52.15,46.12,291846,1842535082.82,11.78,-7.69,-3.94,19.03
2025-03-24,002965,48.08,46.39,48.08,44.88,154353,931407483.4,6.77,-1.86,-0.88,10.06
2025-03-25,002965,46.42,43.94,47.24,43.94,145464,863289512.75,7.11,-5.28,-2.45,9.48
2025-03-26,002965,43.63,44.05,45.82,43.53,127587,746273742.0,5.21,0.25,0.11,8.32
2025-03-27,002965,43.43,43.3,45.07,42.32,112017,644351588.17,6.24,-1.7,-0.75,7.3
2025-03-28,002965,43.19,41.59,44.11,41.51,133872,745634228.0,6.0,-3.95,-1.71,8.73
2025-03-31,002965,40.23,39.42,40.9,37.93,179680,919768944.27,7.14,-5.22,-2.17,11.71
2025-04-01,002965,39.59,38.79,40.27,38.55,97582,499764829.58,4.36,-1.6,-0.63,6.36
2025-04-02,002965,38.51,39.72,40.49,38.51,124764,651280992.0,5.1,2.4,0.93,8.13
2025-04-03,002965,38.51,37.86,39.7,37.15,131387,659243897.21,6.42,-4.68,-1.86,8.56
2025-04-07,002965,34.03,34.03,34.54,34.03,26101,117025238.0,1.35,-10.12,-3.83,1.7
2025-04-08,002965,32.07,30.59,32.56,30.59,124708,512558613.48,5.79,-10.11,-3.44,8.13
2025-04-09,002965,29.11,32.13,32.56,27.55,249099,989805847.01,16.38,5.03,1.54,16.24
2025-04-10,002965,33.43,33.22,34.62,32.83,208405,924706418.2,5.57,3.39,1.09,13.59
2025-04-11,002965,32.62,34.55,35.07,32.42,150446,674900194.3,7.98,4.0,1.33,9.81
2025-04-14,002965,35.35,35.43,36.59,34.59,138918,648202703.84,5.79,2.55,0.88,9.06
2025-04-15,002965,35.42,35.15,35.82,34.53,94881,438504177.67,3.64,-0.79,-0.28,6.19
2025-04-16,002965,34.83,33.42,34.97,32.96,112462,500189509.77,5.72,-4.92,-1.73,7.33
