日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002980,17.8,17.35,18.03,17.16,12652,32016811.8,4.88,-2.64,-0.47,1.76
2025-01-03,002980,17.33,16.63,17.77,16.6,13390,32852057.0,6.74,-4.15,-0.72,1.86
2025-01-06,002980,16.54,16.67,17.0,15.94,10965,26217556.5,6.37,0.24,0.04,1.53
2025-01-07,002980,16.82,17.0,17.02,16.55,8403,20399445.48,2.82,1.98,0.33,1.17
2025-01-08,002980,17.23,17.14,17.27,16.5,9232,22610986.0,4.53,0.82,0.14,1.29
2025-01-09,002980,17.14,17.21,17.44,16.86,8105,20132440.0,3.38,0.41,0.07,1.13
2025-01-10,002980,17.27,16.78,17.46,16.72,7850,19411776.0,4.3,-2.5,-0.43,1.09
2025-01-13,002980,17.91,16.99,18.05,16.6,16889,41618748.57,8.64,1.25,0.21,2.35
2025-01-14,002980,17.0,17.68,17.69,16.83,13826,34678493.0,5.06,4.06,0.69,1.92
2025-01-15,002980,17.76,17.68,17.86,17.55,7634,19465569.0,1.75,0.0,0.0,1.06
2025-01-16,002980,17.68,17.4,17.86,17.24,11637,29385366.0,3.51,-1.58,-0.28,1.62
2025-01-17,002980,17.26,17.5,17.61,17.26,7462,18773682.0,2.01,0.57,0.1,1.04
2025-01-20,002980,17.55,17.81,17.86,17.48,7536,19243012.0,2.17,1.77,0.31,1.05
2025-01-21,002980,17.81,17.77,18.06,17.61,5550,14195553.15,2.53,-0.22,-0.04,0.77
2025-01-22,002980,17.74,17.62,17.92,17.56,8823,22493540.4,2.03,-0.84,-0.15,1.23
2025-01-23,002980,17.84,17.86,18.11,17.73,10825,27948634.0,2.16,1.36,0.24,1.51
2025-01-24,002980,17.88,18.03,18.11,17.65,9613,24749339.0,2.58,0.95,0.17,1.34
2025-01-27,002980,18.13,18.1,18.46,17.95,10000,26173512.0,2.83,0.39,0.07,1.39
2025-02-05,002980,18.15,17.87,18.27,17.58,12589,32361073.98,3.81,-1.27,-0.23,1.75
2025-02-06,002980,17.84,18.11,18.11,17.72,8183,21176788.0,2.18,1.34,0.24,1.14
2025-02-07,002980,18.13,18.1,18.3,17.91,8512,22250981.0,2.15,-0.06,-0.01,1.18
2025-02-10,002980,18.16,18.34,18.34,18.01,11410,29825043.64,1.82,1.33,0.24,1.59
2025-02-11,002980,18.38,18.24,18.38,18.13,8099,21215148.68,1.36,-0.55,-0.1,1.13
2025-02-12,002980,18.32,18.16,18.32,18.06,8059,21072031.8,1.43,-0.44,-0.08,1.12
