日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002996,6.6,6.42,6.67,6.35,90862,59824373.1,4.86,-2.58,-0.17,2.18
2025-01-03,002996,6.44,6.26,6.57,6.26,92549,59675502.9,4.83,-2.49,-0.16,2.22
2025-01-06,002996,6.27,6.39,6.54,6.06,129399,83290045.7,7.67,2.08,0.13,3.11
2025-01-07,002996,6.35,6.55,6.55,6.33,91719,59610643.3,3.44,2.5,0.16,2.2
2025-01-08,002996,6.49,6.37,6.53,6.23,102897,65927655.88,4.58,-2.75,-0.18,2.47
2025-01-09,002996,6.33,6.47,6.55,6.32,76537,49913727.4,3.61,1.57,0.1,1.84
2025-01-10,002996,6.47,6.3,6.54,6.29,63265,40846914.1,3.86,-2.63,-0.17,1.52
2025-01-13,002996,6.23,6.48,6.5,6.15,93526,60191840.05,5.56,2.86,0.18,2.25
2025-01-14,002996,6.48,6.58,6.59,6.38,96676,63696227.1,3.24,1.54,0.1,2.32
2025-01-15,002996,6.57,6.49,6.58,6.43,75523,49357169.76,2.28,-1.37,-0.09,1.81
2025-01-16,002996,6.49,6.61,6.64,6.45,118173,78478553.2,2.93,1.85,0.12,2.84
2025-01-17,002996,6.56,6.6,6.62,6.49,70112,46396308.95,1.97,-0.15,-0.01,1.68
2025-01-20,002996,6.61,6.63,6.65,6.49,71071,47163976.0,2.42,0.45,0.03,1.71
2025-01-21,002996,6.63,6.72,6.76,6.56,133772,90195376.58,3.02,1.36,0.09,3.21
2025-01-22,002996,6.67,6.58,6.69,6.51,93030,61781847.8,2.68,-2.08,-0.14,2.23
2025-01-23,002996,6.61,6.58,6.79,6.56,110950,74646355.61,3.5,0.0,0.0,2.66
2025-01-24,002996,6.52,6.56,6.61,6.48,81542,53716232.13,1.98,-0.3,-0.02,1.96
2025-01-27,002996,6.55,6.5,6.63,6.47,61910,40940195.05,2.44,-0.91,-0.06,1.49
2025-02-05,002996,6.5,6.39,6.57,6.31,98727,63981630.52,4.0,-1.69,-0.11,2.37
2025-02-06,002996,6.39,6.47,6.47,6.37,59852,38695002.66,1.56,1.25,0.08,1.44
2025-02-07,002996,6.47,6.7,6.74,6.43,143971,96130241.17,4.79,3.55,0.23,3.46
2025-02-10,002996,6.7,6.67,6.74,6.59,100082,66878824.4,2.24,-0.45,-0.03,2.4
2025-02-11,002996,6.65,6.68,6.86,6.65,126766,85778419.64,3.15,0.15,0.01,3.04
2025-02-12,002996,6.65,6.67,6.82,6.61,92284,62002035.92,3.14,-0.15,-0.01,2.22
2025-02-13,002996,6.65,6.56,6.74,6.55,81903,54678292.24,2.85,-1.65,-0.11,1.97
2025-02-14,002996,6.53,6.5,6.58,6.48,61719,40598812.7,1.52,-0.91,-0.06,1.48
2025-02-17,002996,6.5,6.51,6.54,6.41,83520,54556760.67,2.0,0.15,0.01,2.01
2025-02-18,002996,6.49,6.36,6.51,6.35,75402,48801791.55,2.46,-2.3,-0.15,1.81
2025-02-19,002996,6.35,6.42,6.42,6.35,61201,39429151.98,1.1,0.94,0.06,1.47
2025-02-20,002996,6.4,6.49,6.5,6.4,71960,46928834.86,1.56,1.09,0.07,1.73
2025-02-21,002996,6.49,6.41,6.5,6.39,87633,56668212.57,1.69,-1.23,-0.08,2.1
2025-02-24,002996,6.42,6.48,6.52,6.37,81057,52681827.1,2.34,1.09,0.07,1.95
2025-02-25,002996,6.43,6.42,6.5,6.4,53735,34921461.58,1.54,-0.93,-0.06,1.29
2025-02-26,002996,6.41,6.59,6.59,6.41,122914,80977859.17,2.8,2.65,0.17,2.95
2025-02-27,002996,6.61,6.46,6.63,6.37,117399,76551841.87,3.95,-1.97,-0.13,2.82
2025-02-28,002996,6.45,6.32,6.47,6.31,78388,50497146.8,2.48,-2.17,-0.14,1.88
2025-03-03,002996,6.36,6.44,6.51,6.35,86593,56372130.9,2.53,1.9,0.12,2.08
2025-03-04,002996,6.46,6.54,6.54,6.44,82152,53802283.9,1.55,1.55,0.1,1.97
2025-03-05,002996,6.55,6.56,6.56,6.41,79968,52239495.88,2.29,0.31,0.02,1.92
2025-03-06,002996,6.55,6.59,6.64,6.54,102902,68191405.12,1.52,0.46,0.03,2.47
2025-03-07,002996,6.58,6.68,6.74,6.54,164760,110947926.26,3.03,1.37,0.09,3.96
2025-03-10,002996,6.71,6.71,6.83,6.68,129872,88141919.46,2.25,0.45,0.03,3.12
2025-03-11,002996,6.65,6.73,6.74,6.61,95974,64518793.2,1.94,0.3,0.02,2.3
2025-03-12,002996,6.74,6.66,6.77,6.61,91678,61593115.3,2.38,-1.04,-0.07,2.2
2025-03-13,002996,6.63,6.62,6.7,6.52,102251,67732612.23,2.7,-0.6,-0.04,2.46
2025-03-14,002996,6.65,6.7,6.83,6.62,123335,83084302.2,3.17,1.21,0.08,2.96
2025-03-17,002996,6.7,6.7,6.77,6.66,102490,69239114.3,1.64,0.0,0.0,2.46
2025-03-18,002996,6.71,6.8,6.81,6.7,148438,101248951.65,1.64,1.49,0.1,3.56
2025-03-19,002996,6.77,6.84,7.08,6.76,309010,215660681.14,4.71,0.59,0.04,7.42
2025-03-20,002996,6.87,7.0,7.11,6.77,277655,194350558.3,4.97,2.34,0.16,6.67
2025-03-21,002996,7.03,6.96,7.1,6.87,269815,189864701.4,3.29,-0.57,-0.04,6.48
2025-03-24,002996,6.91,6.85,6.93,6.67,197631,135350595.0,3.74,-1.58,-0.11,4.75
2025-03-25,002996,6.84,6.89,7.0,6.76,165625,115133646.88,3.5,0.58,0.04,3.98
2025-03-26,002996,6.86,7.0,7.07,6.85,181989,128131592.18,3.19,1.6,0.11,4.37
2025-03-27,002996,6.95,7.06,7.26,6.81,331680,235002476.69,6.43,0.86,0.06,7.97
2025-03-28,002996,7.02,7.3,7.3,6.91,495016,356245688.54,5.52,3.4,0.24,11.89
2025-03-31,002996,7.2,6.97,7.22,6.88,371004,263052283.0,4.66,-4.52,-0.33,8.91
2025-04-01,002996,6.27,6.65,6.77,6.27,533301,349984759.94,7.17,-4.59,-0.32,12.81
2025-04-02,002996,6.6,6.64,6.77,6.51,208952,140605893.2,3.91,-0.15,-0.01,5.02
2025-04-03,002996,6.65,6.55,6.72,6.48,150401,99764327.22,3.61,-1.36,-0.09,3.61
2025-04-07,002996,6.24,5.89,6.32,5.89,151094,90881097.6,6.56,-10.08,-0.66,3.63
2025-04-08,002996,5.86,5.6,5.92,5.48,233857,132507370.52,7.47,-4.92,-0.29,5.62
2025-04-09,002996,5.52,5.8,5.82,5.18,165656,92633002.83,11.43,3.57,0.2,3.98
2025-04-10,002996,5.85,5.86,6.0,5.85,135241,80681611.63,2.59,1.03,0.06,3.25
2025-04-11,002996,5.82,5.86,5.94,5.82,85772,50874717.71,2.05,0.0,0.0,2.06
2025-04-14,002996,5.91,6.0,6.07,5.91,85621,51788922.68,2.73,2.39,0.14,2.06
2025-04-15,002996,6.04,6.04,6.05,5.95,78081,47296417.0,1.67,0.67,0.04,1.87
2025-04-16,002996,6.01,5.92,6.08,5.83,78935,47299449.1,4.14,-1.99,-0.12,1.9
2025-04-17,002996,5.9,5.93,6.0,5.87,48180,28946729.5,2.2,0.17,0.01,1.16
2025-04-18,002996,5.9,5.93,5.98,5.85,54768,32619447.2,2.19,0.0,0.0,1.32
2025-04-21,002996,5.95,6.02,6.03,5.88,53418,32160495.31,2.53,1.52,0.09,1.28
2025-04-22,002996,6.05,6.07,6.08,5.95,67803,41124492.7,2.16,0.83,0.05,1.63
2025-04-23,002996,6.07,6.13,6.18,6.04,68203,42025334.4,2.31,0.99,0.06,1.64
2025-04-24,002996,6.12,6.09,6.15,6.05,60752,37407219.7,1.63,-0.65,-0.04,1.46
2025-04-25,002996,6.48,6.7,6.7,6.43,390933,260360196.12,4.43,10.02,0.61,9.39
2025-04-28,002996,6.65,6.43,6.65,6.41,277732,181811847.44,3.58,-4.03,-0.27,6.67
2025-04-29,002996,6.43,6.67,6.75,6.43,241398,161609896.1,4.98,3.73,0.24,5.8
2025-04-30,002996,6.67,6.76,6.86,6.63,175929,119891688.12,3.45,1.35,0.09,4.22
2025-05-06,002996,6.77,6.88,6.89,6.72,143375,98384481.2,2.51,1.78,0.12,3.44
2025-05-07,002996,6.91,6.92,6.98,6.86,188659,131691562.8,1.74,0.58,0.04,4.53
2025-05-08,002996,6.86,6.91,7.0,6.82,132028,92103450.09,2.6,-0.14,-0.01,3.17
2025-05-09,002996,6.87,6.83,7.01,6.79,94214,65047556.4,3.18,-1.16,-0.08,2.26
2025-05-12,002996,6.85,6.82,6.87,6.72,91451,62676522.49,2.2,-0.15,-0.01,2.2
2025-05-13,002996,6.87,6.85,6.92,6.81,73326,50622434.06,1.61,0.44,0.03,1.76
2025-05-14,002996,6.81,6.87,6.89,6.8,58796,40550067.2,1.31,0.29,0.02,1.41
2025-05-15,002996,6.85,6.91,6.97,6.79,83166,57685904.1,2.62,0.58,0.04,2.0
2025-05-16,002996,6.89,6.91,6.98,6.87,73291,51138460.2,1.59,0.0,0.0,1.76
2025-05-19,002996,6.97,6.91,7.0,6.85,61946,43128012.7,2.17,0.0,0.0,1.49
2025-05-20,002996,6.89,6.89,6.93,6.85,60937,42270187.4,1.16,-0.29,-0.02,1.46
2025-05-21,002996,6.89,6.87,6.92,6.79,64911,44780929.27,1.89,-0.29,-0.02,1.56
2025-05-22,002996,6.87,6.79,6.94,6.79,61169,42246037.7,2.18,-1.16,-0.08,1.47
2025-05-23,002996,6.83,6.72,6.88,6.71,65764,45036639.1,2.5,-1.03,-0.07,1.58
2025-05-26,002996,6.72,6.83,6.84,6.67,51015,34914033.6,2.53,1.64,0.11,1.22
2025-05-27,002996,6.81,6.73,6.82,6.67,66533,45042354.4,2.2,-1.46,-0.1,1.6
2025-05-28,002996,6.73,6.7,6.79,6.68,45647,30901877.8,1.63,-0.45,-0.03,1.1
2025-05-29,002996,6.72,6.74,6.81,6.71,60602,41001688.7,1.49,0.6,0.04,1.46
2025-05-30,002996,6.74,6.72,6.8,6.68,59003,39604933.9,1.78,-0.3,-0.02,1.42
2025-06-03,002996,6.7,6.78,6.8,6.61,74553,50027627.1,2.83,0.89,0.06,1.79
2025-06-04,002996,6.77,6.97,6.99,6.76,91476,63154619.7,3.39,2.8,0.19,2.2
2025-06-05,002996,7.03,7.11,7.38,7.03,201336,144081621.16,5.02,2.01,0.14,4.83
