日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,003002,22.39,21.31,22.67,20.85,32735,71584887.68,8.12,-4.91,-1.1,1.79
2025-01-03,003002,21.34,21.6,21.84,20.65,49090,105803840.24,5.58,1.36,0.29,2.68
2025-01-06,003002,21.71,22.03,22.61,21.05,46379,102686583.36,7.22,1.99,0.43,2.54
2025-01-07,003002,22.03,22.85,23.04,21.88,33454,75967638.0,5.27,3.72,0.82,1.83
2025-01-08,003002,22.85,22.45,23.43,21.95,38604,88032572.0,6.48,-1.75,-0.4,2.11
2025-01-09,003002,22.36,22.93,23.0,22.08,24084,55258313.0,4.1,2.14,0.48,1.32
2025-01-10,003002,23.03,22.44,23.65,22.27,34813,80259190.07,6.02,-2.14,-0.49,1.9
2025-01-13,003002,22.65,23.28,23.53,22.04,38778,89618917.01,6.64,3.74,0.84,2.12
2025-01-14,003002,23.4,23.48,23.63,23.02,25395,59730585.0,2.62,0.86,0.2,1.39
2025-01-15,003002,23.31,22.94,23.69,22.86,17068,40048489.76,3.53,-2.3,-0.54,0.93
2025-01-16,003002,22.96,22.64,23.1,22.45,19267,44053254.0,2.83,-1.31,-0.3,1.05
2025-01-17,003002,22.52,23.58,23.81,22.43,37780,88987875.56,6.1,4.15,0.94,2.07
2025-01-20,003002,23.58,23.9,24.01,23.21,26276,62487256.89,3.39,1.36,0.32,1.44
2025-01-21,003002,24.03,23.93,24.23,23.25,22979,54820974.54,4.1,0.13,0.03,1.26
2025-01-22,003002,23.89,23.48,24.09,23.35,15521,36821342.24,3.09,-1.88,-0.45,0.85
2025-01-23,003002,23.72,23.29,23.73,23.0,17584,41129311.87,3.11,-0.81,-0.19,0.96
2025-01-24,003002,22.93,22.67,23.44,22.66,18356,42316128.92,3.35,-2.66,-0.62,1.0
2025-01-27,003002,22.81,22.8,23.44,22.6,20350,46979045.0,3.71,0.57,0.13,1.11
2025-02-05,003002,22.83,22.36,22.83,22.16,18402,41342297.0,2.94,-1.93,-0.44,1.01
2025-02-06,003002,22.34,23.33,23.47,21.98,32770,75417777.0,6.66,4.34,0.97,1.79
2025-02-07,003002,23.33,22.89,23.83,22.6,32865,76109696.0,5.27,-1.89,-0.44,1.8
2025-02-10,003002,22.89,22.85,23.1,22.37,19358,44315219.72,3.19,-0.17,-0.04,1.06
2025-02-11,003002,22.82,22.51,22.87,22.36,19852,45146694.0,2.23,-1.49,-0.34,1.09
2025-02-12,003002,22.39,21.83,22.71,21.64,40812,90408074.0,4.75,-3.02,-0.68,2.23
2025-02-13,003002,21.85,21.71,22.81,21.56,41321,92347967.58,5.73,-0.55,-0.12,2.26
2025-02-14,003002,21.74,21.02,21.74,21.02,26408,56737090.0,3.32,-3.18,-0.69,1.44
2025-02-17,003002,21.43,22.29,22.58,20.77,65490,144802360.0,8.61,6.04,1.27,3.58
2025-02-18,003002,22.29,21.89,22.83,21.85,38395,86147145.0,4.4,-1.79,-0.4,2.1
2025-02-19,003002,21.98,22.22,22.66,21.16,43607,96223412.2,6.85,1.51,0.33,2.38
2025-02-20,003002,22.22,23.02,23.26,22.12,58963,135285351.0,5.13,3.6,0.8,3.22
2025-02-21,003002,23.02,22.73,23.25,22.39,35498,81253398.0,3.74,-1.26,-0.29,1.94
2025-02-24,003002,22.73,23.11,23.4,22.41,34278,79534547.0,4.36,1.67,0.38,1.87
2025-02-25,003002,23.02,24.43,24.85,23.02,76853,186521044.0,7.92,5.71,1.32,4.2
2025-02-26,003002,24.45,23.95,25.1,23.75,53209,130096463.0,5.53,-1.96,-0.48,2.91
2025-02-27,003002,23.95,23.8,24.41,23.35,24597,58868211.0,4.43,-0.63,-0.15,1.35
2025-02-28,003002,23.64,22.95,23.98,22.84,23674,55387951.0,4.79,-3.57,-0.85,1.29
2025-03-03,003002,23.85,23.66,24.33,23.11,31443,74607606.0,5.32,3.09,0.71,1.72
2025-03-04,003002,23.12,23.91,24.05,23.12,24976,59394136.98,3.93,1.06,0.25,1.37
2025-03-05,003002,23.92,24.24,24.51,23.48,27338,66190783.68,4.31,1.38,0.33,1.49
2025-03-06,003002,24.48,23.87,24.51,23.68,25479,61340082.88,3.42,-1.53,-0.37,1.39
2025-03-07,003002,24.65,25.1,25.51,24.11,70821,178053910.0,5.87,5.15,1.23,3.87
2025-03-10,003002,24.97,24.77,25.54,24.45,39020,97847213.0,4.34,-1.31,-0.33,2.13
2025-03-11,003002,24.37,24.71,24.77,23.85,37932,92350026.0,3.71,-0.24,-0.06,2.07
2025-03-12,003002,24.72,26.16,26.74,24.72,71976,186812885.25,8.17,5.87,1.45,3.94
2025-03-13,003002,25.93,26.11,26.65,25.93,41004,108105166.0,2.75,-0.19,-0.05,2.24
2025-03-14,003002,26.11,26.03,26.55,25.75,29487,77219079.0,3.06,-0.31,-0.08,1.61
2025-03-17,003002,26.01,26.36,26.57,25.34,45371,118151506.22,4.73,1.27,0.33,2.48
