日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,003004,25.79,24.4,25.79,24.15,14154,35237803.04,6.46,-3.9,-0.99,2.03
2025-01-03,003004,24.43,22.68,24.77,22.4,21783,50872212.16,9.71,-7.05,-1.72,3.13
2025-01-06,003004,22.69,21.9,22.76,21.4,13988,30882387.0,6.0,-3.44,-0.78,2.01
2025-01-07,003004,22.27,23.27,23.28,22.07,18363,41838633.78,5.53,6.26,1.37,2.64
2025-01-08,003004,23.01,23.04,23.54,22.01,18947,43452730.56,6.57,-0.99,-0.23,2.72
2025-01-09,003004,22.84,23.38,23.73,22.83,13536,31770259.64,3.91,1.48,0.34,1.95
2025-01-10,003004,23.87,22.33,23.87,22.33,13208,30390281.0,6.59,-4.49,-1.05,1.9
2025-01-13,003004,22.19,22.68,22.8,21.37,12099,26816544.0,6.4,1.57,0.35,1.74
2025-01-14,003004,22.79,23.95,23.96,22.79,13816,32441352.0,5.16,5.6,1.27,1.99
2025-01-15,003004,24.31,23.61,24.5,23.53,12203,29084916.0,4.05,-1.42,-0.34,1.75
2025-01-16,003004,23.87,23.56,24.1,23.33,12422,29459650.0,3.26,-0.21,-0.05,1.79
2025-01-17,003004,23.55,23.32,23.7,23.12,11699,27283158.96,2.46,-1.02,-0.24,1.68
2025-01-20,003004,23.5,23.67,23.86,22.88,10707,25208053.84,4.2,1.5,0.35,1.54
2025-01-21,003004,23.8,23.38,23.9,23.06,12932,30208595.67,3.55,-1.23,-0.29,1.86
2025-01-22,003004,23.6,23.46,24.12,23.11,18958,44658600.0,4.32,0.34,0.08,2.72
2025-01-23,003004,24.43,24.81,25.0,23.6,32406,79854870.05,5.97,5.75,1.35,4.66
2025-01-24,003004,24.14,24.18,24.97,24.05,23225,56427897.8,3.71,-2.54,-0.63,3.34
2025-01-27,003004,24.25,24.67,26.01,24.14,31582,79200765.07,7.73,2.03,0.49,4.54
2025-02-05,003004,25.12,25.4,25.5,24.56,23717,59808771.23,3.81,2.96,0.73,3.41
2025-02-06,003004,25.31,26.18,26.24,24.86,24374,62431990.0,5.43,3.07,0.78,3.5
2025-02-07,003004,26.07,26.05,26.43,25.63,22454,58759588.16,3.06,-0.5,-0.13,3.23
2025-02-10,003004,26.05,27.02,27.09,26.05,22716,60594030.0,3.99,3.72,0.97,3.26
2025-02-11,003004,26.99,27.16,27.89,26.41,21520,58061313.12,5.48,0.52,0.14,3.09
2025-02-12,003004,27.0,27.06,27.32,26.58,15644,42129862.0,2.72,-0.37,-0.1,2.25
2025-02-13,003004,27.06,26.16,27.06,26.13,27254,72420271.0,3.44,-3.33,-0.9,3.92
2025-02-14,003004,26.22,26.6,26.78,26.22,19139,50714628.0,2.14,1.68,0.44,2.75
2025-02-17,003004,26.67,26.61,26.67,26.0,19609,51903207.0,2.52,0.04,0.01,2.82
2025-02-18,003004,26.61,25.7,27.25,25.48,18490,48585866.0,6.65,-3.42,-0.91,2.66
2025-02-19,003004,25.85,25.88,26.2,25.51,11094,28779408.0,2.68,0.7,0.18,1.59
2025-02-20,003004,25.93,26.14,26.35,25.72,14054,36652606.0,2.43,1.0,0.26,2.02
