日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,003018,8.96,8.92,9.2,8.85,26505,24802293.89,3.91,-0.45,-0.04,2.0
2025-01-03,003018,8.93,8.6,9.08,8.6,31241,28467245.0,5.38,-3.59,-0.32,2.35
2025-01-06,003018,8.6,8.65,8.78,8.2,22912,20305112.02,6.74,0.58,0.05,1.73
2025-01-07,003018,8.63,8.82,8.82,8.48,23778,21331427.85,3.93,1.97,0.17,1.79
2025-01-08,003018,8.81,8.86,8.92,8.55,24284,22052535.0,4.2,0.45,0.04,1.83
2025-01-09,003018,8.82,8.8,8.99,8.77,13122,12028123.05,2.48,-0.68,-0.06,0.99
2025-01-10,003018,8.8,8.48,8.83,8.42,16053,14369579.6,4.66,-3.64,-0.32,1.21
2025-01-13,003018,8.4,8.4,8.45,8.18,17451,15070648.56,3.18,-0.94,-0.08,1.31
2025-01-14,003018,8.44,8.88,8.88,8.44,18816,17031122.0,5.24,5.71,0.48,1.42
2025-01-15,003018,8.9,8.96,9.04,8.9,17430,16149077.21,1.58,0.9,0.08,1.31
2025-01-16,003018,8.97,9.02,9.13,8.92,13940,13006937.0,2.34,0.67,0.06,1.05
2025-01-17,003018,9.0,9.09,9.13,8.94,12534,11726075.98,2.11,0.78,0.07,0.94
2025-01-20,003018,9.1,9.41,9.5,9.06,25205,24314249.62,4.84,3.52,0.32,1.9
2025-01-21,003018,9.38,9.31,9.43,9.21,17690,16975544.68,2.34,-1.06,-0.1,1.33
2025-01-22,003018,9.32,9.5,9.53,9.21,28046,27158455.09,3.44,2.04,0.19,2.11
2025-01-23,003018,9.5,9.35,9.55,9.31,24652,23940710.0,2.53,-1.58,-0.15,1.86
2025-01-24,003018,9.36,9.34,9.37,9.19,19633,18809682.0,1.93,-0.11,-0.01,1.48
2025-01-27,003018,9.34,9.58,9.63,9.34,30892,30286097.0,3.1,2.57,0.24,2.33
2025-02-05,003018,9.57,9.31,9.61,9.22,47993,46251252.04,4.07,-2.82,-0.27,3.62
2025-02-06,003018,9.3,9.44,9.55,9.24,33885,32928369.0,3.33,1.4,0.13,2.55
2025-02-07,003018,9.44,9.47,9.6,9.38,41285,40484793.0,2.33,0.32,0.03,3.11
2025-02-10,003018,9.47,9.45,9.56,9.36,23437,22841924.27,2.11,-0.21,-0.02,1.77
2025-02-11,003018,9.45,9.45,9.49,9.39,16862,16426166.0,1.06,0.0,0.0,1.27
2025-02-12,003018,9.47,9.44,9.48,9.37,13830,13443911.27,1.16,-0.11,-0.01,1.04
2025-02-13,003018,9.43,9.21,9.45,9.21,16689,16058232.61,2.54,-2.44,-0.23,1.26
2025-02-14,003018,9.31,9.17,9.31,9.17,18461,17573557.0,1.52,-0.43,-0.04,1.39
2025-02-17,003018,9.31,9.32,9.36,9.13,16678,15921767.0,2.51,1.64,0.15,1.26
2025-02-18,003018,9.3,9.15,9.32,9.11,22406,21304683.0,2.25,-1.82,-0.17,1.69
2025-02-19,003018,9.21,9.43,9.44,9.15,17610,16937137.0,3.17,3.06,0.28,1.33
2025-02-20,003018,9.44,9.52,9.59,9.38,19037,18659308.0,2.23,0.95,0.09,1.43
2025-02-21,003018,9.52,9.35,9.53,9.31,17455,16838937.57,2.31,-1.79,-0.17,1.31
2025-02-24,003018,9.36,9.41,9.53,9.29,19187,18577171.47,2.57,0.64,0.06,1.45
2025-02-25,003018,9.4,9.3,9.43,9.28,14006,13501939.46,1.59,-1.17,-0.11,1.06
2025-02-26,003018,9.39,9.38,9.48,9.3,17247,16729392.01,1.94,0.86,0.08,1.3
2025-02-27,003018,9.36,9.5,9.5,9.26,22996,22256622.0,2.56,1.28,0.12,1.73
2025-02-28,003018,9.5,9.37,9.51,9.36,17922,17432069.42,1.58,-1.37,-0.13,1.35
2025-03-03,003018,9.42,9.47,9.63,9.37,30625,30102171.08,2.77,1.07,0.1,2.31
2025-03-04,003018,9.5,9.61,9.62,9.37,21240,20930639.9,2.64,1.48,0.14,1.6
2025-03-05,003018,9.61,9.51,9.62,9.35,19311,18805350.0,2.81,-1.04,-0.1,1.45
2025-03-06,003018,9.51,9.56,9.63,9.4,17156,16864399.0,2.42,0.53,0.05,1.29
2025-03-07,003018,9.54,9.51,9.6,9.46,12191,11994976.0,1.46,-0.52,-0.05,0.92
2025-03-10,003018,9.51,10.14,10.32,9.51,89287,92590209.68,8.52,6.62,0.63,6.73
2025-03-11,003018,10.01,10.22,10.25,9.89,55217,57233209.65,3.55,0.79,0.08,4.16
2025-03-12,003018,10.26,11.03,11.27,10.26,172910,194966607.23,9.88,7.93,0.81,13.03
2025-03-13,003018,11.03,11.34,11.34,10.78,122105,138285791.33,5.08,2.81,0.31,9.2
2025-03-14,003018,11.24,11.2,11.43,11.0,72089,83445043.78,3.79,-1.23,-0.14,5.43
2025-03-17,003018,11.2,10.18,11.22,10.08,165429,174900857.26,10.18,-9.11,-1.02,12.46
2025-03-18,003018,10.18,10.5,10.65,10.08,114511,122393873.55,5.6,3.14,0.32,8.63
2025-03-19,003018,10.51,10.59,10.69,10.38,50119,54286401.72,2.95,0.86,0.09,3.78
2025-03-20,003018,10.65,10.63,10.74,10.53,35858,39110937.0,1.98,0.38,0.04,2.7
2025-03-21,003018,10.55,10.44,10.7,10.37,36672,39519373.0,3.1,-1.79,-0.19,2.76
2025-03-24,003018,10.44,10.06,10.6,9.81,52348,54524232.8,7.57,-3.64,-0.38,3.94
2025-03-25,003018,10.07,10.16,10.29,9.94,34541,35934338.0,3.48,0.99,0.1,2.6
2025-03-26,003018,10.06,10.28,10.36,10.06,27551,29143115.0,2.95,1.18,0.12,2.08
2025-03-27,003018,10.29,10.22,10.37,10.14,23746,25021298.0,2.24,-0.58,-0.06,1.79
2025-03-28,003018,10.22,10.35,10.61,10.1,44083,47013433.26,4.99,1.27,0.13,3.32
2025-03-31,003018,10.36,9.98,10.38,9.71,54998,56217895.0,6.47,-3.57,-0.37,4.14
2025-04-01,003018,9.98,10.23,10.32,9.98,31719,33243669.0,3.41,2.51,0.25,2.39
2025-04-02,003018,10.24,10.44,10.45,10.11,21309,22719136.0,3.32,2.05,0.21,1.61
2025-04-03,003018,10.27,10.38,10.41,10.15,19584,20781440.0,2.49,-0.57,-0.06,1.48
2025-04-07,003018,9.9,9.31,9.99,9.31,38394,37445709.0,6.55,-10.31,-1.07,2.89
2025-04-08,003018,9.31,8.8,9.39,8.5,61169,55679268.0,9.56,-5.48,-0.51,4.61
2025-04-09,003018,8.68,8.8,8.9,8.05,46022,40426944.0,9.66,0.0,0.0,3.47
2025-04-10,003018,8.96,9.09,9.37,8.96,44231,41894613.0,4.66,3.3,0.29,3.33
2025-04-11,003018,9.08,9.11,9.27,9.01,23198,21972255.39,2.86,0.22,0.02,1.75
2025-04-14,003018,9.2,9.38,9.56,9.2,23646,22961859.63,3.95,2.96,0.27,1.78
2025-04-15,003018,9.38,9.51,9.59,9.3,26393,25728466.63,3.09,1.39,0.13,1.99
2025-04-16,003018,9.54,9.5,9.67,9.18,35193,34162626.0,5.15,-0.11,-0.01,2.65
2025-04-17,003018,9.49,9.78,9.82,9.45,32615,32654998.0,3.89,2.95,0.28,2.46
2025-04-18,003018,9.73,9.78,9.93,9.56,30438,30529514.9,3.78,0.0,0.0,2.29
2025-04-21,003018,10.0,10.05,10.12,9.73,22694,23329135.0,3.99,2.76,0.27,1.71
2025-04-22,003018,10.05,10.1,10.19,10.0,21069,21865301.0,1.89,0.5,0.05,1.59
2025-04-23,003018,10.19,11.14,11.14,10.01,53345,59622591.84,11.19,10.3,1.04,4.02
2025-04-24,003018,11.67,10.67,11.93,10.4,169056,188906891.48,13.73,-4.22,-0.47,12.73
2025-04-25,003018,10.61,11.77,11.77,10.61,122685,145509018.99,10.87,10.31,1.1,9.24
2025-04-28,003018,11.39,11.05,11.67,10.95,202663,233678510.31,6.12,-6.12,-0.72,15.27
2025-04-29,003018,11.39,10.94,11.58,10.9,104800,119237460.75,6.15,-1.0,-0.11,7.89
2025-04-30,003018,10.81,10.9,11.43,10.61,88215,98668597.9,7.5,-0.37,-0.04,6.65
2025-05-06,003018,10.87,11.08,11.24,10.78,96946,109358179.79,4.22,1.65,0.18,7.3
2025-05-07,003018,11.21,11.04,11.28,10.92,74517,84902927.93,3.25,-0.36,-0.04,5.61
2025-05-08,003018,11.04,11.21,11.23,10.94,61325,70185672.75,2.63,1.54,0.17,4.62
2025-05-09,003018,11.21,11.0,11.26,10.94,47227,52222519.0,2.85,-1.87,-0.21,3.56
2025-05-12,003018,11.06,11.06,11.31,11.0,35590,39496344.0,2.82,0.55,0.06,2.68
2025-05-13,003018,11.15,10.96,11.26,10.93,30766,33952671.0,2.98,-0.9,-0.1,2.32
2025-05-14,003018,10.95,11.01,11.02,10.83,35661,38991150.0,1.73,0.46,0.05,2.69
2025-05-15,003018,11.0,11.02,11.12,10.95,26520,29268544.0,1.54,0.09,0.01,2.0
2025-05-16,003018,11.04,11.22,11.48,10.97,45451,50926667.0,4.63,1.81,0.2,3.42
2025-05-19,003018,11.23,11.17,11.32,11.08,34757,38831393.0,2.14,-0.45,-0.05,2.62
2025-05-20,003018,11.13,11.25,11.27,11.01,40655,45285478.0,2.33,0.72,0.08,3.06
2025-05-21,003018,11.32,11.05,11.35,11.01,26148,28983509.0,3.02,-1.78,-0.2,1.97
2025-05-22,003018,11.06,10.95,11.24,10.85,25019,27553874.0,3.53,-0.9,-0.1,1.88
2025-05-23,003018,10.91,10.99,11.12,10.81,29428,32400156.01,2.83,0.37,0.04,2.22
2025-05-26,003018,10.91,11.06,11.18,10.91,18393,20373973.0,2.46,0.64,0.07,1.39
2025-05-27,003018,11.05,11.05,11.23,10.92,20987,23188073.0,2.8,-0.09,-0.01,1.58
