日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,003032,9.91,9.44,10.05,9.35,166812,161188591.36,7.22,-2.68,-0.26,6.08
2025-01-03,003032,9.41,8.82,9.5,8.74,175039,158177723.1,8.05,-6.57,-0.62,6.38
2025-01-06,003032,8.85,8.75,8.92,8.52,98278,85963472.0,4.54,-0.79,-0.07,3.58
2025-01-07,003032,8.82,8.99,8.99,8.77,88323,78358031.0,2.51,2.74,0.24,3.22
2025-01-08,003032,9.22,9.03,9.31,8.7,156225,140915556.0,6.79,0.44,0.04,5.69
2025-01-09,003032,8.87,9.0,9.08,8.87,94762,85276794.76,2.33,-0.33,-0.03,3.45
2025-01-10,003032,8.99,8.72,9.04,8.72,96085,85253045.0,3.56,-3.11,-0.28,3.5
2025-01-13,003032,8.6,8.75,8.75,8.42,75034,64622297.0,3.78,0.34,0.03,2.73
2025-01-14,003032,8.77,9.2,9.2,8.77,125376,113287516.0,4.91,5.14,0.45,4.57
2025-01-15,003032,9.15,9.14,9.3,9.11,102772,94632153.0,2.07,-0.65,-0.06,3.75
2025-01-16,003032,9.2,9.16,9.35,9.09,89564,82482283.0,2.84,0.22,0.02,3.26
2025-01-17,003032,9.11,9.13,9.23,9.03,60233,55090324.0,2.18,-0.33,-0.03,2.2
2025-01-20,003032,9.59,9.23,9.59,9.2,162586,151468735.0,4.27,1.1,0.1,5.93
2025-01-21,003032,9.11,8.96,9.23,8.88,127295,114621336.0,3.79,-2.93,-0.27,4.64
2025-01-22,003032,8.87,8.78,8.95,8.77,78006,68944483.4,2.01,-2.01,-0.18,2.84
2025-01-23,003032,8.89,8.85,9.12,8.81,125456,112757188.0,3.53,0.8,0.07,4.57
2025-01-24,003032,8.83,9.1,9.15,8.75,133269,120101631.0,4.52,2.82,0.25,4.86
2025-01-27,003032,8.19,8.19,8.19,8.19,47635,39013065.0,0.0,-10.0,-0.91,1.74
2025-02-05,003032,7.37,8.26,8.5,7.37,518392,395676596.09,13.8,0.85,0.07,18.89
2025-02-06,003032,7.77,7.98,8.06,7.66,369634,289479965.31,4.84,-3.39,-0.28,13.47
