日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600027,5.37,5.19,5.4,5.16,691366,379743192.0,4.45,-3.71,-0.2,0.81
2025-01-03,600027,5.19,5.13,5.21,5.09,558250,299778692.0,2.31,-1.16,-0.06,0.66
2025-01-06,600027,5.11,5.08,5.12,5.02,429958,227315728.0,1.95,-0.97,-0.05,0.51
2025-01-07,600027,5.06,4.92,5.07,4.88,884883,456581836.0,3.74,-3.15,-0.16,1.04
2025-01-08,600027,4.89,4.94,4.97,4.85,669700,344053593.0,2.44,0.41,0.02,0.79
2025-01-09,600027,4.93,4.83,4.93,4.82,619214,314234111.0,2.23,-2.23,-0.11,0.73
2025-01-10,600027,4.83,4.69,4.84,4.69,513673,255543863.0,3.11,-2.9,-0.14,0.6
2025-01-13,600027,4.66,4.77,4.79,4.64,558864,275952350.0,3.2,1.71,0.08,0.66
2025-01-14,600027,4.78,4.85,4.86,4.76,555766,280833696.0,2.1,1.68,0.08,0.65
2025-01-15,600027,4.85,4.83,4.89,4.82,348706,176418642.0,1.44,-0.41,-0.02,0.41
2025-01-16,600027,4.84,4.82,4.88,4.8,395379,200238907.0,1.66,-0.21,-0.01,0.46
2025-01-17,600027,4.82,4.84,4.86,4.76,387821,195793251.0,2.07,0.41,0.02,0.46
2025-01-20,600027,4.87,4.76,4.89,4.75,693915,348229812.0,2.89,-1.65,-0.08,0.82
2025-01-21,600027,4.78,4.75,4.8,4.73,458775,228565564.0,1.47,-0.21,-0.01,0.54
2025-01-22,600027,4.75,4.8,4.81,4.71,458525,228656539.0,2.11,1.05,0.05,0.54
2025-01-23,600027,4.82,4.88,4.93,4.82,659355,336115606.0,2.29,1.67,0.08,0.77
2025-01-24,600027,4.87,4.86,4.91,4.81,534593,271444087.0,2.05,-0.41,-0.02,0.63
2025-01-27,600027,4.85,4.95,4.97,4.85,491461,253585742.0,2.47,1.85,0.09,0.58
2025-02-05,600027,4.95,4.87,4.96,4.85,462063,235995872.0,2.22,-1.62,-0.08,0.54
2025-02-06,600027,4.89,4.86,4.9,4.84,457694,232435367.0,1.23,-0.21,-0.01,0.54
2025-02-07,600027,4.86,4.92,4.95,4.83,616593,315389514.0,2.47,1.23,0.06,0.72
2025-02-10,600027,4.91,4.84,4.94,4.82,969397,491917946.0,2.44,-1.63,-0.08,1.14
2025-02-11,600027,4.84,4.77,4.84,4.75,673532,336585869.0,1.86,-1.45,-0.07,0.79
2025-02-12,600027,4.76,4.75,4.78,4.71,526055,260883091.0,1.47,-0.42,-0.02,0.62
2025-02-13,600027,4.75,4.78,4.81,4.74,543574,271851093.0,1.47,0.63,0.03,0.64
2025-02-14,600027,4.78,4.77,4.8,4.74,372117,185438883.0,1.26,-0.21,-0.01,0.44
2025-02-17,600027,4.78,4.91,4.91,4.75,1027211,520383608.0,3.35,2.94,0.14,1.21
2025-02-18,600027,4.9,5.05,5.1,4.88,1361079,713104065.0,4.48,2.85,0.14,1.6
2025-02-19,600027,5.05,5.03,5.1,4.97,724072,379428773.0,2.57,-0.4,-0.02,0.85
2025-02-20,600027,5.01,5.23,5.32,4.99,1331518,719322557.0,6.56,3.98,0.2,1.56
2025-02-21,600027,5.2,5.23,5.25,5.11,872868,470938471.0,2.68,0.0,0.0,1.03
2025-02-24,600027,5.2,5.21,5.24,5.1,805659,433263589.0,2.68,-0.38,-0.02,0.95
2025-02-25,600027,5.16,5.25,5.33,5.12,877080,479341849.0,4.03,0.77,0.04,1.03
2025-02-26,600027,5.27,5.42,5.47,5.27,1070785,602659653.0,3.81,3.24,0.17,1.26
2025-02-27,600027,5.42,5.37,5.47,5.36,503782,283126204.0,2.03,-0.92,-0.05,0.59
2025-02-28,600027,5.35,5.37,5.43,5.35,623246,349275616.0,1.49,0.0,0.0,0.73
2025-03-03,600027,5.39,5.34,5.4,5.27,628857,348170614.0,2.42,-0.56,-0.03,0.74
2025-03-04,600027,5.32,5.33,5.42,5.31,445087,248169687.0,2.06,-0.19,-0.01,0.52
2025-03-05,600027,5.35,5.28,5.38,5.27,454554,251552554.0,2.06,-0.94,-0.05,0.53
2025-03-06,600027,5.26,5.13,5.27,5.08,1101535,591681947.0,3.6,-2.84,-0.15,1.29
2025-03-07,600027,5.11,5.09,5.15,5.01,610449,323828586.0,2.73,-0.78,-0.04,0.72
2025-03-10,600027,5.08,5.06,5.09,4.99,609004,321129441.0,1.96,-0.59,-0.03,0.72
2025-03-11,600027,5.05,5.13,5.2,5.03,733079,392251974.0,3.36,1.38,0.07,0.86
2025-03-12,600027,5.14,5.16,5.2,5.09,685017,368219991.0,2.14,0.58,0.03,0.8
2025-03-13,600027,5.15,5.22,5.26,5.14,875246,474768637.0,2.33,1.16,0.06,1.03
2025-03-14,600027,5.22,5.2,5.3,5.16,806184,437115825.0,2.68,-0.38,-0.02,0.95
2025-03-17,600027,5.19,5.22,5.28,5.17,596842,325092656.0,2.12,0.38,0.02,0.7
2025-03-18,600027,5.22,5.1,5.22,5.06,1007698,537417170.0,3.07,-2.3,-0.12,1.18
2025-03-19,600027,5.1,5.13,5.17,5.06,752496,402907111.0,2.16,0.59,0.03,0.88
2025-03-20,600027,5.14,5.31,5.33,5.13,1282761,702613653.0,3.9,3.51,0.18,1.51
2025-03-21,600027,5.32,5.28,5.5,5.26,1004435,561006706.0,4.52,-0.56,-0.03,1.18
2025-03-24,600027,5.29,5.39,5.41,5.25,773257,431572669.0,3.03,2.08,0.11,0.91
2025-03-25,600027,5.4,5.4,5.45,5.32,587082,329796060.0,2.41,0.19,0.01,0.69
2025-03-26,600027,5.42,5.4,5.5,5.35,755732,425783856.0,2.78,0.0,0.0,0.89
2025-03-27,600027,5.57,5.26,5.63,5.21,2178716,1215751845.0,7.78,-2.59,-0.14,2.56
2025-03-28,600027,5.33,5.28,5.5,5.26,1700371,949117784.0,4.56,0.38,0.02,2.0
2025-03-31,600027,5.34,5.53,5.62,5.31,2541711,1449396114.0,5.87,4.73,0.25,2.99
2025-04-01,600027,5.53,5.45,5.53,5.35,1738865,982883037.0,3.25,-1.45,-0.08,2.04
2025-04-02,600027,5.46,5.36,5.47,5.29,1376821,766029331.0,3.3,-1.65,-0.09,1.62
2025-04-03,600027,5.29,5.39,5.43,5.28,1014802,567500004.0,2.8,0.56,0.03,1.19
2025-04-07,600027,5.09,5.07,5.22,4.87,1619246,855493041.0,6.49,-5.94,-0.32,1.9
2025-04-08,600027,5.06,5.27,5.27,5.06,1234378,668456058.0,4.14,3.94,0.2,1.45
2025-04-09,600027,5.25,5.4,5.5,5.16,1554530,864047824.0,6.45,2.47,0.13,1.83
2025-04-10,600027,5.4,5.38,5.42,5.33,1104750,618726589.0,1.67,-0.37,-0.02,1.3
2025-04-11,600027,5.39,5.29,5.4,5.26,773261,426631070.0,2.6,-1.67,-0.09,0.91
2025-04-14,600027,5.32,5.33,5.38,5.29,740316,410440531.0,1.7,0.76,0.04,0.87
2025-04-15,600027,5.34,5.4,5.41,5.29,960838,536198075.0,2.25,1.31,0.07,1.13
2025-04-16,600027,5.4,5.42,5.44,5.35,844153,474082196.0,1.67,0.37,0.02,0.99
2025-04-17,600027,5.41,5.44,5.47,5.37,851934,481587194.0,1.85,0.37,0.02,1.0
2025-04-18,600027,5.41,5.45,5.45,5.36,658889,371001039.0,1.65,0.18,0.01,0.77
2025-04-21,600027,5.45,5.55,5.57,5.42,881826,506451962.0,2.75,1.83,0.1,1.04
2025-04-22,600027,5.55,5.49,5.63,5.49,941204,544559857.0,2.52,-1.08,-0.06,1.11
2025-04-23,600027,5.5,5.5,5.56,5.46,659322,377050252.0,1.82,0.18,0.01,0.77
2025-04-24,600027,5.53,5.59,5.73,5.53,1320524,771459849.0,3.64,1.64,0.09,1.55
2025-04-25,600027,5.61,5.66,5.69,5.6,959650,562803016.0,1.61,1.25,0.07,1.13
2025-04-28,600027,5.69,5.81,5.9,5.6,1513217,901969793.0,5.3,2.65,0.15,1.78
2025-04-29,600027,5.8,5.67,5.81,5.61,1036749,611491645.0,3.44,-2.41,-0.14,1.22
2025-04-30,600027,5.59,5.49,5.64,5.45,1057368,606829549.0,3.35,-3.17,-0.18,1.24
2025-05-06,600027,5.51,5.59,5.6,5.49,743725,428414161.0,2.0,1.82,0.1,0.87
2025-05-07,600027,5.63,5.53,5.64,5.49,727705,418217715.0,2.68,-1.07,-0.06,0.86
2025-05-08,600027,5.53,5.54,5.56,5.49,618116,355522931.0,1.27,0.18,0.01,0.73
2025-05-09,600027,5.54,5.65,5.7,5.52,1035279,606179695.0,3.25,1.99,0.11,1.22
2025-05-12,600027,5.67,5.68,5.72,5.56,913716,534826066.0,2.83,0.53,0.03,1.07
2025-05-13,600027,5.66,5.68,5.69,5.61,563531,330540801.0,1.41,0.0,0.0,0.66
2025-05-14,600027,5.67,5.67,5.68,5.57,670131,391749412.0,1.94,-0.18,-0.01,0.79
2025-05-15,600027,5.67,5.74,5.8,5.65,1080686,645415705.0,2.65,1.23,0.07,1.27
2025-05-16,600027,5.71,5.68,5.8,5.66,709528,420906438.0,2.44,-1.05,-0.06,0.83
2025-05-19,600027,5.73,5.69,5.82,5.69,811666,484231232.0,2.29,0.18,0.01,0.95
2025-05-20,600027,5.69,5.77,5.77,5.64,817686,485352759.0,2.28,1.41,0.08,0.96
2025-05-21,600027,5.8,5.78,5.88,5.76,946182,570585933.0,2.08,0.17,0.01,1.11
2025-05-22,600027,5.82,5.72,5.83,5.69,639168,381066457.0,2.42,-1.04,-0.06,0.75
2025-05-23,600027,5.72,5.67,5.77,5.67,619456,367422382.0,1.75,-0.87,-0.05,0.73
2025-05-26,600027,5.68,5.71,5.73,5.65,500163,295635772.0,1.41,0.71,0.04,0.59
2025-05-27,600027,5.73,5.75,5.76,5.66,600202,356448092.0,1.75,0.7,0.04,0.71
2025-05-28,600027,5.76,5.65,5.76,5.61,682994,401861247.0,2.61,-1.74,-0.1,0.8
2025-05-29,600027,5.66,5.62,5.68,5.57,751775,438039971.0,1.95,-0.53,-0.03,0.88
2025-05-30,600027,5.62,5.63,5.7,5.58,658583,385890061.0,2.14,0.18,0.01,0.77
2025-06-03,600027,5.59,5.64,5.64,5.53,695838,403404545.0,1.95,0.18,0.01,0.82
2025-06-04,600027,5.62,5.61,5.63,5.58,453524,263983823.0,0.89,-0.53,-0.03,0.53
2025-06-05,600027,5.61,5.59,5.66,5.58,437396,255235749.0,1.43,-0.36,-0.02,0.51
2025-06-06,600027,5.58,5.61,5.61,5.53,393032,228246731.0,1.43,0.36,0.02,0.46
2025-06-09,600027,5.62,5.61,5.67,5.58,549186,320100182.0,1.6,0.0,0.0,0.65
2025-06-10,600027,5.61,5.66,5.7,5.58,1050493,616288262.0,2.14,0.89,0.05,1.23
2025-06-11,600027,5.66,5.67,5.73,5.61,653697,385247843.0,2.12,0.18,0.01,0.77
2025-06-12,600027,5.67,5.57,5.68,5.57,709851,413447206.0,1.94,-1.76,-0.1,0.83
2025-06-13,600027,5.58,5.61,5.62,5.56,835216,486183221.0,1.08,0.72,0.04,0.98
2025-06-16,600027,5.61,5.62,5.63,5.55,563214,327538842.0,1.43,0.18,0.01,0.66
2025-06-17,600027,5.63,5.75,5.78,5.6,1000796,593126269.0,3.2,2.31,0.13,1.18
2025-06-18,600027,5.75,5.69,5.78,5.64,644798,381394853.0,2.43,-1.04,-0.06,0.76
2025-06-19,600027,5.67,5.47,5.69,5.44,1104068,633148769.0,4.39,-3.87,-0.22,1.3
2025-06-20,600027,5.45,5.44,5.51,5.43,475801,270303550.0,1.46,-0.55,-0.03,0.56
2025-06-23,600027,5.41,5.34,5.46,5.32,767679,428313346.0,2.57,-1.84,-0.1,0.9
2025-06-24,600027,5.34,5.36,5.37,5.29,654848,364344394.0,1.5,0.37,0.02,0.77
2025-06-25,600027,5.36,5.41,5.42,5.33,679889,380092479.0,1.68,0.93,0.05,0.8
2025-06-26,600027,5.39,5.32,5.45,5.31,830307,464074861.0,2.59,-1.66,-0.09,0.98
2025-06-27,600027,5.33,5.22,5.34,5.18,1113491,608110090.0,3.01,-1.88,-0.1,1.31
2025-06-30,600027,5.21,5.25,5.26,5.2,460511,251213479.0,1.15,0.57,0.03,0.54
2025-07-01,600027,5.25,5.29,5.3,5.23,585256,321458701.0,1.33,0.76,0.04,0.69
2025-07-02,600027,5.29,5.35,5.36,5.26,651579,361397895.0,1.89,1.13,0.06,0.77
2025-07-03,600027,5.35,5.35,5.37,5.31,452044,251318031.0,1.12,0.0,0.0,0.53
2025-07-04,600027,5.36,5.4,5.45,5.35,805490,453558847.0,1.87,0.93,0.05,0.95
2025-07-07,600027,5.45,5.52,5.54,5.39,1152613,656452646.0,2.78,2.22,0.12,1.35
2025-07-08,600027,5.52,5.44,5.53,5.41,958242,543075127.0,2.17,-1.45,-0.08,1.13
2025-07-09,600027,5.44,5.37,5.49,5.37,893978,503405568.0,2.21,-1.29,-0.07,1.05
2025-07-10,600027,5.37,5.35,5.42,5.34,696001,389018659.0,1.49,-0.37,-0.02,0.82
2025-07-11,600027,5.35,5.33,5.37,5.33,813320,452399292.0,0.75,-0.37,-0.02,0.96
2025-07-14,600027,5.36,5.38,5.41,5.33,868523,475546678.0,1.5,0.94,0.05,1.02
2025-07-15,600027,5.41,5.31,5.43,5.27,967543,523936925.0,2.97,-1.3,-0.07,1.14
2025-07-16,600027,5.31,5.34,5.4,5.3,608782,331440127.0,1.88,0.56,0.03,0.72
2025-07-17,600027,5.34,5.29,5.36,5.26,581596,312812472.0,1.87,-0.94,-0.05,0.68
2025-07-18,600027,5.29,5.29,5.3,5.26,611785,328334876.0,0.76,0.0,0.0,0.72
2025-07-21,600027,5.3,5.36,5.36,5.29,963454,522282258.0,1.32,1.32,0.07,1.13
2025-07-22,600027,5.36,5.38,5.44,5.33,1614567,881901933.0,2.05,0.37,0.02,1.9
2025-07-23,600027,5.39,5.29,5.41,5.29,1263253,686228768.0,2.23,-1.67,-0.09,1.48
2025-07-24,600027,5.29,5.26,5.29,5.22,1335896,712943615.0,1.32,-0.57,-0.03,1.57
2025-07-25,600027,5.25,5.23,5.28,5.23,799883,427218471.0,0.95,-0.57,-0.03,0.94
2025-07-28,600027,5.23,5.23,5.24,5.21,474492,252226989.0,0.57,0.0,0.0,0.56
2025-07-29,600027,5.23,5.22,5.25,5.2,521319,276732977.0,0.96,-0.19,-0.01,0.61
2025-07-30,600027,5.24,5.38,5.43,5.23,2387446,1296831265.0,3.83,3.07,0.16,2.81
2025-07-31,600027,5.34,5.21,5.34,5.19,1563502,831531417.0,2.79,-3.16,-0.17,1.84
2025-08-01,600027,5.2,5.22,5.23,5.19,542435,287438366.0,0.77,0.19,0.01,0.64
2025-08-04,600027,5.19,5.2,5.21,5.17,498553,263194616.0,0.77,-0.38,-0.02,0.59
2025-08-05,600027,5.2,5.22,5.23,5.19,564179,299337276.0,0.77,0.38,0.02,0.66
2025-08-06,600027,5.22,5.22,5.24,5.19,587728,311671695.0,0.96,0.0,0.0,0.69
2025-08-07,600027,5.22,5.24,5.25,5.2,735840,391302065.0,0.96,0.38,0.02,0.86
2025-08-08,600027,5.25,5.38,5.44,5.23,2605824,1421698918.0,4.01,2.67,0.14,3.06
2025-08-11,600027,5.37,5.32,5.4,5.27,1182885,638159632.0,2.42,-1.12,-0.06,1.39
2025-08-12,600027,5.32,5.31,5.36,5.3,697999,378033721.0,1.13,-0.19,-0.01,0.82
2025-08-13,600027,5.31,5.27,5.32,5.25,916258,491322974.0,1.32,-0.75,-0.04,1.08
2025-08-14,600027,5.23,5.19,5.27,5.19,923922,490921520.0,1.52,-1.52,-0.08,1.09
2025-08-15,600027,5.2,5.2,5.22,5.17,628883,332745717.0,0.96,0.19,0.01,0.74
2025-08-18,600027,5.21,5.23,5.25,5.2,569111,302775600.0,0.96,0.58,0.03,0.67
2025-08-19,600027,5.24,5.27,5.3,5.23,857296,459625610.0,1.34,0.76,0.04,1.01
2025-08-20,600027,5.27,5.29,5.29,5.24,534088,285933013.0,0.95,0.38,0.02,0.63
2025-08-21,600027,5.29,5.33,5.36,5.28,895240,484945780.0,1.51,0.76,0.04,1.05
2025-08-22,600027,5.34,5.32,5.35,5.27,739846,398212512.0,1.5,-0.19,-0.01,0.87
2025-08-25,600027,5.32,5.4,5.42,5.32,1409498,771365436.0,1.88,1.5,0.08,1.66
2025-08-26,600027,5.41,5.39,5.43,5.38,734011,403042928.0,0.93,-0.19,-0.01,0.86
2025-08-27,600027,5.4,5.26,5.44,5.26,1575643,856440912.0,3.34,-2.41,-0.13,1.85
2025-08-28,600027,5.27,5.24,5.29,5.18,1240743,661207003.0,2.09,-0.38,-0.02,1.46
2025-08-29,600027,5.25,5.21,5.37,5.21,1800789,967083559.0,3.05,-0.57,-0.03,2.12
2025-09-01,600027,5.23,5.28,5.31,5.18,1224634,655246754.0,2.5,1.34,0.07,1.44
2025-09-02,600027,5.28,5.34,5.36,5.26,1429646,774171575.0,1.89,1.14,0.06,1.68
2025-09-03,600027,5.34,5.29,5.36,5.25,770533,414654685.0,2.06,-0.94,-0.05,0.91
2025-09-04,600027,5.28,5.27,5.28,5.2,838668,446634980.0,1.51,-0.38,-0.02,0.99
2025-09-05,600027,5.27,5.29,5.31,5.2,864341,462466523.0,2.09,0.38,0.02,1.02
2025-09-08,600027,5.31,5.38,5.41,5.31,1427683,781036878.0,1.89,1.7,0.09,1.68
2025-09-09,600027,5.4,5.35,5.41,5.32,708839,386516621.0,1.67,-0.56,-0.03,0.83
2025-09-10,600027,5.34,5.33,5.35,5.27,675416,364632917.0,1.5,-0.37,-0.02,0.79
2025-09-11,600027,5.34,5.34,5.35,5.29,616212,333442276.0,1.13,0.19,0.01,0.72
