日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600033,3.77,3.74,3.85,3.7,628865,243671508.0,3.97,-1.06,-0.04,2.29
2025-01-03,600033,3.73,3.83,3.9,3.73,785209,307973650.0,4.55,2.41,0.09,2.86
2025-01-06,600033,3.83,3.89,3.92,3.73,674813,266678955.0,4.96,1.57,0.06,2.46
2025-01-07,600033,3.88,3.86,3.93,3.8,543257,215614056.0,3.34,-0.77,-0.03,1.98
2025-01-08,600033,3.84,3.91,3.92,3.81,514305,203906015.0,2.85,1.3,0.05,1.87
2025-01-09,600033,3.89,3.89,3.92,3.79,530076,209974503.0,3.32,-0.51,-0.02,1.93
2025-01-10,600033,3.87,3.9,3.93,3.82,435677,173729807.0,2.83,0.26,0.01,1.59
2025-01-13,600033,3.88,3.74,3.9,3.7,643389,248964026.0,5.13,-4.1,-0.16,2.34
2025-01-14,600033,3.71,3.79,3.83,3.69,670405,258738264.0,3.74,1.34,0.05,2.44
2025-01-15,600033,3.82,3.85,3.99,3.82,523799,209254021.0,4.49,1.58,0.06,1.91
2025-01-16,600033,3.86,3.84,3.92,3.83,267654,106102870.0,2.34,-0.26,-0.01,0.98
2025-01-17,600033,3.85,3.81,3.85,3.74,236786,92574300.0,2.86,-0.78,-0.03,0.86
2025-01-20,600033,3.83,3.84,3.9,3.79,237942,94166874.0,2.89,0.79,0.03,0.87
2025-01-21,600033,3.85,3.79,3.86,3.77,186020,72723605.0,2.34,-1.3,-0.05,0.68
2025-01-22,600033,3.79,3.73,3.8,3.71,197510,75815463.0,2.37,-1.58,-0.06,0.72
2025-01-23,600033,3.75,3.74,3.8,3.72,220705,85181430.0,2.14,0.27,0.01,0.8
2025-01-24,600033,3.74,3.73,3.76,3.66,252489,95999200.0,2.67,-0.27,-0.01,0.92
2025-01-27,600033,3.73,3.76,3.84,3.71,270345,105246722.0,3.49,0.8,0.03,0.99
2025-02-05,600033,3.77,3.67,3.79,3.65,271865,103073597.0,3.72,-2.39,-0.09,0.99
2025-02-06,600033,3.66,3.66,3.68,3.63,169936,63752954.0,1.36,-0.27,-0.01,0.62
2025-02-07,600033,3.66,3.67,3.69,3.62,191633,72163783.0,1.91,0.27,0.01,0.7
2025-02-10,600033,3.67,3.61,3.71,3.61,306114,114364443.0,2.72,-1.63,-0.06,1.12
2025-02-11,600033,3.62,3.69,3.69,3.61,299132,112456854.0,2.22,2.22,0.08,1.09
2025-02-12,600033,3.7,3.6,3.7,3.56,431403,160039824.0,3.79,-2.44,-0.09,1.57
2025-02-13,600033,3.6,3.58,3.62,3.56,393827,145129581.0,1.67,-0.56,-0.02,1.44
2025-02-14,600033,3.59,3.6,3.63,3.55,448470,165130261.0,2.23,0.56,0.02,1.63
2025-02-17,600033,3.61,3.7,3.72,3.58,492943,185769379.0,3.89,2.78,0.1,1.8
2025-02-18,600033,3.7,3.8,3.82,3.68,458468,177686247.0,3.78,2.7,0.1,1.67
2025-02-19,600033,3.8,3.77,3.83,3.75,201499,78213201.0,2.11,-0.79,-0.03,0.73
2025-02-20,600033,3.79,3.75,3.81,3.72,230591,88991777.0,2.39,-0.53,-0.02,0.84
2025-02-21,600033,3.75,3.7,3.78,3.69,178298,68112380.0,2.4,-1.33,-0.05,0.65
2025-02-24,600033,3.7,3.67,3.75,3.67,166310,63191776.0,2.16,-0.81,-0.03,0.61
2025-02-25,600033,3.67,3.62,3.67,3.62,155717,58253229.0,1.36,-1.36,-0.05,0.57
2025-02-26,600033,3.63,3.64,3.67,3.62,152571,57158238.0,1.38,0.55,0.02,0.56
2025-02-27,600033,3.64,3.72,3.72,3.63,223861,84450298.0,2.47,2.2,0.08,0.82
2025-02-28,600033,3.72,3.72,3.76,3.69,231062,88165717.0,1.88,0.0,0.0,0.84
2025-03-03,600033,3.72,3.64,3.78,3.63,234699,89079299.0,4.03,-2.15,-0.08,0.86
2025-03-04,600033,3.63,3.66,3.71,3.63,190194,71749440.0,2.2,0.55,0.02,0.69
2025-03-05,600033,3.66,3.62,3.68,3.6,251206,93744208.0,2.19,-1.09,-0.04,0.92
2025-03-06,600033,3.62,3.59,3.62,3.56,336630,123884895.0,1.66,-0.83,-0.03,1.23
2025-03-07,600033,3.59,3.58,3.63,3.57,319462,118021343.0,1.67,-0.28,-0.01,1.16
2025-03-10,600033,3.58,3.58,3.66,3.57,437727,162103628.0,2.51,0.0,0.0,1.59
2025-03-11,600033,3.58,3.56,3.58,3.53,268170,97931299.0,1.4,-0.56,-0.02,0.98
2025-03-12,600033,3.56,3.54,3.58,3.5,478063,173794237.0,2.25,-0.56,-0.02,1.74
2025-03-13,600033,3.54,3.55,3.55,3.52,183636,66829288.0,0.85,0.28,0.01,0.67
2025-03-14,600033,3.55,3.58,3.59,3.54,259996,95531514.0,1.41,0.85,0.03,0.95
2025-03-17,600033,3.59,3.58,3.61,3.58,212889,78573439.0,0.84,0.0,0.0,0.78
2025-03-18,600033,3.59,3.64,3.65,3.54,379117,140213290.0,3.07,1.68,0.06,1.38
2025-03-19,600033,3.63,3.63,3.64,3.61,161786,60269490.0,0.82,-0.27,-0.01,0.59
2025-03-20,600033,3.63,3.66,3.67,3.63,218081,81949924.0,1.1,0.83,0.03,0.79
2025-03-21,600033,3.66,3.67,3.7,3.64,192342,72495982.0,1.64,0.27,0.01,0.7
2025-03-24,600033,3.67,3.67,3.68,3.62,227143,85178308.0,1.63,0.0,0.0,0.83
2025-03-25,600033,3.67,3.71,3.72,3.65,234736,88976889.0,1.91,1.09,0.04,0.86
2025-03-26,600033,3.71,3.77,3.78,3.7,265699,102252168.0,2.16,1.62,0.06,0.97
2025-03-27,600033,3.78,3.73,3.79,3.72,172579,66438763.0,1.86,-1.06,-0.04,0.63
2025-03-28,600033,3.74,3.74,3.76,3.69,186499,71334491.0,1.88,0.27,0.01,0.68
2025-03-31,600033,3.74,3.75,3.8,3.72,225088,86922634.0,2.14,0.27,0.01,0.82
2025-04-01,600033,3.75,3.86,3.87,3.74,338472,132397389.0,3.47,2.93,0.11,1.23
2025-04-02,600033,3.85,3.9,3.93,3.83,300340,120061559.0,2.59,1.04,0.04,1.09
2025-04-03,600033,3.89,3.91,3.93,3.87,202238,81034386.0,1.54,0.26,0.01,0.74
2025-04-07,600033,3.81,3.62,3.86,3.54,474224,180194196.0,8.18,-7.42,-0.29,1.73
2025-04-08,600033,3.63,3.74,3.76,3.63,468096,178423869.0,3.59,3.31,0.12,1.71
2025-04-09,600033,3.7,3.76,3.77,3.58,371658,140133515.0,5.08,0.53,0.02,1.35
2025-04-10,600033,3.76,3.74,3.79,3.69,308501,118391575.0,2.66,-0.53,-0.02,1.12
2025-04-11,600033,3.72,3.71,3.76,3.69,216463,82604914.0,1.87,-0.8,-0.03,0.79
2025-04-14,600033,3.71,3.76,3.81,3.69,253236,97618352.0,3.23,1.35,0.05,0.92
2025-04-15,600033,3.75,3.71,3.76,3.71,158114,60456243.0,1.33,-1.33,-0.05,0.58
2025-04-16,600033,3.7,3.76,3.78,3.69,258241,98835650.0,2.43,1.35,0.05,0.94
2025-04-17,600033,3.75,3.79,3.84,3.73,197870,76914305.0,2.93,0.8,0.03,0.72
2025-04-18,600033,3.78,3.85,3.87,3.76,260872,102518017.0,2.9,1.58,0.06,0.95
2025-04-21,600033,3.67,3.62,3.67,3.54,965342,355120525.0,3.38,-5.97,-0.23,3.52
2025-04-22,600033,3.58,3.56,3.6,3.55,500935,183781483.0,1.38,-1.66,-0.06,1.83
