日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600097,9.96,9.81,10.27,9.74,82640,83639836.0,5.27,-2.49,-0.25,3.43
2025-01-03,600097,9.73,9.3,10.05,9.3,64951,62563949.0,7.65,-5.2,-0.51,2.7
2025-01-06,600097,9.31,8.99,9.4,8.79,49481,45225370.0,6.56,-3.33,-0.31,2.05
2025-01-07,600097,9.07,9.06,9.15,8.85,42769,38755340.0,3.34,0.78,0.07,1.78
2025-01-08,600097,9.07,9.06,9.24,8.8,44361,40341845.0,4.86,0.0,0.0,1.84
2025-01-09,600097,8.94,9.02,9.07,8.92,27051,24584410.0,1.66,-0.44,-0.04,1.12
2025-01-10,600097,8.96,8.83,9.08,8.82,29885,26955438.0,2.88,-2.11,-0.19,1.24
2025-01-13,600097,8.8,8.9,8.95,8.66,22229,19785519.0,3.28,0.79,0.07,0.92
2025-01-14,600097,8.92,9.3,9.3,8.92,33124,30645832.0,4.27,4.49,0.4,1.37
2025-01-15,600097,9.33,9.3,9.38,9.2,22919,21495597.0,1.94,0.0,0.0,0.95
2025-01-16,600097,9.28,9.25,9.42,9.17,20115,18872536.0,2.69,-0.54,-0.05,0.83
2025-01-17,600097,9.04,9.2,9.24,8.94,29840,27507551.0,3.24,-0.54,-0.05,1.24
2025-01-20,600097,9.24,9.4,9.48,9.06,33996,31933962.0,4.57,2.17,0.2,1.41
2025-01-21,600097,9.51,9.24,9.51,9.16,21057,19686376.0,3.72,-1.7,-0.16,0.87
2025-01-22,600097,9.17,9.18,9.24,9.09,15134,13994509.0,1.62,-0.65,-0.06,0.63
2025-01-23,600097,9.22,9.29,9.42,9.22,24458,23007910.0,2.18,1.2,0.11,1.02
2025-01-24,600097,9.25,9.23,9.29,9.14,20797,19299461.0,1.61,-0.65,-0.06,0.86
2025-01-27,600097,9.24,9.28,9.49,9.23,28658,27112853.0,2.82,0.54,0.05,1.19
2025-02-05,600097,9.29,9.15,9.35,9.09,29604,27380314.0,2.8,-1.4,-0.13,1.23
2025-02-06,600097,9.06,9.25,9.27,9.06,28089,25986941.0,2.3,1.09,0.1,1.17
2025-02-07,600097,9.23,9.29,9.35,9.17,36909,34474793.0,1.95,0.43,0.04,1.53
2025-02-10,600097,9.28,9.42,9.43,9.27,26542,25014724.0,1.72,1.4,0.13,1.1
2025-02-11,600097,9.51,9.28,9.51,9.22,31436,29464639.0,3.08,-1.49,-0.14,1.3
2025-02-12,600097,9.24,9.23,9.32,9.11,41820,38787100.0,2.26,-0.54,-0.05,1.74
2025-02-13,600097,9.28,9.12,9.31,9.1,34752,32147498.0,2.28,-1.19,-0.11,1.44
2025-02-14,600097,9.11,9.05,9.17,9.01,33932,31028853.0,1.75,-0.77,-0.07,1.41
2025-02-17,600097,9.09,9.07,9.11,9.01,43300,39565341.0,1.1,0.22,0.02,1.8
2025-02-18,600097,9.08,8.89,9.08,8.87,45014,40714742.0,2.32,-1.98,-0.18,1.87
2025-02-19,600097,8.87,8.96,8.97,8.83,24773,22341357.0,1.57,0.79,0.07,1.03
2025-02-20,600097,8.97,9.01,9.03,8.93,29434,26662252.0,1.12,0.56,0.05,1.22
2025-02-21,600097,9.05,8.89,9.05,8.83,36082,32439991.0,2.44,-1.33,-0.12,1.5
2025-02-24,600097,8.94,8.91,9.02,8.88,50184,45323104.0,1.57,0.22,0.02,2.08
2025-02-25,600097,8.85,8.81,8.89,8.79,36800,32787316.0,1.12,-1.12,-0.1,1.53
2025-02-26,600097,8.83,8.91,8.95,8.81,31185,27986907.0,1.59,1.14,0.1,1.29
2025-02-27,600097,8.93,8.93,8.95,8.81,34866,31253187.0,1.57,0.22,0.02,1.45
2025-02-28,600097,8.94,8.8,8.94,8.77,24562,21906935.0,1.9,-1.46,-0.13,1.02
2025-03-03,600097,8.83,8.84,8.9,8.77,28689,25607084.0,1.48,0.45,0.04,1.19
2025-03-04,600097,8.83,8.91,8.92,8.79,20695,18520493.0,1.47,0.79,0.07,0.86
2025-03-05,600097,8.92,8.85,8.92,8.78,24847,22125420.0,1.57,-0.67,-0.06,1.03
2025-03-06,600097,8.84,8.91,8.96,8.81,34596,31059436.0,1.69,0.68,0.06,1.44
2025-03-07,600097,8.93,8.93,9.07,8.92,38406,34819191.0,1.68,0.22,0.02,1.59
2025-03-10,600097,8.95,9.16,9.18,8.94,50123,45914206.0,2.69,2.58,0.23,2.08
2025-03-11,600097,9.05,9.24,9.25,9.05,42333,39071902.0,2.18,0.87,0.08,1.76
2025-03-12,600097,9.19,9.54,9.77,9.18,104051,99521460.0,6.39,3.25,0.3,4.32
2025-03-13,600097,9.58,9.65,9.67,9.36,64407,61819714.0,3.25,1.15,0.11,2.67
2025-03-14,600097,9.72,9.91,10.12,9.63,119605,118468293.0,5.08,2.69,0.26,4.96
2025-03-17,600097,9.94,9.81,10.09,9.68,115538,114795777.0,4.14,-1.01,-0.1,4.8
2025-03-18,600097,9.8,9.79,9.81,9.53,82510,80576887.0,2.85,-0.2,-0.02,3.42
2025-03-19,600097,9.76,9.61,9.77,9.54,43728,42425669.0,2.35,-1.84,-0.18,1.81
2025-03-20,600097,9.6,10.58,10.58,9.57,109623,112929449.0,10.51,10.09,0.97,4.55
2025-03-21,600097,11.65,11.65,11.65,11.65,64274,75393402.0,0.0,10.11,1.07,2.67
2025-03-24,600097,12.47,11.35,12.82,11.31,521464,643461146.0,12.96,-2.58,-0.3,21.64
2025-03-25,600097,10.21,10.21,10.7,10.21,346890,358896822.0,4.32,-10.04,-1.14,14.4
2025-03-26,600097,9.72,9.79,9.95,9.71,243278,240657798.0,2.35,-4.11,-0.42,10.1
2025-03-27,600097,9.73,9.62,9.77,9.46,159569,154687602.0,3.17,-1.74,-0.17,6.62
2025-03-28,600097,9.57,9.5,9.62,9.47,101645,97680854.0,1.56,-1.25,-0.12,4.22
2025-03-31,600097,9.5,9.37,9.53,9.24,89713,84464216.0,3.05,-1.37,-0.13,3.72
2025-04-01,600097,9.44,9.52,9.62,9.38,80166,76956786.0,2.56,1.6,0.15,3.33
2025-04-02,600097,9.52,9.56,9.6,9.44,55671,53626550.0,1.68,0.42,0.04,2.31
2025-04-03,600097,9.46,9.65,9.72,9.45,77511,75058451.0,2.82,0.94,0.09,3.22
2025-04-07,600097,9.18,8.68,9.33,8.68,121729,109594768.0,6.74,-10.05,-0.97,5.05
2025-04-08,600097,8.67,9.29,9.29,8.65,142429,129652294.0,7.37,7.03,0.61,5.91
2025-04-09,600097,9.09,9.38,9.45,8.77,121132,111554894.0,7.32,0.97,0.09,5.03
2025-04-10,600097,9.37,9.58,9.67,9.31,146012,140625225.0,3.84,2.13,0.2,6.06
2025-04-11,600097,9.48,9.46,9.61,9.41,79319,76035295.0,2.09,-1.25,-0.12,3.29
2025-04-14,600097,9.47,9.7,9.73,9.47,78390,76183071.0,2.75,2.54,0.24,3.25
2025-04-15,600097,9.7,9.63,9.74,9.53,54408,52812843.0,2.16,-0.72,-0.07,2.26
2025-04-16,600097,9.58,9.51,9.62,9.3,55550,53061023.0,3.32,-1.25,-0.12,2.31
2025-04-17,600097,9.52,9.58,9.67,9.41,58149,56104455.0,2.73,0.74,0.07,2.41
2025-04-18,600097,9.52,9.45,9.57,9.39,43101,41143790.0,1.88,-1.36,-0.13,1.79
2025-04-21,600097,9.42,9.43,9.5,9.3,39981,37949694.0,2.12,-0.21,-0.02,1.66
2025-04-22,600097,9.43,9.52,9.54,9.36,48049,45762549.0,1.91,0.95,0.09,1.99
2025-04-23,600097,9.51,9.57,9.61,9.45,48321,46428736.0,1.68,0.53,0.05,2.01
2025-04-24,600097,9.51,9.47,9.7,9.44,52501,50567450.0,2.72,-1.04,-0.1,2.18
2025-04-25,600097,9.41,9.5,9.58,9.41,42412,40708341.0,1.8,0.32,0.03,1.76
2025-04-28,600097,9.5,9.24,9.5,9.24,53645,50339777.0,2.74,-2.74,-0.26,2.23
2025-04-29,600097,9.41,9.49,9.59,9.32,51062,48931301.0,2.92,2.71,0.25,2.12
2025-04-30,600097,9.49,9.56,9.6,9.37,53877,51851410.0,2.42,0.74,0.07,2.24
2025-05-06,600097,9.6,9.73,9.73,9.56,67668,65902400.0,1.78,1.78,0.17,2.81
2025-05-07,600097,9.75,9.81,9.84,9.71,60103,59171759.0,1.34,0.82,0.08,2.49
2025-05-08,600097,9.8,9.89,9.91,9.7,51058,50623608.0,2.14,0.82,0.08,2.12
2025-05-09,600097,9.94,9.92,10.01,9.83,56442,56419389.0,1.82,0.3,0.03,2.34
2025-05-12,600097,10.0,9.92,10.02,9.77,50040,49860732.0,2.52,0.0,0.0,2.08
2025-05-13,600097,9.97,9.95,10.0,9.88,43068,43182467.0,1.21,0.3,0.03,1.79
2025-05-14,600097,9.97,9.94,9.98,9.82,44473,44346471.0,1.61,-0.1,-0.01,1.85
2025-05-15,600097,9.97,10.09,10.13,9.88,74245,75108405.0,2.52,1.51,0.15,3.08
2025-05-16,600097,10.09,9.94,10.09,9.88,51877,52153086.0,2.08,-1.49,-0.15,2.15
2025-05-19,600097,9.98,10.13,10.14,9.93,57477,58344059.0,2.11,1.91,0.19,2.39
2025-05-20,600097,10.11,10.23,10.28,10.06,59142,60707240.0,2.17,0.99,0.1,2.45
2025-05-21,600097,10.25,10.12,10.29,10.07,37751,38627308.0,2.15,-1.08,-0.11,1.57
2025-05-22,600097,10.04,9.95,10.17,9.93,42426,42837355.0,2.37,-1.68,-0.17,1.76
2025-05-23,600097,9.91,9.78,9.98,9.75,48680,48515156.0,2.31,-1.71,-0.17,2.02
2025-05-26,600097,9.78,9.88,9.95,9.74,33193,33002607.0,2.15,1.02,0.1,1.38
2025-05-27,600097,9.91,10.04,10.08,9.86,36720,36978436.0,2.23,1.62,0.16,1.52
2025-05-28,600097,10.06,10.07,10.1,9.94,33960,34331543.0,1.59,0.3,0.03,1.41
2025-05-29,600097,10.07,10.11,10.12,9.97,40954,41575361.0,1.49,0.4,0.04,1.7
2025-05-30,600097,10.11,10.04,10.17,10.02,29658,29875536.0,1.48,-0.69,-0.07,1.23
2025-06-03,600097,10.0,10.19,10.2,9.93,38191,38733743.0,2.69,1.49,0.15,1.59
2025-06-04,600097,10.16,10.27,10.28,10.13,39795,40664327.0,1.47,0.79,0.08,1.65
2025-06-05,600097,10.28,10.13,10.31,10.08,46394,47203423.0,2.24,-1.36,-0.14,1.93
2025-06-06,600097,10.14,10.18,10.21,10.07,29158,29622186.0,1.38,0.49,0.05,1.21
2025-06-09,600097,10.21,10.23,10.27,10.14,31588,32217162.0,1.28,0.49,0.05,1.31
2025-06-10,600097,10.24,10.26,10.33,10.09,47220,48271952.0,2.35,0.29,0.03,1.96
2025-06-11,600097,10.24,10.33,10.34,10.17,46135,47470786.0,1.66,0.68,0.07,1.91
2025-06-12,600097,10.28,10.24,10.35,10.18,38147,39103595.0,1.65,-0.87,-0.09,1.58
2025-06-13,600097,10.23,10.08,10.27,10.03,41876,42353998.0,2.34,-1.56,-0.16,1.74
2025-06-16,600097,10.0,10.16,10.19,9.96,37402,37878097.0,2.28,0.79,0.08,1.55
2025-06-17,600097,10.18,10.1,10.31,10.02,36840,37414098.0,2.85,-0.59,-0.06,1.53
2025-06-18,600097,10.02,9.9,10.12,9.89,39917,39731140.0,2.28,-1.98,-0.2,1.66
2025-06-19,600097,9.9,9.72,9.96,9.7,33629,32955091.0,2.63,-1.82,-0.18,1.4
2025-06-20,600097,9.75,9.69,9.83,9.69,23771,23157919.0,1.44,-0.31,-0.03,0.99
2025-06-23,600097,9.65,9.89,10.06,9.54,44536,43940226.0,5.37,2.06,0.2,1.85
2025-06-24,600097,9.99,10.08,10.11,9.82,47489,47436043.0,2.93,1.92,0.19,1.97
2025-06-25,600097,10.08,10.33,10.8,10.06,107203,110505427.0,7.34,2.48,0.25,4.45
2025-06-26,600097,10.29,10.32,10.48,10.16,74847,77306984.0,3.1,-0.1,-0.01,3.11
2025-06-27,600097,10.32,10.36,10.4,10.22,44470,45917943.0,1.74,0.39,0.04,1.85
2025-06-30,600097,10.36,10.44,10.45,10.31,38452,39918335.0,1.35,0.77,0.08,1.6
2025-07-01,600097,10.41,10.39,10.46,10.28,45180,46846102.0,1.72,-0.48,-0.05,1.88
2025-07-02,600097,11.0,11.43,11.43,11.0,223282,252217882.0,4.14,10.01,1.04,9.27
2025-07-03,600097,11.44,11.04,11.98,10.98,342168,387241807.0,8.75,-3.41,-0.39,14.2
2025-07-04,600097,10.93,10.62,11.04,10.57,188329,202318954.0,4.26,-3.8,-0.42,7.82
2025-07-07,600097,10.55,10.52,10.6,10.42,97501,102548186.0,1.69,-0.94,-0.1,4.05
2025-07-08,600097,10.56,10.6,10.6,10.46,88198,92939640.0,1.33,0.76,0.08,3.66
2025-07-09,600097,10.57,10.45,10.6,10.42,95928,100717614.0,1.7,-1.42,-0.15,3.98
2025-07-10,600097,10.41,10.5,10.5,10.4,50767,53147921.0,0.96,0.48,0.05,2.11
2025-07-11,600097,10.53,10.54,10.56,10.46,59773,62844491.0,0.95,0.38,0.04,2.48
2025-07-14,600097,10.7,10.99,11.03,10.63,155842,168919642.0,3.8,4.27,0.45,6.47
2025-07-15,600097,10.97,10.8,10.99,10.65,96732,104272800.0,3.09,-1.73,-0.19,4.01
2025-07-16,600097,10.81,10.85,10.9,10.76,63426,68716566.0,1.3,0.46,0.05,2.63
2025-07-17,600097,10.84,10.88,10.99,10.81,92521,100657414.0,1.66,0.28,0.03,3.84
2025-07-18,600097,10.91,11.01,11.1,10.81,119262,131168157.0,2.67,1.19,0.13,4.95
2025-07-21,600097,11.01,10.98,11.04,10.9,75151,82353363.0,1.27,-0.27,-0.03,3.12
2025-07-22,600097,10.99,10.91,11.0,10.8,64013,69654869.0,1.82,-0.64,-0.07,2.66
2025-07-23,600097,10.93,10.86,10.94,10.81,47156,51250820.0,1.19,-0.46,-0.05,1.96
2025-07-24,600097,10.86,10.9,10.9,10.84,42534,46254290.0,0.55,0.37,0.04,1.77
