日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600105,4.83,4.76,4.96,4.71,404042,198459226.0,5.12,-2.46,-0.12,2.76
2025-01-03,600105,4.79,4.46,4.82,4.44,501096,234007850.0,7.98,-6.3,-0.3,3.43
2025-01-06,600105,4.46,4.4,4.5,4.29,335121,150224415.0,4.71,-1.35,-0.06,2.29
2025-01-07,600105,4.4,4.85,4.85,4.4,670309,316833635.0,10.23,10.23,0.45,4.58
2025-01-08,600105,5.01,4.92,5.09,4.75,1305620,654319286.0,7.01,1.44,0.07,8.93
2025-01-09,600105,4.78,4.87,4.94,4.78,639989,316643049.0,3.25,-1.02,-0.05,4.38
2025-01-10,600105,4.82,4.61,4.89,4.61,533299,258207195.0,5.75,-5.34,-0.26,3.65
2025-01-13,600105,4.51,4.64,4.67,4.43,374396,174148296.0,5.21,0.65,0.03,2.56
2025-01-14,600105,4.68,4.97,5.03,4.63,745528,369116876.0,8.62,7.11,0.33,5.1
2025-01-15,600105,4.92,4.96,5.07,4.87,598761,301860251.0,4.02,-0.2,-0.01,4.1
2025-01-16,600105,5.02,5.08,5.12,4.96,861215,442153917.0,3.23,2.42,0.12,5.89
2025-01-17,600105,5.06,5.0,5.09,4.99,483187,246803188.0,1.97,-1.57,-0.08,3.3
2025-01-20,600105,5.06,5.02,5.08,4.98,421849,215639853.0,2.0,0.4,0.02,2.89
2025-01-21,600105,5.1,5.08,5.16,5.02,559730,288600644.0,2.79,1.2,0.06,3.83
2025-01-22,600105,5.05,5.1,5.28,5.03,864402,452832945.0,4.92,0.39,0.02,5.91
2025-01-23,600105,5.15,5.04,5.27,5.04,765183,402199174.0,4.51,-1.18,-0.06,5.23
2025-01-24,600105,5.01,5.06,5.13,5.0,549551,282554464.0,2.58,0.4,0.02,3.76
2025-01-27,600105,5.08,4.83,5.09,4.82,568933,283237361.0,5.34,-4.55,-0.23,3.89
2025-02-05,600105,4.88,4.94,4.95,4.81,431071,214711892.0,2.9,2.28,0.11,2.95
2025-02-06,600105,4.94,5.09,5.09,4.87,465647,237947746.0,4.45,3.04,0.15,3.19
2025-02-07,600105,5.08,5.18,5.24,5.06,653526,343286596.0,3.54,1.77,0.09,4.47
2025-02-10,600105,5.19,5.35,5.35,5.18,667859,358325859.0,3.28,3.28,0.17,4.57
2025-02-11,600105,5.36,5.48,5.58,5.24,1019002,559147639.0,6.36,2.43,0.13,6.97
2025-02-12,600105,5.32,5.46,5.49,5.31,719371,396374686.0,3.28,-0.36,-0.02,4.92
2025-02-13,600105,5.47,5.33,5.5,5.32,542644,296082083.0,3.3,-2.38,-0.13,3.71
2025-02-14,600105,5.32,5.31,5.4,5.26,422890,228055663.0,2.63,-0.38,-0.02,2.89
2025-02-17,600105,5.33,5.37,5.39,5.28,494350,268336121.0,2.07,1.13,0.06,3.38
2025-02-18,600105,5.38,5.22,5.5,5.19,647531,352410326.0,5.77,-2.79,-0.15,4.43
2025-02-19,600105,5.54,5.75,5.75,5.54,454434,263332148.0,4.02,10.15,0.53,3.11
2025-02-20,600105,5.92,5.62,5.93,5.59,2155040,1251095278.0,5.91,-2.26,-0.13,14.74
2025-02-21,600105,5.62,5.7,5.85,5.55,1506377,871413990.0,5.34,1.42,0.08,10.3
2025-02-24,600105,5.71,5.82,5.85,5.52,1398892,810135287.0,5.79,2.11,0.12,9.57
2025-02-25,600105,5.72,5.82,5.91,5.63,1135633,665274123.0,4.81,0.0,0.0,7.77
2025-02-26,600105,5.78,5.79,5.85,5.71,854317,500132779.0,2.41,-0.52,-0.03,5.84
2025-02-27,600105,5.8,5.66,5.81,5.55,745024,428627668.0,4.49,-2.25,-0.13,5.1
2025-02-28,600105,5.62,5.3,5.63,5.27,708361,390075002.0,6.36,-6.36,-0.36,4.85
2025-03-03,600105,5.39,5.84,5.84,5.33,2208494,1288253140.0,9.62,10.19,0.54,15.11
2025-03-04,600105,5.72,5.96,6.01,5.67,2369244,1406419126.0,5.82,2.05,0.12,16.21
2025-03-05,600105,5.89,5.9,5.98,5.76,1262727,748915367.0,3.69,-1.01,-0.06,8.64
2025-03-06,600105,5.89,6.06,6.1,5.86,1839200,1118684187.0,4.07,2.71,0.16,12.58
2025-03-07,600105,6.01,5.87,6.08,5.83,1195665,721438440.0,4.13,-3.14,-0.19,8.18
2025-03-10,600105,5.87,5.91,6.02,5.79,762895,455628009.0,3.92,0.68,0.04,5.22
2025-03-11,600105,5.8,5.85,5.91,5.73,644755,380559044.0,3.05,-1.02,-0.06,4.41
2025-03-12,600105,5.87,6.01,6.14,5.85,1330980,813366584.0,4.96,2.74,0.16,9.1
2025-03-13,600105,6.07,5.88,6.15,5.8,1088720,657728497.0,5.82,-2.16,-0.13,7.45
2025-03-14,600105,5.88,5.9,5.91,5.77,762100,451849563.0,2.38,0.34,0.02,5.21
2025-03-17,600105,5.91,5.92,6.06,5.91,785127,475223913.0,2.54,0.34,0.02,5.37
2025-03-18,600105,5.93,6.09,6.42,5.93,1448191,902340503.0,8.28,2.87,0.17,9.91
2025-03-19,600105,6.03,5.96,6.09,5.93,746555,451813710.0,2.63,-2.13,-0.13,5.11
2025-03-20,600105,5.92,5.83,5.94,5.82,625801,372798986.0,2.01,-2.18,-0.13,4.28
2025-03-21,600105,5.81,6.1,6.27,5.71,2003783,1240723461.0,9.61,4.63,0.27,13.71
2025-03-24,600105,6.07,6.52,6.52,6.01,2237672,1429228251.0,8.36,6.89,0.42,15.31
2025-03-25,600105,6.52,7.18,7.18,6.43,1323094,941592613.0,11.5,10.12,0.66,9.05
2025-03-26,600105,7.31,6.88,7.37,6.76,3432810,2439764582.0,8.5,-4.18,-0.3,23.48
2025-03-27,600105,6.84,6.18,6.98,6.18,2465784,1600909712.0,11.63,-10.17,-0.7,16.87
2025-03-28,600105,6.06,6.22,6.51,6.01,1857287,1174527759.0,8.09,0.65,0.04,12.7
2025-03-31,600105,6.03,6.49,6.61,5.95,2157387,1395386677.0,10.61,4.34,0.27,14.76
