日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600125,5.77,5.6,5.84,5.55,193573,112994164.0,5.01,-3.28,-0.19,1.48
2025-01-03,600125,5.62,5.54,5.68,5.49,171260,98011462.0,3.39,-1.07,-0.06,1.31
2025-01-06,600125,5.53,5.55,5.6,5.46,139126,78869653.0,2.53,0.18,0.01,1.07
2025-01-07,600125,5.53,5.53,5.57,5.45,141565,79837205.0,2.16,-0.36,-0.02,1.08
2025-01-08,600125,5.52,5.48,5.53,5.36,159835,89279072.0,3.07,-0.9,-0.05,1.22
2025-01-09,600125,5.46,5.44,5.49,5.41,79127,44268577.0,1.46,-0.73,-0.04,0.61
2025-01-10,600125,5.43,5.34,5.46,5.34,105187,58125642.0,2.21,-1.84,-0.1,0.81
2025-01-13,600125,5.31,5.35,5.36,5.26,112662,61444827.0,1.87,0.19,0.01,0.86
2025-01-14,600125,5.34,5.5,5.51,5.34,165191,92446773.0,3.18,2.8,0.15,1.27
2025-01-15,600125,5.5,5.47,5.51,5.45,104115,58500045.0,1.09,-0.55,-0.03,0.8
2025-01-16,600125,5.48,5.49,5.59,5.46,133103,75275456.0,2.38,0.37,0.02,1.02
2025-01-17,600125,5.48,5.54,5.55,5.43,98372,55464821.0,2.19,0.91,0.05,0.75
2025-01-20,600125,5.56,5.53,5.61,5.52,106928,60929939.0,1.62,-0.18,-0.01,0.82
2025-01-21,600125,5.55,5.5,5.57,5.47,77409,43694538.0,1.81,-0.54,-0.03,0.59
2025-01-22,600125,5.48,5.47,5.5,5.41,80572,45060352.0,1.64,-0.55,-0.03,0.62
2025-01-23,600125,5.49,5.52,5.59,5.49,138958,79075532.0,1.83,0.91,0.05,1.06
2025-01-24,600125,5.5,5.63,5.65,5.5,149194,85586527.0,2.72,1.99,0.11,1.14
2025-01-27,600125,5.61,5.69,5.72,5.61,165634,96673626.0,1.95,1.07,0.06,1.27
2025-02-05,600125,5.7,5.56,5.71,5.54,128099,73594717.0,2.99,-2.28,-0.13,0.98
2025-02-06,600125,5.54,5.62,5.63,5.52,103627,59218824.0,1.98,1.08,0.06,0.79
2025-02-07,600125,5.61,5.65,5.68,5.58,147969,85591043.0,1.78,0.53,0.03,1.13
2025-02-10,600125,5.65,5.65,5.71,5.64,124142,72053513.0,1.24,0.0,0.0,0.95
2025-02-11,600125,5.66,5.68,5.68,5.61,121303,70202087.0,1.24,0.53,0.03,0.93
2025-02-12,600125,5.66,5.68,5.7,5.63,100133,58095899.0,1.23,0.0,0.0,0.77
2025-02-13,600125,5.69,5.67,5.71,5.64,118184,68716737.0,1.23,-0.18,-0.01,0.91
2025-02-14,600125,5.68,5.61,5.68,5.57,187054,107507163.0,1.94,-1.06,-0.06,1.43
2025-02-17,600125,5.59,5.61,5.63,5.57,111170,63805653.0,1.07,0.0,0.0,0.85
2025-02-18,600125,5.6,5.5,5.6,5.48,140217,79681097.0,2.14,-1.96,-0.11,1.07
2025-02-19,600125,5.51,5.51,5.53,5.48,94386,53288639.0,0.91,0.18,0.01,0.72
2025-02-20,600125,5.5,5.49,5.52,5.47,90012,50693412.0,0.91,-0.36,-0.02,0.69
2025-02-21,600125,5.49,5.48,5.51,5.42,119091,66655408.0,1.64,-0.18,-0.01,0.91
2025-02-24,600125,5.46,5.51,5.55,5.45,110376,62347208.0,1.82,0.55,0.03,0.85
2025-02-25,600125,5.48,5.43,5.49,5.42,89642,50197887.0,1.27,-1.45,-0.08,0.69
2025-02-26,600125,5.41,5.51,5.52,5.41,98572,55447666.0,2.03,1.47,0.08,0.76
2025-02-27,600125,5.52,5.53,5.55,5.47,103054,58234759.0,1.45,0.36,0.02,0.79
2025-02-28,600125,5.5,5.47,5.56,5.44,149653,84529274.0,2.17,-1.08,-0.06,1.15
2025-03-03,600125,5.48,5.45,5.54,5.44,120522,67870729.0,1.83,-0.37,-0.02,0.92
2025-03-04,600125,5.44,5.47,5.49,5.42,65558,36729584.0,1.28,0.37,0.02,0.5
2025-03-05,600125,5.47,5.41,5.49,5.38,104816,58180626.0,2.01,-1.1,-0.06,0.8
2025-03-06,600125,5.43,5.5,5.53,5.38,167063,93591865.0,2.77,1.66,0.09,1.28
2025-03-07,600125,5.49,5.43,5.5,5.42,104590,58619501.0,1.45,-1.27,-0.07,0.8
2025-03-10,600125,5.43,5.44,5.48,5.42,66806,37295294.0,1.1,0.18,0.01,0.51
2025-03-11,600125,5.42,5.51,5.51,5.39,102399,57291153.0,2.21,1.29,0.07,0.78
2025-03-12,600125,5.51,5.49,5.51,5.47,94480,53235558.0,0.73,-0.36,-0.02,0.72
2025-03-13,600125,5.49,5.51,5.52,5.43,120244,67500682.0,1.64,0.36,0.02,0.92
2025-03-14,600125,5.5,5.59,5.59,5.5,163296,93005861.0,1.63,1.45,0.08,1.25
2025-03-17,600125,5.63,5.58,5.63,5.57,120621,69218661.0,1.07,-0.18,-0.01,0.92
2025-03-18,600125,5.59,5.66,5.69,5.55,208218,119960789.0,2.51,1.43,0.08,1.59
2025-03-19,600125,5.61,5.58,5.61,5.56,145532,83243231.0,0.88,-1.41,-0.08,1.11
2025-03-20,600125,5.57,5.58,5.63,5.56,98911,56713881.0,1.25,0.0,0.0,0.76
2025-03-21,600125,5.57,5.61,5.67,5.56,157193,90589006.0,1.97,0.54,0.03,1.2
2025-03-24,600125,5.62,5.58,5.64,5.52,121023,69065748.0,2.14,-0.53,-0.03,0.93
2025-03-25,600125,5.58,5.7,5.7,5.55,192465,111394072.0,2.69,2.15,0.12,1.47
2025-03-26,600125,5.68,5.67,5.7,5.63,110156,63960771.0,1.23,-0.53,-0.03,0.84
2025-03-27,600125,5.65,5.61,5.67,5.59,116730,67267770.0,1.41,-1.06,-0.06,0.89
2025-03-28,600125,5.6,5.6,5.65,5.55,125643,72029182.0,1.78,-0.18,-0.01,0.96
2025-03-31,600125,5.57,5.52,5.64,5.49,125612,71552135.0,2.68,-1.43,-0.08,0.96
2025-04-01,600125,5.52,5.58,5.6,5.51,88732,50659175.0,1.63,1.09,0.06,0.68
2025-04-02,600125,5.58,5.6,5.62,5.55,74998,42959077.0,1.25,0.36,0.02,0.57
2025-04-03,600125,5.56,5.69,5.74,5.54,211039,122526919.0,3.57,1.61,0.09,1.62
2025-04-07,600125,5.56,5.18,5.64,5.11,367277,201821156.0,9.31,-8.96,-0.51,2.81
2025-04-08,600125,5.18,5.4,5.54,5.18,346121,191869749.0,6.95,4.25,0.22,2.65
2025-04-09,600125,5.56,5.89,5.95,5.52,765550,451482342.0,7.96,9.07,0.49,5.86
2025-04-10,600125,5.76,6.02,6.06,5.68,946110,573398193.0,6.45,2.21,0.13,7.25
2025-04-11,600125,5.95,5.78,5.97,5.76,562521,336897271.0,3.49,-3.99,-0.24,4.31
2025-04-14,600125,5.78,5.78,5.85,5.72,287407,170228384.0,2.25,0.0,0.0,2.2
2025-04-15,600125,5.78,5.74,5.81,5.69,224719,132133897.0,2.08,-0.69,-0.04,1.72
2025-04-16,600125,5.71,5.8,5.92,5.7,284110,168838903.0,3.83,1.05,0.06,2.18
2025-04-17,600125,5.76,5.72,5.77,5.7,196219,115200764.0,1.21,-1.38,-0.08,1.5
2025-04-18,600125,5.73,5.57,5.73,5.56,217998,125608799.0,2.97,-2.62,-0.15,1.67
2025-04-21,600125,5.56,5.54,5.59,5.51,134784,76561249.0,1.44,-0.54,-0.03,1.03
2025-04-22,600125,5.54,5.64,5.68,5.52,201036,115807105.0,2.89,1.81,0.1,1.54
2025-04-23,600125,5.62,5.57,5.64,5.56,153043,87672537.0,1.42,-1.24,-0.07,1.17
2025-04-24,600125,5.57,5.54,5.59,5.51,109695,62400223.0,1.44,-0.54,-0.03,0.84
2025-04-25,600125,5.53,5.56,5.59,5.53,87437,49836340.0,1.08,0.36,0.02,0.67
