日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600176,10.96,10.55,11.09,10.47,329302,365618909.0,5.65,-3.92,-0.43,0.82
2025-01-03,600176,10.58,10.43,10.74,10.39,228233,250820487.0,3.32,-1.14,-0.12,0.57
2025-01-06,600176,10.43,10.62,10.68,10.38,217184,238214044.0,2.88,1.82,0.19,0.54
2025-01-07,600176,10.62,10.65,10.66,10.52,140273,154434761.0,1.32,0.28,0.03,0.35
2025-01-08,600176,10.67,10.67,10.72,10.42,180712,198547711.0,2.82,0.19,0.02,0.45
2025-01-09,600176,10.6,10.57,10.73,10.47,155308,171530076.0,2.44,-0.94,-0.1,0.39
2025-01-10,600176,10.72,10.71,10.82,10.58,193965,216028925.0,2.27,1.32,0.14,0.48
2025-01-13,600176,10.6,10.59,10.82,10.45,211536,233468136.0,3.45,-1.12,-0.12,0.53
2025-01-14,600176,10.58,11.17,11.17,10.4,374555,421167268.0,7.27,5.48,0.58,0.94
2025-01-15,600176,11.07,11.16,11.26,11.0,229480,265198165.0,2.33,-0.09,-0.01,0.57
2025-01-16,600176,11.16,10.94,11.24,10.84,217030,247975129.0,3.58,-1.97,-0.22,0.54
2025-01-17,600176,10.86,10.85,10.97,10.79,187488,211129551.0,1.65,-0.82,-0.09,0.47
2025-01-20,600176,10.89,10.5,11.03,10.5,435799,483322036.0,4.88,-3.23,-0.35,1.09
2025-01-21,600176,10.59,10.65,10.71,10.51,252872,279465396.0,1.9,1.43,0.15,0.63
2025-01-22,600176,10.63,10.46,10.7,10.29,310129,336034848.0,3.85,-1.78,-0.19,0.77
2025-01-23,600176,10.54,10.39,10.64,10.38,206055,224841266.0,2.49,-0.67,-0.07,0.51
2025-01-24,600176,10.4,10.48,10.57,10.36,212651,231408850.0,2.02,0.87,0.09,0.53
2025-01-27,600176,10.69,10.89,10.95,10.67,368922,414372773.0,2.67,3.91,0.41,0.92
2025-02-05,600176,10.79,10.45,10.88,10.44,413695,453805674.0,4.04,-4.04,-0.44,1.03
2025-02-06,600176,10.45,10.64,10.67,10.4,210870,231591774.0,2.58,1.82,0.19,0.53
2025-02-07,600176,10.6,10.77,10.79,10.58,223336,248645422.0,1.97,1.22,0.13,0.56
2025-02-10,600176,10.76,10.92,10.94,10.54,317621,355297504.0,3.71,1.39,0.15,0.79
2025-02-11,600176,10.9,11.09,11.13,10.76,291732,332674920.0,3.39,1.56,0.17,0.73
2025-02-12,600176,11.07,11.14,11.26,11.02,228815,264183565.0,2.16,0.45,0.05,0.57
2025-02-13,600176,11.18,11.01,11.23,10.97,286796,329800209.0,2.33,-1.17,-0.13,0.72
2025-02-14,600176,11.03,11.05,11.09,10.92,242159,276513759.0,1.54,0.36,0.04,0.6
2025-02-17,600176,11.05,10.64,11.08,10.6,489813,543547078.0,4.34,-3.71,-0.41,1.22
2025-02-18,600176,10.63,10.56,10.74,10.52,226733,250550711.0,2.07,-0.75,-0.08,0.57
2025-02-19,600176,10.56,10.57,10.62,10.48,275587,301870499.0,1.33,0.09,0.01,0.69
2025-02-20,600176,10.59,10.53,10.63,10.48,165479,180826463.0,1.42,-0.38,-0.04,0.41
2025-02-21,600176,10.53,10.51,10.57,10.39,358250,389456339.0,1.71,-0.19,-0.02,0.89
2025-02-24,600176,10.62,11.18,11.22,10.57,788086,896729409.0,6.18,6.37,0.67,1.97
2025-02-25,600176,11.07,11.04,11.24,10.98,395840,456489652.0,2.33,-1.25,-0.14,0.99
2025-02-26,600176,11.04,11.26,11.32,11.03,356077,414287201.0,2.63,1.99,0.22,0.89
2025-02-27,600176,11.26,11.16,11.4,11.09,277198,321506844.0,2.75,-0.89,-0.1,0.69
2025-02-28,600176,11.16,10.97,11.23,10.93,216115,247069903.0,2.69,-1.7,-0.19,0.54
2025-03-03,600176,11.04,11.01,11.13,10.96,187157,213968045.0,1.55,0.36,0.04,0.47
2025-03-04,600176,10.98,10.96,11.04,10.87,171356,194791860.0,1.54,-0.45,-0.05,0.43
2025-03-05,600176,10.97,11.16,11.2,10.94,237593,273204814.0,2.37,1.82,0.2,0.59
2025-03-06,600176,11.17,11.13,11.21,11.0,345175,396570734.0,1.88,-0.27,-0.03,0.86
2025-03-07,600176,11.09,11.55,11.56,11.07,561353,663258982.0,4.4,3.77,0.42,1.4
2025-03-10,600176,11.53,11.49,11.58,11.33,274367,324729516.0,2.16,-0.52,-0.06,0.69
2025-03-11,600176,11.36,11.55,11.57,11.35,247660,294464781.0,1.91,0.52,0.06,0.62
2025-03-12,600176,11.53,11.51,11.59,11.29,292661,347311565.0,2.6,-0.35,-0.04,0.73
2025-03-13,600176,11.46,11.4,11.6,11.32,184065,217707023.0,2.43,-0.96,-0.11,0.46
2025-03-14,600176,11.44,11.47,11.52,11.3,250578,296857724.0,1.93,0.61,0.07,0.63
2025-03-17,600176,11.54,11.81,11.91,11.52,409200,497751344.0,3.4,2.96,0.34,1.02
2025-03-18,600176,11.82,11.94,11.98,11.68,307190,377331927.0,2.54,1.1,0.13,0.77
2025-03-19,600176,11.99,11.97,12.42,11.9,466743,583798418.0,4.36,0.25,0.03,1.17
2025-03-20,600176,12.38,12.42,12.69,12.19,845645,1087079988.0,4.18,3.76,0.45,2.11
2025-03-21,600176,12.42,12.3,12.61,12.2,475618,608471654.0,3.3,-0.97,-0.12,1.19
2025-03-24,600176,12.33,12.48,12.49,12.23,393619,503535776.0,2.11,1.46,0.18,0.98
2025-03-25,600176,12.47,12.55,12.84,12.42,497476,650178430.0,3.37,0.56,0.07,1.24
2025-03-26,600176,12.57,12.42,12.64,12.37,246142,316804998.0,2.15,-1.04,-0.13,0.61
2025-03-27,600176,12.37,12.24,12.37,12.15,318655,403207657.0,1.77,-1.45,-0.18,0.8
2025-03-28,600176,12.32,12.29,12.36,12.21,187206,237698911.0,1.23,0.41,0.05,0.47
2025-03-31,600176,12.2,12.49,12.51,12.19,328784,419939214.0,2.6,1.63,0.2,0.82
2025-04-01,600176,12.38,12.54,12.58,12.37,263093,339738405.0,1.68,0.4,0.05,0.66
2025-04-02,600176,12.52,12.44,12.62,12.34,193627,249380222.0,2.23,-0.8,-0.1,0.48
2025-04-03,600176,12.34,12.37,12.46,12.25,148910,190059391.0,1.69,-0.56,-0.07,0.37
2025-04-07,600176,11.74,11.56,11.99,11.11,576324,689218766.0,7.11,-6.55,-0.81,1.44
2025-04-08,600176,11.54,11.75,11.79,11.26,514105,615610463.0,4.58,1.64,0.19,1.28
2025-04-09,600176,11.54,11.7,11.7,11.32,479273,569304796.0,3.23,-0.43,-0.05,1.2
2025-04-10,600176,11.89,11.69,11.93,11.6,444479,539004360.0,2.82,-0.09,-0.01,1.11
2025-04-11,600176,11.63,11.49,11.68,11.38,308635,367409248.0,2.57,-1.71,-0.2,0.77
2025-04-14,600176,11.57,11.61,11.77,11.55,274735,331158853.0,1.91,1.04,0.12,0.69
2025-04-15,600176,11.59,11.3,11.59,11.21,386606,453895416.0,3.27,-2.67,-0.31,0.97
2025-04-16,600176,11.31,11.27,11.36,11.09,275965,320591966.0,2.39,-0.27,-0.03,0.69
2025-04-17,600176,11.16,11.36,11.36,11.12,239701,279818584.0,2.13,0.8,0.09,0.6
2025-04-18,600176,11.32,11.41,11.44,11.2,177813,209323225.0,2.11,0.44,0.05,0.44
2025-04-21,600176,11.41,11.57,11.58,11.34,196066,232745071.0,2.1,1.4,0.16,0.49
2025-04-22,600176,11.5,11.52,11.77,11.43,240013,289424895.0,2.94,-0.43,-0.05,0.6
2025-04-23,600176,11.54,11.59,11.76,11.53,254183,306286499.0,2.0,0.61,0.07,0.63
2025-04-24,600176,11.75,11.4,11.81,11.27,324612,385766749.0,4.66,-1.64,-0.19,0.81
2025-04-25,600176,11.4,11.36,11.49,11.27,225986,265246793.0,1.93,-0.35,-0.04,0.56
2025-04-28,600176,11.3,11.35,11.45,11.26,209048,246226918.0,1.67,-0.09,-0.01,0.52
2025-04-29,600176,11.31,11.38,11.45,11.27,147720,174063149.0,1.59,0.26,0.03,0.37
2025-04-30,600176,11.41,11.32,11.47,11.3,164230,193389017.0,1.49,-0.53,-0.06,0.41
2025-05-06,600176,11.47,11.62,11.62,11.39,335929,401613114.0,2.03,2.65,0.3,0.84
2025-05-07,600176,11.87,11.62,11.92,11.56,247085,298818259.0,3.1,0.0,0.0,0.62
2025-05-08,600176,11.58,11.59,11.7,11.54,192176,230985535.0,1.38,-0.26,-0.03,0.48
2025-05-09,600176,11.6,11.5,11.71,11.49,213970,256763466.0,1.9,-0.78,-0.09,0.53
2025-05-12,600176,11.56,11.68,11.75,11.52,216933,261986720.0,2.0,1.57,0.18,0.54
2025-05-13,600176,11.78,11.8,11.9,11.68,214696,262233176.0,1.88,1.03,0.12,0.54
2025-05-14,600176,11.81,11.82,11.82,11.6,205808,249984452.0,1.86,0.17,0.02,0.51
2025-05-15,600176,11.81,11.79,11.87,11.7,156524,190514044.0,1.44,-0.25,-0.03,0.39
2025-05-16,600176,11.74,11.77,11.79,11.69,146747,178331634.0,0.85,-0.17,-0.02,0.37
2025-05-19,600176,11.71,11.75,11.81,11.7,139698,169762849.0,0.93,-0.17,-0.02,0.35
2025-05-20,600176,11.74,11.69,11.78,11.64,141023,170817436.0,1.19,-0.51,-0.06,0.35
2025-05-21,600176,11.7,11.73,11.76,11.66,127354,151269537.0,0.86,0.34,0.04,0.32
2025-05-22,600176,11.7,11.66,11.75,11.58,147524,174500016.0,1.45,-0.6,-0.07,0.37
2025-05-23,600176,11.63,11.49,11.72,11.48,139243,164082497.0,2.06,-1.46,-0.17,0.35
2025-05-26,600176,11.47,11.41,11.56,11.37,202106,235071204.0,1.65,-0.7,-0.08,0.5
2025-05-27,600176,11.38,11.16,11.43,11.15,178013,203276881.0,2.45,-2.19,-0.25,0.44
2025-05-28,600176,11.17,11.19,11.23,11.13,111072,126094236.0,0.9,0.27,0.03,0.28
