日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600192,5.77,5.66,5.87,5.61,47647,27350633.0,4.51,-1.91,-0.11,1.08
2025-01-03,600192,5.69,5.4,5.74,5.37,78691,43269057.0,6.54,-4.59,-0.26,1.78
2025-01-06,600192,5.35,5.36,5.48,5.16,47926,25568531.0,5.93,-0.74,-0.04,1.08
2025-01-07,600192,5.43,5.64,5.64,5.39,59598,32925551.0,4.66,5.22,0.28,1.35
2025-01-08,600192,5.7,5.57,5.7,5.4,48383,26890382.0,5.32,-1.24,-0.07,1.1
2025-01-09,600192,5.53,5.55,5.65,5.53,36441,20358535.0,2.15,-0.36,-0.02,0.82
2025-01-10,600192,5.51,5.33,5.58,5.33,44647,24280714.0,4.5,-3.96,-0.22,1.01
2025-01-13,600192,5.3,5.28,5.33,5.07,46415,24174047.0,4.88,-0.94,-0.05,1.05
2025-01-14,600192,5.31,5.59,5.59,5.31,63384,34866046.0,5.3,5.87,0.31,1.43
2025-01-15,600192,5.58,5.58,5.69,5.52,47491,26543179.0,3.04,-0.18,-0.01,1.08
2025-01-16,600192,5.58,5.6,5.72,5.55,43467,24477286.0,3.05,0.36,0.02,0.98
2025-01-17,600192,5.57,5.55,5.65,5.52,44305,24713924.0,2.32,-0.89,-0.05,1.0
2025-01-20,600192,5.58,5.7,5.73,5.57,43174,24467068.0,2.88,2.7,0.15,0.98
2025-01-21,600192,5.7,5.59,5.76,5.55,34457,19408649.0,3.68,-1.93,-0.11,0.78
2025-01-22,600192,5.58,5.49,5.63,5.46,38932,21498514.0,3.04,-1.79,-0.1,0.88
2025-01-23,600192,5.57,5.52,5.72,5.52,61661,34649112.0,3.64,0.55,0.03,1.4
2025-01-24,600192,5.53,5.55,5.7,5.47,56326,31337035.0,4.17,0.54,0.03,1.28
2025-01-27,600192,5.65,5.45,5.65,5.43,41866,23088723.0,3.96,-1.8,-0.1,0.95
2025-02-05,600192,5.46,5.67,5.81,5.46,63291,35694313.0,6.42,4.04,0.22,1.43
2025-02-06,600192,5.61,5.67,5.67,5.5,47706,26763029.0,3.0,0.0,0.0,1.08
2025-02-07,600192,5.64,5.79,5.82,5.64,54560,31458970.0,3.17,2.12,0.12,1.24
2025-02-10,600192,5.92,5.88,5.94,5.78,55846,32665115.0,2.76,1.55,0.09,1.26
2025-02-11,600192,5.88,5.82,5.93,5.74,52533,30418880.0,3.23,-1.02,-0.06,1.19
2025-02-12,600192,5.85,5.85,5.89,5.79,50041,29203592.0,1.72,0.52,0.03,1.13
2025-02-13,600192,5.86,5.67,5.87,5.66,84471,48277014.0,3.59,-3.08,-0.18,1.91
2025-02-14,600192,5.69,5.6,5.71,5.59,46214,26068120.0,2.12,-1.23,-0.07,1.05
2025-02-17,600192,5.63,5.77,5.81,5.61,65985,37762307.0,3.57,3.04,0.17,1.49
2025-02-18,600192,5.78,5.64,5.85,5.62,59806,34217348.0,3.99,-2.25,-0.13,1.35
2025-02-19,600192,5.63,5.69,5.8,5.6,56331,32206423.0,3.55,0.89,0.05,1.28
2025-02-20,600192,5.66,5.65,5.73,5.6,59627,33599896.0,2.28,-0.7,-0.04,1.35
2025-02-21,600192,5.68,6.22,6.22,5.65,102730,62995689.0,10.09,10.09,0.57,2.33
2025-02-24,600192,6.8,6.44,6.8,6.35,462693,303873037.0,7.23,3.54,0.22,10.47
2025-02-25,600192,6.37,6.21,6.53,6.18,225449,141996154.0,5.43,-3.57,-0.23,5.1
2025-02-26,600192,6.22,6.83,6.83,6.22,155609,104481641.0,9.82,9.98,0.62,3.52
2025-02-27,600192,7.0,7.12,7.45,6.73,458537,321043089.0,10.54,4.25,0.29,10.38
2025-02-28,600192,6.98,6.62,7.11,6.57,228420,153869341.0,7.58,-7.02,-0.5,5.17
2025-03-03,600192,6.64,7.28,7.28,6.64,118262,85197638.0,9.67,9.97,0.66,2.68
2025-03-04,600192,7.21,7.12,7.64,6.95,366823,265582958.0,9.48,-2.2,-0.16,8.3
2025-03-05,600192,7.09,7.23,7.3,6.81,273856,192375594.0,6.88,1.54,0.11,6.2
2025-03-06,600192,7.1,7.03,7.14,6.96,225355,158628455.0,2.49,-2.77,-0.2,5.1
2025-03-07,600192,7.0,6.89,7.0,6.79,152484,104502671.0,2.99,-1.99,-0.14,3.45
2025-03-10,600192,6.83,6.81,6.93,6.72,105368,71728592.0,3.05,-1.16,-0.08,2.39
2025-03-11,600192,6.71,6.81,6.92,6.67,79108,53752374.0,3.67,0.0,0.0,1.79
2025-03-12,600192,6.86,6.82,6.89,6.76,110488,75506966.0,1.91,0.15,0.01,2.5
2025-03-13,600192,6.81,6.87,6.88,6.67,111183,75468387.0,3.08,0.73,0.05,2.52
2025-03-14,600192,6.89,6.84,6.89,6.71,78543,53371302.0,2.62,-0.44,-0.03,1.78
2025-03-17,600192,6.88,6.78,6.9,6.76,70700,48256090.0,2.05,-0.88,-0.06,1.6
2025-03-18,600192,6.8,6.84,6.89,6.75,72051,49167395.0,2.06,0.88,0.06,1.63
2025-03-19,600192,6.8,6.75,6.88,6.73,63591,43123468.0,2.19,-1.32,-0.09,1.44
2025-03-20,600192,6.75,6.7,6.78,6.66,64949,43583160.0,1.78,-0.74,-0.05,1.47
2025-03-21,600192,6.7,6.56,6.76,6.54,65018,43128767.0,3.28,-2.09,-0.14,1.47
2025-03-24,600192,6.56,6.52,6.63,6.31,76688,49524131.0,4.88,-0.61,-0.04,1.74
2025-03-25,600192,6.46,6.59,6.64,6.45,55646,36609208.0,2.91,1.07,0.07,1.26
2025-03-26,600192,6.55,6.6,6.62,6.55,35645,23490089.0,1.06,0.15,0.01,0.81
2025-03-27,600192,6.62,6.44,6.62,6.43,41228,26671954.0,2.88,-2.42,-0.16,0.93
2025-03-28,600192,6.43,6.45,6.53,6.39,42867,27718947.0,2.17,0.16,0.01,0.97
2025-03-31,600192,6.36,6.29,6.45,6.14,73199,45896097.0,4.81,-2.48,-0.16,1.66
2025-04-01,600192,6.3,6.57,6.64,6.3,93619,61240932.0,5.41,4.45,0.28,2.12
2025-04-02,600192,6.6,6.54,6.63,6.54,48205,31678334.0,1.37,-0.46,-0.03,1.09
2025-04-03,600192,6.52,6.59,6.62,6.44,46046,30120931.0,2.75,0.76,0.05,1.04
