日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600198,8.58,8.39,8.9,8.3,563005,483461773.0,6.95,-2.78,-0.24,4.32
2025-01-03,600198,8.38,7.8,8.43,7.77,539758,432496288.0,7.87,-7.03,-0.59,4.15
2025-01-06,600198,7.8,7.68,7.93,7.55,393417,304111191.0,4.87,-1.54,-0.12,3.02
2025-01-07,600198,7.75,7.98,8.0,7.73,393694,310039414.0,3.52,3.91,0.3,3.02
2025-01-08,600198,7.97,8.07,8.16,7.68,502012,398683889.0,6.02,1.13,0.09,3.86
2025-01-09,600198,8.01,8.26,8.47,7.99,564526,464687531.0,5.95,2.35,0.19,4.34
2025-01-10,600198,8.32,7.88,8.32,7.86,427813,346560541.0,5.57,-4.6,-0.38,3.29
2025-01-13,600198,7.7,7.86,7.94,7.52,321887,250114109.0,5.33,-0.25,-0.02,2.47
2025-01-14,600198,7.87,8.4,8.4,7.85,501439,411087682.0,7.0,6.87,0.54,3.85
2025-01-15,600198,8.44,8.39,8.53,8.32,447248,376483295.0,2.5,-0.12,-0.01,3.44
2025-01-16,600198,8.4,8.43,8.69,8.31,374093,317200692.0,4.53,0.48,0.04,2.87
2025-01-17,600198,8.41,8.4,8.46,8.26,300962,251828806.0,2.37,-0.36,-0.03,2.31
2025-01-20,600198,8.54,8.41,8.58,8.37,257816,217920098.0,2.5,0.12,0.01,1.98
2025-01-21,600198,8.48,8.34,8.51,8.25,233174,194474780.0,3.09,-0.83,-0.07,1.79
2025-01-22,600198,8.25,8.12,8.35,8.09,234241,191941176.0,3.12,-2.64,-0.22,1.8
2025-01-23,600198,8.23,8.07,8.45,8.05,361862,298939413.0,4.93,-0.62,-0.05,2.78
2025-01-24,600198,8.07,8.18,8.2,8.03,237152,193185697.0,2.11,1.36,0.11,1.82
2025-01-27,600198,8.11,8.01,8.23,7.99,251255,202895080.0,2.93,-2.08,-0.17,1.93
2025-02-05,600198,8.11,8.27,8.4,8.08,329342,271685824.0,4.0,3.25,0.26,2.53
2025-02-06,600198,8.29,8.78,8.89,8.18,605969,522993252.0,8.59,6.17,0.51,4.65
2025-02-07,600198,8.7,9.01,9.16,8.65,724343,649340625.0,5.81,2.62,0.23,5.56
2025-02-10,600198,9.01,9.27,9.37,8.94,587922,541076320.0,4.77,2.89,0.26,4.52
2025-02-11,600198,9.27,9.11,9.27,9.06,422702,386442872.0,2.27,-1.73,-0.16,3.25
2025-02-12,600198,9.1,9.39,9.44,9.08,488231,454477008.0,3.95,3.07,0.28,3.75
2025-02-13,600198,9.44,9.37,9.58,9.24,527155,496621220.0,3.62,-0.21,-0.02,4.05
2025-02-14,600198,9.42,9.3,9.44,9.16,361120,335300602.0,2.99,-0.75,-0.07,2.77
2025-02-17,600198,9.3,9.34,9.44,9.24,345851,322958143.0,2.15,0.43,0.04,2.66
2025-02-18,600198,9.3,8.97,9.39,8.92,386352,352173072.0,5.03,-3.96,-0.37,2.97
2025-02-19,600198,8.96,9.18,9.18,8.91,253544,230732386.0,3.01,2.34,0.21,1.95
2025-02-20,600198,9.21,9.17,9.26,9.11,203186,186516250.0,1.63,-0.11,-0.01,1.56
2025-02-21,600198,9.17,10.09,10.09,9.1,689993,675101188.0,10.8,10.03,0.92,5.3
2025-02-24,600198,10.25,10.01,10.34,9.87,1391253,1410945686.0,4.66,-0.79,-0.08,10.69
2025-02-25,600198,9.82,9.91,10.3,9.82,746708,752119257.0,4.8,-1.0,-0.1,5.74
2025-02-26,600198,9.94,9.96,10.0,9.8,581164,574338646.0,2.02,0.5,0.05,4.46
2025-02-27,600198,10.0,9.7,10.08,9.52,537477,524268280.0,5.62,-2.61,-0.26,4.13
2025-02-28,600198,9.58,9.02,9.58,8.93,507648,470757050.0,6.7,-7.01,-0.68,3.9
2025-03-03,600198,9.02,8.96,9.16,8.81,341144,307161667.0,3.88,-0.67,-0.06,2.62
2025-03-04,600198,8.95,9.21,9.35,8.85,396603,362686559.0,5.58,2.79,0.25,3.05
2025-03-05,600198,9.18,9.65,9.88,9.18,726108,696093428.0,7.6,4.78,0.44,5.58
2025-03-06,600198,9.63,9.69,9.89,9.47,651596,629540177.0,4.35,0.41,0.04,5.0
2025-03-07,600198,9.63,9.38,9.64,9.28,456420,432578164.0,3.72,-3.2,-0.31,3.51
2025-03-10,600198,9.34,9.26,9.36,9.2,240494,222544880.0,1.71,-1.28,-0.12,1.85
2025-03-11,600198,9.11,9.31,9.35,9.11,230692,212847943.0,2.59,0.54,0.05,1.77
2025-03-12,600198,9.31,9.4,9.53,9.3,291885,274303226.0,2.47,0.97,0.09,2.24
2025-03-13,600198,9.39,9.1,9.39,9.03,292742,268124899.0,3.83,-3.19,-0.3,2.25
2025-03-14,600198,9.08,9.18,9.2,9.03,222742,203559063.0,1.87,0.88,0.08,1.71
