日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600210,6.31,6.19,6.45,6.13,308614,203985377.0,5.07,-1.9,-0.12,2.03
2025-01-03,600210,6.21,6.03,6.27,5.96,261788,167717669.0,5.01,-2.58,-0.16,1.73
2025-01-06,600210,6.0,6.03,6.11,5.92,194743,123100269.0,3.15,0.0,0.0,1.28
2025-01-07,600210,6.02,6.06,6.09,5.96,153360,97090220.0,2.16,0.5,0.03,1.01
2025-01-08,600210,6.05,6.0,6.07,5.81,248690,155084904.0,4.29,-0.99,-0.06,1.64
2025-01-09,600210,5.96,5.95,6.02,5.93,155671,97664980.0,1.5,-0.83,-0.05,1.03
2025-01-10,600210,5.95,5.85,6.01,5.83,192591,120037326.0,3.03,-1.68,-0.1,1.27
2025-01-13,600210,5.8,5.89,5.93,5.76,172833,106426581.0,2.91,0.68,0.04,1.14
2025-01-14,600210,5.9,6.1,6.12,5.87,284526,179935725.0,4.24,3.57,0.21,1.88
2025-01-15,600210,6.1,6.06,6.15,6.04,173054,110607199.0,1.8,-0.66,-0.04,1.14
2025-01-16,600210,6.13,6.12,6.24,6.07,215658,139035268.0,2.81,0.99,0.06,1.42
2025-01-17,600210,6.09,6.19,6.21,6.08,174241,112616024.0,2.12,1.14,0.07,1.15
2025-01-20,600210,6.2,6.26,6.3,6.2,159421,104620876.0,1.62,1.13,0.07,1.05
2025-01-21,600210,6.28,6.22,6.3,6.15,159017,103319079.0,2.4,-0.64,-0.04,1.05
2025-01-22,600210,6.21,6.19,6.24,6.15,162786,105578805.0,1.45,-0.48,-0.03,1.07
2025-01-23,600210,6.22,6.12,6.32,6.11,211684,137714394.0,3.39,-1.13,-0.07,1.4
2025-01-24,600210,6.12,6.2,6.21,6.08,167599,108417477.0,2.12,1.31,0.08,1.1
2025-01-27,600210,6.19,6.13,6.26,6.12,133977,86859311.0,2.26,-1.13,-0.07,0.88
2025-02-05,600210,6.19,6.14,6.26,6.11,200822,130328064.0,2.45,0.16,0.01,1.32
2025-02-06,600210,6.11,6.22,6.24,6.05,233022,150870237.0,3.09,1.3,0.08,1.54
2025-02-07,600210,6.22,6.33,6.35,6.17,304570,201052236.0,2.89,1.77,0.11,2.01
2025-02-10,600210,6.33,6.33,6.42,6.32,240955,160275719.0,1.58,0.0,0.0,1.59
2025-02-11,600210,6.32,6.28,6.34,6.21,197903,129683838.0,2.05,-0.79,-0.05,1.3
2025-02-12,600210,6.28,6.39,6.39,6.28,259712,172868014.0,1.75,1.75,0.11,1.71
2025-02-13,600210,6.39,6.39,6.53,6.38,371402,250516224.0,2.35,0.0,0.0,2.45
2025-02-14,600210,6.41,6.38,6.51,6.34,276751,185399875.0,2.66,-0.16,-0.01,1.82
2025-02-17,600210,6.37,6.28,6.39,6.24,286881,189015936.0,2.35,-1.57,-0.1,1.89
2025-02-18,600210,6.28,6.15,6.32,6.13,221971,144976318.0,3.03,-2.07,-0.13,1.46
2025-02-19,600210,6.14,6.19,6.2,6.11,210842,136062761.0,1.46,0.65,0.04,1.39
2025-02-20,600210,6.17,6.17,6.18,6.04,242413,155601538.0,2.26,-0.32,-0.02,1.6
2025-02-21,600210,6.16,6.21,6.28,6.14,282211,183634139.0,2.27,0.65,0.04,1.86
2025-02-24,600210,6.24,6.23,6.31,6.16,281289,184085347.0,2.42,0.32,0.02,1.85
2025-02-25,600210,6.21,6.02,6.21,6.0,354763,226548549.0,3.37,-3.37,-0.21,2.34
2025-02-26,600210,6.03,6.1,6.14,6.03,282811,180789148.0,1.83,1.33,0.08,1.86
2025-02-27,600210,6.12,6.74,6.74,6.08,874919,594050704.0,10.82,10.49,0.64,5.77
2025-02-28,600210,6.89,6.93,7.2,6.76,2039232,1483465849.0,6.53,2.82,0.19,13.44
2025-03-03,600210,7.0,7.08,7.45,6.86,1864739,1387574145.0,8.51,2.16,0.15,12.29
2025-03-04,600210,6.84,6.72,6.84,6.64,1149733,805766708.0,2.82,-5.08,-0.36,7.58
2025-03-05,600210,6.72,6.66,6.72,6.53,737816,508498207.0,2.83,-0.89,-0.06,4.86
