日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600233,13.83,13.4,13.87,13.32,160356,223905595.0,3.98,-3.11,-0.43,0.47
2025-01-03,600233,13.41,13.69,13.8,13.4,217660,305063461.0,2.99,2.16,0.29,0.63
2025-01-06,600233,13.67,13.75,13.89,13.54,125250,176477601.0,2.56,0.44,0.06,0.36
2025-01-07,600233,13.7,13.73,13.8,13.5,98492,137870407.0,2.18,-0.15,-0.02,0.29
2025-01-08,600233,13.72,13.62,13.76,13.46,134526,188119278.0,2.18,-0.8,-0.11,0.39
2025-01-09,600233,13.55,13.44,13.64,13.43,117845,163360331.0,1.54,-1.32,-0.18,0.34
2025-01-10,600233,13.45,13.05,13.47,13.05,187594,254330325.0,3.13,-2.9,-0.39,0.54
2025-01-13,600233,12.97,13.06,13.11,12.93,129409,173384737.0,1.38,0.08,0.01,0.38
2025-01-14,600233,13.19,13.39,13.41,13.02,185285,251471162.0,2.99,2.53,0.33,0.54
2025-01-15,600233,13.26,13.18,13.46,13.15,151613,206655101.0,2.32,-1.57,-0.21,0.44
2025-01-16,600233,13.21,13.14,13.33,13.05,163409,221448563.0,2.12,-0.3,-0.04,0.47
2025-01-17,600233,13.12,13.14,13.22,12.95,211100,284372175.0,2.05,0.0,0.0,0.61
2025-01-20,600233,13.29,13.24,13.52,13.18,195467,267993253.0,2.59,0.76,0.1,0.57
2025-01-21,600233,13.3,13.11,13.34,13.07,121781,164704290.0,2.04,-0.98,-0.13,0.35
2025-01-22,600233,13.12,12.96,13.14,12.9,127649,170103429.0,1.83,-1.14,-0.15,0.37
2025-01-23,600233,13.03,13.13,13.19,13.03,125797,169612017.0,1.23,1.31,0.17,0.36
2025-01-24,600233,13.13,13.26,13.38,13.07,145642,198455929.0,2.36,0.99,0.13,0.42
2025-01-27,600233,13.29,13.41,13.5,13.27,116942,160998105.0,1.73,1.13,0.15,0.34
2025-02-05,600233,13.42,13.11,13.44,13.05,151363,204335342.0,2.91,-2.24,-0.3,0.44
2025-02-06,600233,13.1,13.19,13.32,13.09,144676,196121286.0,1.75,0.61,0.08,0.42
2025-02-07,600233,13.19,13.32,13.39,13.05,161591,220213754.0,2.58,0.99,0.13,0.47
2025-02-10,600233,13.32,13.31,13.38,13.2,120813,164631977.0,1.35,-0.08,-0.01,0.35
2025-02-11,600233,13.29,13.35,13.39,13.25,117076,160197828.0,1.05,0.3,0.04,0.34
2025-02-12,600233,13.35,13.23,13.41,13.13,180246,244825968.0,2.1,-0.9,-0.12,0.52
2025-02-13,600233,13.3,13.73,13.81,13.28,361189,502789896.0,4.01,3.78,0.5,1.05
2025-02-14,600233,13.7,13.73,13.87,13.56,212643,299453051.0,2.26,0.0,0.0,0.62
2025-02-17,600233,13.76,13.71,13.79,13.49,204149,285750745.0,2.18,-0.15,-0.02,0.59
2025-02-18,600233,13.64,13.28,13.68,13.24,234915,323683893.0,3.21,-3.14,-0.43,0.68
2025-02-19,600233,13.27,13.21,13.38,13.16,183925,250218603.0,1.66,-0.53,-0.07,0.53
2025-02-20,600233,13.25,13.09,13.44,13.05,237924,321912786.0,2.95,-0.91,-0.12,0.69
2025-02-21,600233,13.11,13.12,13.23,12.96,222644,299282339.0,2.06,0.23,0.03,0.65
2025-02-24,600233,13.12,13.49,13.73,13.06,408022,565433483.0,5.11,2.82,0.37,1.18
2025-02-25,600233,13.39,13.18,13.44,13.15,194106,264860605.0,2.15,-2.3,-0.31,0.56
2025-02-26,600233,13.18,13.4,13.42,13.15,184150,251076183.0,2.05,1.67,0.22,0.53
2025-02-27,600233,13.4,13.35,13.6,13.23,155454,213453016.0,2.76,-0.37,-0.05,0.45
2025-02-28,600233,13.27,13.4,13.52,13.27,177231,244424887.0,1.87,0.37,0.05,0.51
2025-03-03,600233,13.55,13.41,13.61,13.35,183867,254049741.0,1.94,0.07,0.01,0.53
2025-03-04,600233,13.35,13.52,13.57,13.16,183906,252671618.0,3.06,0.82,0.11,0.53
2025-03-05,600233,13.49,13.67,13.88,13.42,247000,346653809.0,3.4,1.11,0.15,0.72
2025-03-06,600233,13.73,13.6,13.75,13.42,250285,347737404.0,2.41,-0.51,-0.07,0.73
2025-03-07,600233,13.56,13.3,13.61,13.26,224111,308382430.0,2.57,-2.21,-0.3,0.65
2025-03-10,600233,13.26,13.28,13.32,13.12,197416,267561655.0,1.5,-0.15,-0.02,0.57
2025-03-11,600233,13.19,13.3,13.3,13.14,133092,180750342.0,1.2,0.15,0.02,0.39
2025-03-12,600233,13.31,13.44,13.47,13.17,317758,436126422.0,2.26,1.05,0.14,0.92
2025-03-13,600233,13.19,13.23,13.26,12.75,468147,625940905.0,3.79,-1.56,-0.21,1.36
2025-03-14,600233,13.09,13.36,13.66,13.07,433036,597994308.0,4.46,0.98,0.13,1.26
2025-03-17,600233,13.41,13.4,13.62,13.35,258322,356552090.0,2.02,0.3,0.04,0.75
2025-03-18,600233,13.46,13.35,13.46,13.24,142926,195509106.0,1.64,-0.37,-0.05,0.41
2025-03-19,600233,13.29,13.6,13.69,13.29,282250,393870404.0,3.0,1.87,0.25,0.82
2025-03-20,600233,13.77,13.53,14.34,13.5,448324,641691539.0,6.18,-0.51,-0.07,1.3
2025-03-21,600233,13.49,13.54,13.99,13.42,307627,432115183.0,4.21,0.07,0.01,0.89
2025-03-24,600233,13.6,13.46,13.75,13.41,204709,284819914.0,2.51,-0.59,-0.08,0.59
2025-03-25,600233,13.47,12.95,13.5,12.82,522863,700268089.0,5.05,-3.79,-0.51,1.52
2025-03-26,600233,12.94,12.83,12.94,12.79,276653,364936855.0,1.16,-0.93,-0.12,0.8
2025-03-27,600233,12.84,12.74,12.87,12.72,289798,379861397.0,1.17,-0.7,-0.09,0.84
2025-03-28,600233,12.72,12.59,12.74,12.51,279666,362632562.0,1.81,-1.18,-0.15,0.81
2025-03-31,600233,12.52,12.34,12.54,12.25,240777,306040248.0,2.3,-1.99,-0.25,0.7
2025-04-01,600233,12.39,12.39,12.51,12.35,183328,234580582.0,1.3,0.41,0.05,0.53
2025-04-02,600233,12.4,12.5,12.5,12.34,117429,150363799.0,1.29,0.89,0.11,0.34
2025-04-03,600233,12.39,12.56,12.62,12.34,148568,191253214.0,2.24,0.48,0.06,0.43
2025-04-07,600233,12.14,11.98,12.22,11.61,377209,464457744.0,4.86,-4.62,-0.58,1.09
2025-04-08,600233,11.97,12.29,12.31,11.9,263009,328396554.0,3.42,2.59,0.31,0.76
2025-04-09,600233,12.18,12.29,12.34,12.01,165313,207525313.0,2.69,0.0,0.0,0.48
2025-04-10,600233,12.39,12.52,12.61,12.25,196168,252204778.0,2.93,1.87,0.23,0.57
2025-04-11,600233,12.49,12.54,12.61,12.42,128829,166154443.0,1.52,0.16,0.02,0.37
2025-04-14,600233,12.56,12.76,12.8,12.49,158468,206728068.0,2.47,1.75,0.22,0.46
2025-04-15,600233,12.75,12.82,12.86,12.64,133905,175748564.0,1.72,0.47,0.06,0.39
2025-04-16,600233,12.79,12.91,12.93,12.74,154931,204652845.0,1.48,0.7,0.09,0.45
2025-04-17,600233,12.87,12.94,12.98,12.75,112841,149473954.0,1.78,0.23,0.03,0.33
2025-04-18,600233,12.98,12.77,12.98,12.71,111804,147130833.0,2.09,-1.31,-0.17,0.32
2025-04-21,600233,12.77,12.64,12.79,12.6,130384,169727042.0,1.49,-1.02,-0.13,0.38
2025-04-22,600233,12.66,12.68,12.8,12.63,103757,135461338.0,1.34,0.32,0.04,0.3
2025-04-23,600233,12.8,12.58,12.83,12.56,133557,173392025.0,2.13,-0.79,-0.1,0.39
2025-04-24,600233,12.58,12.67,12.69,12.44,120488,155828635.0,1.99,0.72,0.09,0.35
2025-04-25,600233,12.7,12.87,12.91,12.6,192465,253361891.0,2.45,1.58,0.2,0.56
2025-04-28,600233,12.78,12.73,12.85,12.72,122744,161390225.0,1.01,-1.09,-0.14,0.36
2025-04-29,600233,12.58,12.61,12.8,12.31,249924,323496071.0,3.85,-0.94,-0.12,0.73
2025-04-30,600233,12.57,12.72,12.74,12.51,118386,154063356.0,1.82,0.87,0.11,0.34
2025-05-06,600233,12.7,12.81,13.16,12.68,364922,484866139.0,3.77,0.71,0.09,1.06
2025-05-07,600233,12.92,12.85,12.97,12.78,178136,235564208.0,1.48,0.31,0.04,0.52
2025-05-08,600233,12.79,12.8,12.92,12.76,187462,246884987.0,1.25,-0.39,-0.05,0.54
2025-05-09,600233,12.87,12.8,12.89,12.75,133885,176190103.0,1.09,0.0,0.0,0.39
2025-05-12,600233,12.8,12.73,12.82,12.61,198314,258644696.0,1.64,-0.55,-0.07,0.58
2025-05-13,600233,12.76,12.58,12.85,12.54,227401,296458764.0,2.44,-1.18,-0.15,0.66
2025-05-14,600233,12.59,12.69,12.71,12.46,215267,279275005.0,1.99,0.87,0.11,0.62
2025-05-15,600233,12.66,12.62,12.71,12.6,131797,171366000.0,0.87,-0.55,-0.07,0.38
2025-05-16,600233,12.61,12.51,12.62,12.47,126403,162820639.0,1.19,-0.87,-0.11,0.37
2025-05-19,600233,12.52,12.51,12.66,12.49,134379,173653612.0,1.36,0.0,0.0,0.39
2025-05-20,600233,12.6,12.55,12.62,12.46,257658,332286926.0,1.28,0.32,0.04,0.75
2025-05-21,600233,12.6,12.57,12.67,12.5,193876,250667699.0,1.35,0.16,0.02,0.56
2025-05-22,600233,12.6,12.61,12.74,12.39,328837,427071554.0,2.78,0.32,0.04,0.95
2025-05-23,600233,12.58,12.4,12.63,12.38,229223,294629392.0,1.98,-1.67,-0.21,0.67
2025-05-26,600233,12.4,12.27,12.42,12.11,292483,368219717.0,2.5,-1.05,-0.13,0.85
2025-05-27,600233,12.24,12.15,12.38,12.06,245323,308382607.0,2.61,-0.98,-0.12,0.71
2025-05-28,600233,12.21,12.88,12.93,12.17,773020,1007277891.0,6.26,6.01,0.73,2.24
